Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Motte;Sp;Num_env;Masse;Air_motte;Air_sousmotte;Masse_tot;Nb_ind;Masse_ind;Masse/ind;Notes;
26;PA;Non Brouté;Exclos;1;Sco.sco;1;0,0628;19,6;19,6;3,7921;;;;;
26;PA;Non Brouté;Exclos;1;Aul.pal;2;0,1324;;;;;;;;
26;PA;Non Brouté;Exclos;1;Bry.pse;3;0,0569;;;;;;;;
26;PA;Non Brouté;Exclos;1;Cal.ric;4;0,0633;;;;;;;;
26;PA;Non Brouté;Exclos;1;Pol.sp;5;0,0608;;;;;;;;
26;PA;Non Brouté;Exclos;1;Phi.tom;6;0,0294;;;;5;0,0294;;;
26;PA;Non Brouté;Exclos;1;Sco.cos;7;0,057;;;;15;0,0145;;;
26;PA;Non Brouté;Exclos;1;NI1;8;0,0228;;;;;;;l'enveloppe est vide ;
26;PA;Non Brouté;Exclos;1;Rhi.pun;9;0,0147;;;;3;0,0147;;;
26;PA;Non Brouté;Exclos;1;Dic.acu;10;0,0074;;;;;;;;
26;PA;Non Brouté;Exclos;1;Tom.nit;11;0,0085;;;;;;;;
26;PA;Non Brouté;Exclos;1;NI2;12;0,0044;;;;2;0,0044;;;
26;PA;Non Brouté;Exclos;1;PV;;0,2602;;;;;;;;
26;PA;Non Brouté;Exclos;1;Mélange;;2,4526;;;;;;;;
26;PA;Non Brouté;Exclos;1;Mélange_org;;0,3322;;;;;;;;
26;PA;Non Brouté;Exclos;2;Bry.pse+Poh.nut ;1;0,2106;19,6;19,6;2,2735;;;;;
26;PA;Non Brouté;Exclos;2;Bra.alb;2;0,1253;;;;;;;;
26;PA;Non Brouté;Exclos;2;Tom.nit;3;0,2166;;;;;;;;
26;PA;Non Brouté;Exclos;2;Pol.sp;4;0,1655;;;;;;;;
26;PA;Non Brouté;Exclos;2;Aul.pal;5;0,1845;;;;;;;;
26;PA;Non Brouté;Exclos;2;Sco.rev;6;0,04;;;;7;0,04;;;
26;PA;Non Brouté;Exclos;2;Dic.acu;7;0,0203;;;;4;0,0203;;;
26;PA;Non Brouté;Exclos;2;NI3;8;0,0122;;;;2;0,0122;;;
26;PA;Non Brouté;Exclos;2;Cal.ric;9;0,0099;;;;;;;;
26;PA;Non Brouté;Exclos;2;Hep.sp;10;0,0116;;;;6;0,0116;;;
26;PA;Non Brouté;Exclos;2;NI4;11;0,0055;;;;1;0,0055;;;
26;PA;Non Brouté;Exclos;2;Mélange;;0,7284;;;;;;;;
26;PA;Non Brouté;Exclos;2;Mélange_org;;0,2045;;;;;;;;
26;PA;Non Brouté;Exclos;2;PV;;0,1316;;;;;;;;
26;PA;Non Brouté;Exclos;3;Bra.alb;1;0,1125;19,6;9,8;2,6694;;;;;
26;PA;Non Brouté;Exclos;3;Aul.pal;2;0,2285;;;;;;;;
26;PA;Non Brouté;Exclos;3;Pol.sp;3;0,158;;;;;;;;
26;PA;Non Brouté;Exclos;3;Bry.pse;4;0,0948;;;;;;;;
26;PA;Non Brouté;Exclos;3;Cal.ric;5;0,0668;;;;;;;;
26;PA;Non Brouté;Exclos;3;NI5;6;0,0434;;;;9;0,0434;;;
26;PA;Non Brouté;Exclos;3;Rhi.pun;7;0,0457;;;;;;;;
26;PA;Non Brouté;Exclos;3;Sco.rev;8;0,0221;;;;;;;;
26;PA;Non Brouté;Exclos;3;NI6;9;0,0418;;;;3;0,0418;;;
26;PA;Non Brouté;Exclos;3;Dic.acu;10;0,0148;;;;;;;;
26;PA;Non Brouté;Exclos;3;NI7;11;0,0106;;;;1;0,0106;;;
26;PA;Non Brouté;Exclos;3;NI8;12;0,0095;;;;3;0,0095;;;
26;PA;Non Brouté;Exclos;3;NI9;13;0,0074;;;;2;0,0074;;;
26;PA;Non Brouté;Exclos;3;Lichen;;0,021;;;;;;;;
26;PA;Non Brouté;Exclos;3;PV;;0,2578;;;;;;;;
26;PA;Non Brouté;Exclos;3;Mélange;;1,0607;;;;;;;;
26;PA;Non Brouté;Exclos;3;Mélange_org;;0,1562;;;;;;;;
26;PA;Brouté;Témoin;1;Tom.nit;1;1,811;19,6;9,8;3,3743;;;;;
26;PA;Brouté;Témoin;1;Pol.sp;2;0,1022;;;;15;0,0535;;;
26;PA;Brouté;Témoin;1;NI1;3;0,1173;;;;15;0,0251;;;
26;PA;Brouté;Témoin;1;Aul.tur;4;0,0244;;;;4;0,0244;;;
26;PA;Brouté;Témoin;1;Phi.tom;5;0,0103;;;;5;0,0103;;;
26;PA;Brouté;Témoin;1;NI2;6;0,0041;;;;5;0,0041;;;
26;PA;Brouté;Témoin;1;Hep.sp;7;0,0048;;;;;;;;
26;PA;Brouté;Témoin;1;NI3;8;0,0076;;;;3;0,0076;;;
26;PA;Brouté;Témoin;1;NI4;9;0,0056;;;;3;0,0056;;;
26;PA;Brouté;Témoin;1;NI5;10;0,0011;;;;9;0,0011;;;
26;PA;Brouté;Témoin;1;NI6;11;0,0012;;;;3;0,0012;;;
26;PA;Brouté;Témoin;1;Lichen;;0,0065;;;;;;;;
26;PA;Brouté;Témoin;1;PV;;0,1999;;;;;;;;
26;PA;Brouté;Témoin;1;Mélange;;0,4768;;;;;;;;
26;PA;Brouté;Témoin;1;Mélange_org;;0,1701;;;;;;;;
26;PA;Brouté;Témoin;2;Tom.nit;1;1,5701;19,6;9,8;2,621;;;;;
26;PA;Brouté;Témoin;2;Aul.pal;2;0,1007;;;;7;0,1007;;;
26;PA;Brouté;Témoin;2;Pol.sp;3;0,049;;;;;;;;
26;PA;Brouté;Témoin;2;Cal.ric;4;0,0425;;;;15;0,0162;;;
26;PA;Brouté;Témoin;2;Hep.sp;5;0,0026;;;;10;0,0026;;;
26;PA;Brouté;Témoin;2;Aul.tur;6;0,0025;;;;;;;;
26;PA;Brouté;Témoin;2;NI7;7;0,0005;;;;2;0,0005;;;
26;PA;Brouté;Témoin;2;NI8;8;0,0006;;;;2;0,0006;;;
26;PA;Brouté;Témoin;2;PV;;0,1532;;;;;;;;
26;PA;Brouté;Témoin;2;Lichen;;0,0488;;;;;;;;
26;PA;Brouté;Témoin;2;Mélange;;0,3336;;;;;;;;
26;PA;Brouté;Témoin;2;Mélange_org;;0,1704;;;;;;;;
26;PA;Brouté;Témoin;3;Tom.nit;1;1,9154;19,6;9,8;2,9508;15;0,1649;;;
26;PA;Brouté;Témoin;3;Pol.sp;2;0,0348;;;;;;;;
26;PA;Brouté;Témoin;3;Aul.tur;3;0,0071;;;;;;;;
26;PA;Brouté;Témoin;3;NI9;4;0,013;;;;15;0,0097;;;
26;PA;Brouté;Témoin;3;NI10;5;0,0091;;;;12;0,0091;;;
26;PA;Brouté;Témoin;3;NI11;6;0,0111;;;;6;0,011;;;
26;PA;Brouté;Témoin;3;NI12;7;0,0025;;;;2;0,0025;;;
26;PA;Brouté;Témoin;3;NI13;8;0,0013;;;;1;0,0013;;;
26;PA;Brouté;Témoin;3;NI14;9;0,0006;;;;1;0,0006;;;
26;PA;Brouté;Témoin;3;Lichen;;0,0625;;;;;;;;
26;PA;Brouté;Témoin;3;PV;;0,1701;;;;;;;;
26;PA;Brouté;Témoin;3;Mélange;;0,3505;;;;;;;;
26;PA;Brouté;Témoin;3;Mélange_org;;0,157;;;;;;;;
33;PS;Non Brouté;Exclos;1;Dre.arc;1;0,2907;19,6;9,8;2,4152;;;;;
33;PS;Non Brouté;Exclos;1;Bry.pse;2;0,0637;;;;;;;;
33;PS;Non Brouté;Exclos;1;Aul.pal;3;0,125;;;;7;0,125;;;
33;PS;Non Brouté;Exclos;1;Aul.tur;4;0,0626;;;;10;0,0626;;;
33;PS;Non Brouté;Exclos;1;Phi.tom;5;0,0571;;;;;;;;
33;PS;Non Brouté;Exclos;1;Sco.cos;6;0,0134;;;;15;0,0067;;;
33;PS;Non Brouté;Exclos;1;NI1;7;0,0146;;;;12;0,0146;;;
33;PS;Non Brouté;Exclos;1;NI2;8;0,0114;;;;2;0,0114;;;
33;PS;Non Brouté;Exclos;1;Mélange;;1,061;;;;;;;;
33;PS;Non Brouté;Exclos;1;Mélange_org;;0,3765;;;;;;;;
33;PS;Non Brouté;Exclos;1;PV;;0,3273;;;;;;;;
33;PS;Non Brouté;Exclos;2;Dre.arc;1;0,5336;19,6;19,6;2,8886;;;;;
