Date,Parcelle,Traitement,Exclos,Motte,Motte_enveloppe,Sp,Sp_enveloppe,Nbr_Tiges,Nbr_individu_repro
22/07/18,72,PA,Exclos,B3,1,Sal.arc,1,3,1
22/07/18,72,PA,Exclos,B3,1,Poaceae.sp.stri,2,0,0
22/07/18,72,PA,Exclos,B3,1,Eri.sch,3,0,0
22/07/18,72,PA,Exclos,B1,2,Sal.arc,1,1,1
22/07/18,72,PA,Exclos,B1,2,Poaceae.sp.stri,2,0,0
22/07/18,72,PA,Exclos,B1,2,Eri.sch,3,0,0
22/07/18,72,PA,Exclos,A3,3,Sal.arc,1,4,0
22/07/18,72,PA,Exclos,A3,3,Poaceae.sp.stri,2,3,0
22/07/18,72,PA,Exclos,A3,3,Eri.sch,3,0,0
22/07/18,72,PA,Exclos,A8,4,Eri.sch,3,2,0
22/07/18,72,PA,Exclos,A8,4,Poaceae.sp.stri,2,7,0
22/07/18,72,PA,Exclos,A8,4,Sal.arc,1,2,0
24/07/18,ROC8,4,Exclos,C8,1,Eri.sch,1,7,0
24/07/18,ROC8,4,Exclos,C8,1,Dup.fis,2,25,0
24/07/18,ROC8,4,Exclos,B3,2,Eri.sch,1,5,0
24/07/18,ROC8,4,Exclos,B3,2,Dup.fis,2,16,0
24/07/18,ROC8,4,Exclos,E8,3,Eri.sch,1,6,0
24/07/18,ROC8,4,Exclos,E8,3,Dup.fis,2,24,0
24/07/18,ROC8,4,Exclos,F3,4,Eri.sch,1,4,0
24/07/18,ROC8,4,Exclos,F3,4,Dup.fis,2,28,0
24/07/18,ROC8,4,Temoin,C8,1,Dup.fis,1,78,0
24/07/18,ROC8,4,Temoin,D8,2,Dup.fis,1,36,0
24/07/18,ROC8,4,Temoin,F3,3,Dup.fis,1,17,0
24/07/18,ROC8,4,Temoin,G6,4,Dup.fis,1,28,0
24/07/18,ROC8,4,Temoin,C8,1,Eri.sch,2,4,0
24/07/18,ROC8,4,Temoin,D8,2,Eri.sch,2,3,0
24/07/18,ROC8,4,Temoin,F3,3,Eri.sch,2,5,0
24/07/18,ROC8,4,Temoin,G6,4,Eri.sch,2,2,0
24/07/18,ROC8,4,Temoin,C8,1,Car.aqu,3,4,0
24/07/18,ROC8,4,Temoin,D8,2,Car.aqu,3,8,0
24/07/18,ROC8,4,Temoin,F3,3,Car.aqu,3,2,0
24/07/18,ROC8,4,Temoin,G6,4,Car.aqu,3,4,0
