Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Temp_eau_thermique;Temp;pH;Type_sol;Humidite_pourc;Temp_wet;Front_degel;Conductivite;Hmoyenne;Hmax_veg;Hmax_repro;Temp_vasculaires;Temp_mousses;Hobo_2017;Prof_hobo;Hobo_2018;Couv_hobo
11/07/2018;71;PA;Exclos;NE;296;;;5,16;Organique;94,1;10,9;20;1;;10;8;NA;10,5;20177068;4,7;10355248;mousse
11/07/2018;71;PA;Exclos;SE;295;;;5,23;Organique;95,4;11;21;3;;4;7,5;NA;9,8;20177068;4,7;10355248;mousse
11/07/2018;71;PA;Exclos;SO;294;;;4,92;Organique;95,7;10,8;21;4;;6;7;NA;9,3;20177068;4,7;10355248;mousse
11/07/2018;71;PA;Exclos;NO;293;;;5,3;Organique;96,1;11,4;21;7;;7;7;NA;10,2;20177068;4,7;10355248;mousse
11/07/2018;71;PA;Temoin;NE;252;;;5,27;Organique;93,8;10,6;20;8;;11;10;NA;10,5;20151607;4;10358216;mousse
11/07/2018;71;PA;Temoin;SE;300;;;5,23;Organique;94,5;11,2;21;10;;10;NA;NA;10,6;20151607;4;10358216;mousse
11/07/2018;71;PA;Temoin;SO;299;;;5,91;Organique;94;10,1;20;10;;10;NA;NA;11,4;20151607;4;10358216;mousse
11/07/2018;71;PA;Temoin;NO;298;;;5,71;Organique;94,3;12,5;20;14;;NA;NA;NA;10,6;20151607;4;10358216;mousse
12/07/2018;72;PA;Exclos;NE;256;;;5,86;Organique;95,7;6,6;20;-1;;10;14;5,4;8,5;20177025;6;1010821;mousse
12/07/2018;72;PA;Exclos;SE;254;;;5,7;Organique;13,7;8,1;30;0;;7;8;6,7;7,8;20177025;6;1010821;mousse
12/07/2018;72;PA;Exclos;SO;253;;;5,43;Organique;5,06;8,6;12;0;;8;9;5,8;8,1;20177025;6;1010821;mousse
12/07/2018;72;PA;Exclos;NO;255;;;4,5;Organique;73;7,5;18;-7;;6,5;8;NA;4,9;20177025;6;1010821;mousse
12/07/2018;72;PA;Temoin;NE;289;;;4,84;Organique;97,4;9,7;28;-1;;9;NA;NA;7,5;20177033;5;236828;mousse
12/07/2018;72;PA;Temoin;SE;290;;;4,9;Organique;98,7;8,7;28;-2;;4,5;NA;NA;7,7;20177033;5;236828;mousse
12/07/2018;72;PA;Temoin;SO;291;;;4,73;Organique;98,3;8,7;27;-2;;9;NA;NA;7,9;20177033;5;236828;mousse
12/07/2018;72;PA;Temoin;NO;288;;;5,8;Organique;96,3;8,7;26;-2;;11;12;NA;7,6;20177033;5;236828;mousse
13/07/2018;51;PH;Exclos;NE;;;;;;;;10;;;;;;;20151585;7;2023615;
13/07/2018;51;PH;Exclos;SE;;;;;;;;9;;;;;;;20151585;7;2023615;
13/07/2018;51;PH;Exclos;SO;;;;;;;;8;;;;;;;20151585;7;2023615;
13/07/2018;51;PH;Exclos;NO;;;;;;;;20;;;;;;;20151585;7;2023615;
13/07/2018;51;PH;Temoin;NE;;;;;;;;20;;;;;;;;7;1010810;
