ROC;Trt;B_NB;Motte;Biomasse
5;4;NB;1;24,8
5;4;NB;2;4,3
5;4;NB;3;40,2
5;4;B;1;25
5;4;B;2;25,9
5;4;B;3;122
5;12;B;1;11,7
5;12;B;2;13,3
5;12;NB;1;107,1
5;12;B;3;13,1
5;12;NB;3;25,5
5;12;NB;2;7
5;14;NB;1;28,9
5;5;B;3;20,4
5;14;NB;2;58,7
5;1;NB;3;11,4
5;1;NB;2;14,4
5;1;NB;1;25,2
7;12;NB;1;14,6
7;6;B;2;15,9
7;14;B;3;31
7;1;B;1;28,8
5;1;B;1;20,5
5;1;B;2;11
5;5;B;3;8,1
5;5;B;2;6,8
5;14;B;2;78
5;14;B;3;109,3
5;14;NB;3;29,8
7;12;NB;3;22
5;6;NB;1;7,9
5;6;NB;2;87,8
5;6;NB;3;4,2
7;12;NB;2;16,5
5;14;B;1;17,8
5;1;B;2;10,1
5;6;B;3;22,8
5;6;B;2;12,4
5;6;B;1;15,4
5;9;B;1;11,8
5;9;NB;1;10,9
5;9;B;3;1,5
5;9;NB;3;15,8
5;9;B;2;14,5
5;5;NB;1;14,8
5;9;NB;2;0,9
5;5;B;1;0,4
5;5;NB;3;9,8
7;9;B;3;2,5
7;4;B;3;8,3
7;1;B;2;3,3
7;1;NB;1;14,8
7;1;B;3;4,2
7;1;NB;2;6,8
7;4;B;1;6,2
7;12;B;2;1
7;6;NB;2;15,4
7;12;B;1;2,2
7;6;NB;2;0,3
7;12;B;3;5,8
7;6;NB;1;15,7
7;6;NB;3;19,6
7;6;B;1;7,1
7;4;B;2;7,4
7;6;B;2;8,7
7;4;NB;1;0,3
7;4;NB;2;30,2
7;1;B;1;7,3
7;4;NB;3;9,9
7;1;NB;3;12,7
7;5;NB;3;9,4
7;9;NB;3;14,6
7;5;B;3;11,2
7;14;B;2;45
7;9;B;2;9,3
7;9;B;1;3,1
7;14;NB;1;35,7
7;14;NB;3;46
7;9;NB;2;17,1
7;9;NB;1;4,9
7;14;B;1;8,7
7;5;NB;1;2
7;5;B;1;5,8
7;5;NB;2;72,7
6;12;B;2;1,5
6;12;NB;2;32,6
6;12;NB;1;1,2
