Date;Parcelle;Traitement;Exclos;Sous_Parcelle;Medaille;Temp;pH;Type_sol;Humidite_pourc;Temp_wet;Front_degel;Conductivite;Hmoyenne;Hmax_veg;Hmax_repro;Temp_vasculaires;Temp_mousses;Hobo_Out;Prof_hobo;Hobo_In;Couv_hobo;EC_Smart;Humidity_Smart;Temp_Smart;Flux_CH4;Flux_CO2;Flux_H2O;Eau;Niveau_Eau;Remarque
05/08/21;A1;PR;Temoin;;;;;;48,9;11,8;32;35;;;;;;;;;;;;;;;;;;
05/08/21;A1;PR;Temoin;;;;;;17,9;10;34;35;;;;;;;;;;;;;;;;;;
05/08/21;A1;PR;Temoin;;;;;;34,7;10,3;35;19;;;;;;;;;;;;;;;;;;
05/08/21;A1;PR;Exclos;;;;;;18,3;8,1;29;29;;;;;;;;;;;;;;;;;;
05/08/21;A1;PR;Exclos;;;;;;47,6;8,5;29;28;;;;;;;;;;;;;;;;;;
05/08/21;A1;PR;Exclos;;;;;;25,3;12,1;33;27;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;14;Temoin;;;;;;65,5;7,7;27;36;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;14;Temoin;;;;;;43,6;5,7;14;23;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;14;Temoin;;;;;;54,1;6;20;28;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;14;Exclos;;;;;;21;6,5;27;41;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;14;Exclos;;;;;;31,3;7,2;25;30;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;14;Exclos;;;;;;33,1;6,3;23;24;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;10;Temoin;;;;;;70,5;8,1;41;17;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;10;Temoin;;;;;;72,5;8,1;39;16;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;10;Temoin;;;;;;72,8;7,8;40;16;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;10;Exclos;;;;;;72,4;7,9;40;17;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;10;Exclos;;;;;;76,6;7,6;40;17;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;10;Exclos;;;;;;72,3;7,9;39;16;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;6;Temoin;;;;;;79,9;9;40;19;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;6;Temoin;;;;;;79,9;8,8;41;20;;;;;;;;;;;;;;;;;;
