Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Photo;Pixel_area;Pixel_white;Pixel_medal
16/07/18;ROC3;10;Temoin;;;P7160467;4297920;235547;8411
16/07/18;ROC3;10;Temoin;;;P7160468;4576825;212945;10567
16/07/18;ROC3;10;Exclos;;;P7160472;6050816;1316751;7386
16/07/18;ROC3;10;Exclos;;;P7160475;5814682;779365;8646
16/07/18;ROC3;1;Exclos;;;P7160478;4986080;510947;6502
16/07/18;ROC3;1;Exclos;;;P7160480;8719568;616542;8493
16/07/18;ROC3;1;Temoin;;;P7160483;5063040;136674;7232
16/07/18;ROC3;1;Temoin;;;P7160486;4193680;184568;7304
16/07/18;ROC3;6;Temoin;;;P7160489;4307984;71600;7677
16/07/18;ROC3;6;Temoin;;;P7160491;4579792;87239;7930
;ROC3;6;Exclos;;;;;;
;ROC3;6;Exclos;;;;;;
16/07/18;ROC3;4;Exclos;;;P7160496;5085696;873353;6575
16/07/18;ROC3;4;Exclos;;;P7160498;3906969;658881;7677
16/07/18;ROC3;4;Temoin;;;P7160500;4570048;173311;6453
16/07/18;ROC3;4;Temoin;;;P7160503;4509837;167911;6936
16/07/18;ROC3;14;Temoin;;;P7160506;4860000;144306;8011
16/07/18;ROC3;14;Temoin;;;P7160507;4676544;156187;6939
16/07/18;ROC3;14;Exclos;;;P7160510;4637632;1026047;5796
16/07/18;ROC3;14;Exclos;;;P7160513;5849136;1222367;7237
17/07/18;ROC8;1;Exclos;;;P7170534;4837248;786062;12568
17/07/18;ROC8;1;Exclos;;;P7170533;4153131;655311;9676
;ROC8;1;Temoin;;;;;;
;ROC8;1;Temoin;;;;;;
17/07/18;ROC8;14;Temoin;;;P7170542;4448800;150394;11686
17/07/18;ROC8;14;Temoin;;;P7170544;4717440;102150;23368
17/07/18;ROC8;14;Exclos;;;P7170546;4656000;660218;15393
17/07/18;ROC8;14;Exclos;;;P7170549;7525600;1831842;13779
17/07/18;ROC8;4;Exclos;;;P7170557;3704832;1174926;3149
17/07/18;ROC8;4;Exclos;;;P7170559;2575840;1119606;8236
17/07/18;ROC8;4;Temoin;;;P7170563;2337958;25996;6628
17/07/18;ROC8;10;Exclos;;;P7170566;6420288;955329;6773
17/07/18;ROC8;10;Exclos;;;P7170568;3216267;606164;6715
17/07/18;ROC8;10;Temoin;;;P7170570;5649888;260215;8412
17/07/18;ROC8;10;Temoin;;;P7170573;4483072;438352;7464
;ROC8;6;Temoin;;;;;;
;ROC8;6;Temoin;;;;;;
17/07/18;ROC8;6;Exclos;;;P7170581;4259484;788355;7235
17/07/18;ROC8;6;Exclos;;;P7170582;5309664;760627;7542
17/07/18;ROC7;1;Exclos;;;P7170601;5290956;774236;15611
17/07/18;ROC7;1;Exclos;;;P7170602;6031536;984858;13992
;ROC7;1;Temoin;;;;;;
;ROC7;1;Temoin;;;;;;
17/07/18;ROC7;14;Temoin;;;P7170619;6443136;1078351;12766
17/07/18;ROC7;14;Temoin;;;P7170623;7490208;685746;20706
17/07/18;ROC7;14;Exclos;;;P7170624;9440000;1262420;15837
17/07/18;ROC7;14;Exclos;;;P7170627;8325856;1113242;
17/07/18;ROC7;10;Temoin;;;P7130079;5447260;745512;
17/07/18;ROC7;10;Exclos;;;P7130080;12000000;2282470;
17/07/18;ROC7;6;Temoin;;;P7130083;5111616;137435;
17/07/18;ROC7;6;Exclos;;;P7130084;6300784;1310400;
17/07/18;ROC7;4;Temoin;;;P7170648;5387680;211564;11875
17/07/18;ROC7;4;Temoin;;;;;;
17/07/18;ROC7;4;Exclos;;;P7170654;6458352;1000444;10475
17/07/18;ROC7;4;Exclos;;;P7170655;6217536;1059610;11490
20/07/18;ROC6;1;Exclos;;;P7200807;4757760;1650557;12265
20/07/18;ROC6;1;Exclos;;;P7200810;6082944;1288746;12655
20/07/18;ROC6;1;Temoin;;;P7200816;6701728;392615;14293
20/07/18;ROC6;1;Temoin;;;P7200815;5207328;341700;16851
20/07/18;ROC6;14;Exclos;;;P7200841;7442624;1240060;13272
20/07/18;ROC6;14;Exclos;;;P7200842;8633568;2215916;14954
20/07/18;ROC6;14;Temoin;;;P7200845;5848512;98557;13581
20/07/18;ROC6;14;Temoin;;;P7200846;7693056;123606;13474
20/07/18;ROC6;6;Exclos;;;P7200821;6549072;1728301;6939
20/07/18;ROC6;6;Exclos;;;P7200819;4619844;1260257;13470
20/07/18;ROC6;6;Temoin;;;P7200826;7644000;469064;11366
20/07/18;ROC6;6;Temoin;;;P7200825;5924160;276429;17552
20/07/18;ROC6;10;Exclos;;;P7200830;7133136;1705485;11023
20/07/18;ROC6;10;Exclos;;;P7200832;5522880;1593056;14038
20/07/18;ROC6;10;Temoin;;;P7200834;6658080;1009785;12661
20/07/18;ROC6;10;Temoin;;;P7200836;6987008;779121;11200
20/07/18;ROC6;4;Exclos;;;P7200849;6831825;1816970;10818
20/07/18;ROC6;4;Exclos;;;P7200851;5445000;1566258;9330
20/07/18;ROC6;4;Temoin;;;P7200855;5568264;1094179;14634
20/07/18;ROC6;4;Temoin;;;P7200856;7972888;1364626;10907
