Parcelle;Traitement;Exclos;P Bray-II (PPM);NH4 (PPM);NO3 (PPM);TKP (ppm);TKN (%);CEC;Na;Ca;K;Mg;Acidité
ROC3;14;Temoin;14,825;63,9607112353444;6,69694852084789;1072,03823830659;1,31785592352339;;;;;;
ROC3;14;Exclos;9,105;37,8699603821953;5,04932805095937;1253,61620057859;1,85470909675346;;;;;;
ROC8;14;Temoin;26,075;82,3846614739365;2,16696624725384;1184,6921797005;1,00831946755408;;;;;;
ROC8;14;Exclos;31,19;56,7566522277228;0,867303527227723;1190,89939566299;1,01315321720583;;;;;;
ROC7;14;Temoin;6,14;10,247124835847;0,221855227028533;1589,68206358728;1,09178164367127;;;;;;
ROC7;14;Exclos;6,765;55,7620817843866;5,19865241635688;1586,56808379544;1,59272951324707;;;;;;
ROC6;14;Temoin;73,625;27,9766795789803;3,58023242164573;1218,740107629;0,405191516302627;;;;;;
ROC6;14;Exclos;85,48;8,98313607178773;4,03225806451613;1294,61388708631;0,509409474367294;;;;;;
ROC8;4;Temoin;68,605;11,5777390753642;0,590761557948068;1096,27431585889;0,774810418727332;;;;;;
ROC8;4;Exclos;67,215;12,6606934164394;0,437280872613946;1244,14611301904;0,234155479238214;;;;;;
ROC7;4;Temoin;12,85;18,3118242064876;1,11421152579157;774,416310424203;0,917461361394278;;;;;;
ROC7;4;Exclos;12,82;53,8488358579011;1,85952814473327;1165,20100502513;1,03957286432161;;;;;;
ROC6;4;Temoin;46,855;13,9370784764727;0,345990409730615;1285,38128538129;-0,00333000333000355;;;;;;
ROC6;4;Exclos;115,81;12,8809797471365;0,415163885696167;818,242790073776;0,0469483568075116;;;;;;
ROC6;6;Temoin;33,12;44,8978793332812;1,63353940057907;1238,73873873874;0,945945945945946;;;;;;
ROC6;6;Exclos;75,43;90,6005636486326;45,8460683523201;1265,40126540127;1,25541125541126;;;;;;
ROC8;6;Temoin;39,87;18,7265917602996;0,655430711610487;1194,60500963391;0,677585099550417;;;;;;
ROC8;6;Exclos;32,215;14,2385796771279;1,71844927137751;1013,20233343568;0,368437212158428;;;;;;
ROC3;6;Temoin;8,135;16,26790461453;0,277744712931;977,468522200133;1,40159045725646;;;;;;
