Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Heure_NDVI;Mesure_NDVI;Ombre_NDVI;Red_i   ;NIR_i   ;Red_r   ;NIR_r   ;Blue_i  ;Blue_r  ;Green_i ;Green_r ;Remarque_NDVI;Heure_PRI;Mesure_PRI;Ombre_PRI;531_i   ;570_i   ;531_r   ;570_r   ;Remarque_PRI;;
11/07/2018;71;PA;Exclos;NE;296;17:18:00;1;;77,61434;54,86184;1,50268;3,239081;28,62029;0,2813726;34,02184;0,5713446;;0,701388888888889;1;;21,33053;22,77703;0,348405;0,3537959;;;
11/07/2018;71;PA;Exclos;SE;295;17:19:00;1;;78,8549;55,17435;1,499319;2,87474;29,02252;0,2966437;34,58382;0,5551933;;0,703472222222222;1;;20,08022;21,3722;0,6594976;0,5680682;;;
11/07/2018;71;PA;Exclos;SO;294;17:21:00;2;;78,49645;55,08612;1,323527;2,581453;28,84479;0,2631844;34,44699;0,4825735;;0,704861111111111;1;;18,90437;20,1066;0,2544366;0,2603117;;;
11/07/2018;71;PA;Exclos;NO;293;17:21:00;1;;77,55386;54,83527;1,833845;2,928065;28,43274;0,3281631;33,88664;0,599179;;0,707638888888889;2;;14,67335;14,13302;0,3569831;0,3016108;;;
11/07/2018;71;PA;Temoin;NE;252;17:15:00;1;;78,91538;55,30297;1,484169;3,469978;29,14846;0,3285039;34,61803;0,6099581;;0,709027777777778;1;;16,49993;17,56716;0,3766393;0,2690285;;;
11/07/2018;71;PA;Temoin;SE;300;17:16:00;1;;78,85785;55,31997;1,267739;3,604356;29,24657;0,2439696;34,71902;0,4906578;;0,709722222222222;1;;16,78041;17,87625;0,2291079;0,2295726;;;
11/07/2018;71;PA;Temoin;SO;299;17:17:00;1;;78,33862;55,01384;1,305302;3,149496;29,01887;0,2729622;34,3965;0,4766102;;0,710416666666667;1;;16,83301;17,93509;0,2365884;0,234438;;;
11/07/2018;71;PA;Temoin;NO;298;17:17:00;1;;78,76788;55,0638;1,339353;3,383725;29,12154;0,2575028;34,6278;0,515102;;0,711111111111111;1;;16,89115;18,02002;0,2494547;0,2442713;;;
12/07/2018;72;PA;Exclos;NE;256;14:02:00;1;;42,64983;30,73509;0,7678419;2,290729;16,06042;0,1265646;19,26386;0,3218605;;0,6;1;;14,89599;15,94465;0,2174167;0,229175;;;
12/07/2018;72;PA;Exclos;SE;254;14:03:00;1;;45,9467;33,1501;0,6813982;2,004245;17,24409;0,1324384;20,72273;0,2858201;;0,600694444444444;1;;14,60123;15,60807;0,1898179;0,197175;;;
12/07/2018;72;PA;Exclos;SO;253;14:04:00;1;;50,30859;36,09021;0,8149652;2,507199;18,77522;0,167277;22,63619;0,3624212;;0,600694444444444;1;;14,43833;15,42489;0,2290587;0,2303848;;;
