Date,Parcelle,Traitement,Exclos,Prof_up,Prof_down,PHOTO,Oxydo_Reduction,Largeur1,Largeur2,Largeur3,Largeur4,Hauteur1,Hauteur2,Hauteur3,Hauteur4,Recup_lessivat,Recup_CapChamps,Longueur1,Longueur2,Longueur3,Longueur4,Poids_frais,Poids_sec,Calibration,Remarque,Diff_poids_sec,Poids_sec+ass,Poids_sec_net,Numero_Cupule,Poids_cupule,Volume_cuiller_ml,Nbre_cuiller,Poids_sec_brulage,Poids_brule,remarques,Largeur1_Cal,Largeur2_Cal,Largeur3_Cal,Largeur4_Cal,Hauteur1_Cal,Hauteur2_Cal,Hauteur3_Cal,Hauteur4_Cal,Longueur1_Cal,Longueur2_Cal,Longueur3_Cal,Longueur4_Cal,Poids_frais_cal,Poids_sec_cal
11/03/20,ROC7,14,Exclos,0,7,,0,6.4,6.5,7,7,6.8,7.5,7,6.5,Ok,Ok,7.7,7.5,7.7,8,55.3,13.8891,Non,,,,-4.59,10,29.649,0.5,3,39.4625,29.8936,Poids sec faux!,,,,,,,,,,,,,,
11/03/20,ROC7,14,Exclos,7,13.5,,0,7.6,8,6.5,6.8,6.8,6.4,6.7,6.2,Ok,Ok,5,4.6,6,6.5,74.3,18.3084,Non,,,,-4.59,11,27.968,0.5,3,28.9335,28.4984,,,,,,,,,,,,,,,
11/03/20,ROC7,14,Exclos,13.5,16.5,,1,6.9,7.3,7.5,8,3.2,4,4.5,4,Ok,Ok,6,6,6,6.5,103,23.7572,Non,,,,-4.59,12,29.7247,0.5,4,31.1522,30.611,,,,,,,,,,,,,,,
11/03/20,ROC7,14,Exclos,16.5,21,,0,7.9,7.7,8,8,4.1,4.3,4.1,4.5,Ok,Ok,6.1,6.5,5.9,5.4,188.8,37.7907,Non,,,,-4.59,13,22.9537,0.5,4,24.2104,23.7028,,,,,,,,,,,,,,,
11/03/20,ROC7,1,Exclos,0,3,,0,6.2,5.5,7.5,6.5,2.5,2.5,2.8,2.5,Ok,Ok,5,5,5.3,5.1,32.6,12.4875,Non,,0.1675,16.91,12.32,14,25.9976,0.5,4,27.3075,26.9673,,,,,,,,,,,,,,,
11/03/20,ROC7,1,Exclos,3,5.5,,0,7.5,8,8,9,2.4,2,2.5,2.6,Ok,Ok,6.1,6.5,7.7,6.5,92.9,28.2038,Non,,0.363800000000001,32.43,27.84,15,24.1314,0.5,4,25.6029,25.1026,,,,,,,,,,,,,,,
11/03/20,ROC7,1,Exclos,5.5,8,,1,8.8,9,9,9,3.2,3.5,2.8,2.8,Ok,Ok,7.7,7.5,8,7.8,122.5,31.2033,Non,,-0.436699999999998,36.23,31.64,16,28.0261,0.5,4,29.2299,28.7271,,,,,,,,,,,,,,,
11/03/20,ROC7,1,Exclos,8,15,,0,5.5,5.5,6.2,5.5,7.4,6.7,6.8,6.4,Ok,Ok,10,10,9.6,10,283.7,86.9447,Non,,1.2847,90.25,85.66,17,26.7711,0.5,4,28.0959,27.6449,,,,,,,,,,,,,,,
11/03/20,ROC7,1,Exclos,15,19,,0,5.5,5.7,6.2,6.2,4.1,3.7,3.2,4.5,Ok,Ok,7.5,7.7,9.5,9,217.1,78.5993,Non,,0.999300000000005,82.19,77.6,18,24.0421,0.5,4,25.5064,25.0898,,,,,,,,,,,,,,,
12/03/20,ROC6,14,Temoin,0,6,,0,6.5,6,7.4,6.5,5.5,5,5.8,5.5,Ok,Ok,6,5.2,6,6.1,89.2,21.8379,Non,,0.227900000000002,26.2,21.61,1,25.7641,0.5,5,27.3387,26.7365,,,,,,,,,,,,,,,
12/03/20,ROC6,14,Temoin,6,7,,1,7.6,6.8,8,7,2.5,2,1.5,1.6,Ok,Ok,5.5,5.6,5.7,5.6,78,33.4412,Non,,,38.1,33.51,2,27.6381,0.5,5,29.8909,29.6079,,,,,,,,,,,,,,,
12/03/20,ROC6,14,Temoin,7,11.5,,2,8.8,7.3,8.2,7.5,4.4,4.5,3.5,4.5,Ok,Ok,6,6,6,5.8,133.1,45.2387,Non,,,49.9,45.31,3,23.9325,0.5,5,25.9709,25.5348,,,,,,,,,,,,,,,
12/03/20,ROC6,14,Temoin,11.5,16.5,,0,7.4,8.5,9.9,8.6,5,4.5,5.3,5.3,Ok,Ok,7,7.5,8,7.5,401.5,206.8781,Non,,,*pas pesé avant de broyer ,#VALEUR !,4,28.5459,0.5,5,31.0257,30.758,,,,,,,,,,,,,,,
12/03/20,ROC7,14,Temoin,0,3,,0,7.5,NA,NA,NA,2.5,2.9,NA,NA,Non,Non,1.9,2.1,NA,NA,5,1.3849,Oui,Aller chercher les échantillons congelés!,,,-4.59,19,27.687,0.25,1,27.756,27.7076,,9,6,,,2,1.6,2,1.8,6.5,6.5,,,,
12/03/20,ROC7,14,Temoin,3,7,,0,9.5,10.5,NA,NA,2.1,1.7,NA,NA,Non,Non,3.5,4.5,3.5,NA,29.9,7.3291,Oui,Aller chercher les échantillons congelés!,,,-4.59,20,26.2069,0.5,2,26.8781,26.5604,,9.3,8.5,8.3,7.5,5,5,5,4,8.5,9,8,7.5,,
12/03/20,ROC7,14,Temoin,7,10,,1,8.5,8.5,NA,NA,1.8,2.3,NA,NA,Non,Non,1.7,2.4,,,38.4,9.938,Oui,Aller chercher les échantillons congelés!,,,-4.59,21,24.6189,0.5,2,25.4233,25.1419,,8.2,6.5,,,1.5,5,2.5,3,7,9.5,,,,
12/03/20,ROC7,14,Temoin,10,15,,0,6,5.5,5,4.6,5.4,5.7,5.3,5.2,Oui,Oui,6.5,6.6,6.2,6.5,192.1,54.5345,Oui,Aller chercher les échantillons congelés!,,,-4.59,22,28.4217,0.5,4,30.0552,29.6077,,,,,,,,,,,,,,,
12/03/20,ROC7,1,Temoin,0,4.5,,0,6.3,6.4,6.5,6.9,3.4,3.7,3.7,3.3,Oui,Oui,3.6,3.6,3.6,3.9,62.4,22.3227,Non,,,26.92,22.33,23,26.2861,0.5,4,28.1641,27.7643,,,,,,,,,,,,,,,
12/03/20,ROC7,1,Temoin,4.5,8.5,,1,8,8.5,8.7,9,4,4.5,4,4.4,Oui,Oui,5.3,5.6,5.4,5.5,128.6,31.9876,Non,,-0.1624,36.74,32.15,24,22.3532,0.5,4,23.8132,23.3064,,,,,,,,,,,,,,,
12/03/20,ROC7,1,Temoin,8.5,19,,0,8.5,8.6,8.5,9.4,4,4.9,3.8,4,Oui,Oui,6.1,5.9,6.1,5.8,168.3,31.6156,Non,Possiblement statifié à nouveau. mais indétectable! À corriger avec les données des carottes,,36.22,31.63,25,22.4848,0.5,4,23.7044,23.1684,,,,,,,,,,,,,,,
12/03/20,ROC6,1,Temoin,0,2,,0,2,1.8,2,2,2,2,2,1.5,Non,Oui,5.5,4.7,,,19.8,8.675,Oui,,,,-4.59,26,25.7733,0.5,2,26.8644,26.7385,,10.5,7,,,3,2.5,,,8.5,7,,,,
12/03/20,ROC6,1,Temoin,2,6,,1,3.3,3.3,3.3,3.3,2.5,2.3,2.4,1.9,Non,Oui,5,5,4.8,4.9,37.9,13.2731,Oui,,,,-4.59,27,24.9196,0.5,3,26.2646,26.005,,10.4,9.5,8.5,8.2,3.7,4,,,8.5,7,,,,
12/03/20,ROC6,1,Temoin,6,11,,0,3.7,3.6,3.5,4,2.5,2.5,2.5,2.5,Non,Oui,3.8,4,4,3.7,47.2,22.7096,Oui,,,,-4.59,28,25.4437,0.5,4,27.432,27.2002,,9.5,8.5,8,7.5,4,5,,,9,8.6,6.8,6.5,,
13/03/20,ROC6,14,Exclos,0,4.5,,0,2.8,3,3,2.9,1.4,1.7,1.3,1.4,Non,Non,4.8,4.7,4.5,4.6,1.4,1.297,Oui,,-0.083,5.97,1.38,5,26.374,0.25,2,26.526,26.4349,,7,7,6.9,6.9,4,2,3,2,4,,4,9,,
13/03/20,ROC6,14,Exclos,4.5,7,,0,2.5,2.5,2.7,2.9,2,1,1.8,0.8,Non,Non,8,8.2,8.5,8,1.8,1.7026,Oui,,,6.34,1.75,6,26.2808,0.25,2,26.4748,26.3765,,6.5,6.5,6.5,,2,2.8,2.5,2.5,8.7,8.7,9,7.5,,
13/03/20,ROC6,14,Exclos,7,9.5,,0,2,1.7,2,1,1.9,0.8,2,0.8,Non,Non,9,9.3,,,12.4,11.169,Oui,,,15.76,11.17,7,22.7714,0.5,3,24.4126,24.2292,,7.1,7.4,5.7,6.6,3,3,4,4,9,7.3,6,6,,
13/03/20,ROC6,14,Exclos,9.5,11,,1,2,1.9,2.5,2,1.3,0.7,1.1,2,Non,Non,7.3,7.6,,,12.5,8.3659,Oui,,,13.12,8.53,8,25.2712,0.5,5,27.6798,27.2512,,7.5,7.6,7.7,7.3,1.1,1.6,1.9,1.6,7,7.1,7,7.5,56.4,34.6787
13/03/20,ROC6,14,Exclos,11,15,,0,6.5,7,6.6,7,1.4,1.4,1.8,2.1,Non,Non,6.2,7.2,7,6.8,42,27.8457,Oui,,,32.45,27.86,9,25.2783,0.5,5,27.7142,27.3841,,4.2,4.5,4.6,4,7,7,7.3,6.7,5,4.9,5.2,5.4,146.5,96.4213
13/03/20,ROC3,14,Exclos,0,4.5,,0,7,7.5,7.7,7.5,5,5,6,5,Oui,Oui,6,6,6.4,6,37.3,9.0134,Non,,-0.0565999999999995,13.66,9.07,29,27.3096,0.5,4,28.4335,27.6152,,,,,,,,,,,,,,,
13/03/20,ROC3,14,Exclos,4.5,7,,1,8.1,8.4,7.5,8.5,1,2.6,1.2,2.4,Oui,Oui,5.5,6,5.4,5.7,43.9,9.3166,Non,Grosses Racines concentrées,0.146599999999999,13.76,9.17,30,23.539,0.5,3,24.618,24.0847,,,,,,,,,,,,,,,
13/03/20,ROC3,14,Exclos,7,13,,0,9,9.1,10.8,10,1.5,1.8,2.2,2,Oui,Oui,4.5,4.4,5,6,89.1,18.143,Non,,0.273,22.46,17.87,31,26.9224,0.5,4,28.2106,27.6049,,,,,,,,,,,,,,,
13/03/20,ROC3,14,Temoin,0,3.5,,0,5.5,6.5,5.2,6.2,2.8,2.2,2.9,3.5,Oui,Oui,4.4,4,4.2,4.5,23.6,4.286,Non,,0.0860000000000003,8.79,4.2,32,25.1629,0.5,3,25.7628,25.2654,,,,,,,,,,,,,,,
13/03/20,ROC3,14,Temoin,3.5,7 (6.5)7,,1,6.5,7,7,7.1,2.2,2.5,3.2,2.6,Oui,Oui,3.3,3.7,4.1,3.6,45,8.5374,Non,,,13.11,8.52,33,27.3123,0.5,4,28.5762,27.8784,,,,,,,,,,,,,,,
13/03/20,ROC3,14,Temoin,7,11,,0,7.4,7.1,7.5,8,5.5,4.5,4.8,4,Oui,Oui,5,5.4,5.5,5.4,132.9,30.9802,Non,,,35.48,30.89,34,27.3097,0.5,4,28.7807,28.1287,,,,,,,,,,,,,,,
13/03/20,ROC3,14,Temoin,11,13.5,,0,5.9,5.6,5.6,5.7,2.8,2.3,2.9,1.8,Oui,Oui,8.1,7.5,7.3,8,112,41.8449,Non,,,46.43,41.84,35,24.9891,0.5,4,26.6944,26.1707,,,,,,,,,,,,,,,
13/03/20,ROC3,14,Temoin,13.5,15,,0,5.9,6,6,6.2,1.8,1.7,0.5,0.6,Oui,Oui,4,4.1,4,4,45,32.5422,Non,,-0.0478000000000023,37.18,32.59,36,25.8253,0.5,4,27.97,27.7195,,,,,,,,,,,,,,,
13/03/20,ROC8,14,Temoin,0,4,Oui,0,6.5,6.5,6.5,6.2,3.5,3.5,2.9,3.5,Oui,Oui,6.4,6,6.1,6.3,111,28.7575,Non,,-0.0425000000000004,33.39,28.8,37,28.1279,0.5,5,29.8519,29.3325,,,,,,,,,,,,,,,
13/03/20,ROC8,14,Temoin,4,7,,1,5.2,5.5,5.6,6,3.5,3.8,3,3.4,Oui,Oui,6,6.1,6.8,7,66.7,21.3642,Non,,0.0841999999999992,25.87,21.28,38,24.2434,0.5,4,25.9915,25.5311,,,,,,,,,,,,,,,
13/03/20,ROC8,14,Temoin,7,11,,0,5,4.3,5.5,5,5.2,5.4,3.6,3,Oui,Oui,4,4,4,4,101.3,37.9608,Non,,0.0707999999999984,42.48,37.89,39,26.6108,0.5,5,28.684,28.236,,,,,,,,,,,,,,,
13/03/20,ROC8,14,Temoin,11,15,,0,7,6.6,7,7.2,5,4.5,5,4.8,Oui,Oui,8,7.2,6.7,7.5,273.9,115.8,Non,,,115.92,111.33,40,25.492,0.5,5,27.7815,27.3706,,,,,,,,,,,,,,,
43952,ROC8,1,Exclos,0,4.5,Oui,0,4.5,4,5.5,6,4.3,4,3.5,3.2,Oui,Oui,4,4.4,4.5,4.7,56.3,27.2339,Non,,0.393899999999999,31.43,26.84,41,26.9105,0.5,5,29.3902,29.0148,,,,,,,,,,,,,,,
43952,ROC8,1,Exclos,4.5,6.5,,1,6.6,6.4,7,6.6,2.4,2.5,2.5,2.4,Oui,Oui,4.6,4.5,4.2,4,21.8,9.7959,Non,,0.3759,14.01,9.42,42,26.5622,0.5,2,27.4295,27.2364,,,,,,,,,,,,,,,
43952,ROC8,1,Exclos,6.5,11,,0,7,7.5,7.4,7.2,4.7,4.5,5.8,6,Oui,Oui,4.9,4.6,4.7,5.4,67.3,27.34398,Non,,0.883979999999998,31.05,26.46,43,27.5748,0.5,5,29.3311,28.7584,,,,,,,,,,,,,,,
43952,ROC8,1,Exclos,11,19,,0,7.5,7.2,7,7,4,4,4.4,4,Oui,Oui,4.9,4,4,4.1,75.2,34.4682,Non,,0.748200000000004,38.31,33.72,44,26.1423,0.5,5,28.2637,27.8193,,,,,,,,,,,,,,,
43952,ROC6,1,Exclos,0,5,Oui,0,6,6.5,6.5,6.5,5.5,5,5,5,Oui,Oui,5.5,5,6,5.5,52.8,39.2331,Non,,0.693099999999994,43.13,38.54,45,23.9489,0.5,5,25.5992,25.2413,,,,,,,,,,,,,,,
43952,ROC6,1,Exclos,5,7,,1,7.3,7.5,7.9,7.9,2.7,2.4,2.4,2,Oui,Oui,5.5,5.8,6.3,6.1,65.4,45.2782,Non,,0.528199999999998,49.34,44.75,46,25.8218,0.5,5,28.5812,28.2542,,,,,,,,,,,,,,,
43952,ROC6,1,Exclos,7,8.5,,0,7,7.9,7.1,7.9,1.8,1.8,1.5,1.6,Oui,Oui,5.3,5.2,5,5.3,32.7,23.307,Non,,0.326999999999998,27.57,22.98,47,23.7365,0.5,4,25.8621,25.6016,,,,,,,,,,,,,,,
43952,ROC6,1,Exclos,8.5,19,,0,6.7,7.6,6.8,7.6,3,4.1,3.5,4.1,Oui,Oui,6,6,6,5.8,186.3,134.9969,Non,,1.87690000000001,137.71,133.12,48,26.4911,0.5,5,29.3734,29.1008,,,,,,,,,,,,,,,
43952,ROC7,10,Temoin,0,3,,0,4,3.7,3.6,3.5,3,2.5,3,2.6,Oui,Oui,5.4,5.9,6,5.4,25,6.8785,Non,,,,-4.59,49,27.0908,0.5,2,27.6549,27.4016,,,,,,,,,,,,,,,
43952,ROC7,10,Temoin,3,5,Oui,0,5.7,5.5,5.5,6.2,1.6,2,1.7,1.6,Oui,Oui,7,7,7.5,7,24.8,7.8213,Non,,,,-4.59,50,28.2737,0.5,2,29.1118,28.8534,,,,,,,,,,,,,,,
43952,ROC7,10,Temoin,5,10,,1,5,3.8,3.7,5,3.2,4,3,3.4,Oui,Oui,8,9.5,9,8.6,102.3,26.0901,Non,,,,-4.59,51,27.7983,0.5,4,29.119,28.6021,,,,,,,,,,,,,,,
43952,ROC7,10,Temoin,10,12,,0,7,7,7.2,8,2.5,2.9,2.5,3,Oui,Oui,5.5,4.8,5,5,103.3,30.617,Non,,,,-4.59,52,28.1174,0.5,4,29.6616,29.2429,,,,,,,,,,,,,,,
43952,ROC7,10,Temoin,12,19,,0,6.2,6,5.5,5,3,2.9,2.6,2.8,Oui,Oui,4.4,4.3,4.9,5,79.1,28.9742,Non,,,,-4.59,53,23.7352,0.5,4,25.388,24.9194,,,,,,,,,,,,,,,
43952,ROC7,10,Exclos,0,3,,0,1.5,1.6,3,3,2.3,2.3,2.5,2.5,Oui,Oui,5,5,4.5,4.5,8.4,2.5185,Oui,,0.0985,7.01,2.42,54,24.7544,0.5,1,25.1047,24.9778,,10.5,8,,,3,3,3,3,9,4,,,,
43952,ROC7,10,Exclos,3,5,,1,2.7,3,3,3.1,2,1.8,2.2,2.2,Oui,Oui,3.7,3.7,3.5,3.6,11.8,4.1903,Oui,,0.0202999999999998,8.76,4.17,55,23.8316,0.5,2,24.6921,24.4876,,11.6,8.5,,,2,2,,,5,9,,,,
43952,ROC7,10,Exclos,5,8,,1,2.7,3,2.8,2.9,3.2,3,3,3.3,Oui,Oui,5.5,5.4,5.3,5.4,39.2,9.1287,Oui,,0.1587,13.56,8.97,56,24.9962,0.5,4,26.5107,25.9511,,12,9.5,,,3,3,,,9,9,,,,
43952,ROC7,10,Exclos,8,11,,0,3,3,3.5,3.4,3.2,3.7,3.2,3.3,Oui,Oui,6,5.5,5.5,5.8,51.1,11.8496,Oui,,0.339599999999999,16.1,11.51,58,23.9345,0.5,3,26.3679,25.874,,12,10,,,3,3,,,8.5,9.5,,,,
43952,ROC7,10,Exclos,11,13,,0,3,3.2,3.1,3,2,2.2,2,2.6,Oui,Oui,4,4.1,4.2,4.4,25.8,8.3785,Oui,,0.2385,12.73,8.14,57,27.3121,0.5,2,28.1043,27.9,,12,11,,,2,2,,,8.6,9,,,,
43952,ROC7,10,Exclos,13,16,,0,3,3.8,2.8,3.3,2,2.2,3,3,Oui,Oui,5,5.2,5.2,5,48.3,16.9769,Oui,,0.5869,20.98,16.39,59,26.1885,0.5,4,27.8375,27.3664,,12,11.5,,,3,3,,,7.5,9.5,,,,
43955,ROC6,10,Temoin,0,4,Oui,0,6.1,6.2,7.2,6.8,3.2,3.3,4.2,3.8,Oui,Oui,7,7,6.5,7,144.7,60.3478,Non,Pas sur si il faut ajouter 4.4g (le poids de lassiette),,,-4.59,60,26.9989,0.5,5,28.809,28.4528,,,,,,,,,,,,,,,
43955,ROC6,10,Temoin,4,5.5,,1,8.1,7.3,7.9,6.9,2,2,2,2,Oui,Oui,7.8,7.5,7.4,8,109,71.2843,Non,,,,-4.59,61,26.5769,0.5,5,29.2043,28.8063,,,,,,,,,,,,,,,
43955,ROC6,10,Temoin,5.5,9,,0,7,7.1,6.9,6.9,3.5,3.3,2.8,2.8,Oui,Oui,7.1,7.2,7.3,7.8,175.9,42.3795,Non,,,,-4.59,62,29.6501,0.5,5,32.197,31.7945,,,,,,,,,,,,,,,
43955,ROC6,10,Temoin,9,14,,0,6.6,6.2,6.5,6.2,2,2.4,2.6,3.1,Oui,Oui,6.6,6.2,6.2,6.5,143,78.2261,Non,,,,-4.59,63,26.5231,0.5,4,28.6381,28.4445,,,,,,,,,,,,,,,
43955,ROC7,6,Temoin,0,2.5,Oui,0,9,8.8,9.7,9.7,1.8,1.5,1.6,2,Oui,Oui,6.5,6.3,6.9,6.6,69.7,23.4306,Non,,,,-4.59,64,26.2858,0.5,4,28.1894,27.6787,,,,,,,,,,,,,,,
43955,ROC7,6,Temoin,2.5,3.5,,0,7.6,7.5,8,7.5,1.1,0.6,1.5,1.6,Oui,Oui,4.9,5,5.5,5.3,45.9,16.4111,Non,,,,-4.59,65,27.0844,0.5,4,29.0363,28.6126,,,,,,,,,,,,,,,
43955,ROC7,6,Temoin,3.5,5.5,,1,8.8,9.2,9.2,9.7,2,2.1,2,2.5,Oui,Oui,5,5,5,5.1,50.6,14.0035,Non,,,,-4.59,66,27.7732,0.5,4,29.3778,28.8005,,,,,,,,,,,,,,,
