"Titre de tracé : 20156711"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20156711, SEN S/N: 20156711)","Fin de fichier (LGR S/N: 20156711)"
1,07/07/17 10:00:00 PM,4.207,
2,07/07/17 10:00:05 PM,4.207,
3,07/07/17 10:00:10 PM,4.207,
4,07/07/17 10:00:15 PM,4.207,
5,07/07/17 10:00:20 PM,4.207,
6,07/07/17 10:00:25 PM,4.207,
7,07/07/17 10:00:30 PM,4.207,
8,07/07/17 10:00:35 PM,4.207,
9,07/07/17 10:00:40 PM,4.207,
10,07/07/17 10:00:45 PM,4.207,
11,07/07/17 10:00:50 PM,4.207,
12,07/07/17 10:00:55 PM,4.207,
13,07/07/17 10:01:00 PM,4.207,
14,07/07/17 10:01:05 PM,4.207,
15,07/07/17 10:01:10 PM,4.207,
16,07/07/17 10:01:15 PM,4.102,
17,07/07/17 10:01:20 PM,4.207,
18,07/07/17 10:01:25 PM,4.102,
19,07/07/17 10:01:30 PM,4.207,
20,07/07/17 10:01:35 PM,4.207,
21,07/07/17 10:01:40 PM,4.207,
22,07/07/17 10:01:45 PM,4.207,
23,07/07/17 10:01:50 PM,4.207,
24,07/07/17 10:01:55 PM,4.207,
25,07/07/17 10:02:00 PM,4.207,
26,07/07/17 10:02:05 PM,4.207,
27,07/07/17 10:02:10 PM,4.207,
28,07/07/17 10:02:15 PM,4.207,
29,07/07/17 10:02:20 PM,4.207,
30,07/07/17 10:02:25 PM,4.207,
31,07/07/17 10:02:30 PM,4.207,
32,07/07/17 10:02:35 PM,4.102,
33,07/07/17 10:02:40 PM,4.102,
34,07/07/17 10:02:45 PM,4.102,
35,07/07/17 10:02:50 PM,4.102,
36,07/07/17 10:02:55 PM,4.207,
37,07/07/17 10:03:00 PM,4.102,
38,07/07/17 10:03:05 PM,4.207,
39,07/07/17 10:03:10 PM,4.102,
40,07/07/17 10:03:15 PM,4.102,
41,07/07/17 10:03:20 PM,4.102,
42,07/07/17 10:03:25 PM,4.102,
43,07/07/17 10:03:30 PM,4.207,
44,07/07/17 10:03:35 PM,4.207,
45,07/07/17 10:03:40 PM,4.102,
