"Titre de tracé : 20156716"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20156716, SEN S/N: 20156716)","Coupleur attaché (LGR S/N: 20156716)","Hôte connecté (LGR S/N: 20156716)","Arrêté (LGR S/N: 20156716)","Fin de fichier (LGR S/N: 20156716)"
1,06/30/17 10:00:00 PM,3.893,,,,
2,06/30/17 11:00:00 PM,3.683,,,,
3,07/01/17 12:00:00 AM,3.472,,,,
4,07/01/17 01:00:00 AM,3.155,,,,
5,07/01/17 02:00:00 AM,3.049,,,,
6,07/01/17 03:00:00 AM,2.837,,,,
7,07/01/17 04:00:00 AM,2.624,,,,
8,07/01/17 05:00:00 AM,2.517,,,,
9,07/01/17 06:00:00 AM,2.410,,,,
10,07/01/17 07:00:00 AM,2.410,,,,
11,07/01/17 08:00:00 AM,2.517,,,,
12,07/01/17 09:00:00 AM,2.624,,,,
13,07/01/17 10:00:00 AM,2.624,,,,
14,07/01/17 11:00:00 AM,2.730,,,,
15,07/01/17 12:00:00 PM,2.837,,,,
16,07/01/17 01:00:00 PM,2.943,,,,
17,07/01/17 02:00:00 PM,3.049,,,,
18,07/01/17 03:00:00 PM,3.261,,,,
19,07/01/17 04:00:00 PM,3.367,,,,
20,07/01/17 05:00:00 PM,3.578,,,,
21,07/01/17 06:00:00 PM,3.578,,,,
22,07/01/17 07:00:00 PM,3.472,,,,
23,07/01/17 08:00:00 PM,3.367,,,,
24,07/01/17 09:00:00 PM,3.261,,,,
25,07/01/17 10:00:00 PM,3.155,,,,
26,07/01/17 11:00:00 PM,2.943,,,,
27,07/02/17 12:00:00 AM,2.730,,,,
28,07/02/17 01:00:00 AM,2.517,,,,
29,07/02/17 02:00:00 AM,2.303,,,,
30,07/02/17 03:00:00 AM,2.088,,,,
31,07/02/17 04:00:00 AM,1.980,,,,
32,07/02/17 05:00:00 AM,1.872,,,,
33,07/02/17 06:00:00 AM,1.872,,,,
34,07/02/17 07:00:00 AM,2.088,,,,
35,07/02/17 08:00:00 AM,2.303,,,,
36,07/02/17 09:00:00 AM,2.517,,,,
37,07/02/17 10:00:00 AM,2.730,,,,
38,07/02/17 11:00:00 AM,2.943,,,,
39,07/02/17 12:00:00 PM,3.155,,,,
40,07/02/17 01:00:00 PM,3.261,,,,
41,07/02/17 02:00:00 PM,3.472,,,,
42,07/02/17 03:00:00 PM,3.683,,,,
43,07/02/17 04:00:00 PM,3.788,,,,
44,07/02/17 05:00:00 PM,3.683,,,,
45,07/02/17 06:00:00 PM,3.472,,,,
46,07/02/17 07:00:00 PM,3.367,,,,
47,07/02/17 08:00:00 PM,3.367,,,,
48,07/02/17 09:00:00 PM,3.472,,,,
49,07/02/17 10:00:00 PM,3.367,,,,
50,07/02/17 11:00:00 PM,3.261,,,,
51,07/03/17 12:00:00 AM,3.049,,,,
52,07/03/17 01:00:00 AM,2.837,,,,
53,07/03/17 02:00:00 AM,2.517,,,,
54,07/03/17 03:00:00 AM,2.303,,,,
55,07/03/17 04:00:00 AM,2.195,,,,
56,07/03/17 05:00:00 AM,2.088,,,,
57,07/03/17 06:00:00 AM,2.088,,,,
