"Titre de tracé : 20156704"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20156704, SEN S/N: 20156704)","Pile défectueuse (LGR S/N: 20156704)","Pile OK (LGR S/N: 20156704)","Coupleur attaché (LGR S/N: 20156704)","Hôte connecté (LGR S/N: 20156704)","Arrêté (LGR S/N: 20156704)","Fin de fichier (LGR S/N: 20156704)"
1,07/06/17 10:00:00 PM,9.176,,,,,,
2,07/06/17 11:00:00 PM,8.581,,,,,,
3,07/07/17 12:00:00 AM,7.882,,,,,,
4,07/07/17 01:00:00 AM,7.280,,,,,,
5,07/07/17 02:00:00 AM,6.573,,,,,,
6,07/07/17 03:00:00 AM,6.064,,,,,,
7,07/07/17 04:00:00 AM,5.655,,,,,,
8,07/07/17 05:00:00 AM,5.347,,,,,,
9,07/07/17 06:00:00 AM,5.244,,,,,,
10,07/07/17 07:00:00 AM,5.347,,,,,,
11,07/07/17 08:00:00 AM,5.655,,,,,,
12,07/07/17 09:00:00 AM,6.268,,,,,,
13,07/07/17 10:00:00 AM,7.079,,,,,,
14,07/07/17 11:00:00 AM,7.983,,,,,,
15,07/07/17 12:00:00 PM,8.879,,,,,,
16,07/07/17 01:00:00 PM,9.768,,,,,,
17,07/07/17 02:00:00 PM,10.553,,,,,,
18,07/07/17 03:00:00 PM,11.139,,,,,,
19,07/07/17 04:00:00 PM,11.431,,,,,,
20,07/07/17 05:00:00 PM,11.625,,,,,,
21,07/07/17 06:00:00 PM,11.528,,,,,,
22,07/07/17 07:00:00 PM,11.236,,,,,,
23,07/07/17 08:00:00 PM,10.553,,,,,,
24,07/07/17 09:00:00 PM,9.965,,,,,,
25,07/07/17 10:00:00 PM,9.275,,,,,,
26,07/07/17 11:00:00 PM,8.581,,,,,,
27,07/08/17 12:00:00 AM,7.882,,,,,,
28,07/08/17 01:00:00 AM,7.280,,,,,,
29,07/08/17 02:00:00 AM,6.674,,,,,,
30,07/08/17 03:00:00 AM,6.064,,,,,,
31,07/08/17 04:00:00 AM,5.655,,,,,,
32,07/08/17 05:00:00 AM,5.347,,,,,,
33,07/08/17 06:00:00 AM,5.347,,,,,,
34,07/08/17 07:00:00 AM,5.450,,,,,,
35,07/08/17 08:00:00 AM,5.860,,,,,,
36,07/08/17 09:00:00 AM,6.573,,,,,,
37,07/08/17 10:00:00 AM,7.381,,,,,,
38,07/08/17 11:00:00 AM,8.382,,,,,,
39,07/08/17 12:00:00 PM,9.373,,,,,,
40,07/08/17 01:00:00 PM,10.259,,,,,,
41,07/08/17 02:00:00 PM,10.944,,,,,,
42,07/08/17 03:00:00 PM,11.528,,,,,,
43,07/08/17 04:00:00 PM,11.819,,,,,,
44,07/08/17 05:00:00 PM,12.013,,,,,,
45,07/08/17 06:00:00 PM,12.013,,,,,,
46,07/08/17 07:00:00 PM,11.722,,,,,,
47,07/08/17 08:00:00 PM,11.236,,,,,,
48,07/08/17 09:00:00 PM,10.748,,,,,,
49,07/08/17 10:00:00 PM,10.161,,,,,,
50,07/08/17 11:00:00 PM,9.472,,,,,,
51,07/09/17 12:00:00 AM,8.779,,,,,,
52,07/09/17 01:00:00 AM,8.082,,,,,,
53,07/09/17 02:00:00 AM,7.481,,,,,,
54,07/09/17 03:00:00 AM,6.978,,,,,,
55,07/09/17 04:00:00 AM,6.573,,,,,,
56,07/09/17 05:00:00 AM,6.370,,,,,,
57,07/09/17 06:00:00 AM,6.370,,,,,,
58,07/09/17 07:00:00 AM,6.471,,,,,,
59,07/09/17 08:00:00 AM,6.877,,,,,,
60,07/09/17 09:00:00 AM,7.481,,,,,,
61,07/09/17 10:00:00 AM,8.282,,,,,,
62,07/09/17 11:00:00 AM,9.176,,,,,,
63,07/09/17 12:00:00 PM,10.161,,,,,,
64,07/09/17 01:00:00 PM,11.041,,,,,,
65,07/09/17 02:00:00 PM,11.722,,,,,,
66,07/09/17 03:00:00 PM,12.304,,,,,,
67,07/09/17 04:00:00 PM,12.690,,,,,,
68,07/09/17 05:00:00 PM,12.980,,,,,,
69,07/09/17 06:00:00 PM,12.980,,,,,,
70,07/09/17 07:00:00 PM,12.690,,,,,,
71,07/09/17 08:00:00 PM,12.304,,,,,,
72,07/09/17 09:00:00 PM,11.819,,,,,,
73,07/09/17 10:00:00 PM,11.334,,,,,,
74,07/09/17 11:00:00 PM,10.748,,,,,,
75,07/10/17 12:00:00 AM,10.259,,,,,,
76,07/10/17 01:00:00 AM,9.669,,,,,,
77,07/10/17 02:00:00 AM,9.176,,,,,,
78,07/10/17 03:00:00 AM,8.680,,,,,,
79,07/10/17 04:00:00 AM,8.382,,,,,,
80,07/10/17 05:00:00 AM,8.082,,,,,,
81,07/10/17 06:00:00 AM,7.882,,,,,,
82,07/10/17 07:00:00 AM,7.582,,,,,,
83,07/10/17 08:00:00 AM,7.481,,,,,,
