"Titre de tracé : 20177044"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177044, SEN S/N: 20177044)","Pile défectueuse (LGR S/N: 20177044)","Pile OK (LGR S/N: 20177044)","Coupleur attaché (LGR S/N: 20177044)","Hôte connecté (LGR S/N: 20177044)","Fin de fichier (LGR S/N: 20177044)"
1,07/13/17 10:00:00 PM,2.624,,,,,
2,07/13/17 11:00:00 PM,2.410,,,,,
3,07/14/17 12:00:00 AM,2.088,,,,,
4,07/14/17 01:00:00 AM,1.764,,,,,
5,07/14/17 02:00:00 AM,1.330,,,,,
6,07/14/17 03:00:00 AM,1.112,,,,,
7,07/14/17 04:00:00 AM,0.893,,,,,
8,07/14/17 05:00:00 AM,0.784,,,,,
9,07/14/17 06:00:00 AM,0.784,,,,,
10,07/14/17 07:00:00 AM,0.893,,,,,
11,07/14/17 08:00:00 AM,1.003,,,,,
12,07/14/17 09:00:00 AM,1.221,,,,,
13,07/14/17 10:00:00 AM,1.656,,,,,
14,07/14/17 11:00:00 AM,2.195,,,,,
15,07/14/17 12:00:00 PM,2.837,,,,,
16,07/14/17 01:00:00 PM,3.367,,,,,
17,07/14/17 02:00:00 PM,3.788,,,,,
18,07/14/17 03:00:00 PM,4.102,,,,,
19,07/14/17 04:00:00 PM,4.207,,,,,
20,07/14/17 05:00:00 PM,4.207,,,,,
21,07/14/17 06:00:00 PM,4.102,,,,,
22,07/14/17 07:00:00 PM,3.998,,,,,
23,07/14/17 08:00:00 PM,3.893,,,,,
24,07/14/17 09:00:00 PM,3.788,,,,,
25,07/14/17 10:00:00 PM,3.472,,,,,
26,07/14/17 11:00:00 PM,3.049,,,,,
27,07/15/17 12:00:00 AM,2.517,,,,,
28,07/15/17 01:00:00 AM,2.088,,,,,
29,07/15/17 02:00:00 AM,1.656,,,,,
30,07/15/17 03:00:00 AM,1.330,,,,,
31,07/15/17 04:00:00 AM,1.003,,,,,
32,07/15/17 05:00:00 AM,0.784,,,,,
33,07/15/17 06:00:00 AM,0.674,,,,,
34,07/15/17 07:00:00 AM,0.563,,,,,
35,07/15/17 08:00:00 AM,0.674,,,,,
36,07/15/17 09:00:00 AM,0.893,,,,,
37,07/15/17 10:00:00 AM,1.221,,,,,
38,07/15/17 11:00:00 AM,1.764,,,,,
39,07/15/17 12:00:00 PM,2.303,,,,,
40,07/15/17 01:00:00 PM,2.624,,,,,
41,07/15/17 02:00:00 PM,2.837,,,,,
42,07/15/17 03:00:00 PM,2.837,,,,,
43,07/15/17 04:00:00 PM,2.943,,,,,
44,07/15/17 05:00:00 PM,2.943,,,,,
45,07/15/17 06:00:00 PM,3.049,,,,,
46,07/15/17 07:00:00 PM,3.155,,,,,
47,07/15/17 08:00:00 PM,3.155,,,,,
48,07/15/17 09:00:00 PM,3.049,,,,,
49,07/15/17 10:00:00 PM,2.943,,,,,
50,07/15/17 11:00:00 PM,2.730,,,,,
51,07/16/17 12:00:00 AM,2.517,,,,,
52,07/16/17 01:00:00 AM,2.195,,,,,
53,07/16/17 02:00:00 AM,1.980,,,,,
54,07/16/17 03:00:00 AM,1.764,,,,,
55,07/16/17 04:00:00 AM,1.548,,,,,
56,07/16/17 05:00:00 AM,1.439,,,,,
57,07/16/17 06:00:00 AM,1.330,,,,,
58,07/16/17 07:00:00 AM,1.221,,,,,
59,07/16/17 08:00:00 AM,1.330,,,,,
60,07/16/17 09:00:00 AM,1.439,,,,,
61,07/16/17 10:00:00 AM,1.656,,,,,
62,07/16/17 11:00:00 AM,1.980,,,,,
63,07/16/17 12:00:00 PM,2.410,,,,,
64,07/16/17 01:00:00 PM,2.730,,,,,
65,07/16/17 02:00:00 PM,3.049,,,,,
66,07/16/17 03:00:00 PM,3.578,,,,,
67,07/16/17 04:00:00 PM,4.102,,,,,
68,07/16/17 05:00:00 PM,4.519,,,,,
69,07/16/17 06:00:00 PM,4.623,,,,,
70,07/16/17 07:00:00 PM,4.519,,,,,
71,07/16/17 08:00:00 PM,4.415,,,,,
72,07/16/17 09:00:00 PM,4.102,,,,,
73,07/16/17 10:00:00 PM,3.788,,,,,
74,07/16/17 11:00:00 PM,3.472,,,,,
75,07/17/17 12:00:00 AM,3.049,,,,,
76,07/17/17 01:00:00 AM,2.624,,,,,
77,07/17/17 02:00:00 AM,2.195,,,,,
78,07/17/17 03:00:00 AM,1.872,,,,,
79,07/17/17 04:00:00 AM,1.656,,,,,
80,07/17/17 05:00:00 AM,1.548,,,,,
81,07/17/17 06:00:00 AM,1.548,,,,,
82,07/17/17 07:00:00 AM,1.548,,,,,
83,07/17/17 08:00:00 AM,1.764,,,,,
84,07/17/17 09:00:00 AM,1.980,,,,,
85,07/17/17 10:00:00 AM,2.410,,,,,
86,07/17/17 11:00:00 AM,2.730,,,,,
87,07/17/17 12:00:00 PM,3.155,,,,,
88,07/17/17 01:00:00 PM,3.683,,,,,
89,07/17/17 02:00:00 PM,3.998,,,,,
90,07/17/17 03:00:00 PM,4.102,,,,,
91,07/17/17 04:00:00 PM,4.311,,,,,
92,07/17/17 05:00:00 PM,4.519,,,,,
93,07/17/17 06:00:00 PM,4.519,,,,,
94,07/17/17 07:00:00 PM,4.311,,,,,
95,07/17/17 08:00:00 PM,3.998,,,,,
96,07/17/17 09:00:00 PM,3.683,,,,,
