"Titre de tracé : 20156709"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20156709, SEN S/N: 20156709)","Pile défectueuse (LGR S/N: 20156709)","Fin de fichier (LGR S/N: 20156709)"
1,07/16/18 10:00:00 AM,8.481,,
2,07/16/18 11:00:00 AM,9.866,,
3,07/16/18 12:00:00 PM,23.581,,
4,07/16/18 01:00:00 PM,26.195,,
5,07/16/18 02:00:00 PM,14.134,,
6,07/16/18 03:00:00 PM,7.582,,
7,07/16/18 04:00:00 PM,7.782,,
8,07/16/18 05:00:00 PM,7.682,,
9,07/16/18 06:00:00 PM,7.481,,
10,07/16/18 07:00:00 PM,7.381,,
11,07/16/18 08:00:00 PM,7.280,,
12,07/16/18 09:00:00 PM,7.179,,
13,07/16/18 10:00:00 PM,7.179,,
14,07/16/18 11:00:00 PM,6.978,,
15,07/17/18 12:00:00 AM,6.674,,
16,07/17/18 01:00:00 AM,6.370,,
17,07/17/18 02:00:00 AM,5.962,,
18,07/17/18 03:00:00 AM,5.552,,
19,07/17/18 04:00:00 AM,5.141,,
20,07/17/18 05:00:00 AM,4.934,,
21,07/17/18 06:00:00 AM,4.727,,
22,07/17/18 07:00:00 AM,4.831,,
23,07/17/18 08:00:00 AM,4.934,,
24,07/17/18 09:00:00 AM,5.244,,
25,07/17/18 10:00:00 AM,5.860,,
26,07/17/18 11:00:00 AM,6.877,,
27,07/17/18 12:00:00 PM,7.682,,
28,07/17/18 01:00:00 PM,8.282,,
29,07/17/18 02:00:00 PM,8.978,,
30,07/17/18 03:00:00 PM,9.669,,
31,07/17/18 04:00:00 PM,10.357,,
32,07/17/18 05:00:00 PM,10.846,,
33,07/17/18 06:00:00 PM,11.041,,
34,07/17/18 07:00:00 PM,11.139,,
35,07/17/18 08:00:00 PM,11.139,,
36,07/17/18 09:00:00 PM,10.944,,
37,07/17/18 10:00:00 PM,10.651,,
38,07/17/18 11:00:00 PM,10.259,,
39,07/18/18 12:00:00 AM,9.768,,
40,07/18/18 01:00:00 AM,9.275,,
41,07/18/18 02:00:00 AM,8.779,,
42,07/18/18 03:00:00 AM,8.182,,
43,07/18/18 04:00:00 AM,7.782,,
44,07/18/18 05:00:00 AM,7.582,,
45,07/18/18 06:00:00 AM,7.280,,
46,07/18/18 07:00:00 AM,7.280,,
47,07/18/18 08:00:00 AM,7.280,,
48,07/18/18 09:00:00 AM,7.582,,
49,07/18/18 10:00:00 AM,8.082,,
50,07/18/18 11:00:00 AM,8.481,,
51,07/18/18 12:00:00 PM,8.879,,
52,07/18/18 01:00:00 PM,9.768,,
53,07/18/18 02:00:00 PM,10.357,,
54,07/18/18 03:00:00 PM,10.846,,
55,07/18/18 04:00:00 PM,11.139,,
56,07/18/18 05:00:00 PM,11.334,,
57,07/18/18 06:00:00 PM,11.722,,
58,07/18/18 07:00:00 PM,11.916,,
59,07/18/18 08:00:00 PM,11.722,,
60,07/18/18 09:00:00 PM,11.431,,
61,07/18/18 10:00:00 PM,11.041,,
62,07/18/18 11:00:00 PM,10.651,,
