"Titre de tracé : 2368284"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 2368284, SEN S/N: 2368284)","Pile défectueuse (LGR S/N: 2368284)","Coupleur attaché (LGR S/N: 2368284)","Hôte connecté (LGR S/N: 2368284)","Arrêté (LGR S/N: 2368284)","Fin de fichier (LGR S/N: 2368284)"
1,07/11/18 06:00:00 AM,9.275,,,,,
2,07/11/18 10:00:00 AM,10.063,,,,,
3,07/11/18 02:00:00 PM,15.187,,,,,
4,07/11/18 06:00:00 PM,12.594,,,,,
5,07/11/18 10:00:00 PM,9.669,,,,,
6,07/12/18 02:00:00 AM,7.280,,,,,
7,07/12/18 06:00:00 AM,6.370,,,,,
8,07/12/18 10:00:00 AM,8.182,,,,,
9,07/12/18 02:00:00 PM,8.978,,,,,
10,07/12/18 06:00:00 PM,10.651,,,,,
11,07/12/18 10:00:00 PM,6.978,,,,,
12,07/13/18 02:00:00 AM,4.727,,,,,
13,07/13/18 06:00:00 AM,3.472,,,,,
14,07/13/18 10:00:00 AM,3.472,,,,,
15,07/13/18 02:00:00 PM,8.879,,,,,
16,07/13/18 06:00:00 PM,19.853,,,,,
17,07/13/18 10:00:00 PM,7.782,,,,,
18,07/14/18 02:00:00 AM,6.268,,,,,
19,07/14/18 06:00:00 AM,5.037,,,,,
20,07/14/18 10:00:00 AM,5.962,,,,,
21,07/14/18 02:00:00 PM,8.978,,,,,
22,07/14/18 06:00:00 PM,9.373,,,,,
23,07/14/18 10:00:00 PM,8.680,,,,,
24,07/15/18 02:00:00 AM,7.481,,,,,
25,07/15/18 06:00:00 AM,6.370,,,,,
26,07/15/18 10:00:00 AM,6.268,,,,,
27,07/15/18 02:00:00 PM,7.079,,,,,
28,07/15/18 06:00:00 PM,8.680,,,,,
29,07/15/18 10:00:00 PM,7.983,,,,,
30,07/16/18 02:00:00 AM,6.268,,,,,
31,07/16/18 06:00:00 AM,5.141,,,,,
32,07/16/18 10:00:00 AM,5.450,,,,,
33,07/16/18 02:00:00 PM,7.882,,,,,
34,07/16/18 06:00:00 PM,9.373,,,,,
35,07/16/18 10:00:00 PM,8.581,,,,,
36,07/17/18 02:00:00 AM,7.481,,,,,
37,07/17/18 06:00:00 AM,6.166,,,,,
38,07/17/18 10:00:00 AM,7.280,,,,,
39,07/17/18 02:00:00 PM,10.357,,,,,
40,07/17/18 06:00:00 PM,12.690,,,,,
41,07/17/18 10:00:00 PM,12.304,,,,,
42,07/18/18 02:00:00 AM,10.651,,,,,
43,07/18/18 06:00:00 AM,8.879,,,,,
44,07/18/18 10:00:00 AM,9.373,,,,,
45,07/18/18 02:00:00 PM,11.528,,,,,
46,07/18/18 06:00:00 PM,13.076,,,,,
47,07/18/18 10:00:00 PM,12.690,,,,,
48,07/19/18 02:00:00 AM,10.846,,,,,
49,07/19/18 06:00:00 AM,9.275,,,,,
50,07/19/18 10:00:00 AM,9.275,,,,,
51,07/19/18 02:00:00 PM,9.768,,,,,
52,07/19/18 06:00:00 PM,8.779,,,,,
53,07/19/18 10:00:00 PM,7.782,,,,,
54,07/20/18 02:00:00 AM,6.573,,,,,
55,07/20/18 06:00:00 AM,5.860,,,,,
56,07/20/18 10:00:00 AM,6.573,,,,,
57,07/20/18 02:00:00 PM,9.373,,,,,
58,07/20/18 06:00:00 PM,9.866,,,,,
59,07/20/18 10:00:00 PM,9.768,,,,,
60,07/21/18 02:00:00 AM,8.481,,,,,
61,07/21/18 06:00:00 AM,7.179,,,,,
62,07/21/18 10:00:00 AM,6.370,,,,,
63,07/21/18 02:00:00 PM,8.680,,,,,
64,07/21/18 06:00:00 PM,9.275,,,,,
65,07/21/18 10:00:00 PM,8.182,,,,,
66,07/22/18 02:00:00 AM,6.775,,,,,
67,07/22/18 06:00:00 AM,5.757,,,,,
68,07/22/18 10:00:00 AM,5.450,,,,,
69,07/22/18 02:00:00 PM,6.064,,,,,
70,07/22/18 06:00:00 PM,6.471,,,,,
71,07/22/18 10:00:00 PM,6.268,,,,,
72,07/23/18 02:00:00 AM,5.244,,,,,
73,07/23/18 06:00:00 AM,3.998,,,,,
74,07/23/18 10:00:00 AM,3.893,,,,,
75,07/23/18 02:00:00 PM,5.962,,,,,
76,07/23/18 06:00:00 PM,7.481,,,,,
77,07/23/18 10:00:00 PM,6.674,,,,,
78,07/24/18 02:00:00 AM,5.141,,,,,
79,07/24/18 06:00:00 AM,4.207,,,,,
80,07/24/18 10:00:00 AM,4.102,,,,,
81,07/24/18 02:00:00 PM,5.037,,,,,
82,07/24/18 06:00:00 PM,5.450,,,,,
83,07/24/18 10:00:00 PM,5.244,,,,,
84,07/25/18 02:00:00 AM,4.311,,,,,
85,07/25/18 06:00:00 AM,3.472,,,,,
86,07/25/18 10:00:00 AM,2.624,,,,,
87,07/25/18 02:00:00 PM,3.155,,,,,
88,07/25/18 06:00:00 PM,4.727,,,,,
89,07/25/18 10:00:00 PM,4.311,,,,,
90,07/26/18 02:00:00 AM,3.367,,,,,
91,07/26/18 06:00:00 AM,2.624,,,,,
92,07/26/18 10:00:00 AM,3.049,,,,,
93,07/26/18 02:00:00 PM,6.064,,,,,
94,07/26/18 06:00:00 PM,7.179,,,,,
95,07/26/18 10:00:00 PM,6.370,,,,,
96,07/27/18 02:00:00 AM,5.244,,,,,
97,07/27/18 06:00:00 AM,4.207,,,,,
98,07/27/18 10:00:00 AM,5.141,,,,,
99,07/27/18 02:00:00 PM,6.877,,,,,
100,07/27/18 06:00:00 PM,7.582,,,,,
101,07/27/18 10:00:00 PM,6.674,,,,,
102,07/28/18 02:00:00 AM,5.757,,,,,
103,07/28/18 06:00:00 AM,5.141,,,,,
104,07/28/18 10:00:00 AM,4.831,,,,,
105,07/28/18 02:00:00 PM,5.037,,,,,
106,07/28/18 06:00:00 PM,5.552,,,,,
107,07/28/18 10:00:00 PM,5.244,,,,,
108,07/29/18 02:00:00 AM,4.415,,,,,
109,07/29/18 06:00:00 AM,3.578,,,,,
110,07/29/18 10:00:00 AM,3.893,,,,,
111,07/29/18 02:00:00 PM,4.623,,,,,
112,07/29/18 06:00:00 PM,5.450,,,,,
113,07/29/18 10:00:00 PM,6.166,,,,,
114,07/30/18 02:00:00 AM,5.450,,,,,
115,07/30/18 06:00:00 AM,4.519,,,,,
116,07/30/18 10:00:00 AM,4.415,,,,,
117,07/30/18 02:00:00 PM,5.655,,,,,
118,07/30/18 06:00:00 PM,6.674,,,,,
119,07/30/18 10:00:00 PM,6.471,,,,,
120,07/31/18 02:00:00 AM,5.037,,,,,
121,07/31/18 06:00:00 AM,4.102,,,,,
122,07/31/18 10:00:00 AM,4.415,,,,,
123,07/31/18 02:00:00 PM,5.655,,,,,
124,07/31/18 06:00:00 PM,7.280,,,,,
125,07/31/18 10:00:00 PM,6.775,,,,,
126,08/01/18 02:00:00 AM,4.727,,,,,
