"Titre de tracé : 20177046"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177046, SEN S/N: 20177046)","Pile défectueuse (LGR S/N: 20177046)","Fin de fichier (LGR S/N: 20177046)"
1,07/16/18 10:00:00 AM,8.978,,
2,07/16/18 11:00:00 AM,10.357,,
3,07/16/18 12:00:00 PM,20.138,,
4,07/16/18 01:00:00 PM,24.738,,
5,07/16/18 02:00:00 PM,13.750,,
6,07/16/18 03:00:00 PM,4.207,,
7,07/16/18 04:00:00 PM,4.311,,
8,07/16/18 05:00:00 PM,3.893,,
9,07/16/18 06:00:00 PM,3.788,,
10,07/16/18 07:00:00 PM,3.578,,
11,07/16/18 08:00:00 PM,3.472,,
12,07/16/18 09:00:00 PM,3.367,,
13,07/16/18 10:00:00 PM,3.261,,
14,07/16/18 11:00:00 PM,3.049,,
15,07/17/18 12:00:00 AM,2.837,,
16,07/17/18 01:00:00 AM,2.517,,
17,07/17/18 02:00:00 AM,2.303,,
18,07/17/18 03:00:00 AM,1.980,,
19,07/17/18 04:00:00 AM,1.764,,
20,07/17/18 05:00:00 AM,1.548,,
21,07/17/18 06:00:00 AM,1.439,,
22,07/17/18 07:00:00 AM,1.439,,
23,07/17/18 08:00:00 AM,1.548,,
24,07/17/18 09:00:00 AM,1.656,,
25,07/17/18 10:00:00 AM,1.980,,
26,07/17/18 11:00:00 AM,2.410,,
27,07/17/18 12:00:00 PM,3.049,,
28,07/17/18 01:00:00 PM,3.472,,
29,07/17/18 02:00:00 PM,3.893,,
30,07/17/18 03:00:00 PM,4.415,,
31,07/17/18 04:00:00 PM,4.934,,
32,07/17/18 05:00:00 PM,5.347,,
33,07/17/18 06:00:00 PM,5.552,,
34,07/17/18 07:00:00 PM,5.655,,
35,07/17/18 08:00:00 PM,5.552,,
36,07/17/18 09:00:00 PM,5.450,,
37,07/17/18 10:00:00 PM,5.244,,
38,07/17/18 11:00:00 PM,4.934,,
39,07/18/18 12:00:00 AM,4.623,,
40,07/18/18 01:00:00 AM,4.207,,
41,07/18/18 02:00:00 AM,3.788,,
42,07/18/18 03:00:00 AM,3.472,,
43,07/18/18 04:00:00 AM,3.155,,
44,07/18/18 05:00:00 AM,2.943,,
45,07/18/18 06:00:00 AM,2.730,,
46,07/18/18 07:00:00 AM,2.730,,
47,07/18/18 08:00:00 AM,2.837,,
48,07/18/18 09:00:00 AM,2.943,,
