"Titre de tracé : 20141227"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20141227, SEN S/N: 20141227)","Coupleur détaché (LGR S/N: 20141227)","Pile défectueuse (LGR S/N: 20141227)","Coupleur attaché (LGR S/N: 20141227)","Hôte connecté (LGR S/N: 20141227)","Arrêté (LGR S/N: 20141227)","Fin de fichier (LGR S/N: 20141227)"
1,07/13/18 11:04:36 PM,22.621,,,,,,
2,07/13/18 11:04:43 PM,,Enregistré,,,,,
3,07/14/18 12:04:36 AM,11.431,,,,,,
4,07/14/18 01:04:36 AM,8.879,,,,,,
5,07/14/18 02:04:36 AM,7.280,,,,,,
6,07/14/18 03:04:36 AM,6.166,,,,,,
7,07/14/18 04:04:36 AM,5.347,,,,,,
8,07/14/18 05:04:36 AM,4.934,,,,,,
9,07/14/18 06:04:36 AM,4.831,,,,,,
10,07/14/18 07:04:36 AM,4.623,,,,,,
11,07/14/18 08:04:36 AM,4.519,,,,,,
12,07/14/18 09:04:36 AM,5.141,,,,,,
13,07/14/18 10:04:36 AM,6.674,,,,,,
14,07/14/18 11:04:36 AM,11.528,,,,,,
15,07/14/18 12:04:36 PM,10.944,,,,,,
16,07/14/18 01:04:36 PM,12.594,,,,,,
17,07/14/18 02:04:36 PM,14.134,,,,,,
18,07/14/18 03:04:36 PM,12.304,,,,,,
19,07/14/18 04:04:36 PM,10.455,,,,,,
20,07/14/18 05:04:36 PM,9.176,,,,,,
21,07/14/18 06:04:36 PM,8.879,,,,,,
22,07/14/18 07:04:36 PM,9.176,,,,,,
23,07/14/18 08:04:36 PM,9.373,,,,,,
24,07/14/18 09:04:36 PM,9.176,,,,,,
25,07/14/18 10:04:36 PM,11.528,,,,,,
26,07/14/18 11:04:36 PM,9.373,,,,,,
27,07/15/18 12:04:36 AM,8.182,,,,,,
28,07/15/18 01:04:36 AM,7.079,,,,,,
29,07/15/18 02:04:36 AM,6.166,,,,,,
30,07/15/18 03:04:36 AM,5.347,,,,,,
31,07/15/18 04:04:36 AM,4.934,,,,,,
32,07/15/18 05:04:36 AM,5.244,,,,,,
33,07/15/18 06:04:36 AM,5.552,,,,,,
34,07/15/18 07:04:36 AM,6.064,,,,,,
35,07/15/18 08:04:36 AM,6.268,,,,,,
36,07/15/18 09:04:36 AM,4.727,,,,,,
37,07/15/18 10:04:36 AM,5.450,,,,,,
38,07/15/18 11:04:36 AM,8.680,,,,,,
39,07/15/18 12:04:36 PM,11.722,,,,,,
40,07/15/18 01:04:36 PM,11.528,,,,,,
41,07/15/18 02:04:36 PM,9.866,,,,,,
42,07/15/18 03:04:36 PM,9.571,,,,,,
43,07/15/18 04:04:36 PM,10.063,,,,,,
44,07/15/18 05:04:36 PM,10.161,,,,,,
45,07/15/18 06:04:36 PM,10.063,,,,,,
46,07/15/18 07:04:36 PM,10.846,,,,,,
47,07/15/18 08:04:36 PM,16.332,,,,,,
48,07/15/18 09:04:36 PM,21.282,,,,,,
49,07/15/18 10:04:36 PM,16.713,,,,,,
50,07/15/18 11:04:36 PM,11.528,,,,,,
51,07/16/18 12:04:36 AM,9.176,,,,,,
52,07/16/18 01:04:36 AM,7.582,,,,,,
53,07/16/18 02:04:36 AM,6.471,,,,,,
54,07/16/18 03:04:36 AM,6.978,,,,,,
55,07/16/18 04:04:36 AM,8.082,,,,,,
56,07/16/18 05:04:36 AM,8.282,,,,,,
57,07/16/18 06:04:36 AM,7.882,,,,,,
58,07/16/18 07:04:36 AM,6.978,,,,,,
59,07/16/18 08:04:36 AM,6.775,,,,,,
60,07/16/18 09:04:36 AM,7.582,,,,,,
61,07/16/18 10:04:36 AM,8.481,,,,,,
62,07/16/18 11:04:36 AM,9.965,,,,,,
63,07/16/18 12:04:36 PM,25.125,,,,,,
64,07/16/18 01:04:36 PM,20.424,,,,,,
65,07/16/18 02:04:36 PM,17.284,,,,,,
66,07/16/18 03:04:36 PM,6.370,,,,,,
67,07/16/18 04:04:36 PM,6.877,,,,,,
68,07/16/18 05:04:36 PM,6.573,,,,,,
69,07/16/18 06:04:36 PM,6.674,,,,,,
70,07/16/18 07:04:36 PM,6.573,,,,,,
71,07/16/18 08:04:36 PM,6.471,,,,,,
72,07/16/18 09:04:36 PM,6.471,,,,,,
73,07/16/18 10:04:36 PM,6.370,,,,,,
74,07/16/18 11:04:36 PM,6.166,,,,,,
75,07/17/18 12:04:36 AM,5.860,,,,,,
76,07/17/18 01:04:36 AM,5.450,,,,,,
77,07/17/18 02:04:36 AM,5.037,,,,,,
78,07/17/18 03:04:36 AM,4.623,,,,,,
79,07/17/18 04:04:36 AM,4.311,,,,,,
80,07/17/18 05:04:36 AM,3.998,,,,,,
81,07/17/18 06:04:36 AM,3.788,,,,,,
82,07/17/18 07:04:36 AM,3.893,,,,,,
83,07/17/18 08:04:36 AM,3.998,,,,,,
