"Titre de tracé : 20151591"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20151591, SEN S/N: 20151591)","Pile défectueuse (LGR S/N: 20151591)","Hôte connecté (LGR S/N: 20151591)","Coupleur attaché (LGR S/N: 20151591)","Arrêté (LGR S/N: 20151591)","Fin de fichier (LGR S/N: 20151591)"
1,07/16/18 10:00:00 AM,8.779,,,,,
2,07/16/18 11:00:00 AM,9.866,,,,,
3,07/16/18 12:00:00 PM,18.236,,,,,
4,07/16/18 01:00:00 PM,28.357,,,,,
5,07/16/18 02:00:00 PM,12.497,,,,,
6,07/16/18 03:00:00 PM,3.472,,,,,
7,07/16/18 04:00:00 PM,2.943,,,,,
8,07/16/18 05:00:00 PM,2.303,,,,,
9,07/16/18 06:00:00 PM,2.088,,,,,
10,07/16/18 07:00:00 PM,1.872,,,,,
11,07/16/18 08:00:00 PM,1.872,,,,,
12,07/16/18 09:00:00 PM,1.764,,,,,
13,07/16/18 10:00:00 PM,1.548,,,,,
14,07/16/18 11:00:00 PM,1.221,,,,,
15,07/17/18 12:00:00 AM,1.003,,,,,
16,07/17/18 01:00:00 AM,0.784,,,,,
17,07/17/18 02:00:00 AM,0.563,,,,,
18,07/17/18 03:00:00 AM,0.453,,,,,
19,07/17/18 04:00:00 AM,0.343,,,,,
20,07/17/18 05:00:00 AM,0.343,,,,,
21,07/17/18 06:00:00 AM,0.453,,,,,
22,07/17/18 07:00:00 AM,0.784,,,,,
23,07/17/18 08:00:00 AM,1.003,,,,,
24,07/17/18 09:00:00 AM,1.221,,,,,
25,07/17/18 10:00:00 AM,1.548,,,,,
26,07/17/18 11:00:00 AM,1.980,,,,,
27,07/17/18 12:00:00 PM,2.410,,,,,
28,07/17/18 01:00:00 PM,2.624,,,,,
29,07/17/18 02:00:00 PM,3.155,,,,,
30,07/17/18 03:00:00 PM,3.788,,,,,
31,07/17/18 04:00:00 PM,3.998,,,,,
32,07/17/18 05:00:00 PM,4.207,,,,,
33,07/17/18 06:00:00 PM,4.207,,,,,
34,07/17/18 07:00:00 PM,4.311,,,,,
35,07/17/18 08:00:00 PM,3.998,,,,,
36,07/17/18 09:00:00 PM,3.578,,,,,
37,07/17/18 10:00:00 PM,3.155,,,,,
38,07/17/18 11:00:00 PM,2.730,,,,,
39,07/18/18 12:00:00 AM,2.195,,,,,
40,07/18/18 01:00:00 AM,1.656,,,,,
41,07/18/18 02:00:00 AM,1.221,,,,,
42,07/18/18 03:00:00 AM,0.893,,,,,
43,07/18/18 04:00:00 AM,0.893,,,,,
44,07/18/18 05:00:00 AM,0.893,,,,,
45,07/18/18 06:00:00 AM,1.003,,,,,
46,07/18/18 07:00:00 AM,1.330,,,,,
47,07/18/18 08:00:00 AM,1.656,,,,,
48,07/18/18 09:00:00 AM,1.980,,,,,
49,07/18/18 10:00:00 AM,2.410,,,,,
50,07/18/18 11:00:00 AM,2.837,,,,,
51,07/18/18 12:00:00 PM,3.578,,,,,
52,07/18/18 01:00:00 PM,4.415,,,,,
53,07/18/18 02:00:00 PM,4.727,,,,,
54,07/18/18 03:00:00 PM,4.831,,,,,
55,07/18/18 04:00:00 PM,4.727,,,,,
56,07/18/18 05:00:00 PM,5.037,,,,,
57,07/18/18 06:00:00 PM,5.655,,,,,
58,07/18/18 07:00:00 PM,5.450,,,,,
59,07/18/18 08:00:00 PM,4.727,,,,,
60,07/18/18 09:00:00 PM,3.998,,,,,
61,07/18/18 10:00:00 PM,3.367,,,,,
62,07/18/18 11:00:00 PM,2.943,,,,,
63,07/19/18 12:00:00 AM,2.410,,,,,
64,07/19/18 01:00:00 AM,1.872,,,,,
65,07/19/18 02:00:00 AM,1.548,,,,,
66,07/19/18 03:00:00 AM,1.221,,,,,
67,07/19/18 04:00:00 AM,1.112,,,,,
68,07/19/18 05:00:00 AM,1.003,,,,,
69,07/19/18 06:00:00 AM,1.330,,,,,
70,07/19/18 07:00:00 AM,1.656,,,,,
71,07/19/18 08:00:00 AM,1.764,,,,,
72,07/19/18 09:00:00 AM,2.088,,,,,
73,07/19/18 10:00:00 AM,2.730,,,,,
74,07/19/18 11:00:00 AM,3.367,,,,,
75,07/19/18 12:00:00 PM,3.261,,,,,
76,07/19/18 01:00:00 PM,2.943,,,,,
77,07/19/18 02:00:00 PM,3.367,,,,,
78,07/19/18 03:00:00 PM,3.367,,,,,
79,07/19/18 04:00:00 PM,3.261,,,,,
80,07/19/18 05:00:00 PM,3.155,,,,,
81,07/19/18 06:00:00 PM,2.837,,,,,
82,07/19/18 07:00:00 PM,2.624,,,,,
83,07/19/18 08:00:00 PM,2.303,,,,,
84,07/19/18 09:00:00 PM,2.195,,,,,
85,07/19/18 10:00:00 PM,2.303,,,,,
86,07/19/18 11:00:00 PM,2.088,,,,,
87,07/20/18 12:00:00 AM,1.872,,,,,
88,07/20/18 01:00:00 AM,1.872,,,,,
89,07/20/18 02:00:00 AM,2.088,,,,,
90,07/20/18 03:00:00 AM,2.088,,,,,
91,07/20/18 04:00:00 AM,2.088,,,,,
92,07/20/18 05:00:00 AM,2.195,,,,,
93,07/20/18 06:00:00 AM,2.088,,,,,
94,07/20/18 07:00:00 AM,2.195,,,,,
95,07/20/18 08:00:00 AM,2.195,,,,,
96,07/20/18 09:00:00 AM,2.410,,,,,
97,07/20/18 10:00:00 AM,2.624,,,,,
98,07/20/18 11:00:00 AM,3.049,,,,,
99,07/20/18 12:00:00 PM,3.472,,,,,
100,07/20/18 01:00:00 PM,3.998,,,,,
101,07/20/18 02:00:00 PM,3.788,,,,,
102,07/20/18 03:00:00 PM,3.472,,,,,
