"Titre de tracé : 20177045"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177045, SEN S/N: 20177045)","Pile OK (LGR S/N: 20177045)","Coupleur détaché (LGR S/N: 20177045)","Pile défectueuse (LGR S/N: 20177045)","Coupleur attaché (LGR S/N: 20177045)","Hôte connecté (LGR S/N: 20177045)","Arrêté (LGR S/N: 20177045)","Fin de fichier (LGR S/N: 20177045)"
1,07/13/18 10:58:29 PM,22.333,Enregistré,,,,,,
2,07/13/18 10:58:34 PM,,,Enregistré,,,,,
3,07/13/18 11:58:29 PM,12.690,,,,,,,
4,07/14/18 12:58:29 AM,9.669,,,,,,,
5,07/14/18 01:58:29 AM,7.983,,,,,,,
6,07/14/18 02:58:29 AM,6.573,,,,,,,
7,07/14/18 03:58:29 AM,5.552,,,,,,,
8,07/14/18 04:58:29 AM,5.037,,,,,,,
9,07/14/18 05:58:29 AM,4.831,,,,,,,
10,07/14/18 06:58:29 AM,4.727,,,,,,,
11,07/14/18 07:58:29 AM,4.519,,,,,,,
12,07/14/18 08:58:29 AM,4.727,,,,,,,
13,07/14/18 09:58:29 AM,5.655,,,,,,,
14,07/14/18 10:58:29 AM,11.236,,,,,,,
15,07/14/18 11:58:29 AM,10.846,,,,,,,
16,07/14/18 12:58:29 PM,12.497,,,,,,,
17,07/14/18 01:58:29 PM,14.038,,,,,,,
18,07/14/18 02:58:29 PM,12.401,,,,,,,
19,07/14/18 03:58:29 PM,10.553,,,,,,,
20,07/14/18 04:58:29 PM,9.077,,,,,,,
21,07/14/18 05:58:29 PM,8.779,,,,,,,
22,07/14/18 06:58:29 PM,8.978,,,,,,,
23,07/14/18 07:58:29 PM,9.472,,,,,,,
24,07/14/18 08:58:29 PM,8.978,,,,,,,
25,07/14/18 09:58:29 PM,11.528,,,,,,,
26,07/14/18 10:58:29 PM,9.373,,,,,,,
27,07/14/18 11:58:29 PM,8.082,,,,,,,
28,07/15/18 12:58:29 AM,6.978,,,,,,,
29,07/15/18 01:58:29 AM,5.962,,,,,,,
30,07/15/18 02:58:29 AM,5.244,,,,,,,
31,07/15/18 03:58:29 AM,4.831,,,,,,,
32,07/15/18 04:58:29 AM,5.141,,,,,,,
33,07/15/18 05:58:29 AM,5.450,,,,,,,
34,07/15/18 06:58:29 AM,5.962,,,,,,,
35,07/15/18 07:58:29 AM,6.166,,,,,,,
36,07/15/18 08:58:29 AM,4.623,,,,,,,
37,07/15/18 09:58:29 AM,5.450,,,,,,,
38,07/15/18 10:58:29 AM,8.082,,,,,,,
39,07/15/18 11:58:29 AM,11.722,,,,,,,
40,07/15/18 12:58:29 PM,12.013,,,,,,,
41,07/15/18 01:58:29 PM,9.669,,,,,,,
42,07/15/18 02:58:29 PM,9.373,,,,,,,
43,07/15/18 03:58:29 PM,9.866,,,,,,,
44,07/15/18 04:58:29 PM,9.866,,,,,,,
45,07/15/18 05:58:29 PM,9.866,,,,,,,
46,07/15/18 06:58:29 PM,10.748,,,,,,,
47,07/15/18 07:58:29 PM,14.900,,,,,,,
48,07/15/18 08:58:29 PM,20.329,,,,,,,
