"Titre de tracé : 10358248"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10358248, SEN S/N: 10358248)","Pile défectueuse (LGR S/N: 10358248)","Coupleur attaché (LGR S/N: 10358248)","Hôte connecté (LGR S/N: 10358248)","Arrêté (LGR S/N: 10358248)","Fin de fichier (LGR S/N: 10358248)"
1,07/11/18 06:00:00 AM,10.063,,,,,
2,07/11/18 07:00:00 AM,13.846,,,,,
3,07/11/18 08:00:00 AM,12.110,,,,,
4,07/11/18 09:00:00 AM,8.879,,,,,
5,07/11/18 10:00:00 AM,10.651,,,,,
6,07/11/18 11:00:00 AM,13.365,,,,,
7,07/11/18 12:00:00 PM,14.900,,,,,
8,07/11/18 01:00:00 PM,14.996,,,,,
9,07/11/18 02:00:00 PM,15.091,,,,,
10,07/11/18 03:00:00 PM,14.804,,,,,
11,07/11/18 04:00:00 PM,14.134,,,,,
12,07/11/18 05:00:00 PM,13.558,,,,,
13,07/11/18 06:00:00 PM,12.594,,,,,
14,07/11/18 07:00:00 PM,11.916,,,,,
15,07/11/18 08:00:00 PM,10.944,,,,,
16,07/11/18 09:00:00 PM,10.259,,,,,
17,07/11/18 10:00:00 PM,9.768,,,,,
18,07/11/18 11:00:00 PM,9.472,,,,,
19,07/12/18 12:00:00 AM,9.077,,,,,
20,07/12/18 01:00:00 AM,8.182,,,,,
21,07/12/18 02:00:00 AM,7.280,,,,,
22,07/12/18 03:00:00 AM,6.471,,,,,
23,07/12/18 04:00:00 AM,6.166,,,,,
24,07/12/18 05:00:00 AM,6.166,,,,,
25,07/12/18 06:00:00 AM,6.370,,,,,
26,07/12/18 07:00:00 AM,6.775,,,,,
27,07/12/18 08:00:00 AM,7.280,,,,,
28,07/12/18 09:00:00 AM,7.882,,,,,
29,07/12/18 10:00:00 AM,8.182,,,,,
30,07/12/18 11:00:00 AM,8.382,,,,,
31,07/12/18 12:00:00 PM,8.879,,,,,
32,07/12/18 01:00:00 PM,8.779,,,,,
33,07/12/18 02:00:00 PM,8.879,,,,,
34,07/12/18 03:00:00 PM,9.669,,,,,
35,07/12/18 04:00:00 PM,10.161,,,,,
36,07/12/18 05:00:00 PM,10.651,,,,,
37,07/12/18 06:00:00 PM,10.651,,,,,
38,07/12/18 07:00:00 PM,10.455,,,,,
39,07/12/18 08:00:00 PM,10.161,,,,,
40,07/12/18 09:00:00 PM,8.779,,,,,
41,07/12/18 10:00:00 PM,7.179,,,,,
42,07/12/18 11:00:00 PM,6.064,,,,,
43,07/13/18 12:00:00 AM,5.347,,,,,
44,07/13/18 01:00:00 AM,5.141,,,,,
45,07/13/18 02:00:00 AM,4.831,,,,,
46,07/13/18 03:00:00 AM,4.415,,,,,
47,07/13/18 04:00:00 AM,3.998,,,,,
48,07/13/18 05:00:00 AM,3.788,,,,,
49,07/13/18 06:00:00 AM,3.472,,,,,
50,07/13/18 07:00:00 AM,3.155,,,,,
51,07/13/18 08:00:00 AM,3.155,,,,,
52,07/13/18 09:00:00 AM,3.261,,,,,
53,07/13/18 10:00:00 AM,3.472,,,,,
54,07/13/18 11:00:00 AM,3.893,,,,,
55,07/13/18 12:00:00 PM,6.064,,,,,
56,07/13/18 01:00:00 PM,7.782,,,,,
57,07/13/18 02:00:00 PM,8.481,,,,,
58,07/13/18 03:00:00 PM,8.282,,,,,
59,07/13/18 04:00:00 PM,17.570,,,,,
60,07/13/18 05:00:00 PM,20.138,,,,,
61,07/13/18 06:00:00 PM,18.711,,,,,
62,07/13/18 07:00:00 PM,17.094,,,,,
63,07/13/18 08:00:00 PM,10.357,,,,,
64,07/13/18 09:00:00 PM,9.373,,,,,
65,07/13/18 10:00:00 PM,8.879,,,,,
66,07/13/18 11:00:00 PM,7.983,,,,,
67,07/14/18 12:00:00 AM,7.381,,,,,
68,07/14/18 01:00:00 AM,6.268,,,,,
69,07/14/18 02:00:00 AM,5.244,,,,,
70,07/14/18 03:00:00 AM,4.519,,,,,
71,07/14/18 04:00:00 AM,3.998,,,,,
72,07/14/18 05:00:00 AM,3.893,,,,,
73,07/14/18 06:00:00 AM,3.998,,,,,
74,07/14/18 07:00:00 AM,3.893,,,,,
75,07/14/18 08:00:00 AM,4.102,,,,,
76,07/14/18 09:00:00 AM,5.244,,,,,
77,07/14/18 10:00:00 AM,6.674,,,,,
78,07/14/18 11:00:00 AM,6.978,,,,,
79,07/14/18 12:00:00 PM,8.282,,,,,
80,07/14/18 01:00:00 PM,23.004,,,,,
81,07/14/18 02:00:00 PM,30.558,,,,,
82,07/14/18 03:00:00 PM,12.787,,,,,
83,07/14/18 04:00:00 PM,11.625,,,,,
84,07/14/18 05:00:00 PM,11.139,,,,,
85,07/14/18 06:00:00 PM,7.179,,,,,
86,07/14/18 07:00:00 PM,6.674,,,,,
87,07/14/18 08:00:00 PM,6.573,,,,,
88,07/14/18 09:00:00 PM,6.573,,,,,
89,07/14/18 10:00:00 PM,6.471,,,,,
90,07/14/18 11:00:00 PM,6.370,,,,,
91,07/15/18 12:00:00 AM,6.268,,,,,
92,07/15/18 01:00:00 AM,6.064,,,,,
93,07/15/18 02:00:00 AM,5.860,,,,,
94,07/15/18 03:00:00 AM,5.655,,,,,
95,07/15/18 04:00:00 AM,5.450,,,,,
96,07/15/18 05:00:00 AM,5.244,,,,,
97,07/15/18 06:00:00 AM,5.037,,,,,
98,07/15/18 07:00:00 AM,4.934,,,,,
99,07/15/18 08:00:00 AM,4.934,,,,,
100,07/15/18 09:00:00 AM,4.934,,,,,
101,07/15/18 10:00:00 AM,4.831,,,,,
102,07/15/18 11:00:00 AM,4.934,,,,,
103,07/15/18 12:00:00 PM,5.037,,,,,
104,07/15/18 01:00:00 PM,5.347,,,,,
105,07/15/18 02:00:00 PM,5.757,,,,,
106,07/15/18 03:00:00 PM,6.166,,,,,
107,07/15/18 04:00:00 PM,6.370,,,,,
108,07/15/18 05:00:00 PM,6.877,,,,,
109,07/15/18 06:00:00 PM,7.582,,,,,
110,07/15/18 07:00:00 PM,7.782,,,,,
111,07/15/18 08:00:00 PM,7.782,,,,,
112,07/15/18 09:00:00 PM,7.481,,,,,
113,07/15/18 10:00:00 PM,7.280,,,,,
114,07/15/18 11:00:00 PM,6.877,,,,,
115,07/16/18 12:00:00 AM,6.573,,,,,
116,07/16/18 01:00:00 AM,6.268,,,,,
117,07/16/18 02:00:00 AM,5.860,,,,,
118,07/16/18 03:00:00 AM,5.450,,,,,
119,07/16/18 04:00:00 AM,5.141,,,,,
120,07/16/18 05:00:00 AM,4.831,,,,,
121,07/16/18 06:00:00 AM,4.623,,,,,
122,07/16/18 07:00:00 AM,4.519,,,,,
123,07/16/18 08:00:00 AM,4.519,,,,,
124,07/16/18 09:00:00 AM,4.415,,,,,
125,07/16/18 10:00:00 AM,4.311,,,,,
126,07/16/18 11:00:00 AM,4.519,,,,,
127,07/16/18 12:00:00 PM,5.037,,,,,
128,07/16/18 01:00:00 PM,5.655,,,,,
129,07/16/18 02:00:00 PM,6.370,,,,,
