"Titre de tracé : 1010808"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 1010808, SEN S/N: 1010808)","Pile défectueuse (LGR S/N: 1010808)","Pile OK (LGR S/N: 1010808)","Coupleur attaché (LGR S/N: 1010808)","Hôte connecté (LGR S/N: 1010808)","Arrêté (LGR S/N: 1010808)","Fin de fichier (LGR S/N: 1010808)"
1,07/11/18 06:00:00 AM,9.866,,,,,,
2,07/11/18 07:00:00 AM,13.461,,,,,,
3,07/11/18 08:00:00 AM,11.722,,,,,,
4,07/11/18 09:00:00 AM,8.382,,,,,,
5,07/11/18 10:00:00 AM,10.553,,,,,,
6,07/11/18 11:00:00 AM,11.722,,,,,,
7,07/11/18 12:00:00 PM,13.558,,,,,,
8,07/11/18 01:00:00 PM,13.942,,,,,,
9,07/11/18 02:00:00 PM,14.709,,,,,,
10,07/11/18 03:00:00 PM,14.517,,,,,,
11,07/11/18 04:00:00 PM,13.846,,,,,,
12,07/11/18 05:00:00 PM,13.173,,,,,,
13,07/11/18 06:00:00 PM,12.207,,,,,,
14,07/11/18 07:00:00 PM,11.528,,,,,,
15,07/11/18 08:00:00 PM,10.651,,,,,,
16,07/11/18 09:00:00 PM,9.965,,,,,,
17,07/11/18 10:00:00 PM,9.472,,,,,,
18,07/11/18 11:00:00 PM,9.275,,,,,,
19,07/12/18 12:00:00 AM,8.879,,,,,,
20,07/12/18 01:00:00 AM,7.882,,,,,,
21,07/12/18 02:00:00 AM,7.079,,,,,,
22,07/12/18 03:00:00 AM,6.268,,,,,,
23,07/12/18 04:00:00 AM,5.962,,,,,,
24,07/12/18 05:00:00 AM,6.064,,,,,,
25,07/12/18 06:00:00 AM,6.268,,,,,,
26,07/12/18 07:00:00 AM,6.674,,,,,,
27,07/12/18 08:00:00 AM,7.179,,,,,,
28,07/12/18 09:00:00 AM,7.782,,,,,,
29,07/12/18 10:00:00 AM,8.082,,,,,,
30,07/12/18 11:00:00 AM,8.182,,,,,,
31,07/12/18 12:00:00 PM,8.779,,,,,,
32,07/12/18 01:00:00 PM,8.680,,,,,,
33,07/12/18 02:00:00 PM,8.779,,,,,,
34,07/12/18 03:00:00 PM,9.571,,,,,,
35,07/12/18 04:00:00 PM,9.965,,,,,,
36,07/12/18 05:00:00 PM,10.553,,,,,,
37,07/12/18 06:00:00 PM,10.455,,,,,,
38,07/12/18 07:00:00 PM,10.161,,,,,,
39,07/12/18 08:00:00 PM,9.965,,,,,,
40,07/12/18 09:00:00 PM,8.382,,,,,,
41,07/12/18 10:00:00 PM,6.775,,,,,,
42,07/12/18 11:00:00 PM,5.757,,,,,,
43,07/13/18 12:00:00 AM,5.141,,,,,,
44,07/13/18 01:00:00 AM,5.141,,,,,,
45,07/13/18 02:00:00 AM,4.623,,,,,,
46,07/13/18 03:00:00 AM,4.207,,,,,,
47,07/13/18 04:00:00 AM,3.893,,,,,,
48,07/13/18 05:00:00 AM,3.578,,,,,,
49,07/13/18 06:00:00 AM,3.367,,,,,,
50,07/13/18 07:00:00 AM,3.049,,,,,,
51,07/13/18 08:00:00 AM,3.049,,,,,,
52,07/13/18 09:00:00 AM,3.155,,,,,,
53,07/13/18 10:00:00 AM,3.367,,,,,,
54,07/13/18 11:00:00 AM,3.788,,,,,,
55,07/13/18 12:00:00 PM,5.655,,,,,,
56,07/13/18 01:00:00 PM,7.782,,,,,,
57,07/13/18 02:00:00 PM,8.282,,,,,,
58,07/13/18 03:00:00 PM,16.523,,,,,,
59,07/13/18 04:00:00 PM,18.901,,,,,,
60,07/13/18 05:00:00 PM,19.187,,,,,,
61,07/13/18 06:00:00 PM,24.641,,,,,,
62,07/13/18 07:00:00 PM,17.950,,,,,,
63,07/13/18 08:00:00 PM,10.063,,,,,,
64,07/13/18 09:00:00 PM,9.965,,,,,,
65,07/13/18 10:00:00 PM,9.768,,,,,,
66,07/13/18 11:00:00 PM,9.472,,,,,,
67,07/14/18 12:00:00 AM,9.077,,,,,,
68,07/14/18 01:00:00 AM,8.680,,,,,,
69,07/14/18 02:00:00 AM,8.382,,,,,,
70,07/14/18 03:00:00 AM,7.983,,,,,,
71,07/14/18 04:00:00 AM,7.682,,,,,,
72,07/14/18 05:00:00 AM,7.481,,,,,,
73,07/14/18 06:00:00 AM,7.280,,,,,,
74,07/14/18 07:00:00 AM,7.280,,,,,,
75,07/14/18 08:00:00 AM,7.381,,,,,,
76,07/14/18 09:00:00 AM,7.582,,,,,,
77,07/14/18 10:00:00 AM,8.082,,,,,,
78,07/14/18 11:00:00 AM,8.680,,,,,,
79,07/14/18 12:00:00 PM,9.373,,,,,,
80,07/14/18 01:00:00 PM,9.965,,,,,,
81,07/14/18 02:00:00 PM,10.748,,,,,,
82,07/14/18 03:00:00 PM,11.528,,,,,,
83,07/14/18 04:00:00 PM,11.625,,,,,,
84,07/14/18 05:00:00 PM,11.431,,,,,,
85,07/14/18 06:00:00 PM,11.139,,,,,,
86,07/14/18 07:00:00 PM,10.846,,,,,,
87,07/14/18 08:00:00 PM,10.748,,,,,,
88,07/14/18 09:00:00 PM,10.553,,,,,,
89,07/14/18 10:00:00 PM,10.357,,,,,,
90,07/14/18 11:00:00 PM,10.161,,,,,,
91,07/15/18 12:00:00 AM,9.866,,,,,,
92,07/15/18 01:00:00 AM,9.571,,,,,,
