"Titre de tracé : 20172486"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20172486, SEN S/N: 20172486, LBL: 20172486)","Pile défectueuse (LGR S/N: 20172486)","Coupleur attaché (LGR S/N: 20172486)","Hôte connecté (LGR S/N: 20172486)","Arrêté (LGR S/N: 20172486)","Fin de fichier (LGR S/N: 20172486)"
1,07/11/18 06:00:00 AM,9.176,,,,,
2,07/11/18 10:00:00 AM,10.553,,,,,
3,07/11/18 02:00:00 PM,14.900,,,,,
4,07/11/18 06:00:00 PM,13.269,,,,,
5,07/11/18 10:00:00 PM,10.259,,,,,
6,07/12/18 02:00:00 AM,7.983,,,,,
7,07/12/18 06:00:00 AM,6.370,,,,,
8,07/12/18 10:00:00 AM,7.983,,,,,
9,07/12/18 02:00:00 PM,8.879,,,,,
10,07/12/18 06:00:00 PM,10.748,,,,,
11,07/12/18 10:00:00 PM,7.983,,,,,
12,07/13/18 02:00:00 AM,5.141,,,,,
13,07/13/18 06:00:00 AM,3.683,,,,,
14,07/13/18 10:00:00 AM,3.578,,,,,
15,07/13/18 02:00:00 PM,7.983,,,,,
16,07/13/18 06:00:00 PM,15.569,,,,,
17,07/13/18 10:00:00 PM,7.983,,,,,
18,07/14/18 02:00:00 AM,7.481,,,,,
19,07/14/18 06:00:00 AM,6.674,,,,,
20,07/14/18 10:00:00 AM,7.481,,,,,
21,07/14/18 02:00:00 PM,10.063,,,,,
22,07/14/18 06:00:00 PM,10.651,,,,,
23,07/14/18 10:00:00 PM,9.866,,,,,
24,07/15/18 02:00:00 AM,8.581,,,,,
25,07/15/18 06:00:00 AM,7.381,,,,,
26,07/15/18 10:00:00 AM,7.481,,,,,
27,07/15/18 02:00:00 PM,8.382,,,,,
28,07/15/18 06:00:00 PM,10.161,,,,,
29,07/15/18 10:00:00 PM,8.978,,,,,
30,07/16/18 02:00:00 AM,6.978,,,,,
31,07/16/18 06:00:00 AM,5.860,,,,,
32,07/16/18 10:00:00 AM,6.370,,,,,
33,07/16/18 02:00:00 PM,8.879,,,,,
34,07/16/18 06:00:00 PM,10.357,,,,,
35,07/16/18 10:00:00 PM,9.373,,,,,
36,07/17/18 02:00:00 AM,8.182,,,,,
37,07/17/18 06:00:00 AM,6.775,,,,,
38,07/17/18 10:00:00 AM,8.581,,,,,
39,07/17/18 02:00:00 PM,11.431,,,,,
40,07/17/18 06:00:00 PM,14.134,,,,,
41,07/17/18 10:00:00 PM,13.173,,,,,
42,07/18/18 02:00:00 AM,11.139,,,,,
43,07/18/18 06:00:00 AM,9.373,,,,,
44,07/18/18 10:00:00 AM,10.455,,,,,
45,07/18/18 02:00:00 PM,12.787,,,,,
46,07/18/18 06:00:00 PM,14.421,,,,,
47,07/18/18 10:00:00 PM,13.558,,,,,
48,07/19/18 02:00:00 AM,11.528,,,,,
49,07/19/18 06:00:00 AM,9.965,,,,,
50,07/19/18 10:00:00 AM,10.259,,,,,
51,07/19/18 02:00:00 PM,10.357,,,,,
52,07/19/18 06:00:00 PM,8.978,,,,,
53,07/19/18 10:00:00 PM,7.983,,,,,
54,07/20/18 02:00:00 AM,6.877,,,,,
55,07/20/18 06:00:00 AM,6.166,,,,,
56,07/20/18 10:00:00 AM,7.481,,,,,
57,07/20/18 02:00:00 PM,10.748,,,,,
58,07/20/18 06:00:00 PM,11.528,,,,,
59,07/20/18 10:00:00 PM,11.334,,,,,
60,07/21/18 02:00:00 AM,9.472,,,,,
61,07/21/18 06:00:00 AM,7.983,,,,,
62,07/21/18 10:00:00 AM,7.179,,,,,
63,07/21/18 02:00:00 PM,8.481,,,,,
64,07/21/18 06:00:00 PM,9.472,,,,,
65,07/21/18 10:00:00 PM,9.176,,,,,
66,07/22/18 02:00:00 AM,8.082,,,,,
67,07/22/18 06:00:00 AM,6.877,,,,,
68,07/22/18 10:00:00 AM,6.471,,,,,
69,07/22/18 02:00:00 PM,7.179,,,,,
70,07/22/18 06:00:00 PM,7.682,,,,,
71,07/22/18 10:00:00 PM,7.280,,,,,
72,07/23/18 02:00:00 AM,5.860,,,,,
73,07/23/18 06:00:00 AM,4.415,,,,,
74,07/23/18 10:00:00 AM,4.415,,,,,
75,07/23/18 02:00:00 PM,6.268,,,,,
76,07/23/18 06:00:00 PM,7.782,,,,,
77,07/23/18 10:00:00 PM,6.573,,,,,
78,07/24/18 02:00:00 AM,5.037,,,,,
79,07/24/18 06:00:00 AM,4.311,,,,,
80,07/24/18 10:00:00 AM,4.311,,,,,
81,07/24/18 02:00:00 PM,5.450,,,,,
82,07/24/18 06:00:00 PM,5.860,,,,,
83,07/24/18 10:00:00 PM,5.655,,,,,
84,07/25/18 02:00:00 AM,4.519,,,,,
85,07/25/18 06:00:00 AM,3.683,,,,,
86,07/25/18 10:00:00 AM,2.837,,,,,
87,07/25/18 02:00:00 PM,3.367,,,,,
88,07/25/18 06:00:00 PM,4.831,,,,,
89,07/25/18 10:00:00 PM,4.102,,,,,
90,07/26/18 02:00:00 AM,3.367,,,,,
91,07/26/18 06:00:00 AM,2.517,,,,,
92,07/26/18 10:00:00 AM,3.472,,,,,
93,07/26/18 02:00:00 PM,6.268,,,,,
94,07/26/18 06:00:00 PM,7.280,,,,,
95,07/26/18 10:00:00 PM,6.268,,,,,
96,07/27/18 02:00:00 AM,5.141,,,,,
97,07/27/18 06:00:00 AM,4.102,,,,,
98,07/27/18 10:00:00 AM,5.552,,,,,
99,07/27/18 02:00:00 PM,7.381,,,,,
100,07/27/18 06:00:00 PM,7.983,,,,,
101,07/27/18 10:00:00 PM,6.978,,,,,
102,07/28/18 02:00:00 AM,5.962,,,,,
103,07/28/18 06:00:00 AM,5.347,,,,,
104,07/28/18 10:00:00 AM,5.141,,,,,
105,07/28/18 02:00:00 PM,5.244,,,,,
106,07/28/18 06:00:00 PM,5.757,,,,,
107,07/28/18 10:00:00 PM,5.450,,,,,
108,07/29/18 02:00:00 AM,4.623,,,,,
109,07/29/18 06:00:00 AM,3.788,,,,,
110,07/29/18 10:00:00 AM,4.207,,,,,
111,07/29/18 02:00:00 PM,4.831,,,,,
112,07/29/18 06:00:00 PM,5.757,,,,,
