"Titre de tracé : 20156708"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20156708, SEN S/N: 20156708)","Pile OK (LGR S/N: 20156708)","Pile défectueuse (LGR S/N: 20156708)","Fin de fichier (LGR S/N: 20156708)"
1,07/16/18 09:00:00 AM,7.481,,,
2,07/16/18 10:00:00 AM,8.481,,,
3,07/16/18 11:00:00 AM,9.571,Enregistré,,
4,07/16/18 12:00:00 PM,22.046,,,
5,07/16/18 01:00:00 PM,24.255,,,
6,07/16/18 02:00:00 PM,15.091,,,
7,07/16/18 03:00:00 PM,7.179,,,
8,07/16/18 04:00:00 PM,7.481,,,
9,07/16/18 05:00:00 PM,7.481,,,
10,07/16/18 06:00:00 PM,7.280,,,
11,07/16/18 07:00:00 PM,7.179,,,
12,07/16/18 08:00:00 PM,6.978,,,
13,07/16/18 09:00:00 PM,6.978,,,
14,07/16/18 10:00:00 PM,6.877,,,
15,07/16/18 11:00:00 PM,6.775,,,
16,07/17/18 12:00:00 AM,6.573,,,
17,07/17/18 01:00:00 AM,6.370,,,
18,07/17/18 02:00:00 AM,6.166,,,
19,07/17/18 03:00:00 AM,5.757,,,
20,07/17/18 04:00:00 AM,5.450,,,
21,07/17/18 05:00:00 AM,5.244,,,
22,07/17/18 06:00:00 AM,5.037,,,
23,07/17/18 07:00:00 AM,5.037,,,
24,07/17/18 08:00:00 AM,5.141,,,
25,07/17/18 09:00:00 AM,5.347,,,
26,07/17/18 10:00:00 AM,5.860,,,
27,07/17/18 11:00:00 AM,6.573,,,
28,07/17/18 12:00:00 PM,7.381,,,
29,07/17/18 01:00:00 PM,7.983,,,
30,07/17/18 02:00:00 PM,8.779,,,
31,07/17/18 03:00:00 PM,9.571,,,
32,07/17/18 04:00:00 PM,10.357,,,
33,07/17/18 05:00:00 PM,10.846,,,
34,07/17/18 06:00:00 PM,11.236,,,
35,07/17/18 07:00:00 PM,11.334,,,
36,07/17/18 08:00:00 PM,11.334,,,
37,07/17/18 09:00:00 PM,11.139,,,
38,07/17/18 10:00:00 PM,10.846,,,
39,07/17/18 11:00:00 PM,10.553,,,
40,07/18/18 12:00:00 AM,10.161,,,
41,07/18/18 01:00:00 AM,9.768,,,
42,07/18/18 02:00:00 AM,9.275,,,
43,07/18/18 03:00:00 AM,8.879,,,
44,07/18/18 04:00:00 AM,8.382,,,
45,07/18/18 05:00:00 AM,8.082,,,
46,07/18/18 06:00:00 AM,7.782,,,
47,07/18/18 07:00:00 AM,7.682,,,
48,07/18/18 08:00:00 AM,7.582,,,
49,07/18/18 09:00:00 AM,7.682,,,
50,07/18/18 10:00:00 AM,8.082,,,
51,07/18/18 11:00:00 AM,8.481,,,
52,07/18/18 12:00:00 PM,8.779,,,
53,07/18/18 01:00:00 PM,9.472,,,
54,07/18/18 02:00:00 PM,10.161,,,
55,07/18/18 03:00:00 PM,10.651,,,
56,07/18/18 04:00:00 PM,11.139,,,
57,07/18/18 05:00:00 PM,11.431,,,
58,07/18/18 06:00:00 PM,11.819,,,
59,07/18/18 07:00:00 PM,12.013,,,
60,07/18/18 08:00:00 PM,11.916,,,
61,07/18/18 09:00:00 PM,11.625,,,
62,07/18/18 10:00:00 PM,11.334,,,
63,07/18/18 11:00:00 PM,10.944,,,
64,07/19/18 12:00:00 AM,10.553,,,
65,07/19/18 01:00:00 AM,10.161,,,
66,07/19/18 02:00:00 AM,9.669,,,
67,07/19/18 03:00:00 AM,9.176,,,
68,07/19/18 04:00:00 AM,8.779,,,
69,07/19/18 05:00:00 AM,8.382,,,
70,07/19/18 06:00:00 AM,8.182,,,
71,07/19/18 07:00:00 AM,7.983,,,
72,07/19/18 08:00:00 AM,7.782,,,
73,07/19/18 09:00:00 AM,7.782,,,
74,07/19/18 10:00:00 AM,7.983,,,
75,07/19/18 11:00:00 AM,8.182,,,
76,07/19/18 12:00:00 PM,8.182,,,
77,07/19/18 01:00:00 PM,8.182,,,
78,07/19/18 02:00:00 PM,8.182,,,
79,07/19/18 03:00:00 PM,8.182,,,
80,07/19/18 04:00:00 PM,7.983,,,
81,07/19/18 05:00:00 PM,7.682,,,
82,07/19/18 06:00:00 PM,7.481,,,
83,07/19/18 07:00:00 PM,7.179,,,
84,07/19/18 08:00:00 PM,6.978,,,
85,07/19/18 09:00:00 PM,6.674,,,
86,07/19/18 10:00:00 PM,6.471,,,
87,07/19/18 11:00:00 PM,6.166,,,
88,07/20/18 12:00:00 AM,5.962,,,
89,07/20/18 01:00:00 AM,5.757,,,
90,07/20/18 02:00:00 AM,5.552,,,
91,07/20/18 03:00:00 AM,5.347,,,
92,07/20/18 04:00:00 AM,5.141,,,
93,07/20/18 05:00:00 AM,5.037,,,
94,07/20/18 06:00:00 AM,4.934,,,
95,07/20/18 07:00:00 AM,4.934,,,
96,07/20/18 08:00:00 AM,5.037,,,
97,07/20/18 09:00:00 AM,5.141,,,
98,07/20/18 10:00:00 AM,5.552,,,
99,07/20/18 11:00:00 AM,6.166,,,
100,07/20/18 12:00:00 PM,6.775,,,
101,07/20/18 01:00:00 PM,7.481,,,
102,07/20/18 02:00:00 PM,7.782,,,
103,07/20/18 03:00:00 PM,7.983,,,
104,07/20/18 04:00:00 PM,8.182,,,
105,07/20/18 05:00:00 PM,8.481,,,
106,07/20/18 06:00:00 PM,8.581,,,
107,07/20/18 07:00:00 PM,8.481,,,
108,07/20/18 08:00:00 PM,8.581,,,
109,07/20/18 09:00:00 PM,8.581,,,
110,07/20/18 10:00:00 PM,8.481,,,
111,07/20/18 11:00:00 PM,8.382,,,
112,07/21/18 12:00:00 AM,8.182,,,
113,07/21/18 01:00:00 AM,7.882,,,
114,07/21/18 02:00:00 AM,7.582,,,
115,07/21/18 03:00:00 AM,7.280,,,
116,07/21/18 04:00:00 AM,6.978,,,
117,07/21/18 05:00:00 AM,6.674,,,
118,07/21/18 06:00:00 AM,6.370,,,
119,07/21/18 07:00:00 AM,5.962,,,
