"Titre de tracé : 20178177"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20178177, SEN S/N: 20178177, LBL: 20178177)","Pile défectueuse (LGR S/N: 20178177)","Coupleur attaché (LGR S/N: 20178177)","Hôte connecté (LGR S/N: 20178177)","Arrêté (LGR S/N: 20178177)","Fin de fichier (LGR S/N: 20178177)"
1,07/11/18 06:00:00 AM,8.382,,,,,
2,07/11/18 10:00:00 AM,9.373,,,,,
3,07/11/18 02:00:00 PM,14.709,,,,,
4,07/11/18 06:00:00 PM,12.690,,,,,
5,07/11/18 10:00:00 PM,9.866,,,,,
6,07/12/18 02:00:00 AM,7.582,,,,,
7,07/12/18 06:00:00 AM,6.370,,,,,
8,07/12/18 10:00:00 AM,8.082,,,,,
9,07/12/18 02:00:00 PM,8.879,,,,,
10,07/12/18 06:00:00 PM,10.651,,,,,
11,07/12/18 10:00:00 PM,7.179,,,,,
12,07/13/18 02:00:00 AM,4.831,,,,,
13,07/13/18 06:00:00 AM,3.472,,,,,
14,07/13/18 10:00:00 AM,3.578,,,,,
15,07/13/18 02:00:00 PM,8.581,,,,,
16,07/13/18 06:00:00 PM,21.282,,,,,
17,07/13/18 10:00:00 PM,9.373,,,,,
18,07/14/18 02:00:00 AM,5.962,,,,,
19,07/14/18 06:00:00 AM,4.207,,,,,
20,07/14/18 10:00:00 AM,6.674,,,,,
21,07/14/18 02:00:00 PM,31.983,,,,,
22,07/14/18 06:00:00 PM,10.063,,,,,
23,07/14/18 10:00:00 PM,6.370,,,,,
24,07/15/18 02:00:00 AM,5.655,,,,,
25,07/15/18 06:00:00 AM,4.831,,,,,
26,07/15/18 10:00:00 AM,4.831,,,,,
27,07/15/18 02:00:00 PM,5.347,,,,,
28,07/15/18 06:00:00 PM,6.268,,,,,
29,07/15/18 10:00:00 PM,6.268,,,,,
30,07/16/18 02:00:00 AM,5.141,,,,,
31,07/16/18 06:00:00 AM,4.207,,,,,
32,07/16/18 10:00:00 AM,4.102,,,,,
33,07/16/18 02:00:00 PM,5.347,,,,,
34,07/16/18 06:00:00 PM,7.079,,,,,
35,07/16/18 10:00:00 PM,6.775,,,,,
36,07/17/18 02:00:00 AM,5.962,,,,,
37,07/17/18 06:00:00 AM,4.934,,,,,
38,07/17/18 10:00:00 AM,5.244,,,,,
39,07/17/18 02:00:00 PM,6.674,,,,,
40,07/17/18 06:00:00 PM,8.879,,,,,
41,07/17/18 10:00:00 PM,9.571,,,,,
42,07/18/18 02:00:00 AM,8.382,,,,,
43,07/18/18 06:00:00 AM,7.079,,,,,
44,07/18/18 10:00:00 AM,7.179,,,,,
45,07/18/18 02:00:00 PM,8.481,,,,,
46,07/18/18 06:00:00 PM,10.161,,,,,
47,07/18/18 10:00:00 PM,10.357,,,,,
48,07/19/18 02:00:00 AM,8.978,,,,,
49,07/19/18 06:00:00 AM,7.582,,,,,
50,07/19/18 10:00:00 AM,7.381,,,,,
51,07/19/18 02:00:00 PM,7.682,,,,,
52,07/19/18 06:00:00 PM,6.978,,,,,
53,07/19/18 10:00:00 PM,6.471,,,,,
54,07/20/18 02:00:00 AM,5.655,,,,,
55,07/20/18 06:00:00 AM,5.141,,,,,
56,07/20/18 10:00:00 AM,5.141,,,,,
57,07/20/18 02:00:00 PM,6.370,,,,,
58,07/20/18 06:00:00 PM,7.179,,,,,
59,07/20/18 10:00:00 PM,7.481,,,,,
60,07/21/18 02:00:00 AM,6.877,,,,,
61,07/21/18 06:00:00 AM,6.064,,,,,
62,07/21/18 10:00:00 AM,5.450,,,,,
63,07/21/18 02:00:00 PM,6.370,,,,,
64,07/21/18 06:00:00 PM,7.179,,,,,
65,07/21/18 10:00:00 PM,6.674,,,,,
66,07/22/18 02:00:00 AM,5.860,,,,,
67,07/22/18 06:00:00 AM,5.037,,,,,
68,07/22/18 10:00:00 AM,4.831,,,,,
69,07/22/18 02:00:00 PM,5.244,,,,,
70,07/22/18 06:00:00 PM,5.450,,,,,
71,07/22/18 10:00:00 PM,5.347,,,,,
72,07/23/18 02:00:00 AM,4.727,,,,,
73,07/23/18 06:00:00 AM,3.788,,,,,
74,07/23/18 10:00:00 AM,3.472,,,,,
75,07/23/18 02:00:00 PM,4.415,,,,,
76,07/23/18 06:00:00 PM,6.064,,,,,
77,07/23/18 10:00:00 PM,5.860,,,,,
78,07/24/18 02:00:00 AM,4.727,,,,,
79,07/24/18 06:00:00 AM,3.998,,,,,
80,07/24/18 10:00:00 AM,3.788,,,,,
81,07/24/18 02:00:00 PM,4.519,,,,,
82,07/24/18 06:00:00 PM,4.934,,,,,
83,07/24/18 10:00:00 PM,4.831,,,,,
84,07/25/18 02:00:00 AM,4.102,,,,,
85,07/25/18 06:00:00 AM,3.367,,,,,
86,07/25/18 10:00:00 AM,2.837,,,,,
87,07/25/18 02:00:00 PM,3.049,,,,,
88,07/25/18 06:00:00 PM,4.102,,,,,
89,07/25/18 10:00:00 PM,4.311,,,,,
90,07/26/18 02:00:00 AM,3.683,,,,,
91,07/26/18 06:00:00 AM,2.943,,,,,
92,07/26/18 10:00:00 AM,2.943,,,,,
93,07/26/18 02:00:00 PM,4.519,,,,,
94,07/26/18 06:00:00 PM,6.268,,,,,
95,07/26/18 10:00:00 PM,5.860,,,,,
96,07/27/18 02:00:00 AM,5.037,,,,,
97,07/27/18 06:00:00 AM,4.102,,,,,
98,07/27/18 10:00:00 AM,4.519,,,,,
99,07/27/18 02:00:00 PM,5.552,,,,,
100,07/27/18 06:00:00 PM,6.775,,,,,
101,07/27/18 10:00:00 PM,6.268,,,,,
102,07/28/18 02:00:00 AM,5.552,,,,,
103,07/28/18 06:00:00 AM,4.831,,,,,
104,07/28/18 10:00:00 AM,4.519,,,,,
105,07/28/18 02:00:00 PM,4.519,,,,,
106,07/28/18 06:00:00 PM,4.831,,,,,
107,07/28/18 10:00:00 PM,4.831,,,,,
108,07/29/18 02:00:00 AM,4.207,,,,,
109,07/29/18 06:00:00 AM,3.578,,,,,
110,07/29/18 10:00:00 AM,3.578,,,,,
111,07/29/18 02:00:00 PM,3.998,,,,,
112,07/29/18 06:00:00 PM,4.519,,,,,
113,07/29/18 10:00:00 PM,5.141,,,,,
114,07/30/18 02:00:00 AM,4.934,,,,,
115,07/30/18 06:00:00 AM,4.311,,,,,
116,07/30/18 10:00:00 AM,4.102,,,,,
117,07/30/18 02:00:00 PM,4.934,,,,,
118,07/30/18 06:00:00 PM,6.166,,,,,
119,07/30/18 10:00:00 PM,6.268,,,,,
120,07/31/18 02:00:00 AM,5.244,,,,,
121,07/31/18 06:00:00 AM,4.519,,,,,
122,07/31/18 10:00:00 AM,4.415,,,,,
123,07/31/18 02:00:00 PM,5.244,,,,,
124,07/31/18 06:00:00 PM,6.573,,,,,
125,07/31/18 10:00:00 PM,6.471,,,,,
126,08/01/18 02:00:00 AM,5.141,,,,,
127,08/01/18 06:00:00 AM,3.893,,,,,
128,08/01/18 10:00:00 AM,3.683,,,,,
129,08/01/18 02:00:00 PM,4.934,,,,,
130,08/01/18 06:00:00 PM,6.370,,,,,
131,08/01/18 10:00:00 PM,6.471,,,,,
132,08/02/18 02:00:00 AM,5.450,,,,,
133,08/02/18 06:00:00 AM,4.727,,,,,
