"Titre de tracé : 2023605"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 2023605, SEN S/N: 2023605)","Coupleur attaché (LGR S/N: 2023605)","Hôte connecté (LGR S/N: 2023605)","Arrêté (LGR S/N: 2023605)","Fin de fichier (LGR S/N: 2023605)"
1,07/11/18 06:00:00 AM,7.882,,,,
2,07/11/18 07:00:00 AM,9.176,,,,
3,07/11/18 08:00:00 AM,11.431,,,,
4,07/11/18 09:00:00 AM,9.275,,,,
5,07/11/18 10:00:00 AM,9.472,,,,
6,07/11/18 11:00:00 AM,13.365,,,,
7,07/11/18 12:00:00 PM,15.664,,,,
8,07/11/18 01:00:00 PM,15.569,,,,
9,07/11/18 02:00:00 PM,15.855,,,,
10,07/11/18 03:00:00 PM,15.473,,,,
11,07/11/18 04:00:00 PM,14.613,,,,
12,07/11/18 05:00:00 PM,13.942,,,,
13,07/11/18 06:00:00 PM,12.883,,,,
14,07/11/18 07:00:00 PM,12.110,,,,
15,07/11/18 08:00:00 PM,11.139,,,,
16,07/11/18 09:00:00 PM,10.455,,,,
17,07/11/18 10:00:00 PM,9.866,,,,
18,07/11/18 11:00:00 PM,9.571,,,,
19,07/12/18 12:00:00 AM,9.176,,,,
20,07/12/18 01:00:00 AM,8.082,,,,
21,07/12/18 02:00:00 AM,7.280,,,,
22,07/12/18 03:00:00 AM,6.471,,,,
23,07/12/18 04:00:00 AM,6.268,,,,
24,07/12/18 05:00:00 AM,6.370,,,,
25,07/12/18 06:00:00 AM,6.674,,,,
26,07/12/18 07:00:00 AM,7.179,,,,
27,07/12/18 08:00:00 AM,7.682,,,,
28,07/12/18 09:00:00 AM,8.282,,,,
29,07/12/18 10:00:00 AM,8.481,,,,
30,07/12/18 11:00:00 AM,8.680,,,,
31,07/12/18 12:00:00 PM,9.176,,,,
32,07/12/18 01:00:00 PM,8.978,,,,
33,07/12/18 02:00:00 PM,9.275,,,,
34,07/12/18 03:00:00 PM,10.259,,,,
35,07/12/18 04:00:00 PM,10.553,,,,
36,07/12/18 05:00:00 PM,11.139,,,,
37,07/12/18 06:00:00 PM,10.846,,,,
38,07/12/18 07:00:00 PM,10.651,,,,
39,07/12/18 08:00:00 PM,10.357,,,,
40,07/12/18 09:00:00 PM,8.680,,,,
41,07/12/18 10:00:00 PM,6.978,,,,
42,07/12/18 11:00:00 PM,5.860,,,,
43,07/13/18 12:00:00 AM,5.347,,,,
44,07/13/18 01:00:00 AM,5.244,,,,
45,07/13/18 02:00:00 AM,4.727,,,,
46,07/13/18 03:00:00 AM,4.415,,,,
47,07/13/18 04:00:00 AM,3.998,,,,
48,07/13/18 05:00:00 AM,3.788,,,,
49,07/13/18 06:00:00 AM,3.578,,,,
50,07/13/18 07:00:00 AM,3.367,,,,
51,07/13/18 08:00:00 AM,3.472,,,,
52,07/13/18 09:00:00 AM,3.683,,,,
53,07/13/18 10:00:00 AM,3.893,,,,
54,07/13/18 11:00:00 AM,4.519,,,,
55,07/13/18 12:00:00 PM,7.381,,,,
56,07/13/18 01:00:00 PM,8.082,,,,
57,07/13/18 02:00:00 PM,7.882,,,,
58,07/13/18 03:00:00 PM,8.481,,,,
59,07/13/18 04:00:00 PM,12.304,,,,
60,07/13/18 05:00:00 PM,19.662,,,,
61,07/13/18 06:00:00 PM,11.625,,,,
62,07/13/18 07:00:00 PM,12.497,,,,
63,07/13/18 08:00:00 PM,10.553,,,,
64,07/13/18 09:00:00 PM,9.669,,,,
65,07/13/18 10:00:00 PM,9.571,,,,
66,07/13/18 11:00:00 PM,9.669,,,,
67,07/14/18 12:00:00 AM,8.978,,,,
68,07/14/18 01:00:00 AM,7.381,,,,
69,07/14/18 02:00:00 AM,6.064,,,,
70,07/14/18 03:00:00 AM,5.037,,,,
71,07/14/18 04:00:00 AM,4.311,,,,
72,07/14/18 05:00:00 AM,4.311,,,,
73,07/14/18 06:00:00 AM,4.519,,,,
74,07/14/18 07:00:00 AM,4.207,,,,
75,07/14/18 08:00:00 AM,4.519,,,,
76,07/14/18 09:00:00 AM,6.471,,,,
77,07/14/18 10:00:00 AM,8.680,,,,
78,07/14/18 11:00:00 AM,10.161,,,,
79,07/14/18 12:00:00 PM,17.855,,,,
80,07/14/18 01:00:00 PM,34.058,,,,
81,07/14/18 02:00:00 PM,20.805,,,,
82,07/14/18 03:00:00 PM,15.091,,,,
83,07/14/18 04:00:00 PM,8.082,,,,
84,07/14/18 05:00:00 PM,6.674,,,,
85,07/14/18 06:00:00 PM,6.166,,,,
86,07/14/18 07:00:00 PM,5.962,,,,
87,07/14/18 08:00:00 PM,6.471,,,,
88,07/14/18 09:00:00 PM,5.860,,,,
89,07/14/18 10:00:00 PM,5.552,,,,
90,07/14/18 11:00:00 PM,4.727,,,,
91,07/15/18 12:00:00 AM,4.102,,,,
92,07/15/18 01:00:00 AM,3.578,,,,
93,07/15/18 02:00:00 AM,3.155,,,,
94,07/15/18 03:00:00 AM,2.837,,,,
95,07/15/18 04:00:00 AM,2.624,,,,
96,07/15/18 05:00:00 AM,2.730,,,,
97,07/15/18 06:00:00 AM,3.049,,,,
98,07/15/18 07:00:00 AM,3.578,,,,
99,07/15/18 08:00:00 AM,4.415,,,,
100,07/15/18 09:00:00 AM,4.415,,,,
101,07/15/18 10:00:00 AM,4.623,,,,
102,07/15/18 11:00:00 AM,5.244,,,,
103,07/15/18 12:00:00 PM,5.757,,,,
104,07/15/18 01:00:00 PM,6.166,,,,
105,07/15/18 02:00:00 PM,7.782,,,,
106,07/15/18 03:00:00 PM,8.382,,,,
107,07/15/18 04:00:00 PM,8.481,,,,
108,07/15/18 05:00:00 PM,8.082,,,,
109,07/15/18 06:00:00 PM,8.082,,,,
110,07/15/18 07:00:00 PM,7.381,,,,
111,07/15/18 08:00:00 PM,6.978,,,,
112,07/15/18 09:00:00 PM,7.179,,,,
113,07/15/18 10:00:00 PM,6.573,,,,
114,07/15/18 11:00:00 PM,5.244,,,,
115,07/16/18 12:00:00 AM,3.998,,,,
116,07/16/18 01:00:00 AM,3.049,,,,
117,07/16/18 02:00:00 AM,2.410,,,,
118,07/16/18 03:00:00 AM,2.088,,,,
119,07/16/18 04:00:00 AM,1.656,,,,
120,07/16/18 05:00:00 AM,1.439,,,,
121,07/16/18 06:00:00 AM,1.439,,,,
122,07/16/18 07:00:00 AM,2.195,,,,
123,07/16/18 08:00:00 AM,2.730,,,,
124,07/16/18 09:00:00 AM,3.367,,,,
125,07/16/18 10:00:00 AM,3.788,,,,
126,07/16/18 11:00:00 AM,5.655,,,,
127,07/16/18 12:00:00 PM,6.775,,,,
128,07/16/18 01:00:00 PM,7.782,,,,
129,07/16/18 02:00:00 PM,8.581,,,,
130,07/16/18 03:00:00 PM,10.455,,,,
131,07/16/18 04:00:00 PM,11.334,,,,
132,07/16/18 05:00:00 PM,11.431,,,,
133,07/16/18 06:00:00 PM,10.455,,,,
134,07/16/18 07:00:00 PM,7.882,,,,
135,07/16/18 08:00:00 PM,7.079,,,,
136,07/16/18 09:00:00 PM,7.280,,,,
137,07/16/18 10:00:00 PM,7.179,,,,
138,07/16/18 11:00:00 PM,5.962,,,,
139,07/17/18 12:00:00 AM,5.141,,,,
140,07/17/18 01:00:00 AM,4.311,,,,
141,07/17/18 02:00:00 AM,3.367,,,,
142,07/17/18 03:00:00 AM,2.730,,,,
143,07/17/18 04:00:00 AM,2.195,,,,
144,07/17/18 05:00:00 AM,2.088,,,,
145,07/17/18 06:00:00 AM,2.303,,,,
146,07/17/18 07:00:00 AM,2.730,,,,
147,07/17/18 08:00:00 AM,3.155,,,,
148,07/17/18 09:00:00 AM,4.207,,,,
149,07/17/18 10:00:00 AM,4.831,,,,
150,07/17/18 11:00:00 AM,6.573,,,,
151,07/17/18 12:00:00 PM,8.282,,,,
152,07/17/18 01:00:00 PM,9.077,,,,
153,07/17/18 02:00:00 PM,10.455,,,,
154,07/17/18 03:00:00 PM,11.916,,,,
155,07/17/18 04:00:00 PM,12.787,,,,
156,07/17/18 05:00:00 PM,13.365,,,,
157,07/17/18 06:00:00 PM,13.173,,,,
158,07/17/18 07:00:00 PM,12.594,,,,
159,07/17/18 08:00:00 PM,11.431,,,,
160,07/17/18 09:00:00 PM,10.455,,,,
161,07/17/18 10:00:00 PM,9.571,,,,
162,07/17/18 11:00:00 PM,8.581,,,,
163,07/18/18 12:00:00 AM,7.381,,,,
164,07/18/18 01:00:00 AM,6.064,,,,
165,07/18/18 02:00:00 AM,5.037,,,,
166,07/18/18 03:00:00 AM,4.207,,,,
167,07/18/18 04:00:00 AM,4.102,,,,
168,07/18/18 05:00:00 AM,3.893,,,,
169,07/18/18 06:00:00 AM,3.578,,,,
170,07/18/18 07:00:00 AM,4.415,,,,
171,07/18/18 08:00:00 AM,4.831,,,,
172,07/18/18 09:00:00 AM,5.450,,,,
173,07/18/18 10:00:00 AM,7.079,,,,
174,07/18/18 11:00:00 AM,7.983,,,,
175,07/18/18 12:00:00 PM,8.481,,,,
176,07/18/18 01:00:00 PM,10.357,,,,
177,07/18/18 02:00:00 PM,12.207,,,,
178,07/18/18 03:00:00 PM,12.497,,,,
179,07/18/18 04:00:00 PM,12.883,,,,
180,07/18/18 05:00:00 PM,13.076,,,,
181,07/18/18 06:00:00 PM,13.365,,,,
182,07/18/18 07:00:00 PM,12.690,,,,
183,07/18/18 08:00:00 PM,11.625,,,,
184,07/18/18 09:00:00 PM,10.161,,,,
185,07/18/18 10:00:00 PM,8.779,,,,
186,07/18/18 11:00:00 PM,8.182,,,,
187,07/19/18 12:00:00 AM,6.978,,,,
188,07/19/18 01:00:00 AM,5.962,,,,
189,07/19/18 02:00:00 AM,5.450,,,,
190,07/19/18 03:00:00 AM,4.623,,,,
191,07/19/18 04:00:00 AM,3.998,,,,
192,07/19/18 05:00:00 AM,3.683,,,,
193,07/19/18 06:00:00 AM,3.788,,,,
194,07/19/18 07:00:00 AM,4.102,,,,
195,07/19/18 08:00:00 AM,4.311,,,,
196,07/19/18 09:00:00 AM,5.244,,,,
197,07/19/18 10:00:00 AM,6.166,,,,
198,07/19/18 11:00:00 AM,7.280,,,,
199,07/19/18 12:00:00 PM,6.877,,,,
200,07/19/18 01:00:00 PM,6.775,,,,
201,07/19/18 02:00:00 PM,7.983,,,,
202,07/19/18 03:00:00 PM,7.582,,,,
203,07/19/18 04:00:00 PM,6.166,,,,
204,07/19/18 05:00:00 PM,6.064,,,,
205,07/19/18 06:00:00 PM,6.064,,,,
206,07/19/18 07:00:00 PM,5.860,,,,
207,07/19/18 08:00:00 PM,5.244,,,,
208,07/19/18 09:00:00 PM,5.037,,,,
209,07/19/18 10:00:00 PM,5.037,,,,
210,07/19/18 11:00:00 PM,4.415,,,,
211,07/20/18 12:00:00 AM,4.207,,,,
212,07/20/18 01:00:00 AM,3.893,,,,
213,07/20/18 02:00:00 AM,3.578,,,,
214,07/20/18 03:00:00 AM,3.367,,,,
215,07/20/18 04:00:00 AM,2.624,,,,
216,07/20/18 05:00:00 AM,2.303,,,,
217,07/20/18 06:00:00 AM,2.303,,,,
218,07/20/18 07:00:00 AM,2.303,,,,
219,07/20/18 08:00:00 AM,3.155,,,,
220,07/20/18 09:00:00 AM,3.893,,,,
