"Titre de tracé : 10355251"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10355251, SEN S/N: 10355251)","Pile défectueuse (LGR S/N: 10355251)","Pile OK (LGR S/N: 10355251)","Coupleur attaché (LGR S/N: 10355251)","Hôte connecté (LGR S/N: 10355251)","Arrêté (LGR S/N: 10355251)","Fin de fichier (LGR S/N: 10355251)"
1,07/11/18 06:00:00 AM,8.282,,,,,,
2,07/11/18 07:00:00 AM,9.176,,,,,,
3,07/11/18 08:00:00 AM,11.334,,,,,,
4,07/11/18 09:00:00 AM,9.472,,,,,,
5,07/11/18 10:00:00 AM,9.373,,,,,,
6,07/11/18 11:00:00 AM,12.110,,,,,,
7,07/11/18 12:00:00 PM,14.325,,,,,,
8,07/11/18 01:00:00 PM,14.709,,,,,,
9,07/11/18 02:00:00 PM,15.091,,,,,,
10,07/11/18 03:00:00 PM,15.187,,,,,,
11,07/11/18 04:00:00 PM,14.517,,,,,,
12,07/11/18 05:00:00 PM,13.846,,,,,,
13,07/11/18 06:00:00 PM,12.980,,,,,,
14,07/11/18 07:00:00 PM,12.304,,,,,,
15,07/11/18 08:00:00 PM,11.431,,,,,,
16,07/11/18 09:00:00 PM,10.651,,,,,,
17,07/11/18 10:00:00 PM,9.965,,,,,,
18,07/11/18 11:00:00 PM,9.571,,,,,,
19,07/12/18 12:00:00 AM,9.275,,,,,,
20,07/12/18 01:00:00 AM,8.481,,,,,,
21,07/12/18 02:00:00 AM,7.582,,,,,,
22,07/12/18 03:00:00 AM,6.775,,,,,,
23,07/12/18 04:00:00 AM,6.268,,,,,,
24,07/12/18 05:00:00 AM,6.166,,,,,,
25,07/12/18 06:00:00 AM,6.268,,,,,,
26,07/12/18 07:00:00 AM,6.674,,,,,,
27,07/12/18 08:00:00 AM,7.079,,,,,,
28,07/12/18 09:00:00 AM,7.682,,,,,,
29,07/12/18 10:00:00 AM,7.983,,,,,,
30,07/12/18 11:00:00 AM,8.581,,,,,,
31,07/12/18 12:00:00 PM,8.779,,,,,,
32,07/12/18 01:00:00 PM,8.779,,,,,,
33,07/12/18 02:00:00 PM,8.779,,,,,,
34,07/12/18 03:00:00 PM,9.571,,,,,,
35,07/12/18 04:00:00 PM,10.063,,,,,,
36,07/12/18 05:00:00 PM,10.651,,,,,,
37,07/12/18 06:00:00 PM,10.651,,,,,,
38,07/12/18 07:00:00 PM,10.455,,,,,,
39,07/12/18 08:00:00 PM,10.161,,,,,,
40,07/12/18 09:00:00 PM,9.077,,,,,,
41,07/12/18 10:00:00 PM,7.280,,,,,,
42,07/12/18 11:00:00 PM,6.064,,,,,,
43,07/13/18 12:00:00 AM,5.347,,,,,,
44,07/13/18 01:00:00 AM,5.141,,,,,,
45,07/13/18 02:00:00 AM,4.727,,,,,,
46,07/13/18 03:00:00 AM,4.311,,,,,,
47,07/13/18 04:00:00 AM,3.998,,,,,,
48,07/13/18 05:00:00 AM,3.683,,,,,,
49,07/13/18 06:00:00 AM,3.472,,,,,,
50,07/13/18 07:00:00 AM,3.155,,,,,,
51,07/13/18 08:00:00 AM,3.155,,,,,,
52,07/13/18 09:00:00 AM,3.367,,,,,,
53,07/13/18 10:00:00 AM,3.472,,,,,,
54,07/13/18 11:00:00 AM,3.998,,,,,,
55,07/13/18 12:00:00 PM,5.860,,,,,,
56,07/13/18 01:00:00 PM,7.582,,,,,,
57,07/13/18 02:00:00 PM,7.280,,,,,,
58,07/13/18 03:00:00 PM,8.382,,,,,,
59,07/13/18 04:00:00 PM,12.787,,,,,,
60,07/13/18 05:00:00 PM,15.760,,,,,,
61,07/13/18 06:00:00 PM,10.651,,,,,,
62,07/13/18 07:00:00 PM,13.558,,,,,,
63,07/13/18 08:00:00 PM,10.651,,,,,,
64,07/13/18 09:00:00 PM,10.455,,,,,,
65,07/13/18 10:00:00 PM,9.669,,,,,,
66,07/13/18 11:00:00 PM,9.571,,,,,,
67,07/14/18 12:00:00 AM,8.879,,,,,,
68,07/14/18 01:00:00 AM,7.381,,,,,,
69,07/14/18 02:00:00 AM,5.962,,,,,,
70,07/14/18 03:00:00 AM,4.934,,,,,,
71,07/14/18 04:00:00 AM,4.207,,,,,,
72,07/14/18 05:00:00 AM,4.102,,,,,,
73,07/14/18 06:00:00 AM,4.415,,,,,,
74,07/14/18 07:00:00 AM,4.102,,,,,,
75,07/14/18 08:00:00 AM,4.311,,,,,,
76,07/14/18 09:00:00 AM,6.064,,,,,,
77,07/14/18 10:00:00 AM,8.182,,,,,,
78,07/14/18 11:00:00 AM,9.965,,,,,,
79,07/14/18 12:00:00 PM,16.332,,,,,,
80,07/14/18 01:00:00 PM,19.567,,,,,,
81,07/14/18 02:00:00 PM,23.196,,,,,,
82,07/14/18 03:00:00 PM,14.804,,,,,,
83,07/14/18 04:00:00 PM,6.674,,,,,,
84,07/14/18 05:00:00 PM,5.450,,,,,,
85,07/14/18 06:00:00 PM,4.623,,,,,,
86,07/14/18 07:00:00 PM,4.519,,,,,,
87,07/14/18 08:00:00 PM,5.141,,,,,,
88,07/14/18 09:00:00 PM,4.934,,,,,,
89,07/14/18 10:00:00 PM,4.623,,,,,,
90,07/14/18 11:00:00 PM,3.893,,,,,,
91,07/15/18 12:00:00 AM,3.155,,,,,,
92,07/15/18 01:00:00 AM,2.730,,,,,,
93,07/15/18 02:00:00 AM,2.410,,,,,,
94,07/15/18 03:00:00 AM,2.088,,,,,,
95,07/15/18 04:00:00 AM,1.872,,,,,,
96,07/15/18 05:00:00 AM,1.872,,,,,,
97,07/15/18 06:00:00 AM,2.303,,,,,,
98,07/15/18 07:00:00 AM,2.730,,,,,,
99,07/15/18 08:00:00 AM,3.893,,,,,,
100,07/15/18 09:00:00 AM,4.311,,,,,,
101,07/15/18 10:00:00 AM,4.519,,,,,,
102,07/15/18 11:00:00 AM,5.244,,,,,,
103,07/15/18 12:00:00 PM,5.757,,,,,,
104,07/15/18 01:00:00 PM,6.166,,,,,,
105,07/15/18 02:00:00 PM,6.978,,,,,,
106,07/15/18 03:00:00 PM,8.680,,,,,,
107,07/15/18 04:00:00 PM,8.382,,,,,,
108,07/15/18 05:00:00 PM,8.779,,,,,,
109,07/15/18 06:00:00 PM,8.382,,,,,,
110,07/15/18 07:00:00 PM,7.882,,,,,,
111,07/15/18 08:00:00 PM,7.280,,,,,,
112,07/15/18 09:00:00 PM,5.860,,,,,,
113,07/15/18 10:00:00 PM,5.347,,,,,,
114,07/15/18 11:00:00 PM,4.207,,,,,,
115,07/16/18 12:00:00 AM,3.049,,,,,,
116,07/16/18 01:00:00 AM,2.195,,,,,,
117,07/16/18 02:00:00 AM,1.656,,,,,,
118,07/16/18 03:00:00 AM,1.221,,,,,,
119,07/16/18 04:00:00 AM,1.003,,,,,,
120,07/16/18 05:00:00 AM,0.784,,,,,,
121,07/16/18 06:00:00 AM,1.112,,,,,,
122,07/16/18 07:00:00 AM,2.410,,,,,,
123,07/16/18 08:00:00 AM,3.049,,,,,,
124,07/16/18 09:00:00 AM,3.788,,,,,,
125,07/16/18 10:00:00 AM,3.998,,,,,,
126,07/16/18 11:00:00 AM,5.757,,,,,,
127,07/16/18 12:00:00 PM,6.674,,,,,,
128,07/16/18 01:00:00 PM,8.680,,,,,,
129,07/16/18 02:00:00 PM,10.357,,,,,,
130,07/16/18 03:00:00 PM,11.819,,,,,,
131,07/16/18 04:00:00 PM,12.207,,,,,,
132,07/16/18 05:00:00 PM,12.110,,,,,,
133,07/16/18 06:00:00 PM,11.139,,,,,,
134,07/16/18 07:00:00 PM,7.079,,,,,,
135,07/16/18 08:00:00 PM,5.962,,,,,,
136,07/16/18 09:00:00 PM,5.757,,,,,,
137,07/16/18 10:00:00 PM,5.757,,,,,,
138,07/16/18 11:00:00 PM,4.831,,,,,,
139,07/17/18 12:00:00 AM,3.998,,,,,,
140,07/17/18 01:00:00 AM,3.261,,,,,,
141,07/17/18 02:00:00 AM,2.517,,,,,,
142,07/17/18 03:00:00 AM,1.872,,,,,,
143,07/17/18 04:00:00 AM,1.439,,,,,,
144,07/17/18 05:00:00 AM,1.330,,,,,,
145,07/17/18 06:00:00 AM,1.656,,,,,,
146,07/17/18 07:00:00 AM,2.195,,,,,,
147,07/17/18 08:00:00 AM,2.517,,,,,,
148,07/17/18 09:00:00 AM,3.155,,,,,,
149,07/17/18 10:00:00 AM,4.102,,,,,,
150,07/17/18 11:00:00 AM,5.347,,,,,,
151,07/17/18 12:00:00 PM,7.782,,,,,,
152,07/17/18 01:00:00 PM,9.077,,,,,,
153,07/17/18 02:00:00 PM,10.651,,,,,,
154,07/17/18 03:00:00 PM,11.722,,,,,,
155,07/17/18 04:00:00 PM,12.883,,,,,,
156,07/17/18 05:00:00 PM,13.365,,,,,,
157,07/17/18 06:00:00 PM,13.461,,,,,,
158,07/17/18 07:00:00 PM,12.980,,,,,,
159,07/17/18 08:00:00 PM,11.528,,,,,,
160,07/17/18 09:00:00 PM,9.866,,,,,,
161,07/17/18 10:00:00 PM,8.581,,,,,,
162,07/17/18 11:00:00 PM,7.481,,,,,,
163,07/18/18 12:00:00 AM,6.370,,,,,,
164,07/18/18 01:00:00 AM,5.141,,,,,,
165,07/18/18 02:00:00 AM,3.998,,,,,,
166,07/18/18 03:00:00 AM,3.261,,,,,,
167,07/18/18 04:00:00 AM,3.049,,,,,,
168,07/18/18 05:00:00 AM,3.049,,,,,,
