"Titre de tracé : 10358247"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10358247, SEN S/N: 10358247)","Coupleur détaché (LGR S/N: 10358247)","Pile défectueuse (LGR S/N: 10358247)","Coupleur attaché (LGR S/N: 10358247)","Hôte connecté (LGR S/N: 10358247)","Arrêté (LGR S/N: 10358247)","Fin de fichier (LGR S/N: 10358247)"
1,07/13/18 10:59:13 PM,21.378,,,,,,
2,07/13/18 10:59:16 PM,,Enregistré,,,,,
3,07/13/18 11:59:13 PM,12.690,,,,,,
4,07/14/18 12:59:13 AM,8.581,,,,,,
5,07/14/18 01:59:13 AM,6.674,,,,,,
6,07/14/18 02:59:13 AM,5.552,,,,,,
7,07/14/18 03:59:13 AM,4.727,,,,,,
8,07/14/18 04:59:13 AM,4.519,,,,,,
9,07/14/18 05:59:13 AM,4.831,,,,,,
10,07/14/18 06:59:13 AM,4.415,,,,,,
11,07/14/18 07:59:13 AM,4.519,,,,,,
12,07/14/18 08:59:13 AM,5.962,,,,,,
13,07/14/18 09:59:13 AM,7.782,,,,,,
14,07/14/18 10:59:13 AM,9.768,,,,,,
15,07/14/18 11:59:13 AM,11.139,,,,,,
16,07/14/18 12:59:13 PM,25.708,,,,,,
17,07/14/18 01:59:13 PM,19.472,,,,,,
18,07/14/18 02:59:13 PM,7.179,,,,,,
19,07/14/18 03:59:13 PM,6.268,,,,,,
20,07/14/18 04:59:13 PM,5.552,,,,,,
21,07/14/18 05:59:13 PM,5.141,,,,,,
22,07/14/18 06:59:13 PM,5.037,,,,,,
23,07/14/18 07:59:13 PM,5.141,,,,,,
24,07/14/18 08:59:13 PM,4.831,,,,,,
25,07/14/18 09:59:13 PM,4.623,,,,,,
26,07/14/18 10:59:13 PM,4.102,,,,,,
27,07/14/18 11:59:13 PM,3.683,,,,,,
28,07/15/18 12:59:13 AM,3.261,,,,,,
29,07/15/18 01:59:13 AM,3.049,,,,,,
30,07/15/18 02:59:13 AM,2.730,,,,,,
31,07/15/18 03:59:13 AM,2.517,,,,,,
32,07/15/18 04:59:13 AM,2.517,,,,,,
33,07/15/18 05:59:13 AM,2.837,,,,,,
34,07/15/18 06:59:13 AM,3.049,,,,,,
35,07/15/18 07:59:13 AM,3.578,,,,,,
36,07/15/18 08:59:13 AM,3.578,,,,,,
37,07/15/18 09:59:13 AM,3.578,,,,,,
38,07/15/18 10:59:13 AM,3.893,,,,,,
39,07/15/18 11:59:13 AM,4.415,,,,,,
40,07/15/18 12:59:13 PM,4.727,,,,,,
41,07/15/18 01:59:13 PM,5.450,,,,,,
42,07/15/18 02:59:13 PM,6.166,,,,,,
43,07/15/18 03:59:13 PM,6.166,,,,,,
44,07/15/18 04:59:13 PM,5.757,,,,,,
45,07/15/18 05:59:13 PM,5.552,,,,,,
46,07/15/18 06:59:13 PM,5.347,,,,,,
47,07/15/18 07:59:13 PM,4.831,,,,,,
48,07/15/18 08:59:13 PM,4.519,,,,,,
49,07/15/18 09:59:13 PM,4.311,,,,,,
50,07/15/18 10:59:13 PM,3.788,,,,,,
51,07/15/18 11:59:13 PM,3.049,,,,,,
52,07/16/18 12:59:13 AM,2.624,,,,,,
53,07/16/18 01:59:13 AM,2.195,,,,,,
54,07/16/18 02:59:13 AM,1.980,,,,,,
55,07/16/18 03:59:13 AM,1.764,,,,,,
56,07/16/18 04:59:13 AM,1.548,,,,,,
57,07/16/18 05:59:13 AM,1.656,,,,,,
58,07/16/18 06:59:13 AM,1.980,,,,,,
59,07/16/18 07:59:13 AM,2.410,,,,,,
60,07/16/18 08:59:13 AM,2.943,,,,,,
61,07/16/18 09:59:13 AM,3.578,,,,,,
62,07/16/18 10:59:13 AM,4.519,,,,,,
63,07/16/18 11:59:13 AM,5.244,,,,,,
64,07/16/18 12:59:13 PM,5.860,,,,,,
65,07/16/18 01:59:13 PM,6.166,,,,,,
66,07/16/18 02:59:13 PM,6.674,,,,,,
67,07/16/18 03:59:13 PM,6.978,,,,,,
68,07/16/18 04:59:13 PM,6.978,,,,,,
69,07/16/18 05:59:13 PM,6.370,,,,,,
70,07/16/18 06:59:13 PM,5.552,,,,,,
