"Titre de tracé : 20177023"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177023, SEN S/N: 20177023)","Coupleur détaché (LGR S/N: 20177023)","Pile défectueuse (LGR S/N: 20177023)","Coupleur attaché (LGR S/N: 20177023)","Hôte connecté (LGR S/N: 20177023)","Fin de fichier (LGR S/N: 20177023)"
1,07/13/18 10:57:23 PM,22.717,,,,,
2,07/13/18 10:57:28 PM,,Enregistré,,,,
3,07/13/18 11:57:23 PM,12.980,,,,,
4,07/14/18 12:57:23 AM,8.779,,,,,
5,07/14/18 01:57:23 AM,6.877,,,,,
6,07/14/18 02:57:23 AM,5.655,,,,,
7,07/14/18 03:57:23 AM,4.727,,,,,
8,07/14/18 04:57:23 AM,4.519,,,,,
9,07/14/18 05:57:23 AM,4.727,,,,,
10,07/14/18 06:57:23 AM,4.311,,,,,
11,07/14/18 07:57:23 AM,4.311,,,,,
12,07/14/18 08:57:23 AM,5.552,,,,,
13,07/14/18 09:57:23 AM,7.582,,,,,
14,07/14/18 10:57:23 AM,9.768,,,,,
15,07/14/18 11:57:23 AM,13.076,,,,,
16,07/14/18 12:57:23 PM,30.963,,,,,
17,07/14/18 01:57:23 PM,19.662,,,,,
18,07/14/18 02:57:23 PM,7.079,,,,,
19,07/14/18 03:57:23 PM,6.573,,,,,
20,07/14/18 04:57:23 PM,6.064,,,,,
21,07/14/18 05:57:23 PM,5.757,,,,,
22,07/14/18 06:57:23 PM,5.552,,,,,
23,07/14/18 07:57:23 PM,5.860,,,,,
24,07/14/18 08:57:23 PM,5.552,,,,,
25,07/14/18 09:57:23 PM,5.244,,,,,
26,07/14/18 10:57:23 PM,4.831,,,,,
27,07/14/18 11:57:23 PM,4.519,,,,,
28,07/15/18 12:57:23 AM,4.207,,,,,
29,07/15/18 01:57:23 AM,3.893,,,,,
30,07/15/18 02:57:23 AM,3.578,,,,,
31,07/15/18 03:57:23 AM,3.367,,,,,
32,07/15/18 04:57:23 AM,3.261,,,,,
33,07/15/18 05:57:23 AM,3.367,,,,,
34,07/15/18 06:57:23 AM,3.472,,,,,
35,07/15/18 07:57:23 AM,3.683,,,,,
36,07/15/18 08:57:23 AM,3.683,,,,,
37,07/15/18 09:57:23 AM,3.683,,,,,
38,07/15/18 10:57:23 AM,3.788,,,,,
39,07/15/18 11:57:23 AM,3.998,,,,,
40,07/15/18 12:57:23 PM,4.207,,,,,
41,07/15/18 01:57:23 PM,4.934,,,,,
42,07/15/18 02:57:23 PM,5.655,,,,,
43,07/15/18 03:57:23 PM,6.064,,,,,
44,07/15/18 04:57:23 PM,6.268,,,,,
45,07/15/18 05:57:23 PM,6.166,,,,,
46,07/15/18 06:57:23 PM,5.860,,,,,
47,07/15/18 07:57:23 PM,5.757,,,,,
48,07/15/18 08:57:23 PM,5.450,,,,,
49,07/15/18 09:57:23 PM,5.244,,,,,
50,07/15/18 10:57:23 PM,4.831,,,,,
51,07/15/18 11:57:23 PM,4.311,,,,,
52,07/16/18 12:57:23 AM,3.788,,,,,
53,07/16/18 01:57:23 AM,3.367,,,,,
54,07/16/18 02:57:23 AM,3.049,,,,,
55,07/16/18 03:57:23 AM,2.837,,,,,
56,07/16/18 04:57:23 AM,2.624,,,,,
57,07/16/18 05:57:23 AM,2.517,,,,,
58,07/16/18 06:57:23 AM,2.730,,,,,
59,07/16/18 07:57:23 AM,2.837,,,,,
60,07/16/18 08:57:23 AM,3.049,,,,,
61,07/16/18 09:57:23 AM,3.367,,,,,
62,07/16/18 10:57:23 AM,3.998,,,,,
63,07/16/18 11:57:23 AM,4.623,,,,,
64,07/16/18 12:57:23 PM,5.244,,,,,
65,07/16/18 01:57:23 PM,5.757,,,,,
66,07/16/18 02:57:23 PM,6.674,,,,,
67,07/16/18 03:57:23 PM,7.582,,,,,
68,07/16/18 04:57:23 PM,8.182,,,,,
69,07/16/18 05:57:23 PM,8.082,,,,,
70,07/16/18 06:57:23 PM,6.877,,,,,
71,07/16/18 07:57:23 PM,6.064,,,,,
72,07/16/18 08:57:23 PM,5.962,,,,,
73,07/16/18 09:57:23 PM,6.064,,,,,
74,07/16/18 10:57:23 PM,5.655,,,,,
75,07/16/18 11:57:23 PM,5.141,,,,,
76,07/17/18 12:57:23 AM,4.727,,,,,
77,07/17/18 01:57:23 AM,4.207,,,,,
78,07/17/18 02:57:23 AM,3.788,,,,,
79,07/17/18 03:57:23 AM,3.472,,,,,
80,07/17/18 04:57:23 AM,3.261,,,,,
81,07/17/18 05:57:23 AM,3.155,,,,,
82,07/17/18 06:57:23 AM,3.261,,,,,
83,07/17/18 07:57:23 AM,3.367,,,,,
84,07/17/18 08:57:23 AM,3.788,,,,,
85,07/17/18 09:57:23 AM,4.311,,,,,
86,07/17/18 10:57:23 AM,5.450,,,,,
87,07/17/18 11:57:23 AM,6.471,,,,,
88,07/17/18 12:57:23 PM,6.978,,,,,
89,07/17/18 01:57:23 PM,7.682,,,,,
90,07/17/18 02:57:23 PM,9.077,,,,,
91,07/17/18 03:57:23 PM,10.357,,,,,
