"Titre de tracé : 10727388"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10727388, SEN S/N: 10727388)","Coupleur détaché (LGR S/N: 10727388)","Pile défectueuse (LGR S/N: 10727388)","Coupleur attaché (LGR S/N: 10727388)","Hôte connecté (LGR S/N: 10727388)","Arrêté (LGR S/N: 10727388)","Fin de fichier (LGR S/N: 10727388)"
1,07/13/18 11:12:03 PM,21.569,,,,,,
2,07/13/18 11:12:15 PM,,Enregistré,,,,,
3,07/14/18 12:12:03 AM,11.916,,,,,,
4,07/14/18 01:12:03 AM,8.978,,,,,,
5,07/14/18 02:12:03 AM,7.179,,,,,,
6,07/14/18 03:12:03 AM,6.166,,,,,,
7,07/14/18 04:12:03 AM,5.347,,,,,,
8,07/14/18 05:12:03 AM,5.037,,,,,,
9,07/14/18 06:12:03 AM,5.037,,,,,,
10,07/14/18 07:12:03 AM,4.727,,,,,,
11,07/14/18 08:12:03 AM,4.727,,,,,,
12,07/14/18 09:12:03 AM,5.757,,,,,,
13,07/14/18 10:12:03 AM,8.779,,,,,,
14,07/14/18 11:12:03 AM,10.357,,,,,,
15,07/14/18 12:12:03 PM,17.950,,,,,,
16,07/14/18 01:12:03 PM,37.274,,,,,,
17,07/14/18 02:12:03 PM,8.082,,,,,,
18,07/14/18 03:12:03 PM,7.381,,,,,,
19,07/14/18 04:12:03 PM,6.775,,,,,,
20,07/14/18 05:12:03 PM,6.166,,,,,,
21,07/14/18 06:12:03 PM,5.757,,,,,,
22,07/14/18 07:12:03 PM,5.655,,,,,,
23,07/14/18 08:12:03 PM,5.655,,,,,,
24,07/14/18 09:12:03 PM,5.347,,,,,,
25,07/14/18 10:12:03 PM,5.037,,,,,,
26,07/14/18 11:12:03 PM,4.519,,,,,,
27,07/15/18 12:12:03 AM,4.102,,,,,,
28,07/15/18 01:12:03 AM,3.683,,,,,,
29,07/15/18 02:12:03 AM,3.367,,,,,,
30,07/15/18 03:12:03 AM,3.049,,,,,,
31,07/15/18 04:12:03 AM,2.837,,,,,,
32,07/15/18 05:12:03 AM,2.837,,,,,,
33,07/15/18 06:12:03 AM,3.049,,,,,,
34,07/15/18 07:12:03 AM,3.261,,,,,,
35,07/15/18 08:12:03 AM,3.683,,,,,,
36,07/15/18 09:12:03 AM,3.683,,,,,,
37,07/15/18 10:12:03 AM,3.788,,,,,,
38,07/15/18 11:12:03 AM,4.102,,,,,,
39,07/15/18 12:12:03 PM,4.415,,,,,,
40,07/15/18 01:12:03 PM,4.727,,,,,,
41,07/15/18 02:12:03 PM,6.166,,,,,,
42,07/15/18 03:12:03 PM,6.674,,,,,,
43,07/15/18 04:12:03 PM,6.978,,,,,,
44,07/15/18 05:12:03 PM,6.877,,,,,,
45,07/15/18 06:12:03 PM,6.471,,,,,,
46,07/15/18 07:12:03 PM,6.268,,,,,,
47,07/15/18 08:12:03 PM,5.655,,,,,,
48,07/15/18 09:12:03 PM,5.347,,,,,,
49,07/15/18 10:12:03 PM,4.934,,,,,,
50,07/15/18 11:12:03 PM,4.311,,,,,,
51,07/16/18 12:12:03 AM,3.683,,,,,,
52,07/16/18 01:12:03 AM,3.261,,,,,,
53,07/16/18 02:12:03 AM,2.837,,,,,,
54,07/16/18 03:12:03 AM,2.517,,,,,,
55,07/16/18 04:12:03 AM,2.410,,,,,,
56,07/16/18 05:12:03 AM,2.195,,,,,,
57,07/16/18 06:12:03 AM,2.410,,,,,,
58,07/16/18 07:12:03 AM,2.624,,,,,,
59,07/16/18 08:12:03 AM,2.837,,,,,,
60,07/16/18 09:12:03 AM,3.367,,,,,,
61,07/16/18 10:12:03 AM,3.788,,,,,,
62,07/16/18 11:12:03 AM,4.727,,,,,,
63,07/16/18 12:12:03 PM,6.064,,,,,,
64,07/16/18 01:12:03 PM,7.079,,,,,,
65,07/16/18 02:12:03 PM,7.582,,,,,,
66,07/16/18 03:12:03 PM,7.983,,,,,,
67,07/16/18 04:12:03 PM,8.481,,,,,,
68,07/16/18 05:12:03 PM,8.779,,,,,,
69,07/16/18 06:12:03 PM,7.983,,,,,,
70,07/16/18 07:12:03 PM,6.775,,,,,,
71,07/16/18 08:12:03 PM,6.166,,,,,,
72,07/16/18 09:12:03 PM,5.860,,,,,,
73,07/16/18 10:12:03 PM,5.860,,,,,,
74,07/16/18 11:12:03 PM,5.347,,,,,,
75,07/17/18 12:12:03 AM,4.727,,,,,,
76,07/17/18 01:12:03 AM,4.207,,,,,,
77,07/17/18 02:12:03 AM,3.683,,,,,,
78,07/17/18 03:12:03 AM,3.261,,,,,,
79,07/17/18 04:12:03 AM,2.943,,,,,,
80,07/17/18 05:12:03 AM,2.837,,,,,,
81,07/17/18 06:12:03 AM,2.837,,,,,,
82,07/17/18 07:12:03 AM,3.155,,,,,,
83,07/17/18 08:12:03 AM,3.472,,,,,,
84,07/17/18 09:12:03 AM,4.207,,,,,,
85,07/17/18 10:12:03 AM,4.831,,,,,,
86,07/17/18 11:12:03 AM,6.064,,,,,,
87,07/17/18 12:12:03 PM,7.381,,,,,,
88,07/17/18 01:12:03 PM,8.082,,,,,,
89,07/17/18 02:12:03 PM,8.978,,,,,,
90,07/17/18 03:12:03 PM,9.965,,,,,,
91,07/17/18 04:12:03 PM,10.651,,,,,,
92,07/17/18 05:12:03 PM,11.334,,,,,,
93,07/17/18 06:12:03 PM,11.139,,,,,,
94,07/17/18 07:12:03 PM,10.944,,,,,,
95,07/17/18 08:12:03 PM,10.161,,,,,,
96,07/17/18 09:12:03 PM,9.275,,,,,,
97,07/17/18 10:12:03 PM,8.581,,,,,,
98,07/17/18 11:12:03 PM,7.983,,,,,,
99,07/18/18 12:12:03 AM,7.280,,,,,,
100,07/18/18 01:12:03 AM,6.471,,,,,,
101,07/18/18 02:12:03 AM,5.757,,,,,,
102,07/18/18 03:12:03 AM,5.141,,,,,,
103,07/18/18 04:12:03 AM,4.831,,,,,,
104,07/18/18 05:12:03 AM,4.727,,,,,,
105,07/18/18 06:12:03 AM,4.519,,,,,,
106,07/18/18 07:12:03 AM,4.831,,,,,,
107,07/18/18 08:12:03 AM,5.141,,,,,,
108,07/18/18 09:12:03 AM,5.655,,,,,,
109,07/18/18 10:12:03 AM,6.877,,,,,,
110,07/18/18 11:12:03 AM,7.079,,,,,,
111,07/18/18 12:12:03 PM,7.882,,,,,,
112,07/18/18 01:12:03 PM,9.472,,,,,,
113,07/18/18 02:12:03 PM,10.259,,,,,,
114,07/18/18 03:12:03 PM,10.455,,,,,,
115,07/18/18 04:12:03 PM,10.846,,,,,,
116,07/18/18 05:12:03 PM,11.819,,,,,,
117,07/18/18 06:12:03 PM,11.722,,,,,,
118,07/18/18 07:12:03 PM,11.722,,,,,,
119,07/18/18 08:12:03 PM,10.748,,,,,,
120,07/18/18 09:12:03 PM,9.965,,,,,,
121,07/18/18 10:12:03 PM,9.176,,,,,,
122,07/18/18 11:12:03 PM,8.481,,,,,,
123,07/19/18 12:12:03 AM,7.782,,,,,,
124,07/19/18 01:12:03 AM,7.079,,,,,,
125,07/19/18 02:12:03 AM,6.573,,,,,,
126,07/19/18 03:12:03 AM,5.860,,,,,,
127,07/19/18 04:12:03 AM,5.244,,,,,,
128,07/19/18 05:12:03 AM,5.037,,,,,,
129,07/19/18 06:12:03 AM,5.141,,,,,,
130,07/19/18 07:12:03 AM,5.037,,,,,,
131,07/19/18 08:12:03 AM,5.141,,,,,,
132,07/19/18 09:12:03 AM,5.757,,,,,,
133,07/19/18 10:12:03 AM,6.166,,,,,,
134,07/19/18 11:12:03 AM,6.370,,,,,,
135,07/19/18 12:12:03 PM,6.166,,,,,,
136,07/19/18 01:12:03 PM,6.166,,,,,,
137,07/19/18 02:12:03 PM,6.674,,,,,,
138,07/19/18 03:12:03 PM,6.370,,,,,,
139,07/19/18 04:12:03 PM,5.757,,,,,,
140,07/19/18 05:12:03 PM,5.757,,,,,,
141,07/19/18 06:12:03 PM,5.757,,,,,,
142,07/19/18 07:12:03 PM,5.552,,,,,,
143,07/19/18 08:12:03 PM,5.244,,,,,,
144,07/19/18 09:12:03 PM,4.934,,,,,,
145,07/19/18 10:12:03 PM,4.727,,,,,,
146,07/19/18 11:12:03 PM,4.311,,,,,,
147,07/20/18 12:12:03 AM,4.102,,,,,,
148,07/20/18 01:12:03 AM,3.893,,,,,,
149,07/20/18 02:12:03 AM,3.788,,,,,,
150,07/20/18 03:12:03 AM,3.472,,,,,,
151,07/20/18 04:12:03 AM,3.155,,,,,,
152,07/20/18 05:12:03 AM,2.943,,,,,,
153,07/20/18 06:12:03 AM,2.943,,,,,,
154,07/20/18 07:12:03 AM,3.155,,,,,,
155,07/20/18 08:12:03 AM,3.472,,,,,,
156,07/20/18 09:12:03 AM,3.998,,,,,,
157,07/20/18 10:12:03 AM,4.623,,,,,,
158,07/20/18 11:12:03 AM,5.244,,,,,,
159,07/20/18 12:12:03 PM,6.775,,,,,,
160,07/20/18 01:12:03 PM,7.079,,,,,,
161,07/20/18 02:12:03 PM,6.674,,,,,,
162,07/20/18 03:12:03 PM,6.674,,,,,,
163,07/20/18 04:12:03 PM,6.877,,,,,,
164,07/20/18 05:12:03 PM,6.978,,,,,,
165,07/20/18 06:12:03 PM,6.674,,,,,,
166,07/20/18 07:12:03 PM,6.573,,,,,,
167,07/20/18 08:12:03 PM,6.674,,,,,,
168,07/20/18 09:12:03 PM,6.674,,,,,,
169,07/20/18 10:12:03 PM,6.268,,,,,,
170,07/20/18 11:12:03 PM,5.860,,,,,,
171,07/21/18 12:12:03 AM,5.552,,,,,,
172,07/21/18 01:12:03 AM,5.347,,,,,,
173,07/21/18 02:12:03 AM,5.141,,,,,,
174,07/21/18 03:12:03 AM,5.141,,,,,,
175,07/21/18 04:12:03 AM,5.347,,,,,,
176,07/21/18 05:12:03 AM,4.727,,,,,,
177,07/21/18 06:12:03 AM,3.998,,,,,,
178,07/21/18 07:12:03 AM,3.683,,,,,,
179,07/21/18 08:12:03 AM,3.683,,,,,,
180,07/21/18 09:12:03 AM,3.998,,,,,,
181,07/21/18 10:12:03 AM,4.727,,,,,,
182,07/21/18 11:12:03 AM,5.244,,,,,,
183,07/21/18 12:12:03 PM,5.655,,,,,,
184,07/21/18 01:12:03 PM,6.370,,,,,,
185,07/21/18 02:12:03 PM,6.978,,,,,,
186,07/21/18 03:12:03 PM,6.877,,,,,,
187,07/21/18 04:12:03 PM,6.268,,,,,,
188,07/21/18 05:12:03 PM,5.860,,,,,,
189,07/21/18 06:12:03 PM,5.347,,,,,,
190,07/21/18 07:12:03 PM,4.934,,,,,,
191,07/21/18 08:12:03 PM,4.727,,,,,,
192,07/21/18 09:12:03 PM,4.415,,,,,,
193,07/21/18 10:12:03 PM,4.207,,,,,,
194,07/21/18 11:12:03 PM,3.788,,,,,,
195,07/22/18 12:12:03 AM,3.472,,,,,,
196,07/22/18 01:12:03 AM,3.261,,,,,,
197,07/22/18 02:12:03 AM,3.155,,,,,,
198,07/22/18 03:12:03 AM,3.049,,,,,,
199,07/22/18 04:12:03 AM,2.943,,,,,,
200,07/22/18 05:12:03 AM,2.837,,,,,,
201,07/22/18 06:12:03 AM,2.730,,,,,,
202,07/22/18 07:12:03 AM,2.624,,,,,,
203,07/22/18 08:12:03 AM,2.730,,,,,,
204,07/22/18 09:12:03 AM,3.049,,,,,,
205,07/22/18 10:12:03 AM,3.472,,,,,,
206,07/22/18 11:12:03 AM,3.788,,,,,,
207,07/22/18 12:12:03 PM,3.578,,,,,,
208,07/22/18 01:12:03 PM,3.472,,,,,,
209,07/22/18 02:12:03 PM,3.683,,,,,,
210,07/22/18 03:12:03 PM,3.683,,,,,,
211,07/22/18 04:12:03 PM,3.788,,,,,,
