"Titre de tracé : 20151594"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20151594, SEN S/N: 20151594)","Coupleur détaché (LGR S/N: 20151594)","Pile défectueuse (LGR S/N: 20151594)","Coupleur attaché (LGR S/N: 20151594)","Hôte connecté (LGR S/N: 20151594)","Arrêté (LGR S/N: 20151594)","Fin de fichier (LGR S/N: 20151594)"
1,07/13/18 11:06:27 PM,24.738,,,,,,
2,07/13/18 11:06:32 PM,,Enregistré,,,,,
3,07/14/18 12:06:27 AM,11.431,,,,,,
4,07/14/18 01:06:27 AM,8.382,,,,,,
5,07/14/18 02:06:27 AM,6.268,,,,,,
6,07/14/18 03:06:27 AM,5.450,,,,,,
7,07/14/18 04:06:27 AM,4.727,,,,,,
8,07/14/18 05:06:27 AM,4.519,,,,,,
9,07/14/18 06:06:27 AM,4.831,,,,,,
10,07/14/18 07:06:27 AM,4.415,,,,,,
11,07/14/18 08:06:27 AM,4.623,,,,,,
12,07/14/18 09:06:27 AM,6.064,,,,,,
13,07/14/18 10:06:27 AM,8.282,,,,,,
14,07/14/18 11:06:27 AM,10.063,,,,,,
15,07/14/18 12:06:27 PM,19.758,,,,,,
16,07/14/18 01:06:27 PM,21.473,,,,,,
17,07/14/18 02:06:27 PM,8.879,,,,,,
18,07/14/18 03:06:27 PM,8.282,,,,,,
19,07/14/18 04:06:27 PM,7.381,,,,,,
20,07/14/18 05:06:27 PM,6.674,,,,,,
21,07/14/18 06:06:27 PM,6.064,,,,,,
22,07/14/18 07:06:27 PM,5.757,,,,,,
23,07/14/18 08:06:27 PM,5.552,,,,,,
24,07/14/18 09:06:27 PM,5.141,,,,,,
25,07/14/18 10:06:27 PM,4.934,,,,,,
26,07/14/18 11:06:27 PM,4.415,,,,,,
27,07/15/18 12:06:27 AM,3.893,,,,,,
28,07/15/18 01:06:27 AM,3.578,,,,,,
29,07/15/18 02:06:27 AM,3.261,,,,,,
30,07/15/18 03:06:27 AM,2.943,,,,,,
31,07/15/18 04:06:27 AM,2.730,,,,,,
32,07/15/18 05:06:27 AM,2.730,,,,,,
33,07/15/18 06:06:27 AM,2.943,,,,,,
34,07/15/18 07:06:27 AM,3.155,,,,,,
35,07/15/18 08:06:27 AM,3.578,,,,,,
36,07/15/18 09:06:27 AM,3.683,,,,,,
37,07/15/18 10:06:27 AM,3.788,,,,,,
38,07/15/18 11:06:27 AM,4.102,,,,,,
39,07/15/18 12:06:27 PM,4.415,,,,,,
40,07/15/18 01:06:27 PM,4.623,,,,,,
41,07/15/18 02:06:27 PM,5.655,,,,,,
42,07/15/18 03:06:27 PM,6.370,,,,,,
43,07/15/18 04:06:27 PM,6.268,,,,,,
44,07/15/18 05:06:27 PM,6.166,,,,,,
45,07/15/18 06:06:27 PM,5.757,,,,,,
46,07/15/18 07:06:27 PM,5.450,,,,,,
47,07/15/18 08:06:27 PM,4.934,,,,,,
48,07/15/18 09:06:27 PM,4.415,,,,,,
49,07/15/18 10:06:27 PM,4.207,,,,,,
50,07/15/18 11:06:27 PM,3.683,,,,,,
51,07/16/18 12:06:27 AM,3.049,,,,,,
52,07/16/18 01:06:27 AM,2.624,,,,,,
53,07/16/18 02:06:27 AM,2.195,,,,,,
54,07/16/18 03:06:27 AM,1.980,,,,,,
55,07/16/18 04:06:27 AM,1.872,,,,,,
56,07/16/18 05:06:27 AM,1.980,,,,,,
57,07/16/18 06:06:27 AM,2.303,,,,,,
58,07/16/18 07:06:27 AM,2.837,,,,,,
59,07/16/18 08:06:27 AM,3.261,,,,,,
