"Titre de tracé : 20151588"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20151588, SEN S/N: 20151588)","Coupleur détaché (LGR S/N: 20151588)","Pile défectueuse (LGR S/N: 20151588)","Coupleur attaché (LGR S/N: 20151588)","Hôte connecté (LGR S/N: 20151588)","Arrêté (LGR S/N: 20151588)","Fin de fichier (LGR S/N: 20151588)"
1,07/13/18 11:09:26 PM,21.760,,,,,,
2,07/13/18 11:09:35 PM,,Enregistré,,,,,
3,07/14/18 12:09:26 AM,14.230,,,,,,
4,07/14/18 01:09:26 AM,9.669,,,,,,
5,07/14/18 02:09:26 AM,7.582,,,,,,
6,07/14/18 03:09:26 AM,6.268,,,,,,
7,07/14/18 04:09:26 AM,5.347,,,,,,
8,07/14/18 05:09:26 AM,4.934,,,,,,
9,07/14/18 06:09:26 AM,4.934,,,,,,
10,07/14/18 07:09:26 AM,4.727,,,,,,
11,07/14/18 08:09:26 AM,4.623,,,,,,
12,07/14/18 09:09:26 AM,5.347,,,,,,
13,07/14/18 10:09:26 AM,7.983,,,,,,
14,07/14/18 11:09:26 AM,11.625,,,,,,
15,07/14/18 12:09:26 PM,23.677,,,,,,
16,07/14/18 01:09:26 PM,5.347,,,,,,
17,07/14/18 02:09:26 PM,6.268,,,,,,
18,07/14/18 03:09:26 PM,6.268,,,,,,
19,07/14/18 04:09:26 PM,5.860,,,,,,
20,07/14/18 05:09:26 PM,5.450,,,,,,
21,07/14/18 06:09:26 PM,5.141,,,,,,
22,07/14/18 07:09:26 PM,5.037,,,,,,
23,07/14/18 08:09:26 PM,5.450,,,,,,
24,07/14/18 09:09:26 PM,5.037,,,,,,
25,07/14/18 10:09:26 PM,4.831,,,,,,
26,07/14/18 11:09:26 PM,4.311,,,,,,
27,07/15/18 12:09:26 AM,3.893,,,,,,
28,07/15/18 01:09:26 AM,3.472,,,,,,
29,07/15/18 02:09:26 AM,3.155,,,,,,
30,07/15/18 03:09:26 AM,2.943,,,,,,
31,07/15/18 04:09:26 AM,2.730,,,,,,
32,07/15/18 05:09:26 AM,2.730,,,,,,
33,07/15/18 06:09:26 AM,2.943,,,,,,
34,07/15/18 07:09:26 AM,3.155,,,,,,
35,07/15/18 08:09:26 AM,3.472,,,,,,
36,07/15/18 09:09:26 AM,3.472,,,,,,
37,07/15/18 10:09:26 AM,3.472,,,,,,
38,07/15/18 11:09:26 AM,3.788,,,,,,
39,07/15/18 12:09:26 PM,4.102,,,,,,
40,07/15/18 01:09:26 PM,4.415,,,,,,
41,07/15/18 02:09:26 PM,5.141,,,,,,
42,07/15/18 03:09:26 PM,5.860,,,,,,
43,07/15/18 04:09:26 PM,5.860,,,,,,
44,07/15/18 05:09:26 PM,5.962,,,,,,
45,07/15/18 06:09:26 PM,5.962,,,,,,
46,07/15/18 07:09:26 PM,5.655,,,,,,
47,07/15/18 08:09:26 PM,5.552,,,,,,
48,07/15/18 09:09:26 PM,5.552,,,,,,
49,07/15/18 10:09:26 PM,5.450,,,,,,
50,07/15/18 11:09:26 PM,4.934,,,,,,
51,07/16/18 12:09:26 AM,4.102,,,,,,
52,07/16/18 01:09:26 AM,3.367,,,,,,
53,07/16/18 02:09:26 AM,2.943,,,,,,
54,07/16/18 03:09:26 AM,2.624,,,,,,
55,07/16/18 04:09:26 AM,2.410,,,,,,
56,07/16/18 05:09:26 AM,2.303,,,,,,
57,07/16/18 06:09:26 AM,2.410,,,,,,
58,07/16/18 07:09:26 AM,2.517,,,,,,
59,07/16/18 08:09:26 AM,2.837,,,,,,
60,07/16/18 09:09:26 AM,3.155,,,,,,
61,07/16/18 10:09:26 AM,3.367,,,,,,
62,07/16/18 11:09:26 AM,3.788,,,,,,
63,07/16/18 12:09:26 PM,4.311,,,,,,
64,07/16/18 01:09:26 PM,4.934,,,,,,
65,07/16/18 02:09:26 PM,5.450,,,,,,
66,07/16/18 03:09:26 PM,6.166,,,,,,
67,07/16/18 04:09:26 PM,6.674,,,,,,
68,07/16/18 05:09:26 PM,7.079,,,,,,
69,07/16/18 06:09:26 PM,7.079,,,,,,
70,07/16/18 07:09:26 PM,6.064,,,,,,
71,07/16/18 08:09:26 PM,5.450,,,,,,
72,07/16/18 09:09:26 PM,5.757,,,,,,
73,07/16/18 10:09:26 PM,6.370,,,,,,
74,07/16/18 11:09:26 PM,5.552,,,,,,
75,07/17/18 12:09:26 AM,5.037,,,,,,
76,07/17/18 01:09:26 AM,4.415,,,,,,
77,07/17/18 02:09:26 AM,3.788,,,,,,
78,07/17/18 03:09:26 AM,3.261,,,,,,
79,07/17/18 04:09:26 AM,2.837,,,,,,
80,07/17/18 05:09:26 AM,2.730,,,,,,
81,07/17/18 06:09:26 AM,2.730,,,,,,
82,07/17/18 07:09:26 AM,3.049,,,,,,
83,07/17/18 08:09:26 AM,3.472,,,,,,
84,07/17/18 09:09:26 AM,3.893,,,,,,
85,07/17/18 10:09:26 AM,4.311,,,,,,
86,07/17/18 11:09:26 AM,5.141,,,,,,
87,07/17/18 12:09:26 PM,5.860,,,,,,
88,07/17/18 01:09:26 PM,6.268,,,,,,
89,07/17/18 02:09:26 PM,7.179,,,,,,
90,07/17/18 03:09:26 PM,8.182,,,,,,
91,07/17/18 04:09:26 PM,8.779,,,,,,
92,07/17/18 05:09:26 PM,9.472,,,,,,
93,07/17/18 06:09:26 PM,9.866,,,,,,
94,07/17/18 07:09:26 PM,10.063,,,,,,
95,07/17/18 08:09:26 PM,9.571,,,,,,
96,07/17/18 09:09:26 PM,9.077,,,,,,
97,07/17/18 10:09:26 PM,8.779,,,,,,
98,07/17/18 11:09:26 PM,8.082,,,,,,
99,07/18/18 12:09:26 AM,7.280,,,,,,
100,07/18/18 01:09:26 AM,6.370,,,,,,
101,07/18/18 02:09:26 AM,5.450,,,,,,
102,07/18/18 03:09:26 AM,4.727,,,,,,
103,07/18/18 04:09:26 AM,4.519,,,,,,
104,07/18/18 05:09:26 AM,4.311,,,,,,
105,07/18/18 06:09:26 AM,4.207,,,,,,
106,07/18/18 07:09:26 AM,4.519,,,,,,
107,07/18/18 08:09:26 AM,4.831,,,,,,
108,07/18/18 09:09:26 AM,5.347,,,,,,
109,07/18/18 10:09:26 AM,6.166,,,,,,
110,07/18/18 11:09:26 AM,6.268,,,,,,
111,07/18/18 12:09:26 PM,6.978,,,,,,
112,07/18/18 01:09:26 PM,8.082,,,,,,
113,07/18/18 02:09:26 PM,8.978,,,,,,
114,07/18/18 03:09:26 PM,9.176,,,,,,
115,07/18/18 04:09:26 PM,9.373,,,,,,
116,07/18/18 05:09:26 PM,10.357,,,,,,
117,07/18/18 06:09:26 PM,10.748,,,,,,
118,07/18/18 07:09:26 PM,10.944,,,,,,
119,07/18/18 08:09:26 PM,10.357,,,,,,
120,07/18/18 09:09:26 PM,9.866,,,,,,
121,07/18/18 10:09:26 PM,8.779,,,,,,
122,07/18/18 11:09:26 PM,8.282,,,,,,
123,07/19/18 12:09:26 AM,7.381,,,,,,
124,07/19/18 01:09:26 AM,6.471,,,,,,
125,07/19/18 02:09:26 AM,5.962,,,,,,
126,07/19/18 03:09:26 AM,5.244,,,,,,
127,07/19/18 04:09:26 AM,4.727,,,,,,
128,07/19/18 05:09:26 AM,4.519,,,,,,
129,07/19/18 06:09:26 AM,4.519,,,,,,
130,07/19/18 07:09:26 AM,4.519,,,,,,
131,07/19/18 08:09:26 AM,4.519,,,,,,
132,07/19/18 09:09:26 AM,4.934,,,,,,
133,07/19/18 10:09:26 AM,5.141,,,,,,
134,07/19/18 11:09:26 AM,5.347,,,,,,
135,07/19/18 12:09:26 PM,5.244,,,,,,
