"Titre de tracé : 20151607"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20151607, SEN S/N: 20151607)","Coupleur détaché (LGR S/N: 20151607)","Pile défectueuse (LGR S/N: 20151607)","Coupleur attaché (LGR S/N: 20151607)","Hôte connecté (LGR S/N: 20151607)","Arrêté (LGR S/N: 20151607)","Fin de fichier (LGR S/N: 20151607)"
1,07/13/18 11:11:10 PM,20.996,,,,,,
2,07/13/18 11:11:29 PM,,Enregistré,,,,,
3,07/14/18 12:11:10 AM,13.269,,,,,,
4,07/14/18 01:11:10 AM,9.176,,,,,,
5,07/14/18 02:11:10 AM,6.877,,,,,,
6,07/14/18 03:11:10 AM,5.757,,,,,,
7,07/14/18 04:11:10 AM,4.934,,,,,,
8,07/14/18 05:11:10 AM,4.623,,,,,,
9,07/14/18 06:11:10 AM,4.831,,,,,,
10,07/14/18 07:11:10 AM,4.519,,,,,,
11,07/14/18 08:11:10 AM,4.623,,,,,,
12,07/14/18 09:11:10 AM,5.962,,,,,,
13,07/14/18 10:11:10 AM,8.581,,,,,,
14,07/14/18 11:11:10 AM,10.553,,,,,,
15,07/14/18 12:11:10 PM,27.075,,,,,,
16,07/14/18 01:11:10 PM,4.623,,,,,,
17,07/14/18 02:11:10 PM,5.347,,,,,,
18,07/14/18 03:11:10 PM,5.757,,,,,,
19,07/14/18 04:11:10 PM,5.552,,,,,,
20,07/14/18 05:11:10 PM,5.347,,,,,,
21,07/14/18 06:11:10 PM,5.141,,,,,,
22,07/14/18 07:11:10 PM,4.934,,,,,,
23,07/14/18 08:11:10 PM,5.037,,,,,,
24,07/14/18 09:11:10 PM,4.831,,,,,,
25,07/14/18 10:11:10 PM,4.623,,,,,,
26,07/14/18 11:11:10 PM,4.311,,,,,,
27,07/15/18 12:11:10 AM,3.998,,,,,,
28,07/15/18 01:11:10 AM,3.683,,,,,,
29,07/15/18 02:11:10 AM,3.472,,,,,,
30,07/15/18 03:11:10 AM,3.155,,,,,,
31,07/15/18 04:11:10 AM,2.943,,,,,,
32,07/15/18 05:11:10 AM,2.837,,,,,,
33,07/15/18 06:11:10 AM,2.837,,,,,,
34,07/15/18 07:11:10 AM,2.943,,,,,,
35,07/15/18 08:11:10 AM,3.049,,,,,,
36,07/15/18 09:11:10 AM,3.155,,,,,,
37,07/15/18 10:11:10 AM,3.155,,,,,,
38,07/15/18 11:11:10 AM,3.261,,,,,,
39,07/15/18 12:11:10 PM,3.472,,,,,,
40,07/15/18 01:11:10 PM,3.683,,,,,,
41,07/15/18 02:11:10 PM,4.102,,,,,,
42,07/15/18 03:11:10 PM,4.727,,,,,,
43,07/15/18 04:11:10 PM,5.037,,,,,,
44,07/15/18 05:11:10 PM,5.141,,,,,,
45,07/15/18 06:11:10 PM,5.141,,,,,,
46,07/15/18 07:11:10 PM,5.037,,,,,,
47,07/15/18 08:11:10 PM,4.934,,,,,,
48,07/15/18 09:11:10 PM,4.831,,,,,,
49,07/15/18 10:11:10 PM,4.623,,,,,,
50,07/15/18 11:11:10 PM,4.311,,,,,,
51,07/16/18 12:11:10 AM,3.788,,,,,,
52,07/16/18 01:11:10 AM,3.261,,,,,,
53,07/16/18 02:11:10 AM,2.943,,,,,,
54,07/16/18 03:11:10 AM,2.517,,,,,,
55,07/16/18 04:11:10 AM,2.303,,,,,,
56,07/16/18 05:11:10 AM,2.088,,,,,,
57,07/16/18 06:11:10 AM,2.088,,,,,,
58,07/16/18 07:11:10 AM,2.195,,,,,,
59,07/16/18 08:11:10 AM,2.303,,,,,,
60,07/16/18 09:11:10 AM,2.517,,,,,,
61,07/16/18 10:11:10 AM,2.837,,,,,,
62,07/16/18 11:11:10 AM,3.367,,,,,,
63,07/16/18 12:11:10 PM,3.788,,,,,,
64,07/16/18 01:11:10 PM,4.415,,,,,,
65,07/16/18 02:11:10 PM,4.934,,,,,,
66,07/16/18 03:11:10 PM,5.552,,,,,,
67,07/16/18 04:11:10 PM,6.064,,,,,,
68,07/16/18 05:11:10 PM,6.370,,,,,,
69,07/16/18 06:11:10 PM,6.370,,,,,,
70,07/16/18 07:11:10 PM,5.757,,,,,,
71,07/16/18 08:11:10 PM,5.244,,,,,,
72,07/16/18 09:11:10 PM,5.141,,,,,,
73,07/16/18 10:11:10 PM,5.347,,,,,,
74,07/16/18 11:11:10 PM,4.934,,,,,,
75,07/17/18 12:11:10 AM,4.519,,,,,,
76,07/17/18 01:11:10 AM,3.998,,,,,,
77,07/17/18 02:11:10 AM,3.578,,,,,,
78,07/17/18 03:11:10 AM,3.155,,,,,,
79,07/17/18 04:11:10 AM,2.730,,,,,,
80,07/17/18 05:11:10 AM,2.517,,,,,,
81,07/17/18 06:11:10 AM,2.410,,,,,,
82,07/17/18 07:11:10 AM,2.517,,,,,,
83,07/17/18 08:11:10 AM,2.730,,,,,,
84,07/17/18 09:11:10 AM,3.155,,,,,,
85,07/17/18 10:11:10 AM,3.578,,,,,,
86,07/17/18 11:11:10 AM,4.415,,,,,,
87,07/17/18 12:11:10 PM,5.244,,,,,,
88,07/17/18 01:11:10 PM,5.757,,,,,,
89,07/17/18 02:11:10 PM,6.471,,,,,,
90,07/17/18 03:11:10 PM,7.381,,,,,,
91,07/17/18 04:11:10 PM,8.082,,,,,,
92,07/17/18 05:11:10 PM,8.680,,,,,,
93,07/17/18 06:11:10 PM,8.879,,,,,,
94,07/17/18 07:11:10 PM,9.077,,,,,,
95,07/17/18 08:11:10 PM,8.680,,,,,,
96,07/17/18 09:11:10 PM,8.282,,,,,,
97,07/17/18 10:11:10 PM,7.882,,,,,,
98,07/17/18 11:11:10 PM,7.381,,,,,,
99,07/18/18 12:11:10 AM,6.775,,,,,,
100,07/18/18 01:11:10 AM,6.064,,,,,,
101,07/18/18 02:11:10 AM,5.450,,,,,,
102,07/18/18 03:11:10 AM,4.831,,,,,,
103,07/18/18 04:11:10 AM,4.519,,,,,,
104,07/18/18 05:11:10 AM,4.311,,,,,,
105,07/18/18 06:11:10 AM,3.998,,,,,,
106,07/18/18 07:11:10 AM,4.102,,,,,,
107,07/18/18 08:11:10 AM,4.207,,,,,,
108,07/18/18 09:11:10 AM,4.519,,,,,,
109,07/18/18 10:11:10 AM,5.141,,,,,,
110,07/18/18 11:11:10 AM,5.552,,,,,,
111,07/18/18 12:11:10 PM,5.860,,,,,,
112,07/18/18 01:11:10 PM,6.775,,,,,,
113,07/18/18 02:11:10 PM,7.481,,,,,,
114,07/18/18 03:11:10 PM,7.882,,,,,,
115,07/18/18 04:11:10 PM,8.282,,,,,,
116,07/18/18 05:11:10 PM,8.879,,,,,,
117,07/18/18 06:11:10 PM,9.275,,,,,,
118,07/18/18 07:11:10 PM,9.373,,,,,,
