"Titre de tracé : 10361668"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10361668, SEN S/N: 10361668)","Pile défectueuse (LGR S/N: 10361668)","Pile OK (LGR S/N: 10361668)","Coupleur attaché (LGR S/N: 10361668)","Hôte connecté (LGR S/N: 10361668)","Arrêté (LGR S/N: 10361668)","Fin de fichier (LGR S/N: 10361668)"
1,07/11/18 06:00:00 AM,8.182,,,,,,
2,07/11/18 07:00:00 AM,8.879,,,,,,
3,07/11/18 08:00:00 AM,10.846,,,,,,
4,07/11/18 09:00:00 AM,8.680,,,,,,
5,07/11/18 10:00:00 AM,9.965,,,,,,
6,07/11/18 11:00:00 AM,12.980,,,,,,
7,07/11/18 12:00:00 PM,14.996,,,,,,
8,07/11/18 01:00:00 PM,14.900,,,,,,
9,07/11/18 02:00:00 PM,15.282,,,,,,
10,07/11/18 03:00:00 PM,15.282,,,,,,
11,07/11/18 04:00:00 PM,14.421,,,,,,
12,07/11/18 05:00:00 PM,13.750,,,,,,
13,07/11/18 06:00:00 PM,12.690,,,,,,
14,07/11/18 07:00:00 PM,12.110,,,,,,
15,07/11/18 08:00:00 PM,11.236,,,,,,
16,07/11/18 09:00:00 PM,10.553,,,,,,
17,07/11/18 10:00:00 PM,9.866,,,,,,
18,07/11/18 11:00:00 PM,9.571,,,,,,
19,07/12/18 12:00:00 AM,9.176,,,,,,
20,07/12/18 01:00:00 AM,8.382,,,,,,
21,07/12/18 02:00:00 AM,7.481,,,,,,
22,07/12/18 03:00:00 AM,6.674,,,,,,
23,07/12/18 04:00:00 AM,6.268,,,,,,
24,07/12/18 05:00:00 AM,6.166,,,,,,
25,07/12/18 06:00:00 AM,6.370,,,,,,
26,07/12/18 07:00:00 AM,6.775,,,,,,
27,07/12/18 08:00:00 AM,7.280,,,,,,
28,07/12/18 09:00:00 AM,7.782,,,,,,
29,07/12/18 10:00:00 AM,8.182,,,,,,
30,07/12/18 11:00:00 AM,9.077,,,,,,
31,07/12/18 12:00:00 PM,8.978,,,,,,
32,07/12/18 01:00:00 PM,8.779,,,,,,
33,07/12/18 02:00:00 PM,8.879,,,,,,
34,07/12/18 03:00:00 PM,9.768,,,,,,
35,07/12/18 04:00:00 PM,10.161,,,,,,
36,07/12/18 05:00:00 PM,10.846,,,,,,
37,07/12/18 06:00:00 PM,10.553,,,,,,
38,07/12/18 07:00:00 PM,10.357,,,,,,
39,07/12/18 08:00:00 PM,10.161,,,,,,
40,07/12/18 09:00:00 PM,8.481,,,,,,
41,07/12/18 10:00:00 PM,6.674,,,,,,
42,07/12/18 11:00:00 PM,5.655,,,,,,
43,07/13/18 12:00:00 AM,5.141,,,,,,
44,07/13/18 01:00:00 AM,5.037,,,,,,
45,07/13/18 02:00:00 AM,4.623,,,,,,
46,07/13/18 03:00:00 AM,4.207,,,,,,
47,07/13/18 04:00:00 AM,3.893,,,,,,
48,07/13/18 05:00:00 AM,3.578,,,,,,
49,07/13/18 06:00:00 AM,3.367,,,,,,
50,07/13/18 07:00:00 AM,3.049,,,,,,
51,07/13/18 08:00:00 AM,3.155,,,,,,
52,07/13/18 09:00:00 AM,3.367,,,,,,
