"Titre de tracé : 2023609"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 2023609, SEN S/N: 2023609)","Hôte connecté (LGR S/N: 2023609)","Coupleur attaché (LGR S/N: 2023609)","Arrêté (LGR S/N: 2023609)","Fin de fichier (LGR S/N: 2023609)"
1,07/11/18 06:00:00 AM,8.082,,,,
2,07/11/18 07:00:00 AM,9.077,,,,
3,07/11/18 08:00:00 AM,10.944,,,,
4,07/11/18 09:00:00 AM,8.779,,,,
5,07/11/18 10:00:00 AM,9.275,,,,
6,07/11/18 11:00:00 AM,12.883,,,,
7,07/11/18 12:00:00 PM,15.187,,,,
8,07/11/18 01:00:00 PM,15.091,,,,
9,07/11/18 02:00:00 PM,15.378,,,,
10,07/11/18 03:00:00 PM,15.187,,,,
11,07/11/18 04:00:00 PM,14.325,,,,
12,07/11/18 05:00:00 PM,13.654,,,,
13,07/11/18 06:00:00 PM,12.690,,,,
14,07/11/18 07:00:00 PM,12.013,,,,
15,07/11/18 08:00:00 PM,11.041,,,,
16,07/11/18 09:00:00 PM,10.357,,,,
17,07/11/18 10:00:00 PM,9.768,,,,
18,07/11/18 11:00:00 PM,9.472,,,,
19,07/12/18 12:00:00 AM,9.077,,,,
20,07/12/18 01:00:00 AM,8.082,,,,
21,07/12/18 02:00:00 AM,7.280,,,,
22,07/12/18 03:00:00 AM,6.370,,,,
23,07/12/18 04:00:00 AM,6.166,,,,
24,07/12/18 05:00:00 AM,6.166,,,,
25,07/12/18 06:00:00 AM,6.370,,,,
26,07/12/18 07:00:00 AM,6.775,,,,
27,07/12/18 08:00:00 AM,7.381,,,,
28,07/12/18 09:00:00 AM,7.882,,,,
29,07/12/18 10:00:00 AM,8.182,,,,
30,07/12/18 11:00:00 AM,8.680,,,,
31,07/12/18 12:00:00 PM,8.879,,,,
32,07/12/18 01:00:00 PM,8.680,,,,
33,07/12/18 02:00:00 PM,8.879,,,,
34,07/12/18 03:00:00 PM,9.768,,,,
35,07/12/18 04:00:00 PM,10.161,,,,
36,07/12/18 05:00:00 PM,10.748,,,,
37,07/12/18 06:00:00 PM,10.553,,,,
38,07/12/18 07:00:00 PM,10.357,,,,
39,07/12/18 08:00:00 PM,10.161,,,,
40,07/12/18 09:00:00 PM,8.382,,,,
41,07/12/18 10:00:00 PM,6.674,,,,
42,07/12/18 11:00:00 PM,5.552,,,,
43,07/13/18 12:00:00 AM,5.037,,,,
44,07/13/18 01:00:00 AM,5.037,,,,
45,07/13/18 02:00:00 AM,4.519,,,,
46,07/13/18 03:00:00 AM,4.207,,,,
47,07/13/18 04:00:00 AM,3.788,,,,
48,07/13/18 05:00:00 AM,3.578,,,,
49,07/13/18 06:00:00 AM,3.261,,,,
50,07/13/18 07:00:00 AM,3.049,,,,
51,07/13/18 08:00:00 AM,3.155,,,,
52,07/13/18 09:00:00 AM,3.367,,,,
53,07/13/18 10:00:00 AM,3.578,,,,
54,07/13/18 11:00:00 AM,4.207,,,,
55,07/13/18 12:00:00 PM,7.079,,,,
56,07/13/18 01:00:00 PM,7.983,,,,
57,07/13/18 02:00:00 PM,7.782,,,,
58,07/13/18 03:00:00 PM,8.182,,,,
59,07/13/18 04:00:00 PM,12.401,,,,
60,07/13/18 05:00:00 PM,14.613,,,,
61,07/13/18 06:00:00 PM,11.334,,,,
62,07/13/18 07:00:00 PM,11.916,,,,
63,07/13/18 08:00:00 PM,11.528,,,,
64,07/13/18 09:00:00 PM,4.727,,,,
65,07/13/18 10:00:00 PM,3.998,,,,
66,07/13/18 11:00:00 PM,3.367,,,,
67,07/14/18 12:00:00 AM,2.730,,,,
68,07/14/18 01:00:00 AM,2.195,,,,
69,07/14/18 02:00:00 AM,1.656,,,,
70,07/14/18 03:00:00 AM,1.330,,,,
71,07/14/18 04:00:00 AM,1.112,,,,
72,07/14/18 05:00:00 AM,1.112,,,,
73,07/14/18 06:00:00 AM,1.112,,,,
74,07/14/18 07:00:00 AM,1.656,,,,
75,07/14/18 08:00:00 AM,2.730,,,,
76,07/14/18 09:00:00 AM,4.207,,,,
77,07/14/18 10:00:00 AM,5.450,,,,
78,07/14/18 11:00:00 AM,6.775,,,,
79,07/14/18 12:00:00 PM,7.381,,,,
80,07/14/18 01:00:00 PM,8.481,,,,
81,07/14/18 02:00:00 PM,9.669,,,,
82,07/14/18 03:00:00 PM,9.472,,,,
83,07/14/18 04:00:00 PM,8.282,,,,
84,07/14/18 05:00:00 PM,7.280,,,,
85,07/14/18 06:00:00 PM,6.674,,,,
86,07/14/18 07:00:00 PM,6.370,,,,
87,07/14/18 08:00:00 PM,6.268,,,,
88,07/14/18 09:00:00 PM,5.860,,,,
89,07/14/18 10:00:00 PM,5.757,,,,
90,07/14/18 11:00:00 PM,5.141,,,,
91,07/15/18 12:00:00 AM,4.519,,,,
92,07/15/18 01:00:00 AM,3.893,,,,
93,07/15/18 02:00:00 AM,3.578,,,,
94,07/15/18 03:00:00 AM,3.155,,,,
95,07/15/18 04:00:00 AM,2.837,,,,
96,07/15/18 05:00:00 AM,2.943,,,,
97,07/15/18 06:00:00 AM,3.261,,,,
98,07/15/18 07:00:00 AM,3.472,,,,
99,07/15/18 08:00:00 AM,3.893,,,,
100,07/15/18 09:00:00 AM,3.998,,,,
101,07/15/18 10:00:00 AM,4.207,,,,
102,07/15/18 11:00:00 AM,4.727,,,,
103,07/15/18 12:00:00 PM,5.141,,,,
104,07/15/18 01:00:00 PM,5.757,,,,
105,07/15/18 02:00:00 PM,6.573,,,,
106,07/15/18 03:00:00 PM,6.877,,,,
107,07/15/18 04:00:00 PM,7.179,,,,
108,07/15/18 05:00:00 PM,7.481,,,,
109,07/15/18 06:00:00 PM,6.978,,,,
110,07/15/18 07:00:00 PM,6.370,,,,
111,07/15/18 08:00:00 PM,5.655,,,,
112,07/15/18 09:00:00 PM,5.037,,,,
113,07/15/18 10:00:00 PM,4.623,,,,
114,07/15/18 11:00:00 PM,3.788,,,,
115,07/16/18 12:00:00 AM,3.261,,,,
116,07/16/18 01:00:00 AM,2.837,,,,
117,07/16/18 02:00:00 AM,2.410,,,,
118,07/16/18 03:00:00 AM,2.195,,,,
119,07/16/18 04:00:00 AM,1.872,,,,
120,07/16/18 05:00:00 AM,1.980,,,,
121,07/16/18 06:00:00 AM,2.410,,,,
122,07/16/18 07:00:00 AM,2.624,,,,
123,07/16/18 08:00:00 AM,2.943,,,,
124,07/16/18 09:00:00 AM,3.578,,,,
125,07/16/18 10:00:00 AM,4.934,,,,
126,07/16/18 11:00:00 AM,5.860,,,,
127,07/16/18 12:00:00 PM,7.079,,,,
128,07/16/18 01:00:00 PM,7.682,,,,
129,07/16/18 02:00:00 PM,7.882,,,,
130,07/16/18 03:00:00 PM,8.382,,,,
131,07/16/18 04:00:00 PM,8.382,,,,
132,07/16/18 05:00:00 PM,8.282,,,,
133,07/16/18 06:00:00 PM,7.882,,,,
134,07/16/18 07:00:00 PM,6.775,,,,
135,07/16/18 08:00:00 PM,6.268,,,,
136,07/16/18 09:00:00 PM,6.166,,,,
137,07/16/18 10:00:00 PM,5.860,,,,
138,07/16/18 11:00:00 PM,5.347,,,,
139,07/17/18 12:00:00 AM,4.623,,,,
140,07/17/18 01:00:00 AM,3.893,,,,
141,07/17/18 02:00:00 AM,3.367,,,,
142,07/17/18 03:00:00 AM,2.837,,,,
143,07/17/18 04:00:00 AM,2.517,,,,
144,07/17/18 05:00:00 AM,2.410,,,,
145,07/17/18 06:00:00 AM,2.517,,,,
146,07/17/18 07:00:00 AM,3.367,,,,
147,07/17/18 08:00:00 AM,4.311,,,,
148,07/17/18 09:00:00 AM,5.860,,,,
149,07/17/18 10:00:00 AM,7.582,,,,
150,07/17/18 11:00:00 AM,8.481,,,,
151,07/17/18 12:00:00 PM,9.472,,,,
152,07/17/18 01:00:00 PM,10.455,,,,
153,07/17/18 02:00:00 PM,11.625,,,,
154,07/17/18 03:00:00 PM,12.110,,,,
155,07/17/18 04:00:00 PM,12.304,,,,
156,07/17/18 05:00:00 PM,12.304,,,,
157,07/17/18 06:00:00 PM,11.916,,,,
158,07/17/18 07:00:00 PM,11.334,,,,
159,07/17/18 08:00:00 PM,10.455,,,,
160,07/17/18 09:00:00 PM,9.669,,,,
161,07/17/18 10:00:00 PM,9.077,,,,
162,07/17/18 11:00:00 PM,8.282,,,,
163,07/18/18 12:00:00 AM,7.481,,,,
164,07/18/18 01:00:00 AM,6.471,,,,
165,07/18/18 02:00:00 AM,5.757,,,,
166,07/18/18 03:00:00 AM,5.141,,,,
167,07/18/18 04:00:00 AM,4.831,,,,
168,07/18/18 05:00:00 AM,4.623,,,,
169,07/18/18 06:00:00 AM,4.519,,,,
170,07/18/18 07:00:00 AM,5.037,,,,
171,07/18/18 08:00:00 AM,5.655,,,,
172,07/18/18 09:00:00 AM,6.877,,,,
173,07/18/18 10:00:00 AM,8.182,,,,
174,07/18/18 11:00:00 AM,8.481,,,,
175,07/18/18 12:00:00 PM,9.275,,,,
176,07/18/18 01:00:00 PM,10.944,,,,
177,07/18/18 02:00:00 PM,11.041,,,,
178,07/18/18 03:00:00 PM,11.041,,,,
179,07/18/18 04:00:00 PM,11.528,,,,
180,07/18/18 05:00:00 PM,11.236,,,,
181,07/18/18 06:00:00 PM,11.236,,,,
182,07/18/18 07:00:00 PM,10.846,,,,
183,07/18/18 08:00:00 PM,10.161,,,,
184,07/18/18 09:00:00 PM,9.373,,,,
185,07/18/18 10:00:00 PM,8.779,,,,
186,07/18/18 11:00:00 PM,8.182,,,,
187,07/19/18 12:00:00 AM,7.381,,,,
188,07/19/18 01:00:00 AM,6.775,,,,
189,07/19/18 02:00:00 AM,6.166,,,,
190,07/19/18 03:00:00 AM,5.552,,,,
191,07/19/18 04:00:00 AM,5.244,,,,
192,07/19/18 05:00:00 AM,5.141,,,,
193,07/19/18 06:00:00 AM,5.037,,,,
194,07/19/18 07:00:00 AM,5.244,,,,
195,07/19/18 08:00:00 AM,5.860,,,,
196,07/19/18 09:00:00 AM,6.877,,,,
197,07/19/18 10:00:00 AM,7.782,,,,
198,07/19/18 11:00:00 AM,8.082,,,,
199,07/19/18 12:00:00 PM,7.782,,,,
200,07/19/18 01:00:00 PM,7.179,,,,
