"Titre de tracé : 10361671"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10361671, SEN S/N: 10361671)","Pile défectueuse (LGR S/N: 10361671)","Pile OK (LGR S/N: 10361671)","Coupleur attaché (LGR S/N: 10361671)","Hôte connecté (LGR S/N: 10361671)","Arrêté (LGR S/N: 10361671)","Fin de fichier (LGR S/N: 10361671)"
1,07/11/18 06:00:00 AM,7.782,,,,,,
2,07/11/18 07:00:00 AM,8.382,,,,,,
3,07/11/18 08:00:00 AM,10.357,,,,,,
4,07/11/18 09:00:00 AM,9.176,,,,,,
5,07/11/18 10:00:00 AM,9.176,,,,,,
6,07/11/18 11:00:00 AM,12.110,,,,,,
7,07/11/18 12:00:00 PM,14.517,,,,,,
8,07/11/18 01:00:00 PM,14.804,,,,,,
9,07/11/18 02:00:00 PM,15.091,,,,,,
10,07/11/18 03:00:00 PM,15.091,,,,,,
11,07/11/18 04:00:00 PM,14.230,,,,,,
12,07/11/18 05:00:00 PM,13.654,,,,,,
13,07/11/18 06:00:00 PM,12.690,,,,,,
14,07/11/18 07:00:00 PM,12.110,,,,,,
15,07/11/18 08:00:00 PM,11.139,,,,,,
16,07/11/18 09:00:00 PM,10.455,,,,,,
17,07/11/18 10:00:00 PM,9.866,,,,,,
18,07/11/18 11:00:00 PM,9.472,,,,,,
19,07/12/18 12:00:00 AM,9.176,,,,,,
20,07/12/18 01:00:00 AM,8.282,,,,,,
21,07/12/18 02:00:00 AM,7.481,,,,,,
22,07/12/18 03:00:00 AM,6.573,,,,,,
23,07/12/18 04:00:00 AM,6.166,,,,,,
24,07/12/18 05:00:00 AM,6.166,,,,,,
25,07/12/18 06:00:00 AM,6.268,,,,,,
26,07/12/18 07:00:00 AM,6.674,,,,,,
27,07/12/18 08:00:00 AM,7.179,,,,,,
28,07/12/18 09:00:00 AM,7.682,,,,,,
29,07/12/18 10:00:00 AM,8.082,,,,,,
30,07/12/18 11:00:00 AM,8.581,,,,,,
31,07/12/18 12:00:00 PM,8.879,,,,,,
32,07/12/18 01:00:00 PM,8.680,,,,,,
33,07/12/18 02:00:00 PM,8.779,,,,,,
34,07/12/18 03:00:00 PM,9.669,,,,,,
35,07/12/18 04:00:00 PM,10.063,,,,,,
36,07/12/18 05:00:00 PM,10.651,,,,,,
37,07/12/18 06:00:00 PM,10.553,,,,,,
38,07/12/18 07:00:00 PM,10.357,,,,,,
39,07/12/18 08:00:00 PM,10.161,,,,,,
40,07/12/18 09:00:00 PM,8.680,,,,,,
41,07/12/18 10:00:00 PM,6.978,,,,,,
42,07/12/18 11:00:00 PM,5.860,,,,,,
43,07/13/18 12:00:00 AM,5.244,,,,,,
44,07/13/18 01:00:00 AM,5.037,,,,,,
45,07/13/18 02:00:00 AM,4.623,,,,,,
46,07/13/18 03:00:00 AM,4.207,,,,,,
47,07/13/18 04:00:00 AM,3.893,,,,,,
48,07/13/18 05:00:00 AM,3.683,,,,,,
49,07/13/18 06:00:00 AM,3.367,,,,,,
50,07/13/18 07:00:00 AM,3.049,,,,,,
51,07/13/18 08:00:00 AM,3.155,,,,,,
52,07/13/18 09:00:00 AM,3.261,,,,,,
53,07/13/18 10:00:00 AM,3.472,,,,,,
54,07/13/18 11:00:00 AM,4.102,,,,,,
55,07/13/18 12:00:00 PM,6.471,,,,,,
56,07/13/18 01:00:00 PM,7.481,,,,,,
57,07/13/18 02:00:00 PM,7.481,,,,,,
58,07/13/18 03:00:00 PM,8.082,,,,,,
59,07/13/18 04:00:00 PM,10.161,,,,,,
60,07/13/18 05:00:00 PM,17.950,,,,,,
61,07/13/18 06:00:00 PM,7.882,,,,,,
62,07/13/18 07:00:00 PM,13.654,,,,,,
63,07/13/18 08:00:00 PM,12.304,,,,,,
64,07/13/18 09:00:00 PM,2.303,,,,,,
65,07/13/18 10:00:00 PM,1.656,,,,,,
66,07/13/18 11:00:00 PM,1.330,,,,,,
67,07/14/18 12:00:00 AM,1.112,,,,,,
68,07/14/18 01:00:00 AM,0.784,,,,,,
69,07/14/18 02:00:00 AM,0.563,,,,,,
70,07/14/18 03:00:00 AM,0.453,,,,,,
71,07/14/18 04:00:00 AM,0.343,,,,,,
72,07/14/18 05:00:00 AM,0.343,,,,,,
73,07/14/18 06:00:00 AM,0.343,,,,,,
74,07/14/18 07:00:00 AM,0.343,,,,,,
75,07/14/18 08:00:00 AM,0.893,,,,,,
76,07/14/18 09:00:00 AM,1.656,,,,,,
