"Titre de tracé : 2368268"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 2368268, SEN S/N: 2368268)","Pile défectueuse (LGR S/N: 2368268)","Pile OK (LGR S/N: 2368268)","Coupleur attaché (LGR S/N: 2368268)","Hôte connecté (LGR S/N: 2368268)","Arrêté (LGR S/N: 2368268)","Fin de fichier (LGR S/N: 2368268)"
1,07/11/18 06:00:00 AM,8.082,,,,,,
2,07/11/18 08:00:00 AM,11.431,,,,,,
3,07/11/18 10:00:00 AM,9.373,,,,,,
4,07/11/18 12:00:00 PM,15.378,,,,,,
5,07/11/18 02:00:00 PM,15.760,,,,,,
6,07/11/18 04:00:00 PM,14.613,,,,,,
7,07/11/18 06:00:00 PM,12.980,,,,,,
8,07/11/18 08:00:00 PM,11.334,,,,,,
9,07/11/18 10:00:00 PM,9.965,,,,,,
10,07/12/18 12:00:00 AM,9.275,,,,,,
11,07/12/18 02:00:00 AM,7.481,,,,,,
12,07/12/18 04:00:00 AM,6.370,,,,,,
13,07/12/18 06:00:00 AM,6.573,,,,,,
14,07/12/18 08:00:00 AM,7.582,,,,,,
15,07/12/18 10:00:00 AM,8.382,,,,,,
16,07/12/18 12:00:00 PM,9.176,,,,,,
17,07/12/18 02:00:00 PM,9.176,,,,,,
18,07/12/18 04:00:00 PM,10.455,,,,,,
19,07/12/18 06:00:00 PM,10.846,,,,,,
20,07/12/18 08:00:00 PM,10.357,,,,,,
21,07/12/18 10:00:00 PM,7.179,,,,,,
22,07/13/18 12:00:00 AM,5.450,,,,,,
23,07/13/18 02:00:00 AM,4.831,,,,,,
24,07/13/18 04:00:00 AM,4.102,,,,,,
25,07/13/18 06:00:00 AM,3.578,,,,,,
26,07/13/18 08:00:00 AM,3.367,,,,,,
27,07/13/18 10:00:00 AM,3.788,,,,,,
28,07/13/18 12:00:00 PM,7.582,,,,,,
29,07/13/18 02:00:00 PM,8.082,,,,,,
30,07/13/18 04:00:00 PM,13.365,,,,,,
31,07/13/18 06:00:00 PM,11.041,,,,,,
32,07/13/18 08:00:00 PM,4.519,,,,,,
33,07/13/18 10:00:00 PM,3.788,,,,,,
34,07/14/18 12:00:00 AM,2.837,,,,,,
35,07/14/18 02:00:00 AM,1.980,,,,,,
36,07/14/18 04:00:00 AM,1.548,,,,,,
37,07/14/18 06:00:00 AM,1.439,,,,,,
38,07/14/18 08:00:00 AM,2.410,,,,,,
39,07/14/18 10:00:00 AM,3.788,,,,,,
40,07/14/18 12:00:00 PM,5.244,,,,,,
41,07/14/18 02:00:00 PM,6.370,,,,,,
42,07/14/18 04:00:00 PM,6.573,,,,,,
43,07/14/18 06:00:00 PM,5.860,,,,,,
44,07/14/18 08:00:00 PM,5.655,,,,,,
45,07/14/18 10:00:00 PM,5.347,,,,,,
46,07/15/18 12:00:00 AM,4.415,,,,,,
47,07/15/18 02:00:00 AM,3.578,,,,,,
48,07/15/18 04:00:00 AM,3.049,,,,,,
49,07/15/18 06:00:00 AM,3.578,,,,,,
50,07/15/18 08:00:00 AM,4.102,,,,,,
51,07/15/18 10:00:00 AM,4.415,,,,,,
52,07/15/18 12:00:00 PM,4.831,,,,,,
53,07/15/18 02:00:00 PM,5.552,,,,,,
54,07/15/18 04:00:00 PM,5.757,,,,,,
55,07/15/18 06:00:00 PM,5.141,,,,,,
56,07/15/18 08:00:00 PM,4.934,,,,,,
57,07/15/18 10:00:00 PM,4.415,,,,,,
58,07/16/18 12:00:00 AM,3.155,,,,,,
59,07/16/18 02:00:00 AM,2.517,,,,,,
60,07/16/18 04:00:00 AM,2.195,,,,,,
61,07/16/18 06:00:00 AM,2.837,,,,,,
62,07/16/18 08:00:00 AM,3.472,,,,,,
63,07/16/18 10:00:00 AM,4.102,,,,,,
64,07/16/18 12:00:00 PM,4.727,,,,,,
65,07/16/18 02:00:00 PM,4.831,,,,,,
66,07/16/18 04:00:00 PM,5.552,,,,,,
67,07/16/18 06:00:00 PM,5.962,,,,,,
68,07/16/18 08:00:00 PM,5.347,,,,,,
69,07/16/18 10:00:00 PM,5.655,,,,,,
70,07/17/18 12:00:00 AM,4.831,,,,,,
71,07/17/18 02:00:00 AM,3.578,,,,,,
72,07/17/18 04:00:00 AM,2.837,,,,,,
73,07/17/18 06:00:00 AM,3.049,,,,,,
74,07/17/18 08:00:00 AM,4.623,,,,,,
75,07/17/18 10:00:00 AM,6.064,,,,,,
76,07/17/18 12:00:00 PM,7.582,,,,,,
77,07/17/18 02:00:00 PM,8.481,,,,,,
78,07/17/18 04:00:00 PM,9.373,,,,,,
79,07/17/18 06:00:00 PM,10.063,,,,,,
80,07/17/18 08:00:00 PM,10.063,,,,,,
81,07/17/18 10:00:00 PM,8.879,,,,,,
82,07/18/18 12:00:00 AM,7.481,,,,,,
83,07/18/18 02:00:00 AM,5.757,,,,,,
84,07/18/18 04:00:00 AM,5.037,,,,,,
85,07/18/18 06:00:00 AM,4.934,,,,,,
86,07/18/18 08:00:00 AM,5.962,,,,,,
87,07/18/18 10:00:00 AM,7.983,,,,,,
88,07/18/18 12:00:00 PM,8.879,,,,,,
89,07/18/18 02:00:00 PM,8.680,,,,,,
90,07/18/18 04:00:00 PM,9.571,,,,,,
91,07/18/18 06:00:00 PM,10.357,,,,,,
92,07/18/18 08:00:00 PM,9.472,,,,,,
93,07/18/18 10:00:00 PM,8.082,,,,,,
94,07/19/18 12:00:00 AM,6.978,,,,,,
95,07/19/18 02:00:00 AM,6.064,,,,,,
96,07/19/18 04:00:00 AM,5.244,,,,,,
97,07/19/18 06:00:00 AM,5.552,,,,,,
98,07/19/18 08:00:00 AM,5.860,,,,,,
99,07/19/18 10:00:00 AM,6.775,,,,,,
100,07/19/18 12:00:00 PM,7.179,,,,,,
101,07/19/18 02:00:00 PM,7.179,,,,,,
102,07/19/18 04:00:00 PM,5.141,,,,,,
103,07/19/18 06:00:00 PM,5.141,,,,,,
104,07/19/18 08:00:00 PM,4.623,,,,,,
105,07/19/18 10:00:00 PM,3.998,,,,,,
106,07/20/18 12:00:00 AM,3.367,,,,,,
107,07/20/18 02:00:00 AM,3.472,,,,,,
108,07/20/18 04:00:00 AM,3.683,,,,,,
109,07/20/18 06:00:00 AM,3.472,,,,,,
110,07/20/18 08:00:00 AM,3.893,,,,,,
111,07/20/18 10:00:00 AM,4.727,,,,,,
112,07/20/18 12:00:00 PM,6.268,,,,,,
113,07/20/18 02:00:00 PM,7.381,,,,,,
114,07/20/18 04:00:00 PM,7.882,,,,,,
115,07/20/18 06:00:00 PM,7.179,,,,,,
116,07/20/18 08:00:00 PM,6.978,,,,,,
117,07/20/18 10:00:00 PM,6.268,,,,,,
118,07/21/18 12:00:00 AM,5.037,,,,,,
119,07/21/18 02:00:00 AM,4.415,,,,,,
120,07/21/18 04:00:00 AM,4.311,,,,,,
121,07/21/18 06:00:00 AM,3.472,,,,,,
122,07/21/18 08:00:00 AM,3.049,,,,,,
123,07/21/18 10:00:00 AM,3.998,,,,,,
124,07/21/18 12:00:00 PM,4.623,,,,,,
125,07/21/18 02:00:00 PM,5.347,,,,,,
126,07/21/18 04:00:00 PM,5.860,,,,,,
127,07/21/18 06:00:00 PM,5.347,,,,,,
128,07/21/18 08:00:00 PM,4.831,,,,,,
129,07/21/18 10:00:00 PM,3.998,,,,,,
130,07/22/18 12:00:00 AM,3.367,,,,,,
131,07/22/18 02:00:00 AM,2.837,,,,,,
132,07/22/18 04:00:00 AM,2.624,,,,,,
133,07/22/18 06:00:00 AM,2.624,,,,,,
134,07/22/18 08:00:00 AM,2.730,,,,,,
135,07/22/18 10:00:00 AM,3.578,,,,,,
136,07/22/18 12:00:00 PM,3.893,,,,,,
137,07/22/18 02:00:00 PM,3.998,,,,,,
138,07/22/18 04:00:00 PM,3.893,,,,,,
139,07/22/18 06:00:00 PM,4.102,,,,,,
140,07/22/18 08:00:00 PM,3.893,,,,,,
141,07/22/18 10:00:00 PM,3.261,,,,,,
142,07/23/18 12:00:00 AM,2.624,,,,,,
143,07/23/18 02:00:00 AM,1.872,,,,,,
144,07/23/18 04:00:00 AM,1.330,,,,,,
145,07/23/18 06:00:00 AM,1.112,,,,,,
146,07/23/18 08:00:00 AM,0.893,,,,,,
147,07/23/18 10:00:00 AM,2.088,,,,,,
