"Titre de tracé : 10358257"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10358257, SEN S/N: 10358257)","Pile défectueuse (LGR S/N: 10358257)","Pile OK (LGR S/N: 10358257)","Coupleur attaché (LGR S/N: 10358257)","Hôte connecté (LGR S/N: 10358257)","Arrêté (LGR S/N: 10358257)","Fin de fichier (LGR S/N: 10358257)"
1,07/11/18 06:00:00 AM,10.748,,,,,,
2,07/11/18 07:00:00 AM,14.996,,,,,,
3,07/11/18 08:00:00 AM,11.916,,,,,,
4,07/11/18 09:00:00 AM,8.581,,,,,,
5,07/11/18 10:00:00 AM,10.944,,,,,,
6,07/11/18 11:00:00 AM,14.996,,,,,,
7,07/11/18 12:00:00 PM,16.141,,,,,,
8,07/11/18 01:00:00 PM,15.951,,,,,,
9,07/11/18 02:00:00 PM,15.760,,,,,,
10,07/11/18 03:00:00 PM,15.378,,,,,,
11,07/11/18 04:00:00 PM,14.517,,,,,,
12,07/11/18 05:00:00 PM,13.846,,,,,,
13,07/11/18 06:00:00 PM,12.690,,,,,,
14,07/11/18 07:00:00 PM,11.819,,,,,,
15,07/11/18 08:00:00 PM,10.846,,,,,,
16,07/11/18 09:00:00 PM,10.161,,,,,,
17,07/11/18 10:00:00 PM,9.669,,,,,,
18,07/11/18 11:00:00 PM,9.472,,,,,,
19,07/12/18 12:00:00 AM,8.879,,,,,,
20,07/12/18 01:00:00 AM,7.782,,,,,,
21,07/12/18 02:00:00 AM,7.079,,,,,,
22,07/12/18 03:00:00 AM,6.268,,,,,,
23,07/12/18 04:00:00 AM,6.166,,,,,,
24,07/12/18 05:00:00 AM,6.268,,,,,,
25,07/12/18 06:00:00 AM,6.573,,,,,,
26,07/12/18 07:00:00 AM,7.079,,,,,,
27,07/12/18 08:00:00 AM,7.682,,,,,,
28,07/12/18 09:00:00 AM,8.182,,,,,,
29,07/12/18 10:00:00 AM,8.382,,,,,,
30,07/12/18 11:00:00 AM,8.581,,,,,,
31,07/12/18 12:00:00 PM,9.077,,,,,,
32,07/12/18 01:00:00 PM,8.879,,,,,,
33,07/12/18 02:00:00 PM,9.176,,,,,,
34,07/12/18 03:00:00 PM,10.161,,,,,,
35,07/12/18 04:00:00 PM,10.455,,,,,,
36,07/12/18 05:00:00 PM,11.041,,,,,,
37,07/12/18 06:00:00 PM,10.748,,,,,,
38,07/12/18 07:00:00 PM,10.455,,,,,,
39,07/12/18 08:00:00 PM,10.259,,,,,,
40,07/12/18 09:00:00 PM,8.282,,,,,,
41,07/12/18 10:00:00 PM,6.573,,,,,,
42,07/12/18 11:00:00 PM,5.552,,,,,,
43,07/13/18 12:00:00 AM,5.141,,,,,,
44,07/13/18 01:00:00 AM,5.141,,,,,,
45,07/13/18 02:00:00 AM,4.519,,,,,,
46,07/13/18 03:00:00 AM,4.207,,,,,,
47,07/13/18 04:00:00 AM,3.893,,,,,,
48,07/13/18 05:00:00 AM,3.683,,,,,,
49,07/13/18 06:00:00 AM,3.367,,,,,,
50,07/13/18 07:00:00 AM,3.155,,,,,,
51,07/13/18 08:00:00 AM,3.261,,,,,,
52,07/13/18 09:00:00 AM,3.472,,,,,,
53,07/13/18 10:00:00 AM,3.683,,,,,,
54,07/13/18 11:00:00 AM,4.415,,,,,,
55,07/13/18 12:00:00 PM,7.179,,,,,,
56,07/13/18 01:00:00 PM,7.782,,,,,,
57,07/13/18 02:00:00 PM,7.582,,,,,,
58,07/13/18 03:00:00 PM,8.082,,,,,,
59,07/13/18 04:00:00 PM,14.325,,,,,,
60,07/13/18 05:00:00 PM,13.654,,,,,,
61,07/13/18 06:00:00 PM,11.819,,,,,,
62,07/13/18 07:00:00 PM,12.690,,,,,,
63,07/13/18 08:00:00 PM,3.578,,,,,,
64,07/13/18 09:00:00 PM,3.261,,,,,,
65,07/13/18 10:00:00 PM,2.837,,,,,,
66,07/13/18 11:00:00 PM,2.517,,,,,,
67,07/14/18 12:00:00 AM,2.195,,,,,,
68,07/14/18 01:00:00 AM,1.980,,,,,,
69,07/14/18 02:00:00 AM,1.656,,,,,,
70,07/14/18 03:00:00 AM,1.548,,,,,,
71,07/14/18 04:00:00 AM,1.330,,,,,,
72,07/14/18 05:00:00 AM,1.221,,,,,,
73,07/14/18 06:00:00 AM,1.112,,,,,,
74,07/14/18 07:00:00 AM,1.112,,,,,,
75,07/14/18 08:00:00 AM,1.112,,,,,,
76,07/14/18 09:00:00 AM,1.439,,,,,,
77,07/14/18 10:00:00 AM,1.980,,,,,,
78,07/14/18 11:00:00 AM,2.410,,,,,,
79,07/14/18 12:00:00 PM,2.730,,,,,,
80,07/14/18 01:00:00 PM,3.261,,,,,,
81,07/14/18 02:00:00 PM,4.519,,,,,,
82,07/14/18 03:00:00 PM,4.623,,,,,,
83,07/14/18 04:00:00 PM,4.415,,,,,,
84,07/14/18 05:00:00 PM,4.102,,,,,,
85,07/14/18 06:00:00 PM,3.893,,,,,,
86,07/14/18 07:00:00 PM,3.683,,,,,,
87,07/14/18 08:00:00 PM,3.578,,,,,,
88,07/14/18 09:00:00 PM,3.578,,,,,,
89,07/14/18 10:00:00 PM,3.472,,,,,,
90,07/14/18 11:00:00 PM,3.367,,,,,,
91,07/15/18 12:00:00 AM,3.155,,,,,,
