"Titre de tracé : 10361673"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10361673, SEN S/N: 10361673)","Pile défectueuse (LGR S/N: 10361673)","Pile OK (LGR S/N: 10361673)","Hôte connecté (LGR S/N: 10361673)","Coupleur attaché (LGR S/N: 10361673)","Arrêté (LGR S/N: 10361673)","Fin de fichier (LGR S/N: 10361673)"
1,07/11/18 06:00:00 AM,8.581,,,,,,
2,07/11/18 07:00:00 AM,10.063,,,,,,
3,07/11/18 08:00:00 AM,12.110,,,,,,
4,07/11/18 09:00:00 AM,9.965,,,,,,
5,07/11/18 10:00:00 AM,9.373,,,,,,
6,07/11/18 11:00:00 AM,12.304,,,,,,
7,07/11/18 12:00:00 PM,14.709,,,,,,
8,07/11/18 01:00:00 PM,15.187,,,,,,
9,07/11/18 02:00:00 PM,15.378,,,,,,
10,07/11/18 03:00:00 PM,15.473,,,,,,
11,07/11/18 04:00:00 PM,14.709,,,,,,
12,07/11/18 05:00:00 PM,14.038,,,,,,
13,07/11/18 06:00:00 PM,13.173,,,,,,
14,07/11/18 07:00:00 PM,12.401,,,,,,
15,07/11/18 08:00:00 PM,11.528,,,,,,
16,07/11/18 09:00:00 PM,10.748,,,,,,
17,07/11/18 10:00:00 PM,10.063,,,,,,
18,07/11/18 11:00:00 PM,9.669,,,,,,
19,07/12/18 12:00:00 AM,9.373,,,,,,
20,07/12/18 01:00:00 AM,8.581,,,,,,
21,07/12/18 02:00:00 AM,7.682,,,,,,
22,07/12/18 03:00:00 AM,6.877,,,,,,
23,07/12/18 04:00:00 AM,6.471,,,,,,
24,07/12/18 05:00:00 AM,6.268,,,,,,
25,07/12/18 06:00:00 AM,6.370,,,,,,
26,07/12/18 07:00:00 AM,6.775,,,,,,
27,07/12/18 08:00:00 AM,7.280,,,,,,
28,07/12/18 09:00:00 AM,7.882,,,,,,
29,07/12/18 10:00:00 AM,8.182,,,,,,
30,07/12/18 11:00:00 AM,8.481,,,,,,
31,07/12/18 12:00:00 PM,8.978,,,,,,
32,07/12/18 01:00:00 PM,8.879,,,,,,
33,07/12/18 02:00:00 PM,8.978,,,,,,
34,07/12/18 03:00:00 PM,9.669,,,,,,
35,07/12/18 04:00:00 PM,10.161,,,,,,
36,07/12/18 05:00:00 PM,10.846,,,,,,
37,07/12/18 06:00:00 PM,10.748,,,,,,
38,07/12/18 07:00:00 PM,10.553,,,,,,
39,07/12/18 08:00:00 PM,10.357,,,,,,
