"Titre de tracé : 20178183"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20178183, SEN S/N: 20178183, LBL: 201781883)","Pile défectueuse (LGR S/N: 20178183)","Pile OK (LGR S/N: 20178183)","Coupleur attaché (LGR S/N: 20178183)","Hôte connecté (LGR S/N: 20178183)","Arrêté (LGR S/N: 20178183)","Fin de fichier (LGR S/N: 20178183)"
1,07/11/18 06:00:00 AM,9.275,,,,,,
2,07/11/18 10:00:00 AM,10.063,,,,,,
3,07/11/18 02:00:00 PM,14.517,,,,,,
4,07/11/18 06:00:00 PM,13.076,,,,,,
5,07/11/18 10:00:00 PM,10.063,,,,,,
6,07/12/18 02:00:00 AM,7.882,,,,,,
7,07/12/18 06:00:00 AM,6.268,,,,,,
8,07/12/18 10:00:00 AM,7.983,,,,,,
9,07/12/18 02:00:00 PM,8.779,,,,,,
10,07/12/18 06:00:00 PM,10.651,,,,,,
11,07/12/18 10:00:00 PM,7.882,,,,,,
12,07/13/18 02:00:00 AM,5.141,,,,,,
13,07/13/18 06:00:00 AM,3.683,,,,,,
14,07/13/18 10:00:00 AM,3.472,,,,,,
15,07/13/18 02:00:00 PM,7.983,,,,,,
16,07/13/18 06:00:00 PM,26.195,,,,,,
17,07/13/18 10:00:00 PM,9.176,,,,,,
18,07/14/18 02:00:00 AM,6.064,,,,,,
19,07/14/18 06:00:00 AM,4.207,,,,,,
20,07/14/18 10:00:00 AM,6.573,,,,,,
21,07/14/18 02:00:00 PM,17.760,,,,,,
22,07/14/18 06:00:00 PM,3.049,,,,,,
23,07/14/18 10:00:00 PM,3.155,,,,,,
24,07/15/18 02:00:00 AM,2.303,,,,,,
25,07/15/18 06:00:00 AM,1.656,,,,,,
26,07/15/18 10:00:00 AM,2.303,,,,,,
27,07/15/18 02:00:00 PM,2.837,,,,,,
28,07/15/18 06:00:00 PM,5.037,,,,,,
29,07/15/18 10:00:00 PM,3.367,,,,,,
30,07/16/18 02:00:00 AM,1.764,,,,,,
31,07/16/18 06:00:00 AM,1.439,,,,,,
32,07/16/18 10:00:00 AM,2.517,,,,,,
33,07/16/18 02:00:00 PM,4.311,,,,,,
34,07/16/18 06:00:00 PM,5.141,,,,,,
35,07/16/18 10:00:00 PM,3.367,,,,,,
36,07/17/18 02:00:00 AM,2.410,,,,,,
37,07/17/18 06:00:00 AM,1.548,,,,,,
38,07/17/18 10:00:00 AM,1.980,,,,,,
39,07/17/18 02:00:00 PM,4.207,,,,,,
40,07/17/18 06:00:00 PM,6.775,,,,,,
41,07/17/18 10:00:00 PM,6.370,,,,,,
42,07/18/18 02:00:00 AM,4.102,,,,,,
43,07/18/18 06:00:00 AM,2.410,,,,,,
44,07/18/18 10:00:00 AM,2.837,,,,,,
45,07/18/18 02:00:00 PM,5.552,,,,,,
46,07/18/18 06:00:00 PM,6.978,,,,,,
47,07/18/18 10:00:00 PM,5.962,,,,,,
48,07/19/18 02:00:00 AM,3.998,,,,,,
49,07/19/18 06:00:00 AM,2.837,,,,,,
50,07/19/18 10:00:00 AM,2.943,,,,,,
51,07/19/18 02:00:00 PM,4.207,,,,,,
52,07/19/18 06:00:00 PM,4.415,,,,,,
53,07/19/18 10:00:00 PM,3.261,,,,,,
54,07/20/18 02:00:00 AM,2.410,,,,,,
55,07/20/18 06:00:00 AM,2.088,,,,,,
56,07/20/18 10:00:00 AM,2.624,,,,,,
57,07/20/18 02:00:00 PM,3.998,,,,,,
58,07/20/18 06:00:00 PM,4.311,,,,,,
59,07/20/18 10:00:00 PM,4.311,,,,,,
60,07/21/18 02:00:00 AM,2.624,,,,,,
61,07/21/18 06:00:00 AM,2.624,,,,,,
62,07/21/18 10:00:00 AM,1.980,,,,,,
63,07/21/18 02:00:00 PM,3.893,,,,,,
64,07/21/18 06:00:00 PM,3.893,,,,,,
65,07/21/18 10:00:00 PM,2.517,,,,,,
66,07/22/18 02:00:00 AM,1.764,,,,,,
67,07/22/18 06:00:00 AM,1.764,,,,,,
68,07/22/18 10:00:00 AM,1.980,,,,,,
69,07/22/18 02:00:00 PM,2.624,,,,,,
70,07/22/18 06:00:00 PM,2.517,,,,,,
71,07/22/18 10:00:00 PM,2.517,,,,,,
72,07/23/18 02:00:00 AM,1.656,,,,,,
73,07/23/18 06:00:00 AM,0.893,,,,,,
74,07/23/18 10:00:00 AM,1.548,,,,,,
75,07/23/18 02:00:00 PM,3.683,,,,,,
76,07/23/18 06:00:00 PM,2.943,,,,,,
77,07/23/18 10:00:00 PM,3.261,,,,,,
78,07/24/18 02:00:00 AM,1.764,,,,,,
79,07/24/18 06:00:00 AM,1.112,,,,,,
80,07/24/18 10:00:00 AM,1.112,,,,,,
81,07/24/18 02:00:00 PM,1.872,,,,,,
82,07/24/18 06:00:00 PM,2.517,,,,,,
83,07/24/18 10:00:00 PM,2.624,,,,,,
84,07/25/18 02:00:00 AM,1.656,,,,,,
85,07/25/18 06:00:00 AM,1.003,,,,,,
86,07/25/18 10:00:00 AM,0.563,,,,,,
87,07/25/18 02:00:00 PM,2.088,,,,,,
88,07/25/18 06:00:00 PM,3.578,,,,,,
89,07/25/18 10:00:00 PM,1.980,,,,,,
90,07/26/18 02:00:00 AM,1.221,,,,,,
91,07/26/18 06:00:00 AM,0.893,,,,,,
92,07/26/18 10:00:00 AM,1.330,,,,,,
93,07/26/18 02:00:00 PM,4.727,,,,,,
94,07/26/18 06:00:00 PM,5.141,,,,,,
95,07/26/18 10:00:00 PM,3.367,,,,,,
96,07/27/18 02:00:00 AM,2.195,,,,,,
97,07/27/18 06:00:00 AM,1.330,,,,,,
98,07/27/18 10:00:00 AM,1.980,,,,,,
99,07/27/18 02:00:00 PM,2.730,,,,,,
100,07/27/18 06:00:00 PM,3.155,,,,,,
101,07/27/18 10:00:00 PM,2.624,,,,,,
102,07/28/18 02:00:00 AM,2.195,,,,,,
103,07/28/18 06:00:00 AM,1.872,,,,,,
104,07/28/18 10:00:00 AM,2.088,,,,,,
105,07/28/18 02:00:00 PM,2.195,,,,,,
106,07/28/18 06:00:00 PM,2.943,,,,,,
107,07/28/18 10:00:00 PM,2.410,,,,,,
108,07/29/18 02:00:00 AM,1.764,,,,,,
109,07/29/18 06:00:00 AM,1.330,,,,,,
110,07/29/18 10:00:00 AM,1.872,,,,,,
111,07/29/18 02:00:00 PM,3.049,,,,,,
112,07/29/18 06:00:00 PM,3.788,,,,,,
113,07/29/18 10:00:00 PM,3.683,,,,,,
114,07/30/18 02:00:00 AM,2.837,,,,,,
115,07/30/18 06:00:00 AM,2.088,,,,,,
116,07/30/18 10:00:00 AM,2.088,,,,,,
117,07/30/18 02:00:00 PM,3.998,,,,,,
118,07/30/18 06:00:00 PM,4.623,,,,,,
119,07/30/18 10:00:00 PM,3.049,,,,,,
120,07/31/18 02:00:00 AM,1.872,,,,,,
