"Titre de tracé : 2023588"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 2023588, SEN S/N: 2023588)","Pile défectueuse (LGR S/N: 2023588)","Pile OK (LGR S/N: 2023588)","Coupleur attaché (LGR S/N: 2023588)","Hôte connecté (LGR S/N: 2023588)","Arrêté (LGR S/N: 2023588)","Fin de fichier (LGR S/N: 2023588)"
1,07/11/18 06:00:00 AM,9.768,,,,,,
2,07/11/18 07:00:00 AM,13.269,,,,,,
3,07/11/18 08:00:00 AM,12.690,,,,,,
4,07/11/18 09:00:00 AM,9.077,,,,,,
5,07/11/18 10:00:00 AM,10.063,,,,,,
6,07/11/18 11:00:00 AM,13.654,,,,,,
7,07/11/18 12:00:00 PM,15.473,,,,,,
8,07/11/18 01:00:00 PM,15.473,,,,,,
9,07/11/18 02:00:00 PM,15.569,,,,,,
10,07/11/18 03:00:00 PM,15.187,,,,,,
11,07/11/18 04:00:00 PM,14.421,,,,,,
12,07/11/18 05:00:00 PM,13.750,,,,,,
13,07/11/18 06:00:00 PM,12.787,,,,,,
14,07/11/18 07:00:00 PM,12.013,,,,,,
15,07/11/18 08:00:00 PM,11.139,,,,,,
16,07/11/18 09:00:00 PM,10.455,,,,,,
17,07/11/18 10:00:00 PM,9.866,,,,,,
18,07/11/18 11:00:00 PM,9.571,,,,,,
19,07/12/18 12:00:00 AM,9.176,,,,,,
20,07/12/18 01:00:00 AM,8.182,,,,,,
21,07/12/18 02:00:00 AM,7.381,,,,,,
22,07/12/18 03:00:00 AM,6.573,,,,,,
23,07/12/18 04:00:00 AM,6.268,,,,,,
24,07/12/18 05:00:00 AM,6.268,,,,,,
25,07/12/18 06:00:00 AM,6.471,,,,,,
26,07/12/18 07:00:00 AM,6.877,,,,,,
27,07/12/18 08:00:00 AM,7.381,,,,,,
28,07/12/18 09:00:00 AM,7.983,,,,,,
29,07/12/18 10:00:00 AM,8.182,,,,,,
30,07/12/18 11:00:00 AM,8.481,,,,,,
31,07/12/18 12:00:00 PM,8.978,,,,,,
32,07/12/18 01:00:00 PM,8.879,,,,,,
33,07/12/18 02:00:00 PM,8.978,,,,,,
34,07/12/18 03:00:00 PM,9.768,,,,,,
35,07/12/18 04:00:00 PM,10.259,,,,,,
36,07/12/18 05:00:00 PM,10.846,,,,,,
37,07/12/18 06:00:00 PM,10.748,,,,,,
38,07/12/18 07:00:00 PM,10.553,,,,,,
39,07/12/18 08:00:00 PM,10.357,,,,,,
40,07/12/18 09:00:00 PM,9.077,,,,,,
41,07/12/18 10:00:00 PM,7.381,,,,,,
42,07/12/18 11:00:00 PM,6.166,,,,,,
43,07/13/18 12:00:00 AM,5.450,,,,,,
44,07/13/18 01:00:00 AM,5.244,,,,,,
45,07/13/18 02:00:00 AM,4.831,,,,,,
46,07/13/18 03:00:00 AM,4.415,,,,,,
47,07/13/18 04:00:00 AM,4.102,,,,,,
48,07/13/18 05:00:00 AM,3.788,,,,,,
49,07/13/18 06:00:00 AM,3.578,,,,,,
50,07/13/18 07:00:00 AM,3.261,,,,,,
51,07/13/18 08:00:00 AM,3.261,,,,,,
52,07/13/18 09:00:00 AM,3.472,,,,,,
53,07/13/18 10:00:00 AM,3.578,,,,,,
54,07/13/18 11:00:00 AM,4.102,,,,,,
55,07/13/18 12:00:00 PM,6.573,,,,,,
56,07/13/18 01:00:00 PM,7.983,,,,,,
57,07/13/18 02:00:00 PM,8.779,,,,,,
58,07/13/18 03:00:00 PM,12.883,,,,,,
59,07/13/18 04:00:00 PM,21.569,,,,,,
60,07/13/18 05:00:00 PM,18.140,,,,,,
61,07/13/18 06:00:00 PM,22.908,,,,,,
62,07/13/18 07:00:00 PM,20.519,,,,,,
63,07/13/18 08:00:00 PM,11.916,,,,,,
64,07/13/18 09:00:00 PM,9.176,,,,,,
65,07/13/18 10:00:00 PM,8.680,,,,,,
66,07/13/18 11:00:00 PM,7.481,,,,,,
67,07/14/18 12:00:00 AM,7.280,,,,,,
68,07/14/18 01:00:00 AM,6.370,,,,,,
69,07/14/18 02:00:00 AM,5.347,,,,,,
70,07/14/18 03:00:00 AM,4.727,,,,,,
71,07/14/18 04:00:00 AM,4.102,,,,,,
72,07/14/18 05:00:00 AM,3.998,,,,,,
73,07/14/18 06:00:00 AM,4.102,,,,,,
74,07/14/18 07:00:00 AM,3.998,,,,,,
75,07/14/18 08:00:00 AM,4.102,,,,,,
