"Titre de tracé : 10358253"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10358253, SEN S/N: 10358253)","Pile défectueuse (LGR S/N: 10358253)","Pile OK (LGR S/N: 10358253)","Coupleur attaché (LGR S/N: 10358253)","Hôte connecté (LGR S/N: 10358253)","Arrêté (LGR S/N: 10358253)","Fin de fichier (LGR S/N: 10358253)"
1,07/11/18 10:00:00 AM,11.722,,,,,,
2,07/11/18 11:00:00 AM,12.594,,,,,,
3,07/11/18 12:00:00 PM,14.038,,,,,,
4,07/11/18 01:00:00 PM,13.942,,,,,,
5,07/11/18 02:00:00 PM,14.804,,,,,,
6,07/11/18 03:00:00 PM,14.517,,,,,,
7,07/11/18 04:00:00 PM,13.750,,,,,,
8,07/11/18 05:00:00 PM,13.269,,,,,,
9,07/11/18 06:00:00 PM,12.304,,,,,,
10,07/11/18 07:00:00 PM,11.528,,,,,,
11,07/11/18 08:00:00 PM,10.748,,,,,,
12,07/11/18 09:00:00 PM,10.063,,,,,,
13,07/11/18 10:00:00 PM,9.571,,,,,,
14,07/11/18 11:00:00 PM,9.275,,,,,,
15,07/12/18 12:00:00 AM,8.879,,,,,,
16,07/12/18 01:00:00 AM,7.983,,,,,,
17,07/12/18 02:00:00 AM,7.079,,,,,,
18,07/12/18 03:00:00 AM,6.370,,,,,,
19,07/12/18 04:00:00 AM,6.064,,,,,,
20,07/12/18 05:00:00 AM,6.064,,,,,,
21,07/12/18 06:00:00 AM,6.268,,,,,,
22,07/12/18 07:00:00 AM,6.775,,,,,,
23,07/12/18 08:00:00 AM,7.179,,,,,,
24,07/12/18 09:00:00 AM,7.782,,,,,,
25,07/12/18 10:00:00 AM,8.082,,,,,,
26,07/12/18 11:00:00 AM,8.282,,,,,,
27,07/12/18 12:00:00 PM,8.879,,,,,,
28,07/12/18 01:00:00 PM,8.680,,,,,,
29,07/12/18 02:00:00 PM,8.779,,,,,,
30,07/12/18 03:00:00 PM,9.472,,,,,,
31,07/12/18 04:00:00 PM,9.965,,,,,,
32,07/12/18 05:00:00 PM,10.455,,,,,,
33,07/12/18 06:00:00 PM,10.455,,,,,,
34,07/12/18 07:00:00 PM,10.259,,,,,,
35,07/12/18 08:00:00 PM,10.063,,,,,,
36,07/12/18 09:00:00 PM,8.581,,,,,,
37,07/12/18 10:00:00 PM,6.978,,,,,,
38,07/12/18 11:00:00 PM,5.962,,,,,,
39,07/13/18 12:00:00 AM,5.347,,,,,,
40,07/13/18 01:00:00 AM,5.244,,,,,,
41,07/13/18 02:00:00 AM,4.831,,,,,,
42,07/13/18 03:00:00 AM,4.415,,,,,,
43,07/13/18 04:00:00 AM,3.998,,,,,,
44,07/13/18 05:00:00 AM,3.683,,,,,,
45,07/13/18 06:00:00 AM,3.472,,,,,,
46,07/13/18 07:00:00 AM,3.155,,,,,,
47,07/13/18 08:00:00 AM,3.155,,,,,,
48,07/13/18 09:00:00 AM,3.261,,,,,,
49,07/13/18 10:00:00 AM,3.367,,,,,,
50,07/13/18 11:00:00 AM,3.788,,,,,,
51,07/13/18 12:00:00 PM,5.347,,,,,,
52,07/13/18 01:00:00 PM,6.877,,,,,,
53,07/13/18 02:00:00 PM,7.782,,,,,,
54,07/13/18 03:00:00 PM,8.182,,,,,,
55,07/13/18 04:00:00 PM,20.901,,,,,,
56,07/13/18 05:00:00 PM,18.616,,,,,,
57,07/13/18 06:00:00 PM,26.097,,,,,,
58,07/13/18 07:00:00 PM,20.805,,,,,,
59,07/13/18 08:00:00 PM,9.472,,,,,,
60,07/13/18 09:00:00 PM,9.176,,,,,,
61,07/13/18 10:00:00 PM,8.581,,,,,,
62,07/13/18 11:00:00 PM,7.582,,,,,,
63,07/14/18 12:00:00 AM,7.179,,,,,,
64,07/14/18 01:00:00 AM,6.370,,,,,,
65,07/14/18 02:00:00 AM,5.450,,,,,,
66,07/14/18 03:00:00 AM,4.727,,,,,,
67,07/14/18 04:00:00 AM,3.998,,,,,,
68,07/14/18 05:00:00 AM,3.998,,,,,,
69,07/14/18 06:00:00 AM,3.998,,,,,,
70,07/14/18 07:00:00 AM,3.893,,,,,,
71,07/14/18 08:00:00 AM,3.998,,,,,,
72,07/14/18 09:00:00 AM,4.831,,,,,,
