"Titre de tracé : 20151596"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20151596, SEN S/N: 20151596)","Pile défectueuse (LGR S/N: 20151596)","Coupleur attaché (LGR S/N: 20151596)","Coupleur détaché (LGR S/N: 20151596)","Hôte connecté (LGR S/N: 20151596)","Arrêté (LGR S/N: 20151596)","Fin de fichier (LGR S/N: 20151596)"
1,06/23/19 01:00:00 PM,15.569,,,,,,
2,06/23/19 02:00:00 PM,12.883,,,,,,
3,06/23/19 03:00:00 PM,2.730,,,,,,
4,06/23/19 04:00:00 PM,2.410,,,,,,
5,06/23/19 05:00:00 PM,2.088,,,,,,
6,06/23/19 06:00:00 PM,1.764,,,,,,
7,06/23/19 07:00:00 PM,1.548,,,,,,
8,06/23/19 08:00:00 PM,1.439,,,,,,
9,06/23/19 09:00:00 PM,1.221,,,,,,
10,06/23/19 10:00:00 PM,1.112,,,,,,
11,06/23/19 11:00:00 PM,1.003,,,,,,
12,06/24/19 12:00:00 AM,0.893,,,,,,
13,06/24/19 01:00:00 AM,0.893,,,,,,
14,06/24/19 02:00:00 AM,0.784,,,,,,
15,06/24/19 03:00:00 AM,0.784,,,,,,
16,06/24/19 04:00:00 AM,0.674,,,,,,
17,06/24/19 05:00:00 AM,0.563,,,,,,
18,06/24/19 06:00:00 AM,0.563,,,,,,
19,06/24/19 07:00:00 AM,0.563,,,,,,
20,06/24/19 08:00:00 AM,0.563,,,,,,
21,06/24/19 09:00:00 AM,0.674,,,,,,
22,06/24/19 10:00:00 AM,0.784,,,,,,
23,06/24/19 11:00:00 AM,1.112,,,,,,
24,06/24/19 12:00:00 PM,1.439,,,,,,
25,06/24/19 01:00:00 PM,1.548,,,,,,
26,06/24/19 02:00:00 PM,1.656,,,,,,
27,06/24/19 03:00:00 PM,1.980,,,,,,
28,06/24/19 04:00:00 PM,2.195,,,,,,
29,06/24/19 05:00:00 PM,2.303,,,,,,
30,06/24/19 06:00:00 PM,2.410,,,,,,
31,06/24/19 07:00:00 PM,2.410,,,,,,
32,06/24/19 08:00:00 PM,2.195,,,,,,
33,06/24/19 09:00:00 PM,1.980,,,,,,
34,06/24/19 10:00:00 PM,1.656,,,,,,
35,06/24/19 11:00:00 PM,1.330,,,,,,
36,06/25/19 12:00:00 AM,1.112,,,,,,
37,06/25/19 01:00:00 AM,0.784,,,,,,
38,06/25/19 02:00:00 AM,0.674,,,,,,
39,06/25/19 03:00:00 AM,0.453,,,,,,
40,06/25/19 04:00:00 AM,0.343,,,,,,
41,06/25/19 05:00:00 AM,0.343,,,,,,
42,06/25/19 06:00:00 AM,0.343,,,,,,
43,06/25/19 07:00:00 AM,0.453,,,,,,
44,06/25/19 08:00:00 AM,0.674,,,,,,
45,06/25/19 09:00:00 AM,1.112,,,,,,
46,06/25/19 10:00:00 AM,1.656,,,,,,
47,06/25/19 11:00:00 AM,2.195,,,,,,
48,06/25/19 12:00:00 PM,2.837,,,,,,
49,06/25/19 01:00:00 PM,3.261,,,,,,
50,06/25/19 02:00:00 PM,3.367,,,,,,
51,06/25/19 03:00:00 PM,3.367,,,,,,
52,06/25/19 04:00:00 PM,3.155,,,,,,
53,06/25/19 05:00:00 PM,2.943,,,,,,
54,06/25/19 06:00:00 PM,2.730,,,,,,
55,06/25/19 07:00:00 PM,3.049,,,,,,
56,06/25/19 08:00:00 PM,3.155,,,,,,
57,06/25/19 09:00:00 PM,3.049,,,,,,
58,06/25/19 10:00:00 PM,2.730,,,,,,
59,06/25/19 11:00:00 PM,2.303,,,,,,
60,06/26/19 12:00:00 AM,1.980,,,,,,
61,06/26/19 01:00:00 AM,1.656,,,,,,
62,06/26/19 02:00:00 AM,1.330,,,,,,
63,06/26/19 03:00:00 AM,1.112,,,,,,
64,06/26/19 04:00:00 AM,1.003,,,,,,
65,06/26/19 05:00:00 AM,0.893,,,,,,
66,06/26/19 06:00:00 AM,0.893,,,,,,
67,06/26/19 07:00:00 AM,1.112,,,,,,
68,06/26/19 08:00:00 AM,1.330,,,,,,
69,06/26/19 09:00:00 AM,1.656,,,,,,
70,06/26/19 10:00:00 AM,2.088,,,,,,
71,06/26/19 11:00:00 AM,2.517,,,,,,
72,06/26/19 12:00:00 PM,3.155,,,,,,
73,06/26/19 01:00:00 PM,3.788,,,,,,
74,06/26/19 02:00:00 PM,4.207,,,,,,
75,06/26/19 03:00:00 PM,4.415,,,,,,
76,06/26/19 04:00:00 PM,4.727,,,,,,
77,06/26/19 05:00:00 PM,5.141,,,,,,
78,06/26/19 06:00:00 PM,5.244,,,,,,
79,06/26/19 07:00:00 PM,5.037,,,,,,
80,06/26/19 08:00:00 PM,4.727,,,,,,
81,06/26/19 09:00:00 PM,4.207,,,,,,
