"Titre de tracé : 20151590"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20151590, SEN S/N: 20151590)","Coupleur attaché (LGR S/N: 20151590)","Coupleur détaché (LGR S/N: 20151590)","Hôte connecté (LGR S/N: 20151590)","Arrêté (LGR S/N: 20151590)","Fin de fichier (LGR S/N: 20151590)"
1,06/21/19 06:00:00 PM,7.682,,,,,
2,06/21/19 07:00:00 PM,7.481,,,,,
3,06/21/19 08:00:00 PM,6.877,,,,,
4,06/21/19 09:00:00 PM,6.268,,,,,
5,06/21/19 10:00:00 PM,5.552,,,,,
6,06/21/19 11:00:00 PM,5.244,,,,,
7,06/22/19 12:00:00 AM,5.037,,,,,
8,06/22/19 01:00:00 AM,4.727,,,,,
9,06/22/19 02:00:00 AM,4.311,,,,,
10,06/22/19 03:00:00 AM,3.788,,,,,
11,06/22/19 04:00:00 AM,3.367,,,,,
12,06/22/19 05:00:00 AM,3.049,,,,,
13,06/22/19 06:00:00 AM,2.730,,,,,
14,06/22/19 07:00:00 AM,2.624,,,,,
15,06/22/19 08:00:00 AM,2.517,,,,,
16,06/22/19 09:00:00 AM,2.517,,,,,
17,06/22/19 10:00:00 AM,2.410,,,,,
18,06/22/19 11:00:00 AM,2.303,,,,,
19,06/22/19 12:00:00 PM,2.624,,,,,
20,06/22/19 01:00:00 PM,3.578,,,,,
21,06/22/19 02:00:00 PM,4.623,,,,,
22,06/22/19 03:00:00 PM,5.860,,,,,
23,06/22/19 04:00:00 PM,6.573,,,,,
24,06/22/19 05:00:00 PM,8.082,,,,,
25,06/22/19 06:00:00 PM,9.275,,,,,
26,06/22/19 07:00:00 PM,9.275,,,,,
27,06/22/19 08:00:00 PM,9.176,,,,,
28,06/22/19 09:00:00 PM,9.275,,,,,
29,06/22/19 10:00:00 PM,8.879,,,,,
30,06/22/19 11:00:00 PM,7.882,,,,,
31,06/23/19 12:00:00 AM,6.775,,,,,
32,06/23/19 01:00:00 AM,6.064,,,,,
33,06/23/19 02:00:00 AM,5.347,,,,,
34,06/23/19 03:00:00 AM,5.037,,,,,
35,06/23/19 04:00:00 AM,4.727,,,,,
36,06/23/19 05:00:00 AM,4.623,,,,,
37,06/23/19 06:00:00 AM,4.519,,,,,
38,06/23/19 07:00:00 AM,4.519,,,,,
39,06/23/19 08:00:00 AM,5.141,,,,,
40,06/23/19 09:00:00 AM,5.552,,,,,
41,06/23/19 10:00:00 AM,6.268,,,,,
42,06/23/19 11:00:00 AM,6.775,,,,,
43,06/23/19 12:00:00 PM,6.978,,,,,
44,06/23/19 01:00:00 PM,7.882,,,,,
45,06/23/19 02:00:00 PM,9.176,,,,,
46,06/23/19 03:00:00 PM,9.275,,,,,
47,06/23/19 04:00:00 PM,8.481,,,,,
48,06/23/19 05:00:00 PM,7.481,,,,,
49,06/23/19 06:00:00 PM,6.573,,,,,
50,06/23/19 07:00:00 PM,5.962,,,,,
51,06/23/19 08:00:00 PM,5.552,,,,,
52,06/23/19 09:00:00 PM,5.244,,,,,
53,06/23/19 10:00:00 PM,4.934,,,,,
54,06/23/19 11:00:00 PM,4.623,,,,,
55,06/24/19 12:00:00 AM,4.311,,,,,
56,06/24/19 01:00:00 AM,3.998,,,,,
57,06/24/19 02:00:00 AM,3.788,,,,,
58,06/24/19 03:00:00 AM,3.472,,,,,
59,06/24/19 04:00:00 AM,2.943,,,,,
60,06/24/19 05:00:00 AM,2.517,,,,,
61,06/24/19 06:00:00 AM,2.303,,,,,
62,06/24/19 07:00:00 AM,2.303,,,,,
63,06/24/19 08:00:00 AM,2.410,,,,,
64,06/24/19 09:00:00 AM,2.730,,,,,
65,06/24/19 10:00:00 AM,3.472,,,,,
66,06/24/19 11:00:00 AM,4.934,,,,,
67,06/24/19 12:00:00 PM,5.962,,,,,
68,06/24/19 01:00:00 PM,6.064,,,,,
69,06/24/19 02:00:00 PM,6.674,,,,,
70,06/24/19 03:00:00 PM,7.481,,,,,
71,06/24/19 04:00:00 PM,8.182,,,,,
72,06/24/19 05:00:00 PM,9.077,,,,,
73,06/24/19 06:00:00 PM,9.077,,,,,
74,06/24/19 07:00:00 PM,8.779,,,,,
75,06/24/19 08:00:00 PM,8.481,,,,,
76,06/24/19 09:00:00 PM,7.782,,,,,
77,06/24/19 10:00:00 PM,6.775,,,,,
78,06/24/19 11:00:00 PM,5.757,,,,,
79,06/25/19 12:00:00 AM,4.831,,,,,
80,06/25/19 01:00:00 AM,3.998,,,,,
81,06/25/19 02:00:00 AM,3.367,,,,,
82,06/25/19 03:00:00 AM,2.624,,,,,
83,06/25/19 04:00:00 AM,2.088,,,,,
84,06/25/19 05:00:00 AM,1.656,,,,,
85,06/25/19 06:00:00 AM,1.439,,,,,
86,06/25/19 07:00:00 AM,1.656,,,,,
87,06/25/19 08:00:00 AM,2.837,,,,,
88,06/25/19 09:00:00 AM,5.037,,,,,
89,06/25/19 10:00:00 AM,7.782,,,,,
90,06/25/19 11:00:00 AM,10.259,,,,,
91,06/25/19 12:00:00 PM,12.207,,,,,
92,06/25/19 01:00:00 PM,13.365,,,,,
93,06/25/19 02:00:00 PM,13.558,,,,,
94,06/25/19 03:00:00 PM,13.173,,,,,
95,06/25/19 04:00:00 PM,12.013,,,,,
96,06/25/19 05:00:00 PM,10.944,,,,,
97,06/25/19 06:00:00 PM,10.357,,,,,
98,06/25/19 07:00:00 PM,10.651,,,,,
99,06/25/19 08:00:00 PM,11.722,,,,,
100,06/25/19 09:00:00 PM,11.528,,,,,
101,06/25/19 10:00:00 PM,10.846,,,,,
102,06/25/19 11:00:00 PM,10.063,,,,,
103,06/26/19 12:00:00 AM,9.176,,,,,
104,06/26/19 01:00:00 AM,8.082,,,,,
105,06/26/19 02:00:00 AM,7.179,,,,,
106,06/26/19 03:00:00 AM,6.471,,,,,
107,06/26/19 04:00:00 AM,5.757,,,,,
108,06/26/19 05:00:00 AM,5.141,,,,,
109,06/26/19 06:00:00 AM,4.831,,,,,
110,06/26/19 07:00:00 AM,4.831,,,,,
111,06/26/19 08:00:00 AM,5.244,,,,,
112,06/26/19 09:00:00 AM,6.166,,,,,
113,06/26/19 10:00:00 AM,7.381,,,,,
114,06/26/19 11:00:00 AM,8.481,,,,,
115,06/26/19 12:00:00 PM,10.357,,,,,
116,06/26/19 01:00:00 PM,12.401,,,,,
117,06/26/19 02:00:00 PM,13.750,,,,,
118,06/26/19 03:00:00 PM,14.421,,,,,
119,06/26/19 04:00:00 PM,14.804,,,,,
120,06/26/19 05:00:00 PM,15.760,,,,,
121,06/26/19 06:00:00 PM,15.951,,,,,
122,06/26/19 07:00:00 PM,15.569,,,,,
123,06/26/19 08:00:00 PM,15.187,,,,,
124,06/26/19 09:00:00 PM,14.325,,,,,
125,06/26/19 10:00:00 PM,13.076,,,,,
126,06/26/19 11:00:00 PM,12.110,,,,,
127,06/27/19 12:00:00 AM,11.139,,,,,
128,06/27/19 01:00:00 AM,10.357,,,,,
129,06/27/19 02:00:00 AM,9.571,,,,,
130,06/27/19 03:00:00 AM,9.077,,,,,
131,06/27/19 04:00:00 AM,8.680,,,,,
132,06/27/19 05:00:00 AM,8.182,,,,,
133,06/27/19 06:00:00 AM,7.983,,,,,
134,06/27/19 07:00:00 AM,7.882,,,,,
135,06/27/19 08:00:00 AM,8.082,,,,,
136,06/27/19 09:00:00 AM,8.481,,,,,
137,06/27/19 10:00:00 AM,8.978,,,,,
138,06/27/19 11:00:00 AM,9.571,,,,,
139,06/27/19 12:00:00 PM,10.357,,,,,
140,06/27/19 01:00:00 PM,11.528,,,,,
141,06/27/19 02:00:00 PM,12.207,,,,,
142,06/27/19 03:00:00 PM,12.497,,,,,
143,06/27/19 04:00:00 PM,12.883,,,,,
144,06/27/19 05:00:00 PM,13.750,,,,,
145,06/27/19 06:00:00 PM,14.421,,,,,
146,06/27/19 07:00:00 PM,14.900,,,,,
147,06/27/19 08:00:00 PM,14.804,,,,,
148,06/27/19 09:00:00 PM,14.134,,,,,
149,06/27/19 10:00:00 PM,13.269,,,,,
150,06/27/19 11:00:00 PM,12.207,,,,,
151,06/28/19 12:00:00 AM,11.041,,,,,
152,06/28/19 01:00:00 AM,10.063,,,,,
153,06/28/19 02:00:00 AM,9.176,,,,,
154,06/28/19 03:00:00 AM,8.581,,,,,
155,06/28/19 04:00:00 AM,7.983,,,,,
156,06/28/19 05:00:00 AM,7.481,,,,,
157,06/28/19 06:00:00 AM,7.079,,,,,
158,06/28/19 07:00:00 AM,6.775,,,,,
159,06/28/19 08:00:00 AM,6.573,,,,,
160,06/28/19 09:00:00 AM,6.573,,,,,
161,06/28/19 10:00:00 AM,6.775,,,,,
162,06/28/19 11:00:00 AM,7.079,,,,,
163,06/28/19 12:00:00 PM,7.882,,,,,
164,06/28/19 01:00:00 PM,9.077,,,,,
165,06/28/19 02:00:00 PM,10.259,,,,,
166,06/28/19 03:00:00 PM,11.236,,,,,
167,06/28/19 04:00:00 PM,11.916,,,,,
168,06/28/19 05:00:00 PM,12.401,,,,,
169,06/28/19 06:00:00 PM,12.690,,,,,
170,06/28/19 07:00:00 PM,12.787,,,,,
171,06/28/19 08:00:00 PM,12.497,,,,,
172,06/28/19 09:00:00 PM,12.110,,,,,
173,06/28/19 10:00:00 PM,11.722,,,,,
174,06/28/19 11:00:00 PM,11.139,,,,,
175,06/29/19 12:00:00 AM,10.651,,,,,
