"Titre de tracé : 10169521"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10169521, SEN S/N: 10169521)","Pile défectueuse (LGR S/N: 10169521)","Coupleur attaché (LGR S/N: 10169521)","Hôte connecté (LGR S/N: 10169521)","Arrêté (LGR S/N: 10169521)","Fin de fichier (LGR S/N: 10169521)"
1,06/21/19 06:00:00 PM,7.782,,,,,
2,06/21/19 07:00:00 PM,7.582,,,,,
3,06/21/19 08:00:00 PM,7.381,,,,,
4,06/21/19 09:00:00 PM,7.079,,,,,
5,06/21/19 10:00:00 PM,6.674,,,,,
6,06/21/19 11:00:00 PM,6.370,,,,,
7,06/22/19 12:00:00 AM,6.064,,,,,
8,06/22/19 01:00:00 AM,5.860,,,,,
9,06/22/19 02:00:00 AM,5.552,,,,,
10,06/22/19 03:00:00 AM,5.141,,,,,
11,06/22/19 04:00:00 AM,4.727,,,,,
12,06/22/19 05:00:00 AM,4.415,,,,,
13,06/22/19 06:00:00 AM,4.102,,,,,
14,06/22/19 07:00:00 AM,3.788,,,,,
15,06/22/19 08:00:00 AM,3.683,,,,,
16,06/22/19 09:00:00 AM,3.472,,,,,
17,06/22/19 10:00:00 AM,3.261,,,,,
18,06/22/19 11:00:00 AM,3.155,,,,,
19,06/22/19 12:00:00 PM,3.367,,,,,
20,06/22/19 01:00:00 PM,3.893,,,,,
21,06/22/19 02:00:00 PM,4.519,,,,,
22,06/22/19 03:00:00 PM,5.141,,,,,
23,06/22/19 04:00:00 PM,5.757,,,,,
24,06/22/19 05:00:00 PM,6.674,,,,,
25,06/22/19 06:00:00 PM,7.481,,,,,
26,06/22/19 07:00:00 PM,7.882,,,,,
27,06/22/19 08:00:00 PM,7.983,,,,,
28,06/22/19 09:00:00 PM,8.082,,,,,
29,06/22/19 10:00:00 PM,7.983,,,,,
30,06/22/19 11:00:00 PM,7.582,,,,,
31,06/23/19 12:00:00 AM,7.079,,,,,
32,06/23/19 01:00:00 AM,6.674,,,,,
33,06/23/19 02:00:00 AM,6.268,,,,,
34,06/23/19 03:00:00 AM,5.962,,,,,
35,06/23/19 04:00:00 AM,5.757,,,,,
36,06/23/19 05:00:00 AM,5.655,,,,,
37,06/23/19 06:00:00 AM,5.552,,,,,
38,06/23/19 07:00:00 AM,5.552,,,,,
39,06/23/19 08:00:00 AM,5.860,,,,,
40,06/23/19 09:00:00 AM,6.166,,,,,
41,06/23/19 10:00:00 AM,6.573,,,,,
42,06/23/19 11:00:00 AM,6.978,,,,,
43,06/23/19 12:00:00 PM,7.179,,,,,
44,06/23/19 01:00:00 PM,7.782,,,,,
45,06/23/19 02:00:00 PM,8.382,,,,,
46,06/23/19 03:00:00 PM,8.680,,,,,
47,06/23/19 04:00:00 PM,8.481,,,,,
48,06/23/19 05:00:00 PM,7.983,,,,,
49,06/23/19 06:00:00 PM,7.481,,,,,
50,06/23/19 07:00:00 PM,6.978,,,,,
51,06/23/19 08:00:00 PM,6.573,,,,,
52,06/23/19 09:00:00 PM,6.268,,,,,
53,06/23/19 10:00:00 PM,5.962,,,,,
54,06/23/19 11:00:00 PM,5.655,,,,,
55,06/24/19 12:00:00 AM,5.347,,,,,
56,06/24/19 01:00:00 AM,5.141,,,,,
57,06/24/19 02:00:00 AM,4.934,,,,,
58,06/24/19 03:00:00 AM,4.623,,,,,
59,06/24/19 04:00:00 AM,4.207,,,,,
60,06/24/19 05:00:00 AM,3.893,,,,,
61,06/24/19 06:00:00 AM,3.683,,,,,
62,06/24/19 07:00:00 AM,3.578,,,,,
63,06/24/19 08:00:00 AM,3.578,,,,,
64,06/24/19 09:00:00 AM,3.683,,,,,
65,06/24/19 10:00:00 AM,4.102,,,,,
66,06/24/19 11:00:00 AM,4.831,,,,,
67,06/24/19 12:00:00 PM,5.450,,,,,
68,06/24/19 01:00:00 PM,5.757,,,,,
69,06/24/19 02:00:00 PM,6.268,,,,,
70,06/24/19 03:00:00 PM,6.775,,,,,
71,06/24/19 04:00:00 PM,7.280,,,,,
72,06/24/19 05:00:00 PM,7.882,,,,,
73,06/24/19 06:00:00 PM,8.182,,,,,
74,06/24/19 07:00:00 PM,8.082,,,,,
75,06/24/19 08:00:00 PM,7.983,,,,,
76,06/24/19 09:00:00 PM,7.582,,,,,
77,06/24/19 10:00:00 PM,6.978,,,,,
78,06/24/19 11:00:00 PM,6.268,,,,,
79,06/25/19 12:00:00 AM,5.552,,,,,
80,06/25/19 01:00:00 AM,4.934,,,,,
81,06/25/19 02:00:00 AM,4.415,,,,,
82,06/25/19 03:00:00 AM,3.893,,,,,
83,06/25/19 04:00:00 AM,3.472,,,,,
84,06/25/19 05:00:00 AM,3.261,,,,,
85,06/25/19 06:00:00 AM,3.261,,,,,
86,06/25/19 07:00:00 AM,3.578,,,,,
87,06/25/19 08:00:00 AM,4.207,,,,,
88,06/25/19 09:00:00 AM,4.831,,,,,
89,06/25/19 10:00:00 AM,6.064,,,,,
90,06/25/19 11:00:00 AM,7.481,,,,,
91,06/25/19 12:00:00 PM,8.978,,,,,
92,06/25/19 01:00:00 PM,10.063,,,,,
93,06/25/19 02:00:00 PM,10.846,,,,,
94,06/25/19 03:00:00 PM,11.139,,,,,
95,06/25/19 04:00:00 PM,10.944,,,,,
96,06/25/19 05:00:00 PM,10.553,,,,,
97,06/25/19 06:00:00 PM,10.357,,,,,
98,06/25/19 07:00:00 PM,10.651,,,,,
99,06/25/19 08:00:00 PM,10.944,,,,,
100,06/25/19 09:00:00 PM,10.846,,,,,
101,06/25/19 10:00:00 PM,10.455,,,,,
102,06/25/19 11:00:00 PM,9.965,,,,,
103,06/26/19 12:00:00 AM,9.275,,,,,
104,06/26/19 01:00:00 AM,8.680,,,,,
105,06/26/19 02:00:00 AM,7.983,,,,,
106,06/26/19 03:00:00 AM,7.481,,,,,
107,06/26/19 04:00:00 AM,6.978,,,,,
108,06/26/19 05:00:00 AM,6.674,,,,,
109,06/26/19 06:00:00 AM,6.573,,,,,
110,06/26/19 07:00:00 AM,6.775,,,,,
111,06/26/19 08:00:00 AM,6.978,,,,,
112,06/26/19 09:00:00 AM,7.381,,,,,
113,06/26/19 10:00:00 AM,7.782,,,,,
114,06/26/19 11:00:00 AM,8.382,,,,,
115,06/26/19 12:00:00 PM,9.472,,,,,
116,06/26/19 01:00:00 PM,10.553,,,,,
117,06/26/19 02:00:00 PM,11.528,,,,,
118,06/26/19 03:00:00 PM,12.110,,,,,
119,06/26/19 04:00:00 PM,12.690,,,,,
120,06/26/19 05:00:00 PM,13.269,,,,,
