"Titre de tracé : 20177029"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177029, SEN S/N: 20177029)","Coupleur attaché (LGR S/N: 20177029)","Hôte connecté (LGR S/N: 20177029)","Arrêté (LGR S/N: 20177029)","Fin de fichier (LGR S/N: 20177029)"
1,06/21/19 06:00:00 PM,4.311,,,,
2,06/21/19 07:00:00 PM,4.207,,,,
3,06/21/19 08:00:00 PM,4.102,,,,
4,06/21/19 09:00:00 PM,3.998,,,,
5,06/21/19 10:00:00 PM,3.893,,,,
6,06/21/19 11:00:00 PM,3.788,,,,
7,06/22/19 12:00:00 AM,3.578,,,,
8,06/22/19 01:00:00 AM,3.472,,,,
9,06/22/19 02:00:00 AM,3.367,,,,
10,06/22/19 03:00:00 AM,3.155,,,,
11,06/22/19 04:00:00 AM,3.049,,,,
12,06/22/19 05:00:00 AM,2.943,,,,
13,06/22/19 06:00:00 AM,2.730,,,,
14,06/22/19 07:00:00 AM,2.624,,,,
15,06/22/19 08:00:00 AM,2.517,,,,
16,06/22/19 09:00:00 AM,2.410,,,,
17,06/22/19 10:00:00 AM,2.303,,,,
18,06/22/19 11:00:00 AM,2.195,,,,
19,06/22/19 12:00:00 PM,2.195,,,,
20,06/22/19 01:00:00 PM,2.195,,,,
21,06/22/19 02:00:00 PM,2.303,,,,
22,06/22/19 03:00:00 PM,2.517,,,,
23,06/22/19 04:00:00 PM,2.624,,,,
24,06/22/19 05:00:00 PM,2.837,,,,
25,06/22/19 06:00:00 PM,3.049,,,,
26,06/22/19 07:00:00 PM,3.261,,,,
27,06/22/19 08:00:00 PM,3.367,,,,
28,06/22/19 09:00:00 PM,3.472,,,,
29,06/22/19 10:00:00 PM,3.472,,,,
30,06/22/19 11:00:00 PM,3.472,,,,
31,06/23/19 12:00:00 AM,3.472,,,,
32,06/23/19 01:00:00 AM,3.367,,,,
33,06/23/19 02:00:00 AM,3.261,,,,
34,06/23/19 03:00:00 AM,3.155,,,,
35,06/23/19 04:00:00 AM,3.049,,,,
36,06/23/19 05:00:00 AM,2.943,,,,
37,06/23/19 06:00:00 AM,2.943,,,,
38,06/23/19 07:00:00 AM,2.943,,,,
39,06/23/19 08:00:00 AM,2.943,,,,
40,06/23/19 09:00:00 AM,3.049,,,,
41,06/23/19 10:00:00 AM,3.261,,,,
42,06/23/19 11:00:00 AM,3.472,,,,
43,06/23/19 12:00:00 PM,3.578,,,,
44,06/23/19 01:00:00 PM,3.893,,,,
45,06/23/19 02:00:00 PM,4.207,,,,
46,06/23/19 03:00:00 PM,4.519,,,,
47,06/23/19 04:00:00 PM,4.623,,,,
48,06/23/19 05:00:00 PM,4.623,,,,
49,06/23/19 06:00:00 PM,4.519,,,,
50,06/23/19 07:00:00 PM,4.311,,,,
51,06/23/19 08:00:00 PM,4.207,,,,
52,06/23/19 09:00:00 PM,4.102,,,,
53,06/23/19 10:00:00 PM,3.893,,,,
54,06/23/19 11:00:00 PM,3.683,,,,
55,06/24/19 12:00:00 AM,3.578,,,,
56,06/24/19 01:00:00 AM,3.367,,,,
57,06/24/19 02:00:00 AM,3.261,,,,
58,06/24/19 03:00:00 AM,3.049,,,,
59,06/24/19 04:00:00 AM,2.943,,,,
60,06/24/19 05:00:00 AM,2.837,,,,
61,06/24/19 06:00:00 AM,2.624,,,,
62,06/24/19 07:00:00 AM,2.517,,,,
63,06/24/19 08:00:00 AM,2.410,,,,
64,06/24/19 09:00:00 AM,2.410,,,,
65,06/24/19 10:00:00 AM,2.410,,,,
66,06/24/19 11:00:00 AM,2.517,,,,
67,06/24/19 12:00:00 PM,2.624,,,,
68,06/24/19 01:00:00 PM,2.730,,,,
69,06/24/19 02:00:00 PM,2.837,,,,
70,06/24/19 03:00:00 PM,2.943,,,,
71,06/24/19 04:00:00 PM,3.155,,,,
72,06/24/19 05:00:00 PM,3.472,,,,
73,06/24/19 06:00:00 PM,3.788,,,,
74,06/24/19 07:00:00 PM,3.998,,,,
75,06/24/19 08:00:00 PM,4.207,,,,
76,06/24/19 09:00:00 PM,4.415,,,,
77,06/24/19 10:00:00 PM,4.519,,,,
78,06/24/19 11:00:00 PM,4.519,,,,
79,06/25/19 12:00:00 AM,4.311,,,,
80,06/25/19 01:00:00 AM,3.998,,,,
81,06/25/19 02:00:00 AM,3.788,,,,
82,06/25/19 03:00:00 AM,3.472,,,,
83,06/25/19 04:00:00 AM,3.261,,,,
84,06/25/19 05:00:00 AM,3.155,,,,
85,06/25/19 06:00:00 AM,3.049,,,,
86,06/25/19 07:00:00 AM,3.049,,,,
87,06/25/19 08:00:00 AM,3.155,,,,
88,06/25/19 09:00:00 AM,3.367,,,,
89,06/25/19 10:00:00 AM,3.578,,,,
90,06/25/19 11:00:00 AM,3.998,,,,
91,06/25/19 12:00:00 PM,4.519,,,,
92,06/25/19 01:00:00 PM,4.934,,,,
93,06/25/19 02:00:00 PM,5.347,,,,
94,06/25/19 03:00:00 PM,5.655,,,,
95,06/25/19 04:00:00 PM,5.757,,,,
96,06/25/19 05:00:00 PM,5.860,,,,
97,06/25/19 06:00:00 PM,5.860,,,,
98,06/25/19 07:00:00 PM,5.962,,,,
99,06/25/19 08:00:00 PM,5.962,,,,
100,06/25/19 09:00:00 PM,5.962,,,,
101,06/25/19 10:00:00 PM,5.860,,,,
102,06/25/19 11:00:00 PM,5.655,,,,
103,06/26/19 12:00:00 AM,5.450,,,,
104,06/26/19 01:00:00 AM,5.244,,,,
105,06/26/19 02:00:00 AM,5.037,,,,
106,06/26/19 03:00:00 AM,4.727,,,,
107,06/26/19 04:00:00 AM,4.519,,,,
108,06/26/19 05:00:00 AM,4.415,,,,
109,06/26/19 06:00:00 AM,4.311,,,,
110,06/26/19 07:00:00 AM,4.415,,,,
111,06/26/19 08:00:00 AM,4.415,,,,
112,06/26/19 09:00:00 AM,4.519,,,,
113,06/26/19 10:00:00 AM,4.727,,,,
114,06/26/19 11:00:00 AM,4.934,,,,
115,06/26/19 12:00:00 PM,5.347,,,,
116,06/26/19 01:00:00 PM,5.757,,,,
117,06/26/19 02:00:00 PM,6.268,,,,
118,06/26/19 03:00:00 PM,6.674,,,,
