"Titre de tracé : 10727379"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10727379, SEN S/N: 10727379)","Pile défectueuse (LGR S/N: 10727379)","Coupleur attaché (LGR S/N: 10727379)","Hôte connecté (LGR S/N: 10727379)","Arrêté (LGR S/N: 10727379)","Fin de fichier (LGR S/N: 10727379)"
1,06/21/19 06:00:00 PM,4.415,,,,,
2,06/21/19 07:00:00 PM,4.311,,,,,
3,06/21/19 08:00:00 PM,4.207,,,,,
4,06/21/19 09:00:00 PM,4.102,,,,,
5,06/21/19 10:00:00 PM,3.998,,,,,
6,06/21/19 11:00:00 PM,3.788,,,,,
7,06/22/19 12:00:00 AM,3.683,,,,,
8,06/22/19 01:00:00 AM,3.578,,,,,
9,06/22/19 02:00:00 AM,3.367,,,,,
10,06/22/19 03:00:00 AM,3.261,,,,,
11,06/22/19 04:00:00 AM,3.049,,,,,
12,06/22/19 05:00:00 AM,2.837,,,,,
13,06/22/19 06:00:00 AM,2.730,,,,,
14,06/22/19 07:00:00 AM,2.517,,,,,
15,06/22/19 08:00:00 AM,2.410,,,,,
16,06/22/19 09:00:00 AM,2.303,,,,,
17,06/22/19 10:00:00 AM,2.195,,,,,
18,06/22/19 11:00:00 AM,2.088,,,,,
19,06/22/19 12:00:00 PM,1.980,,,,,
20,06/22/19 01:00:00 PM,1.980,,,,,
21,06/22/19 02:00:00 PM,2.088,,,,,
22,06/22/19 03:00:00 PM,2.195,,,,,
23,06/22/19 04:00:00 PM,2.410,,,,,
24,06/22/19 05:00:00 PM,2.624,,,,,
25,06/22/19 06:00:00 PM,2.943,,,,,
26,06/22/19 07:00:00 PM,3.261,,,,,
27,06/22/19 08:00:00 PM,3.472,,,,,
28,06/22/19 09:00:00 PM,3.683,,,,,
29,06/22/19 10:00:00 PM,3.788,,,,,
30,06/22/19 11:00:00 PM,3.893,,,,,
31,06/23/19 12:00:00 AM,3.893,,,,,
32,06/23/19 01:00:00 AM,3.788,,,,,
33,06/23/19 02:00:00 AM,3.683,,,,,
34,06/23/19 03:00:00 AM,3.578,,,,,
35,06/23/19 04:00:00 AM,3.367,,,,,
36,06/23/19 05:00:00 AM,3.261,,,,,
37,06/23/19 06:00:00 AM,3.155,,,,,
38,06/23/19 07:00:00 AM,3.049,,,,,
39,06/23/19 08:00:00 AM,3.049,,,,,
40,06/23/19 09:00:00 AM,3.155,,,,,
41,06/23/19 10:00:00 AM,3.261,,,,,
42,06/23/19 11:00:00 AM,3.367,,,,,
43,06/23/19 12:00:00 PM,3.578,,,,,
44,06/23/19 01:00:00 PM,3.683,,,,,
45,06/23/19 02:00:00 PM,3.998,,,,,
46,06/23/19 03:00:00 PM,4.311,,,,,
47,06/23/19 04:00:00 PM,4.519,,,,,
48,06/23/19 05:00:00 PM,4.519,,,,,
49,06/23/19 06:00:00 PM,4.519,,,,,
50,06/23/19 07:00:00 PM,4.311,,,,,
51,06/23/19 08:00:00 PM,4.207,,,,,
52,06/23/19 09:00:00 PM,3.998,,,,,
53,06/23/19 10:00:00 PM,3.893,,,,,
54,06/23/19 11:00:00 PM,3.683,,,,,
55,06/24/19 12:00:00 AM,3.472,,,,,
56,06/24/19 01:00:00 AM,3.367,,,,,
57,06/24/19 02:00:00 AM,3.261,,,,,
58,06/24/19 03:00:00 AM,3.049,,,,,
