"Titre de tracé : 2368290"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 2368290, SEN S/N: 2368290)","Coupleur attaché (LGR S/N: 2368290)","Hôte connecté (LGR S/N: 2368290)","Arrêté (LGR S/N: 2368290)","Fin de fichier (LGR S/N: 2368290)"
1,06/24/19 11:00:00 AM,19.758,,,,
2,06/24/19 01:00:00 PM,18.521,,,,
3,06/24/19 03:00:00 PM,11.625,,,,
4,06/24/19 05:00:00 PM,8.481,,,,
5,06/24/19 07:00:00 PM,3.472,,,,
6,06/24/19 09:00:00 PM,3.261,,,,
7,06/24/19 11:00:00 PM,2.195,,,,
8,06/25/19 01:00:00 AM,1.330,,,,
9,06/25/19 03:00:00 AM,0.784,,,,
10,06/25/19 05:00:00 AM,0.563,,,,
11,06/25/19 07:00:00 AM,0.453,,,,
12,06/25/19 09:00:00 AM,0.893,,,,
13,06/25/19 11:00:00 AM,1.872,,,,
14,06/25/19 01:00:00 PM,3.472,,,,
15,06/25/19 03:00:00 PM,3.893,,,,
16,06/25/19 05:00:00 PM,3.367,,,,
17,06/25/19 07:00:00 PM,3.788,,,,
18,06/25/19 09:00:00 PM,4.207,,,,
19,06/25/19 11:00:00 PM,3.472,,,,
20,06/26/19 01:00:00 AM,2.517,,,,
21,06/26/19 03:00:00 AM,1.656,,,,
22,06/26/19 05:00:00 AM,1.221,,,,
23,06/26/19 07:00:00 AM,1.439,,,,
24,06/26/19 09:00:00 AM,2.195,,,,
25,06/26/19 11:00:00 AM,3.049,,,,
26,06/26/19 01:00:00 PM,4.623,,,,
27,06/26/19 03:00:00 PM,5.860,,,,
28,06/26/19 05:00:00 PM,6.775,,,,
29,06/26/19 07:00:00 PM,7.179,,,,
30,06/26/19 09:00:00 PM,5.962,,,,
31,06/26/19 11:00:00 PM,4.623,,,,
32,06/27/19 01:00:00 AM,3.578,,,,
33,06/27/19 03:00:00 AM,2.943,,,,
34,06/27/19 05:00:00 AM,2.730,,,,
35,06/27/19 07:00:00 AM,2.837,,,,
36,06/27/19 09:00:00 AM,3.367,,,,
37,06/27/19 11:00:00 AM,4.311,,,,
38,06/27/19 01:00:00 PM,5.244,,,,
39,06/27/19 03:00:00 PM,5.757,,,,
40,06/27/19 05:00:00 PM,7.280,,,,
41,06/27/19 07:00:00 PM,7.481,,,,
42,06/27/19 09:00:00 PM,6.268,,,,
43,06/27/19 11:00:00 PM,5.037,,,,
44,06/28/19 01:00:00 AM,3.788,,,,
45,06/28/19 03:00:00 AM,2.943,,,,
46,06/28/19 05:00:00 AM,2.410,,,,
47,06/28/19 07:00:00 AM,2.195,,,,
48,06/28/19 09:00:00 AM,2.943,,,,
49,06/28/19 11:00:00 AM,3.998,,,,
50,06/28/19 01:00:00 PM,5.450,,,,
51,06/28/19 03:00:00 PM,6.775,,,,
52,06/28/19 05:00:00 PM,7.682,,,,
53,06/28/19 07:00:00 PM,7.882,,,,
54,06/28/19 09:00:00 PM,6.064,,,,
55,06/28/19 11:00:00 PM,5.037,,,,
56,06/29/19 01:00:00 AM,4.102,,,,
57,06/29/19 03:00:00 AM,3.367,,,,
58,06/29/19 05:00:00 AM,2.837,,,,
59,06/29/19 07:00:00 AM,2.837,,,,
60,06/29/19 09:00:00 AM,3.367,,,,
61,06/29/19 11:00:00 AM,4.311,,,,
