"Titre de tracé : 10358264"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10358264, SEN S/N: 10358264)","Pile défectueuse (LGR S/N: 10358264)","Coupleur attaché (LGR S/N: 10358264)","Hôte connecté (LGR S/N: 10358264)","Arrêté (LGR S/N: 10358264)","Fin de fichier (LGR S/N: 10358264)"
1,06/24/19 06:00:00 PM,1.980,,,,,
2,06/24/19 07:00:00 PM,1.439,,,,,
3,06/24/19 08:00:00 PM,1.330,,,,,
4,06/24/19 09:00:00 PM,1.221,,,,,
5,06/24/19 10:00:00 PM,1.003,,,,,
6,06/24/19 11:00:00 PM,0.784,,,,,
7,06/25/19 12:00:00 AM,0.563,,,,,
8,06/25/19 01:00:00 AM,0.343,,,,,
9,06/25/19 02:00:00 AM,0.232,,,,,
10,06/25/19 03:00:00 AM,0.121,,,,,
11,06/25/19 04:00:00 AM,0.121,,,,,
12,06/25/19 05:00:00 AM,0.121,,,,,
13,06/25/19 06:00:00 AM,0.121,,,,,
14,06/25/19 07:00:00 AM,0.010,,,,,
15,06/25/19 08:00:00 AM,0.121,,,,,
16,06/25/19 09:00:00 AM,0.453,,,,,
17,06/25/19 10:00:00 AM,1.003,,,,,
18,06/25/19 11:00:00 AM,1.439,,,,,
19,06/25/19 12:00:00 PM,2.088,,,,,
20,06/25/19 01:00:00 PM,2.410,,,,,
21,06/25/19 02:00:00 PM,2.517,,,,,
22,06/25/19 03:00:00 PM,2.517,,,,,
23,06/25/19 04:00:00 PM,2.303,,,,,
24,06/25/19 05:00:00 PM,1.980,,,,,
25,06/25/19 06:00:00 PM,1.980,,,,,
26,06/25/19 07:00:00 PM,2.088,,,,,
27,06/25/19 08:00:00 PM,2.195,,,,,
28,06/25/19 09:00:00 PM,1.980,,,,,
29,06/25/19 10:00:00 PM,1.764,,,,,
30,06/25/19 11:00:00 PM,1.548,,,,,
31,06/26/19 12:00:00 AM,1.221,,,,,
32,06/26/19 01:00:00 AM,0.893,,,,,
33,06/26/19 02:00:00 AM,0.563,,,,,
34,06/26/19 03:00:00 AM,0.343,,,,,
35,06/26/19 04:00:00 AM,0.232,,,,,
36,06/26/19 05:00:00 AM,0.121,,,,,
37,06/26/19 06:00:00 AM,0.232,,,,,
38,06/26/19 07:00:00 AM,0.563,,,,,
39,06/26/19 08:00:00 AM,1.003,,,,,
40,06/26/19 09:00:00 AM,1.439,,,,,
41,06/26/19 10:00:00 AM,1.872,,,,,
42,06/26/19 11:00:00 AM,2.410,,,,,
43,06/26/19 12:00:00 PM,2.943,,,,,
44,06/26/19 01:00:00 PM,3.367,,,,,
45,06/26/19 02:00:00 PM,3.578,,,,,
46,06/26/19 03:00:00 PM,3.683,,,,,
47,06/26/19 04:00:00 PM,3.683,,,,,
48,06/26/19 05:00:00 PM,3.788,,,,,
49,06/26/19 06:00:00 PM,3.788,,,,,
50,06/26/19 07:00:00 PM,3.683,,,,,
51,06/26/19 08:00:00 PM,3.472,,,,,
52,06/26/19 09:00:00 PM,3.049,,,,,
53,06/26/19 10:00:00 PM,2.624,,,,,
54,06/26/19 11:00:00 PM,2.195,,,,,
55,06/27/19 12:00:00 AM,1.872,,,,,
56,06/27/19 01:00:00 AM,1.548,,,,,
57,06/27/19 02:00:00 AM,1.330,,,,,
58,06/27/19 03:00:00 AM,1.221,,,,,
59,06/27/19 04:00:00 AM,1.112,,,,,
60,06/27/19 05:00:00 AM,1.112,,,,,
61,06/27/19 06:00:00 AM,1.221,,,,,
62,06/27/19 07:00:00 AM,1.439,,,,,
63,06/27/19 08:00:00 AM,1.656,,,,,
64,06/27/19 09:00:00 AM,2.088,,,,,
65,06/27/19 10:00:00 AM,2.517,,,,,
66,06/27/19 11:00:00 AM,2.943,,,,,
67,06/27/19 12:00:00 PM,3.472,,,,,
68,06/27/19 01:00:00 PM,3.683,,,,,
69,06/27/19 02:00:00 PM,3.683,,,,,
70,06/27/19 03:00:00 PM,3.683,,,,,
71,06/27/19 04:00:00 PM,3.788,,,,,
72,06/27/19 05:00:00 PM,3.893,,,,,
73,06/27/19 06:00:00 PM,3.893,,,,,
74,06/27/19 07:00:00 PM,3.893,,,,,
75,06/27/19 08:00:00 PM,3.683,,,,,
76,06/27/19 09:00:00 PM,3.367,,,,,
77,06/27/19 10:00:00 PM,3.049,,,,,
78,06/27/19 11:00:00 PM,2.624,,,,,
79,06/28/19 12:00:00 AM,2.088,,,,,
80,06/28/19 01:00:00 AM,1.656,,,,,
81,06/28/19 02:00:00 AM,1.221,,,,,
82,06/28/19 03:00:00 AM,0.893,,,,,
83,06/28/19 04:00:00 AM,0.674,,,,,
84,06/28/19 05:00:00 AM,0.563,,,,,
85,06/28/19 06:00:00 AM,0.453,Enregistré,,,,
86,06/28/19 07:00:00 AM,0.453,,,,,
87,06/28/19 08:00:00 AM,0.784,,,,,
88,06/28/19 09:00:00 AM,1.221,,,,,
89,06/28/19 10:00:00 AM,1.980,,,,,
90,06/28/19 11:00:00 AM,2.837,,,,,
91,06/28/19 12:00:00 PM,3.367,,,,,
92,06/28/19 01:00:00 PM,3.578,,,,,
93,06/28/19 02:00:00 PM,3.683,,,,,
94,06/28/19 03:00:00 PM,3.788,,,,,
95,06/28/19 04:00:00 PM,3.788,,,,,
96,06/28/19 05:00:00 PM,3.998,,,,,
97,06/28/19 06:00:00 PM,4.102,,,,,
98,06/28/19 07:00:00 PM,4.102,,,,,
99,06/28/19 08:00:00 PM,3.788,,,,,
100,06/28/19 09:00:00 PM,3.367,,,,,
101,06/28/19 10:00:00 PM,3.049,,,,,
102,06/28/19 11:00:00 PM,2.624,,,,,
103,06/29/19 12:00:00 AM,2.303,,,,,
104,06/29/19 01:00:00 AM,1.872,,,,,
105,06/29/19 02:00:00 AM,1.548,,,,,
106,06/29/19 03:00:00 AM,1.221,,,,,
107,06/29/19 04:00:00 AM,1.003,,,,,
108,06/29/19 05:00:00 AM,0.784,,,,,
109,06/29/19 06:00:00 AM,0.674,,,,,
110,06/29/19 07:00:00 AM,0.674,,,,,
111,06/29/19 08:00:00 AM,1.003,,,,,
112,06/29/19 09:00:00 AM,1.439,,,,,
113,06/29/19 10:00:00 AM,1.980,,,,,
114,06/29/19 11:00:00 AM,2.624,,,,,
115,06/29/19 12:00:00 PM,3.049,,,,,
116,06/29/19 01:00:00 PM,3.472,,,,,
117,06/29/19 02:00:00 PM,3.683,,,,,
118,06/29/19 03:00:00 PM,3.893,,,,,
119,06/29/19 04:00:00 PM,3.893,,,,,
120,06/29/19 05:00:00 PM,3.998,,,,,
121,06/29/19 06:00:00 PM,3.998,,,,,
122,06/29/19 07:00:00 PM,3.893,,,,,
123,06/29/19 08:00:00 PM,3.578,,,,,
124,06/29/19 09:00:00 PM,3.261,,,,,
125,06/29/19 10:00:00 PM,2.837,,,,,
126,06/29/19 11:00:00 PM,2.410,,,,,
127,06/30/19 12:00:00 AM,1.872,,,,,
128,06/30/19 01:00:00 AM,1.548,,,,,
129,06/30/19 02:00:00 AM,1.112,,,,,
130,06/30/19 03:00:00 AM,0.784,,,,,
131,06/30/19 04:00:00 AM,0.563,,,,,
132,06/30/19 05:00:00 AM,0.453,,,,,
133,06/30/19 06:00:00 AM,0.563,,,,,
134,06/30/19 07:00:00 AM,0.784,,,,,
135,06/30/19 08:00:00 AM,1.003,,,,,
136,06/30/19 09:00:00 AM,1.330,,,,,
137,06/30/19 10:00:00 AM,1.872,,,,,
138,06/30/19 11:00:00 AM,2.624,,,,,
139,06/30/19 12:00:00 PM,3.261,,,,,
140,06/30/19 01:00:00 PM,3.893,,,,,
141,06/30/19 02:00:00 PM,4.519,,,,,
142,06/30/19 03:00:00 PM,4.727,,,,,
143,06/30/19 04:00:00 PM,4.727,,,,,
144,06/30/19 05:00:00 PM,4.831,,,,,
145,06/30/19 06:00:00 PM,4.934,,,,,
146,06/30/19 07:00:00 PM,4.934,,,,,
147,06/30/19 08:00:00 PM,4.727,,,,,
148,06/30/19 09:00:00 PM,4.311,,,,,
149,06/30/19 10:00:00 PM,3.788,,,,,
150,06/30/19 11:00:00 PM,3.261,,,,,
151,07/01/19 12:00:00 AM,2.624,,,,,
152,07/01/19 01:00:00 AM,2.088,,,,,
153,07/01/19 02:00:00 AM,1.548,,,,,
154,07/01/19 03:00:00 AM,1.221,,,,,
155,07/01/19 04:00:00 AM,0.893,,,,,
156,07/01/19 05:00:00 AM,0.674,,,,,
157,07/01/19 06:00:00 AM,0.563,,,,,
158,07/01/19 07:00:00 AM,0.563,,,,,
159,07/01/19 08:00:00 AM,0.893,,,,,
160,07/01/19 09:00:00 AM,1.221,,,,,
161,07/01/19 10:00:00 AM,2.088,,,,,
162,07/01/19 11:00:00 AM,2.837,,,,,
163,07/01/19 12:00:00 PM,3.578,,,,,
164,07/01/19 01:00:00 PM,4.207,,,,,
165,07/01/19 02:00:00 PM,4.311,,,,,
166,07/01/19 03:00:00 PM,4.415,,,,,
167,07/01/19 04:00:00 PM,4.415,,,,,
168,07/01/19 05:00:00 PM,4.623,,,,,
169,07/01/19 06:00:00 PM,4.519,,,,,
170,07/01/19 07:00:00 PM,4.311,,,,,
171,07/01/19 08:00:00 PM,3.998,,,,,
172,07/01/19 09:00:00 PM,3.683,,,,,
173,07/01/19 10:00:00 PM,3.261,,,,,
174,07/01/19 11:00:00 PM,2.837,,,,,
175,07/02/19 12:00:00 AM,2.410,,,,,
