"Titre de tracé : 20178177"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20178177, SEN S/N: 20178177, LBL: 20178177)","Pile défectueuse (LGR S/N: 20178177)","Coupleur attaché (LGR S/N: 20178177)","Hôte connecté (LGR S/N: 20178177)","Arrêté (LGR S/N: 20178177)","Fin de fichier (LGR S/N: 20178177)"
1,06/24/19 06:00:00 PM,3.367,,,,,
2,06/24/19 08:00:00 PM,3.367,,,,,
3,06/24/19 10:00:00 PM,3.261,,,,,
4,06/25/19 12:00:00 AM,2.730,,,,,
5,06/25/19 02:00:00 AM,2.088,,,,,
6,06/25/19 04:00:00 AM,1.439,,,,,
7,06/25/19 06:00:00 AM,1.112,,,,,
8,06/25/19 08:00:00 AM,1.003,,,,,
9,06/25/19 10:00:00 AM,1.548,,,,,
10,06/25/19 12:00:00 PM,2.624,,,,,
11,06/25/19 02:00:00 PM,3.683,,,,,
12,06/25/19 04:00:00 PM,4.102,,,,,
13,06/25/19 06:00:00 PM,3.998,,,,,
14,06/25/19 08:00:00 PM,4.623,,,,,
15,06/25/19 10:00:00 PM,4.727,,,,,
16,06/26/19 12:00:00 AM,4.311,,,,,
17,06/26/19 02:00:00 AM,3.472,,,,,
18,06/26/19 04:00:00 AM,2.624,,,,,
19,06/26/19 06:00:00 AM,2.088,,,,,
20,06/26/19 08:00:00 AM,2.303,,,,,
21,06/26/19 10:00:00 AM,2.837,,,,,
22,06/26/19 12:00:00 PM,3.788,,,,,
23,06/26/19 02:00:00 PM,5.141,,,,,
24,06/26/19 04:00:00 PM,6.166,,,,,
25,06/26/19 06:00:00 PM,7.079,,,,,
26,06/26/19 08:00:00 PM,7.280,,,,,
27,06/26/19 10:00:00 PM,6.573,,,,,
28,06/27/19 12:00:00 AM,5.655,,,,,
29,06/27/19 02:00:00 AM,4.727,,,,,
30,06/27/19 04:00:00 AM,4.102,,,,,
31,06/27/19 06:00:00 AM,3.683,,,,,
32,06/27/19 08:00:00 AM,3.683,,,,,
33,06/27/19 10:00:00 AM,3.998,,,,,
34,06/27/19 12:00:00 PM,4.727,,,,,
35,06/27/19 02:00:00 PM,5.347,,,,,
36,06/27/19 04:00:00 PM,6.064,,,,,
37,06/27/19 06:00:00 PM,6.978,,,,,
38,06/27/19 08:00:00 PM,7.179,,,,,
39,06/27/19 10:00:00 PM,6.573,,,,,
40,06/28/19 12:00:00 AM,5.757,,,,,
41,06/28/19 02:00:00 AM,4.727,,,,,
42,06/28/19 04:00:00 AM,3.893,,,,,
43,06/28/19 06:00:00 AM,3.367,,,,,
44,06/28/19 08:00:00 AM,3.155,,,,,
45,06/28/19 10:00:00 AM,3.472,,,,,
46,06/28/19 12:00:00 PM,4.415,,,,,
47,06/28/19 02:00:00 PM,5.244,,,,,
48,06/28/19 04:00:00 PM,6.166,,,,,
49,06/28/19 06:00:00 PM,7.079,,,,,
50,06/28/19 08:00:00 PM,7.179,,,,,
51,06/28/19 10:00:00 PM,6.471,,,,,
52,06/29/19 12:00:00 AM,5.757,,,,,
