"Titre de tracé : 2368267"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 2368267, SEN S/N: 2368267)","Coupleur attaché (LGR S/N: 2368267)","Hôte connecté (LGR S/N: 2368267)","Arrêté (LGR S/N: 2368267)","Fin de fichier (LGR S/N: 2368267)"
1,06/24/19 06:00:00 PM,3.155,,,,
2,06/24/19 08:00:00 PM,2.837,,,,
3,06/24/19 10:00:00 PM,1.980,,,,
4,06/25/19 12:00:00 AM,1.221,,,,
5,06/25/19 02:00:00 AM,0.674,,,,
6,06/25/19 04:00:00 AM,0.453,,,,
7,06/25/19 06:00:00 AM,0.343,,,,
8,06/25/19 08:00:00 AM,0.784,,,,
9,06/25/19 10:00:00 AM,2.517,,,,
10,06/25/19 12:00:00 PM,4.102,,,,
11,06/25/19 02:00:00 PM,4.727,,,,
12,06/25/19 04:00:00 PM,4.102,,,,
13,06/25/19 06:00:00 PM,3.683,,,,
14,06/25/19 08:00:00 PM,3.998,,,,
15,06/25/19 10:00:00 PM,3.261,,,,
16,06/26/19 12:00:00 AM,2.303,,,,
17,06/26/19 02:00:00 AM,1.439,,,,
18,06/26/19 04:00:00 AM,0.893,,,,
19,06/26/19 06:00:00 AM,1.003,,,,
20,06/26/19 08:00:00 AM,2.088,,,,
21,06/26/19 10:00:00 AM,3.472,,,,
22,06/26/19 12:00:00 PM,5.450,,,,
23,06/26/19 02:00:00 PM,6.978,,,,
24,06/26/19 04:00:00 PM,7.381,,,,
25,06/26/19 06:00:00 PM,7.481,,,,
26,06/26/19 08:00:00 PM,6.370,,,,
27,06/26/19 10:00:00 PM,4.727,,,,
28,06/27/19 12:00:00 AM,3.472,,,,
29,06/27/19 02:00:00 AM,2.624,,,,
30,06/27/19 04:00:00 AM,2.410,,,,
31,06/27/19 06:00:00 AM,2.410,,,,
32,06/27/19 08:00:00 AM,3.049,,,,
33,06/27/19 10:00:00 AM,4.207,,,,
34,06/27/19 12:00:00 PM,5.757,,,,
35,06/27/19 02:00:00 PM,6.064,,,,
36,06/27/19 04:00:00 PM,7.079,,,,
37,06/27/19 06:00:00 PM,7.381,,,,
38,06/27/19 08:00:00 PM,6.471,,,,
39,06/27/19 10:00:00 PM,5.037,,,,
40,06/28/19 12:00:00 AM,3.683,,,,
41,06/28/19 02:00:00 AM,2.624,,,,
42,06/28/19 04:00:00 AM,1.980,,,,
43,06/28/19 06:00:00 AM,1.764,,,,
44,06/28/19 08:00:00 AM,2.410,,,,
45,06/28/19 10:00:00 AM,3.998,,,,
46,06/28/19 12:00:00 PM,6.064,,,,
47,06/28/19 02:00:00 PM,7.179,,,,
48,06/28/19 04:00:00 PM,7.582,,,,
49,06/28/19 06:00:00 PM,7.682,,,,
50,06/28/19 08:00:00 PM,6.674,,,,
51,06/28/19 10:00:00 PM,5.141,,,,
52,06/29/19 12:00:00 AM,4.102,,,,
53,06/29/19 02:00:00 AM,3.261,,,,
54,06/29/19 04:00:00 AM,2.517,,,,
55,06/29/19 06:00:00 AM,2.410,,,,
56,06/29/19 08:00:00 AM,2.837,,,,
57,06/29/19 10:00:00 AM,4.311,,,,
58,06/29/19 12:00:00 PM,5.860,,,,
59,06/29/19 02:00:00 PM,7.179,,,,
60,06/29/19 04:00:00 PM,7.782,,,,
61,06/29/19 06:00:00 PM,7.682,,,,
62,06/29/19 08:00:00 PM,6.370,,,,
63,06/29/19 10:00:00 PM,4.934,,,,
64,06/30/19 12:00:00 AM,3.578,,,,
65,06/30/19 02:00:00 AM,2.624,,,,
66,06/30/19 04:00:00 AM,1.872,,,,
67,06/30/19 06:00:00 AM,1.656,,,,
68,06/30/19 08:00:00 AM,2.195,,,,
69,06/30/19 10:00:00 AM,3.998,,,,
70,06/30/19 12:00:00 PM,5.962,,,,
71,06/30/19 02:00:00 PM,8.581,,,,
72,06/30/19 04:00:00 PM,9.275,,,,
73,06/30/19 06:00:00 PM,9.373,,,,
74,06/30/19 08:00:00 PM,8.282,,,,
75,06/30/19 10:00:00 PM,6.471,,,,
76,07/01/19 12:00:00 AM,4.934,,,,
77,07/01/19 02:00:00 AM,3.578,,,,
78,07/01/19 04:00:00 AM,2.730,,,,
79,07/01/19 06:00:00 AM,2.410,,,,
80,07/01/19 08:00:00 AM,2.943,,,,
81,07/01/19 10:00:00 AM,4.831,,,,
82,07/01/19 12:00:00 PM,6.775,,,,
83,07/01/19 02:00:00 PM,8.182,,,,
84,07/01/19 04:00:00 PM,8.779,,,,
85,07/01/19 06:00:00 PM,8.481,,,,
86,07/01/19 08:00:00 PM,7.079,,,,
87,07/01/19 10:00:00 PM,5.655,,,,
88,07/02/19 12:00:00 AM,4.519,,,,
89,07/02/19 02:00:00 AM,3.788,,,,
90,07/02/19 04:00:00 AM,3.155,,,,
91,07/02/19 06:00:00 AM,2.943,,,,
92,07/02/19 08:00:00 AM,3.367,,,,
93,07/02/19 10:00:00 AM,4.727,,,,
94,07/02/19 12:00:00 PM,6.166,,,,
95,07/02/19 02:00:00 PM,7.782,,,,
96,07/02/19 04:00:00 PM,8.879,,,,
