"Titre de tracé : 2023619"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 2023619, SEN S/N: 2023619)","Coupleur attaché (LGR S/N: 2023619)","Hôte connecté (LGR S/N: 2023619)","Arrêté (LGR S/N: 2023619)","Fin de fichier (LGR S/N: 2023619)"
1,06/24/19 06:00:00 PM,1.980,,,,
2,06/24/19 07:00:00 PM,1.764,,,,
3,06/24/19 08:00:00 PM,1.656,,,,
4,06/24/19 09:00:00 PM,1.439,,,,
5,06/24/19 10:00:00 PM,1.221,,,,
6,06/24/19 11:00:00 PM,1.003,,,,
7,06/25/19 12:00:00 AM,0.893,,,,
8,06/25/19 01:00:00 AM,0.674,,,,
9,06/25/19 02:00:00 AM,0.563,,,,
10,06/25/19 03:00:00 AM,0.453,,,,
11,06/25/19 04:00:00 AM,0.343,,,,
12,06/25/19 05:00:00 AM,0.343,,,,
13,06/25/19 06:00:00 AM,0.453,,,,
14,06/25/19 07:00:00 AM,0.784,,,,
15,06/25/19 08:00:00 AM,1.221,,,,
16,06/25/19 09:00:00 AM,1.764,,,,
17,06/25/19 10:00:00 AM,2.303,,,,
18,06/25/19 11:00:00 AM,2.517,,,,
19,06/25/19 12:00:00 PM,3.049,,,,
20,06/25/19 01:00:00 PM,3.367,,,,
21,06/25/19 02:00:00 PM,3.472,,,,
22,06/25/19 03:00:00 PM,3.367,,,,
23,06/25/19 04:00:00 PM,3.155,,,,
24,06/25/19 05:00:00 PM,2.837,,,,
25,06/25/19 06:00:00 PM,2.730,,,,
26,06/25/19 07:00:00 PM,2.730,,,,
27,06/25/19 08:00:00 PM,2.624,,,,
28,06/25/19 09:00:00 PM,2.303,,,,
29,06/25/19 10:00:00 PM,2.088,,,,
30,06/25/19 11:00:00 PM,1.764,,,,
31,06/26/19 12:00:00 AM,1.548,,,,
32,06/26/19 01:00:00 AM,1.330,,,,
33,06/26/19 02:00:00 AM,1.112,,,,
34,06/26/19 03:00:00 AM,0.893,,,,
35,06/26/19 04:00:00 AM,0.893,,,,
36,06/26/19 05:00:00 AM,0.893,,,,
37,06/26/19 06:00:00 AM,1.003,,,,
38,06/26/19 07:00:00 AM,1.439,,,,
39,06/26/19 08:00:00 AM,1.764,,,,
40,06/26/19 09:00:00 AM,2.195,,,,
41,06/26/19 10:00:00 AM,2.517,,,,
42,06/26/19 11:00:00 AM,3.049,,,,
43,06/26/19 12:00:00 PM,3.683,,,,
44,06/26/19 01:00:00 PM,4.311,,,,
45,06/26/19 02:00:00 PM,4.727,,,,
46,06/26/19 03:00:00 PM,4.831,,,,
47,06/26/19 04:00:00 PM,4.831,,,,
48,06/26/19 05:00:00 PM,4.831,,,,
49,06/26/19 06:00:00 PM,4.727,,,,
50,06/26/19 07:00:00 PM,4.415,,,,
51,06/26/19 08:00:00 PM,3.998,,,,
52,06/26/19 09:00:00 PM,3.683,,,,
53,06/26/19 10:00:00 PM,3.261,,,,
54,06/26/19 11:00:00 PM,2.943,,,,
55,06/27/19 12:00:00 AM,2.624,,,,
56,06/27/19 01:00:00 AM,2.303,,,,
57,06/27/19 02:00:00 AM,2.088,,,,
58,06/27/19 03:00:00 AM,1.980,,,,
59,06/27/19 04:00:00 AM,1.872,,,,
60,06/27/19 05:00:00 AM,1.872,,,,
61,06/27/19 06:00:00 AM,1.872,,,,
62,06/27/19 07:00:00 AM,1.980,,,,
63,06/27/19 08:00:00 AM,2.195,,,,
64,06/27/19 09:00:00 AM,2.410,,,,
65,06/27/19 10:00:00 AM,2.837,,,,
66,06/27/19 11:00:00 AM,3.367,,,,
67,06/27/19 12:00:00 PM,3.998,,,,
68,06/27/19 01:00:00 PM,4.311,,,,
69,06/27/19 02:00:00 PM,4.519,,,,
70,06/27/19 03:00:00 PM,4.623,,,,
71,06/27/19 04:00:00 PM,4.831,,,,
72,06/27/19 05:00:00 PM,4.831,,,,
73,06/27/19 06:00:00 PM,4.727,,,,
74,06/27/19 07:00:00 PM,4.519,,,,
75,06/27/19 08:00:00 PM,4.311,,,,
76,06/27/19 09:00:00 PM,3.893,,,,
77,06/27/19 10:00:00 PM,3.578,,,,
78,06/27/19 11:00:00 PM,3.261,,,,
79,06/28/19 12:00:00 AM,2.837,,,,
80,06/28/19 01:00:00 AM,2.517,,,,
81,06/28/19 02:00:00 AM,2.195,,,,
82,06/28/19 03:00:00 AM,1.980,,,,
83,06/28/19 04:00:00 AM,1.872,,,,
84,06/28/19 05:00:00 AM,1.764,,,,
85,06/28/19 06:00:00 AM,1.872,,,,
86,06/28/19 07:00:00 AM,2.088,,,,
87,06/28/19 08:00:00 AM,2.517,,,,
88,06/28/19 09:00:00 AM,3.049,,,,
89,06/28/19 10:00:00 AM,3.683,,,,
90,06/28/19 11:00:00 AM,4.519,,,,
91,06/28/19 12:00:00 PM,4.934,,,,
92,06/28/19 01:00:00 PM,5.347,,,,
93,06/28/19 02:00:00 PM,5.552,,,,
94,06/28/19 03:00:00 PM,5.655,,,,
95,06/28/19 04:00:00 PM,5.655,,,,
96,06/28/19 05:00:00 PM,5.552,,,,
97,06/28/19 06:00:00 PM,5.347,,,,
98,06/28/19 07:00:00 PM,5.037,,,,
99,06/28/19 08:00:00 PM,4.727,,,,
100,06/28/19 09:00:00 PM,4.311,,,,
101,06/28/19 10:00:00 PM,3.893,,,,
102,06/28/19 11:00:00 PM,3.578,,,,
103,06/29/19 12:00:00 AM,3.261,,,,
104,06/29/19 01:00:00 AM,3.049,,,,
105,06/29/19 02:00:00 AM,2.730,,,,
106,06/29/19 03:00:00 AM,2.517,,,,
107,06/29/19 04:00:00 AM,2.303,,,,
108,06/29/19 05:00:00 AM,2.195,,,,
109,06/29/19 06:00:00 AM,2.303,,,,
110,06/29/19 07:00:00 AM,2.517,,,,
111,06/29/19 08:00:00 AM,2.943,,,,
112,06/29/19 09:00:00 AM,3.472,,,,
113,06/29/19 10:00:00 AM,3.893,,,,
114,06/29/19 11:00:00 AM,4.519,,,,
115,06/29/19 12:00:00 PM,4.934,,,,
116,06/29/19 01:00:00 PM,5.244,,,,
117,06/29/19 02:00:00 PM,5.450,,,,
118,06/29/19 03:00:00 PM,5.552,,,,
119,06/29/19 04:00:00 PM,5.552,,,,
120,06/29/19 05:00:00 PM,5.450,,,,
121,06/29/19 06:00:00 PM,5.244,,,,
122,06/29/19 07:00:00 PM,4.934,,,,
123,06/29/19 08:00:00 PM,4.519,,,,
124,06/29/19 09:00:00 PM,4.207,,,,
125,06/29/19 10:00:00 PM,3.893,,,,
126,06/29/19 11:00:00 PM,3.472,,,,
127,06/30/19 12:00:00 AM,3.049,,,,
128,06/30/19 01:00:00 AM,2.730,,,,
129,06/30/19 02:00:00 AM,2.410,,,,
130,06/30/19 03:00:00 AM,2.195,,,,
131,06/30/19 04:00:00 AM,1.980,,,,
132,06/30/19 05:00:00 AM,1.872,,,,
133,06/30/19 06:00:00 AM,1.872,,,,
134,06/30/19 07:00:00 AM,1.980,,,,
135,06/30/19 08:00:00 AM,2.195,,,,
136,06/30/19 09:00:00 AM,2.730,,,,
137,06/30/19 10:00:00 AM,3.578,,,,
138,06/30/19 11:00:00 AM,4.311,,,,
139,06/30/19 12:00:00 PM,5.037,,,,
140,06/30/19 01:00:00 PM,5.757,,,,
141,06/30/19 02:00:00 PM,6.370,,,,
142,06/30/19 03:00:00 PM,6.674,,,,
143,06/30/19 04:00:00 PM,6.775,,,,
144,06/30/19 05:00:00 PM,6.775,,,,
145,06/30/19 06:00:00 PM,6.471,,,,
146,06/30/19 07:00:00 PM,6.166,,,,
147,06/30/19 08:00:00 PM,5.757,,,,
148,06/30/19 09:00:00 PM,5.347,,,,
149,06/30/19 10:00:00 PM,4.934,,,,
150,06/30/19 11:00:00 PM,4.519,,,,
151,07/01/19 12:00:00 AM,4.102,,,,
152,07/01/19 01:00:00 AM,3.683,,,,
153,07/01/19 02:00:00 AM,3.261,,,,
154,07/01/19 03:00:00 AM,2.943,,,,
155,07/01/19 04:00:00 AM,2.730,,,,
