"Titre de tracé : 10347278"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10347278, SEN S/N: 10347278)","Pile défectueuse (LGR S/N: 10347278)","Coupleur attaché (LGR S/N: 10347278)","Hôte connecté (LGR S/N: 10347278)","Arrêté (LGR S/N: 10347278)","Fin de fichier (LGR S/N: 10347278)"
1,06/24/19 06:00:00 PM,2.943,,,,,
2,06/24/19 07:00:00 PM,2.730,,,,,
3,06/24/19 08:00:00 PM,2.837,,,,,
4,06/24/19 09:00:00 PM,2.517,,,,,
5,06/24/19 10:00:00 PM,2.088,,,,,
6,06/24/19 11:00:00 PM,1.656,,,,,
7,06/25/19 12:00:00 AM,1.221,,,,,
8,06/25/19 01:00:00 AM,0.784,,,,,
9,06/25/19 02:00:00 AM,0.453,,,,,
10,06/25/19 03:00:00 AM,0.343,,,,,
11,06/25/19 04:00:00 AM,0.232,,,,,
12,06/25/19 05:00:00 AM,0.232,,,,,
13,06/25/19 06:00:00 AM,0.232,,,,,
14,06/25/19 07:00:00 AM,0.563,,,,,
15,06/25/19 08:00:00 AM,1.221,,,,,
16,06/25/19 09:00:00 AM,1.872,,,,,
17,06/25/19 10:00:00 AM,2.303,,,,,
18,06/25/19 11:00:00 AM,2.517,,,,,
19,06/25/19 12:00:00 PM,3.578,,,,,
20,06/25/19 01:00:00 PM,3.998,,,,,
21,06/25/19 02:00:00 PM,4.311,,,,,
22,06/25/19 03:00:00 PM,4.207,,,,,
23,06/25/19 04:00:00 PM,3.683,,,,,
24,06/25/19 05:00:00 PM,3.261,,,,,
25,06/25/19 06:00:00 PM,3.261,,,,,
26,06/25/19 07:00:00 PM,3.893,,,,,
27,06/25/19 08:00:00 PM,4.102,,,,,
28,06/25/19 09:00:00 PM,3.893,,,,,
29,06/25/19 10:00:00 PM,3.472,,,,,
30,06/25/19 11:00:00 PM,2.943,,,,,
31,06/26/19 12:00:00 AM,2.410,,,,,
32,06/26/19 01:00:00 AM,1.872,,,,,
33,06/26/19 02:00:00 AM,1.330,,,,,
34,06/26/19 03:00:00 AM,0.893,,,,,
35,06/26/19 04:00:00 AM,0.674,,,,,
36,06/26/19 05:00:00 AM,0.674,,,,,
37,06/26/19 06:00:00 AM,1.003,,,,,
