"Titre de tracé : 2368266"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 2368266, SEN S/N: 2368266)","Coupleur attaché (LGR S/N: 2368266)","Hôte connecté (LGR S/N: 2368266)","Arrêté (LGR S/N: 2368266)","Fin de fichier (LGR S/N: 2368266)"
1,06/24/19 06:00:00 PM,2.517,,,,
2,06/24/19 08:00:00 PM,2.517,,,,
3,06/24/19 10:00:00 PM,1.980,,,,
4,06/25/19 12:00:00 AM,1.221,,,,
5,06/25/19 02:00:00 AM,0.674,,,,
6,06/25/19 04:00:00 AM,0.343,,,,
7,06/25/19 06:00:00 AM,0.232,,,,
8,06/25/19 08:00:00 AM,0.343,,,,
9,06/25/19 10:00:00 AM,1.330,,,,
10,06/25/19 12:00:00 PM,2.517,,,,
11,06/25/19 02:00:00 PM,3.472,,,,
12,06/25/19 04:00:00 PM,3.472,,,,
13,06/25/19 06:00:00 PM,3.049,,,,
14,06/25/19 08:00:00 PM,3.367,,,,
15,06/25/19 10:00:00 PM,3.049,,,,
16,06/26/19 12:00:00 AM,2.303,,,,
17,06/26/19 02:00:00 AM,1.439,,,,
18,06/26/19 04:00:00 AM,0.784,,,,
19,06/26/19 06:00:00 AM,0.563,,,,
20,06/26/19 08:00:00 AM,1.221,,,,
21,06/26/19 10:00:00 AM,2.088,,,,
22,06/26/19 12:00:00 PM,3.367,,,,
23,06/26/19 02:00:00 PM,4.831,,,,
24,06/26/19 04:00:00 PM,5.655,,,,
25,06/26/19 06:00:00 PM,6.064,,,,
26,06/26/19 08:00:00 PM,5.757,,,,
27,06/26/19 10:00:00 PM,4.623,,,,
28,06/27/19 12:00:00 AM,3.367,,,,
29,06/27/19 02:00:00 AM,2.517,,,,
30,06/27/19 04:00:00 AM,2.088,,,,
31,06/27/19 06:00:00 AM,1.872,,,,
32,06/27/19 08:00:00 AM,2.195,,,,
33,06/27/19 10:00:00 AM,2.837,,,,
34,06/27/19 12:00:00 PM,3.788,,,,
35,06/27/19 02:00:00 PM,4.519,,,,
36,06/27/19 04:00:00 PM,5.141,,,,
37,06/27/19 06:00:00 PM,5.757,,,,
38,06/27/19 08:00:00 PM,5.552,,,,
39,06/27/19 10:00:00 PM,4.623,,,,
40,06/28/19 12:00:00 AM,3.367,,,,
41,06/28/19 02:00:00 AM,2.410,,,,
42,06/28/19 04:00:00 AM,1.656,,,,
43,06/28/19 06:00:00 AM,1.221,,,,
44,06/28/19 08:00:00 AM,1.548,,,,
45,06/28/19 10:00:00 AM,2.410,,,,
46,06/28/19 12:00:00 PM,3.893,,,,
47,06/28/19 02:00:00 PM,4.934,,,,
48,06/28/19 04:00:00 PM,5.552,,,,
49,06/28/19 06:00:00 PM,5.962,,,,
50,06/28/19 08:00:00 PM,5.552,,,,
51,06/28/19 10:00:00 PM,4.519,,,,
52,06/29/19 12:00:00 AM,3.578,,,,
53,06/29/19 02:00:00 AM,2.730,,,,
54,06/29/19 04:00:00 AM,1.980,,,,
55,06/29/19 06:00:00 AM,1.656,,,,
56,06/29/19 08:00:00 AM,1.872,,,,
57,06/29/19 10:00:00 AM,2.624,,,,
58,06/29/19 12:00:00 PM,3.683,,,,
59,06/29/19 02:00:00 PM,4.623,,,,
60,06/29/19 04:00:00 PM,5.244,,,,
61,06/29/19 06:00:00 PM,5.450,,,,
62,06/29/19 08:00:00 PM,4.934,,,,
63,06/29/19 10:00:00 PM,4.102,,,,
64,06/30/19 12:00:00 AM,3.049,,,,
65,06/30/19 02:00:00 AM,2.195,,,,
66,06/30/19 04:00:00 AM,1.439,,,,
67,06/30/19 06:00:00 AM,1.221,,,,
68,06/30/19 08:00:00 AM,1.330,,,,
69,06/30/19 10:00:00 AM,2.088,,,,
70,06/30/19 12:00:00 PM,3.367,,,,
71,06/30/19 02:00:00 PM,5.141,,,,
72,06/30/19 04:00:00 PM,6.268,,,,
73,06/30/19 06:00:00 PM,6.775,,,,
74,06/30/19 08:00:00 PM,6.471,,,,
75,06/30/19 10:00:00 PM,5.450,,,,
76,07/01/19 12:00:00 AM,4.207,,,,
77,07/01/19 02:00:00 AM,3.049,,,,
78,07/01/19 04:00:00 AM,2.195,,,,
79,07/01/19 06:00:00 AM,1.764,,,,
80,07/01/19 08:00:00 AM,1.872,,,,
81,07/01/19 10:00:00 AM,2.624,,,,
82,07/01/19 12:00:00 PM,3.893,,,,
83,07/01/19 02:00:00 PM,5.244,,,,
84,07/01/19 04:00:00 PM,5.962,,,,
85,07/01/19 06:00:00 PM,6.064,,,,
86,07/01/19 08:00:00 PM,5.347,,,,
87,07/01/19 10:00:00 PM,4.311,,,,
88,07/02/19 12:00:00 AM,3.367,,,,
89,07/02/19 02:00:00 AM,2.730,,,,
90,07/02/19 04:00:00 AM,2.195,,,,
91,07/02/19 06:00:00 AM,1.764,,,,
92,07/02/19 08:00:00 AM,2.088,,,,
93,07/02/19 10:00:00 AM,2.837,,,,
94,07/02/19 12:00:00 PM,3.788,,,,
95,07/02/19 02:00:00 PM,5.037,,,,
96,07/02/19 04:00:00 PM,6.064,,,,
97,07/02/19 06:00:00 PM,6.268,,,,
98,07/02/19 08:00:00 PM,5.860,,,,
99,07/02/19 10:00:00 PM,4.934,,,,
100,07/03/19 12:00:00 AM,3.788,,,,
101,07/03/19 02:00:00 AM,2.837,,,,
102,07/03/19 04:00:00 AM,1.980,,,,
103,07/03/19 06:00:00 AM,1.548,,,,
104,07/03/19 08:00:00 AM,1.764,,,,
105,07/03/19 10:00:00 AM,2.517,,,,
106,07/03/19 12:00:00 PM,3.893,,,,
107,07/03/19 02:00:00 PM,5.347,,,,
108,07/03/19 04:00:00 PM,6.268,,,,
109,07/03/19 06:00:00 PM,6.573,,,,
110,07/03/19 08:00:00 PM,6.370,,,,
111,07/03/19 10:00:00 PM,5.450,,,,
112,07/04/19 12:00:00 AM,4.207,,,,
113,07/04/19 02:00:00 AM,3.155,,,,
114,07/04/19 04:00:00 AM,2.303,,,,
115,07/04/19 06:00:00 AM,1.872,,,,
116,07/04/19 08:00:00 AM,1.980,,,,
117,07/04/19 10:00:00 AM,2.624,,,,
118,07/04/19 12:00:00 PM,3.998,,,,
