"Titre de tracé : 20156686"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20156686, SEN S/N: 20156686)","Coupleur détaché (LGR S/N: 20156686)","Coupleur attaché (LGR S/N: 20156686)","Hôte connecté (LGR S/N: 20156686)","Arrêté (LGR S/N: 20156686)","Fin de fichier (LGR S/N: 20156686)"
1,06/29/19 09:25:34 AM,12.980,,,,,
2,06/29/19 09:26:18 AM,,Enregistré,,,,
3,06/29/19 09:55:34 AM,13.846,,,,,
4,06/29/19 10:25:34 AM,14.709,,,,,
5,06/29/19 10:55:34 AM,19.758,,,,,
6,06/29/19 11:25:34 AM,17.284,,,,,
7,06/29/19 11:55:34 AM,6.978,,,,,
8,06/29/19 12:25:34 PM,3.893,,,,,
9,06/29/19 12:55:34 PM,3.893,,,,,
10,06/29/19 01:25:34 PM,3.893,,,,,
11,06/29/19 01:55:34 PM,3.893,,,,,
12,06/29/19 02:25:34 PM,3.998,,,,,
13,06/29/19 02:55:34 PM,4.102,,,,,
14,06/29/19 03:25:34 PM,4.102,,,,,
15,06/29/19 03:55:34 PM,4.102,,,,,
16,06/29/19 04:25:34 PM,3.998,,,,,
17,06/29/19 04:55:34 PM,4.102,,,,,
18,06/29/19 05:25:34 PM,4.102,,,,,
19,06/29/19 05:55:34 PM,4.102,,,,,
20,06/29/19 06:25:34 PM,3.998,,,,,
21,06/29/19 06:55:34 PM,3.893,,,,,
22,06/29/19 07:25:34 PM,3.683,,,,,
23,06/29/19 07:55:34 PM,3.472,,,,,
24,06/29/19 08:25:34 PM,3.155,,,,,
25,06/29/19 08:55:34 PM,2.837,,,,,
26,06/29/19 09:25:34 PM,2.624,,,,,
27,06/29/19 09:55:34 PM,2.410,,,,,
28,06/29/19 10:25:34 PM,2.088,,,,,
29,06/29/19 10:55:34 PM,1.872,,,,,
30,06/29/19 11:25:34 PM,1.656,,,,,
31,06/29/19 11:55:34 PM,1.439,,,,,
32,06/30/19 12:25:34 AM,1.330,,,,,
33,06/30/19 12:55:34 AM,1.112,,,,,
34,06/30/19 01:25:34 AM,1.003,,,,,
35,06/30/19 01:55:34 AM,0.893,,,,,
36,06/30/19 02:25:34 AM,0.784,,,,,
37,06/30/19 02:55:34 AM,0.674,,,,,
38,06/30/19 03:25:34 AM,0.563,,,,,
39,06/30/19 03:55:34 AM,0.453,,,,,
40,06/30/19 04:25:34 AM,0.453,,,,,
41,06/30/19 04:55:34 AM,0.563,,,,,
42,06/30/19 05:25:34 AM,0.674,,,,,
43,06/30/19 05:55:34 AM,0.784,,,,,
44,06/30/19 06:25:34 AM,0.784,,,,,
45,06/30/19 06:55:34 AM,1.003,,,,,
46,06/30/19 07:25:34 AM,1.112,,,,,
47,06/30/19 07:55:34 AM,1.330,,,,,
48,06/30/19 08:25:34 AM,1.656,,,,,
49,06/30/19 08:55:34 AM,1.980,,,,,
50,06/30/19 09:25:34 AM,2.410,,,,,
51,06/30/19 09:55:34 AM,2.730,,,,,
52,06/30/19 10:25:34 AM,3.155,,,,,
53,06/30/19 10:55:34 AM,3.472,,,,,
54,06/30/19 11:25:34 AM,3.893,,,,,
55,06/30/19 11:55:34 AM,4.311,,,,,
56,06/30/19 12:25:34 PM,4.623,,,,,
57,06/30/19 12:55:34 PM,4.934,,,,,
58,06/30/19 01:25:34 PM,5.141,,,,,
59,06/30/19 01:55:34 PM,5.244,,,,,
60,06/30/19 02:25:34 PM,5.347,,,,,
61,06/30/19 02:55:34 PM,5.347,,,,,
62,06/30/19 03:25:34 PM,5.450,,,,,
63,06/30/19 03:55:34 PM,5.347,,,,,
64,06/30/19 04:25:34 PM,5.347,,,,,
