"Titre de tracé : 20177045"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177045, SEN S/N: 20177045)","Pile OK (LGR S/N: 20177045)","Coupleur détaché (LGR S/N: 20177045)","Coupleur attaché (LGR S/N: 20177045)","Hôte connecté (LGR S/N: 20177045)","Arrêté (LGR S/N: 20177045)","Fin de fichier (LGR S/N: 20177045)"
1,06/29/19 09:34:25 AM,13.461,Enregistré,,,,,
2,06/29/19 09:34:53 AM,,,Enregistré,,,,
3,06/29/19 10:04:25 AM,13.654,,,,,,
4,06/29/19 10:34:25 AM,15.951,,,,,,
5,06/29/19 11:04:25 AM,22.142,,,,,,
6,06/29/19 11:34:25 AM,18.521,,,,,,
7,06/29/19 12:04:25 PM,8.978,,,,,,
8,06/29/19 12:34:25 PM,8.581,,,,,,
9,06/29/19 01:04:25 PM,8.680,,,,,,
10,06/29/19 01:34:25 PM,8.481,,,,,,
11,06/29/19 02:04:25 PM,8.282,,,,,,
12,06/29/19 02:34:25 PM,8.581,,,,,,
13,06/29/19 03:04:25 PM,8.879,,,,,,
14,06/29/19 03:34:25 PM,8.581,,,,,,
15,06/29/19 04:04:25 PM,8.581,,,,,,
16,06/29/19 04:34:25 PM,8.680,,,,,,
17,06/29/19 05:04:25 PM,9.077,,,,,,
18,06/29/19 05:34:25 PM,9.373,,,,,,
19,06/29/19 06:04:25 PM,9.571,,,,,,
20,06/29/19 06:34:25 PM,9.373,,,,,,
21,06/29/19 07:04:25 PM,8.978,,,,,,
22,06/29/19 07:34:25 PM,8.481,,,,,,
23,06/29/19 08:04:25 PM,8.082,,,,,,
24,06/29/19 08:34:25 PM,7.782,,,,,,
25,06/29/19 09:04:25 PM,7.280,,,,,,
26,06/29/19 09:34:25 PM,6.674,,,,,,
27,06/29/19 10:04:25 PM,6.166,,,,,,
28,06/29/19 10:34:25 PM,5.655,,,,,,
29,06/29/19 11:04:25 PM,5.141,,,,,,
30,06/29/19 11:34:25 PM,4.727,,,,,,
31,06/30/19 12:04:25 AM,4.311,,,,,,
32,06/30/19 12:34:25 AM,3.788,,,,,,
33,06/30/19 01:04:25 AM,3.261,,,,,,
34,06/30/19 01:34:25 AM,2.943,,,,,,
35,06/30/19 02:04:25 AM,2.624,,,,,,
36,06/30/19 02:34:25 AM,2.410,,,,,,
37,06/30/19 03:04:25 AM,2.195,,,,,,
38,06/30/19 03:34:25 AM,1.980,,,,,,
39,06/30/19 04:04:25 AM,1.980,,,,,,
40,06/30/19 04:34:25 AM,2.195,,,,,,
41,06/30/19 05:04:25 AM,2.303,,,,,,
42,06/30/19 05:34:25 AM,2.410,,,,,,
43,06/30/19 06:04:25 AM,2.517,,,,,,
44,06/30/19 06:34:25 AM,2.730,,,,,,
45,06/30/19 07:04:25 AM,3.049,,,,,,
46,06/30/19 07:34:25 AM,3.472,,,,,,
47,06/30/19 08:04:25 AM,3.998,,,,,,
48,06/30/19 08:34:25 AM,4.623,,,,,,
49,06/30/19 09:04:25 AM,5.347,,,,,,
50,06/30/19 09:34:25 AM,6.064,,,,,,
51,06/30/19 10:04:25 AM,6.877,,,,,,
52,06/30/19 10:34:25 AM,7.481,,,,,,
53,06/30/19 11:04:25 AM,8.182,,,,,,
54,06/30/19 11:34:25 AM,9.077,,,,,,
