"Titre de tracé : 20156708"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20156708, SEN S/N: 20156708)","Coupleur détaché (LGR S/N: 20156708)","Coupleur attaché (LGR S/N: 20156708)","Hôte connecté (LGR S/N: 20156708)","Arrêté (LGR S/N: 20156708)","Fin de fichier (LGR S/N: 20156708)"
1,06/29/19 09:21:43 AM,12.690,,,,,
2,06/29/19 09:21:59 AM,,Enregistré,,,,
3,06/29/19 09:51:43 AM,13.558,,,,,
4,06/29/19 10:21:43 AM,14.230,,,,,
5,06/29/19 10:51:43 AM,17.475,,,,,
6,06/29/19 11:21:43 AM,17.094,,,,,
7,06/29/19 11:51:43 AM,19.092,,,,,
8,06/29/19 12:21:43 PM,17.855,,,,,
9,06/29/19 12:51:43 PM,19.948,,,,,
10,06/29/19 01:21:43 PM,20.138,,,,,
11,06/29/19 01:51:43 PM,25.222,,,,,
12,06/29/19 02:21:43 PM,7.280,,,,,
13,06/29/19 02:51:43 PM,4.831,,,,,
14,06/29/19 03:21:43 PM,4.519,,,,,
15,06/29/19 03:51:43 PM,4.415,,,,,
16,06/29/19 04:21:43 PM,4.207,,,,,
17,06/29/19 04:51:43 PM,4.102,,,,,
18,06/29/19 05:21:43 PM,3.998,,,,,
19,06/29/19 05:51:43 PM,3.788,,,,,
20,06/29/19 06:21:43 PM,3.683,,,,,
21,06/29/19 06:51:43 PM,3.472,,,,,
22,06/29/19 07:21:43 PM,3.367,,,,,
23,06/29/19 07:51:43 PM,3.155,,,,,
24,06/29/19 08:21:43 PM,3.049,,,,,
25,06/29/19 08:51:43 PM,2.837,,,,,
26,06/29/19 09:21:43 PM,2.730,,,,,
27,06/29/19 09:51:43 PM,2.517,,,,,
28,06/29/19 10:21:43 PM,2.303,,,,,
29,06/29/19 10:51:43 PM,2.195,,,,,
30,06/29/19 11:21:43 PM,1.980,,,,,
31,06/29/19 11:51:43 PM,1.872,,,,,
32,06/30/19 12:21:43 AM,1.656,,,,,
33,06/30/19 12:51:43 AM,1.548,,,,,
34,06/30/19 01:21:43 AM,1.330,,,,,
35,06/30/19 01:51:43 AM,1.221,,,,,
36,06/30/19 02:21:43 AM,1.112,,,,,
37,06/30/19 02:51:43 AM,1.003,,,,,
38,06/30/19 03:21:43 AM,0.893,,,,,
39,06/30/19 03:51:43 AM,0.893,,,,,
40,06/30/19 04:21:43 AM,0.893,,,,,
41,06/30/19 04:51:43 AM,0.893,,,,,
42,06/30/19 05:21:43 AM,0.893,,,,,
43,06/30/19 05:51:43 AM,0.893,,,,,
44,06/30/19 06:21:43 AM,1.003,,,,,
45,06/30/19 06:51:43 AM,1.112,,,,,
46,06/30/19 07:21:43 AM,1.221,,,,,
47,06/30/19 07:51:43 AM,1.330,,,,,
48,06/30/19 08:21:43 AM,1.548,,,,,
49,06/30/19 08:51:43 AM,1.872,,,,,
50,06/30/19 09:21:43 AM,2.195,,,,,
51,06/30/19 09:51:43 AM,2.624,,,,,
52,06/30/19 10:21:43 AM,3.049,,,,,
53,06/30/19 10:51:43 AM,3.472,,,,,
54,06/30/19 11:21:43 AM,3.893,,,,,
55,06/30/19 11:51:43 AM,4.311,,,,,
56,06/30/19 12:21:43 PM,4.727,,,,,
57,06/30/19 12:51:43 PM,5.037,,,,,
58,06/30/19 01:21:43 PM,5.244,,,,,
59,06/30/19 01:51:43 PM,5.450,,,,,
60,06/30/19 02:21:43 PM,5.552,,,,,
61,06/30/19 02:51:43 PM,5.552,,,,,
62,06/30/19 03:21:43 PM,5.655,,,,,
63,06/30/19 03:51:43 PM,5.655,,,,,
64,06/30/19 04:21:43 PM,5.552,,,,,
65,06/30/19 04:51:43 PM,5.450,,,,,
66,06/30/19 05:21:43 PM,5.347,,,,,
67,06/30/19 05:51:43 PM,5.244,,,,,
68,06/30/19 06:21:43 PM,5.037,,,,,
69,06/30/19 06:51:43 PM,4.831,,,,,
70,06/30/19 07:21:43 PM,4.727,,,,,
71,06/30/19 07:51:43 PM,4.415,,,,,
72,06/30/19 08:21:43 PM,4.207,,,,,
73,06/30/19 08:51:43 PM,3.998,,,,,
74,06/30/19 09:21:43 PM,3.788,,,,,
75,06/30/19 09:51:43 PM,3.578,,,,,
76,06/30/19 10:21:43 PM,3.367,,,,,
77,06/30/19 10:51:43 PM,3.155,,,,,
78,06/30/19 11:21:43 PM,3.049,,,,,
79,06/30/19 11:51:43 PM,2.837,,,,,
80,07/01/19 12:21:43 AM,2.624,,,,,
81,07/01/19 12:51:43 AM,2.410,,,,,
82,07/01/19 01:21:43 AM,2.195,,,,,
83,07/01/19 01:51:43 AM,2.088,,,,,
84,07/01/19 02:21:43 AM,1.872,,,,,
85,07/01/19 02:51:43 AM,1.764,,,,,
86,07/01/19 03:21:43 AM,1.548,,,,,
87,07/01/19 03:51:43 AM,1.548,,,,,
88,07/01/19 04:21:43 AM,1.439,,,,,
89,07/01/19 04:51:43 AM,1.439,,,,,
90,07/01/19 05:21:43 AM,1.439,,,,,
91,07/01/19 05:51:43 AM,1.439,,,,,
92,07/01/19 06:21:43 AM,1.548,,,,,
93,07/01/19 06:51:43 AM,1.656,,,,,
94,07/01/19 07:21:43 AM,1.764,,,,,
95,07/01/19 07:51:43 AM,1.980,,,,,
96,07/01/19 08:21:43 AM,2.303,,,,,
97,07/01/19 08:51:43 AM,2.624,,,,,
98,07/01/19 09:21:43 AM,3.049,,,,,
99,07/01/19 09:51:43 AM,3.472,,,,,
100,07/01/19 10:21:43 AM,3.998,,,,,
101,07/01/19 10:51:43 AM,4.415,,,,,
102,07/01/19 11:21:43 AM,4.623,,,,,
103,07/01/19 11:51:43 AM,4.831,,,,,
104,07/01/19 12:21:43 PM,4.934,,,,,
105,07/01/19 12:51:43 PM,5.141,,,,,
106,07/01/19 01:21:43 PM,5.552,,,,,
107,07/01/19 01:51:43 PM,5.757,,,,,
108,07/01/19 02:21:43 PM,5.860,,,,,
109,07/01/19 02:51:43 PM,5.860,,,,,
110,07/01/19 03:21:43 PM,5.757,,,,,
111,07/01/19 03:51:43 PM,5.757,,,,,
112,07/01/19 04:21:43 PM,5.655,,,,,
113,07/01/19 04:51:43 PM,5.552,,,,,
114,07/01/19 05:21:43 PM,5.347,,,,,
115,07/01/19 05:51:43 PM,5.141,,,,,
