"Titre de tracé : 20177033"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177033, SEN S/N: 20177033)","Coupleur détaché (LGR S/N: 20177033)","Pile OK (LGR S/N: 20177033)","Coupleur attaché (LGR S/N: 20177033)","Hôte connecté (LGR S/N: 20177033)","Arrêté (LGR S/N: 20177033)","Fin de fichier (LGR S/N: 20177033)"
1,06/29/19 09:14:52 AM,13.076,,,,,,
2,06/29/19 09:15:41 AM,,Enregistré,,,,,
3,06/29/19 09:44:52 AM,13.076,,Enregistré,,,,
4,06/29/19 10:14:52 AM,13.269,,,,,,
5,06/29/19 10:44:52 AM,20.043,,,,,,
6,06/29/19 11:14:52 AM,24.158,,,,,,
7,06/29/19 11:44:52 AM,21.664,,,,,,
8,06/29/19 12:14:52 PM,18.616,,,,,,
9,06/29/19 12:44:52 PM,21.282,,,,,,
10,06/29/19 01:14:52 PM,17.855,,,,,,
11,06/29/19 01:44:52 PM,10.455,,,,,,
12,06/29/19 02:14:52 PM,7.179,,,,,,
13,06/29/19 02:44:52 PM,6.573,,,,,,
14,06/29/19 03:14:52 PM,6.370,,,,,,
15,06/29/19 03:44:52 PM,6.370,,,,,,
16,06/29/19 04:14:52 PM,6.268,,,,,,
17,06/29/19 04:44:52 PM,6.268,,,,,,
18,06/29/19 05:14:52 PM,6.370,,,,,,
19,06/29/19 05:44:52 PM,6.370,,,,,,
20,06/29/19 06:14:52 PM,6.674,,,,,,
21,06/29/19 06:44:52 PM,6.877,,,,,,
22,06/29/19 07:14:52 PM,6.877,,,,,,
23,06/29/19 07:44:52 PM,6.775,,,,,,
24,06/29/19 08:14:52 PM,6.573,,,,,,
25,06/29/19 08:44:52 PM,6.471,,,,,,
26,06/29/19 09:14:52 PM,6.166,,,,,,
27,06/29/19 09:44:52 PM,5.860,,,,,,
28,06/29/19 10:14:52 PM,5.347,,,,,,
29,06/29/19 10:44:52 PM,4.934,,,,,,
30,06/29/19 11:14:52 PM,4.623,,,,,,
31,06/29/19 11:44:52 PM,4.207,,,,,,
32,06/30/19 12:14:52 AM,3.893,,,,,,
33,06/30/19 12:44:52 AM,3.472,,,,,,
34,06/30/19 01:14:52 AM,3.049,,,,,,
35,06/30/19 01:44:52 AM,2.730,,,,,,
36,06/30/19 02:14:52 AM,2.410,,,,,,
37,06/30/19 02:44:52 AM,2.088,,,,,,
38,06/30/19 03:14:52 AM,1.980,,,,,,
39,06/30/19 03:44:52 AM,1.872,,,,,,
40,06/30/19 04:14:52 AM,1.980,,,,,,
41,06/30/19 04:44:52 AM,1.980,,,,,,
42,06/30/19 05:14:52 AM,2.088,,,,,,
43,06/30/19 05:44:52 AM,2.195,,,,,,
44,06/30/19 06:14:52 AM,2.410,,,,,,
45,06/30/19 06:44:52 AM,2.624,,,,,,
46,06/30/19 07:14:52 AM,2.837,,,,,,
47,06/30/19 07:44:52 AM,3.155,,,,,,
48,06/30/19 08:14:52 AM,3.472,,,,,,
49,06/30/19 08:44:52 AM,3.788,,,,,,
50,06/30/19 09:14:52 AM,3.893,,,,,,
51,06/30/19 09:44:52 AM,4.102,,,,,,
52,06/30/19 10:14:52 AM,4.415,,,,,,
53,06/30/19 10:44:52 AM,4.727,,,,,,
54,06/30/19 11:14:52 AM,5.141,,,,,,
55,06/30/19 11:44:52 AM,5.552,,,,,,
56,06/30/19 12:14:52 PM,6.064,,,,,,
57,06/30/19 12:44:52 PM,6.573,,,,,,
58,06/30/19 01:14:52 PM,6.978,,,,,,
59,06/30/19 01:44:52 PM,7.280,,,,,,
60,06/30/19 02:14:52 PM,7.582,,,,,,
61,06/30/19 02:44:52 PM,7.882,,,,,,
62,06/30/19 03:14:52 PM,8.182,,,,,,
63,06/30/19 03:44:52 PM,8.382,,,,,,
64,06/30/19 04:14:52 PM,8.680,,,,,,
65,06/30/19 04:44:52 PM,8.978,,,,,,
66,06/30/19 05:14:52 PM,9.077,,,,,,
67,06/30/19 05:44:52 PM,9.077,,,,,,
68,06/30/19 06:14:52 PM,9.176,,,,,,
69,06/30/19 06:44:52 PM,9.176,,,,,,
70,06/30/19 07:14:52 PM,9.176,,,,,,
71,06/30/19 07:44:52 PM,8.978,,,,,,
72,06/30/19 08:14:52 PM,8.680,,,,,,
73,06/30/19 08:44:52 PM,8.282,,,,,,
74,06/30/19 09:14:52 PM,7.882,,,,,,
75,06/30/19 09:44:52 PM,7.481,,,,,,
76,06/30/19 10:14:52 PM,7.079,,,,,,
77,06/30/19 10:44:52 PM,6.573,,,,,,
78,06/30/19 11:14:52 PM,6.166,,,,,,
79,06/30/19 11:44:52 PM,5.757,,,,,,
80,07/01/19 12:14:52 AM,5.347,,,,,,
81,07/01/19 12:44:52 AM,4.934,,,,,,
82,07/01/19 01:14:52 AM,4.519,,,,,,
83,07/01/19 01:44:52 AM,4.102,,,,,,
84,07/01/19 02:14:52 AM,3.683,,,,,,
85,07/01/19 02:44:52 AM,3.261,,,,,,
86,07/01/19 03:14:52 AM,3.049,,,,,,
87,07/01/19 03:44:52 AM,2.943,,,,,,
88,07/01/19 04:14:52 AM,2.943,,,,,,
89,07/01/19 04:44:52 AM,2.943,,,,,,
90,07/01/19 05:14:52 AM,2.943,,,,,,
91,07/01/19 05:44:52 AM,3.155,,,,,,
92,07/01/19 06:14:52 AM,3.472,,,,,,
93,07/01/19 06:44:52 AM,3.788,,,,,,
94,07/01/19 07:14:52 AM,3.998,,,,,,
95,07/01/19 07:44:52 AM,4.311,,,,,,
96,07/01/19 08:14:52 AM,4.519,,,,,,
97,07/01/19 08:44:52 AM,4.727,,,,,,
98,07/01/19 09:14:52 AM,5.141,,,,,,
99,07/01/19 09:44:52 AM,5.347,,,,,,
100,07/01/19 10:14:52 AM,5.552,,,,,,
101,07/01/19 10:44:52 AM,5.860,,,,,,
102,07/01/19 11:14:52 AM,6.166,,,,,,
103,07/01/19 11:44:52 AM,6.471,,,,,,
104,07/01/19 12:14:52 PM,6.775,,,,,,
105,07/01/19 12:44:52 PM,7.079,,,,,,
106,07/01/19 01:14:52 PM,7.179,,,,,,
107,07/01/19 01:44:52 PM,7.079,,,,,,
108,07/01/19 02:14:52 PM,7.079,,,,,,
109,07/01/19 02:44:52 PM,7.079,,,,,,
110,07/01/19 03:14:52 PM,7.280,,,,,,
111,07/01/19 03:44:52 PM,7.582,,,,,,
112,07/01/19 04:14:52 PM,7.682,,,,,,
113,07/01/19 04:44:52 PM,7.582,,,,,,
114,07/01/19 05:14:52 PM,7.481,,,,,,
