"Titre de tracé : 20151595"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20151595, SEN S/N: 20151595)","Coupleur détaché (LGR S/N: 20151595)","Pile défectueuse (LGR S/N: 20151595)","Coupleur attaché (LGR S/N: 20151595)","Hôte connecté (LGR S/N: 20151595)","Arrêté (LGR S/N: 20151595)","Fin de fichier (LGR S/N: 20151595)"
1,06/29/19 09:24:06 AM,12.497,,,,,,
2,06/29/19 09:24:23 AM,,Enregistré,,,,,
3,06/29/19 09:54:06 AM,14.325,,,,,,
4,06/29/19 10:24:06 AM,13.558,,,,,,
5,06/29/19 10:54:06 AM,23.388,,,,,,
6,06/29/19 11:24:06 AM,18.806,,,,,,
7,06/29/19 11:54:06 AM,22.046,,,,,,
8,06/29/19 12:24:06 PM,23.100,,,,,,
9,06/29/19 12:54:06 PM,22.046,,,,,,
10,06/29/19 01:24:06 PM,21.760,,,,,,
11,06/29/19 01:54:06 PM,7.381,,,,,,
12,06/29/19 02:24:06 PM,5.962,,,,,,
13,06/29/19 02:54:06 PM,5.860,,,,,,
14,06/29/19 03:24:06 PM,5.860,,,,,,
15,06/29/19 03:54:06 PM,5.860,,,,,,
16,06/29/19 04:24:06 PM,5.962,,,,,,
17,06/29/19 04:54:06 PM,5.655,,,,,,
18,06/29/19 05:24:06 PM,5.860,,,,,,
19,06/29/19 05:54:06 PM,5.655,,,,,,
20,06/29/19 06:24:06 PM,5.757,,,,,,
21,06/29/19 06:54:06 PM,5.552,,,,,,
22,06/29/19 07:24:06 PM,5.244,,,,,,
23,06/29/19 07:54:06 PM,5.037,,,,,,
24,06/29/19 08:24:06 PM,4.934,,,,,,
25,06/29/19 08:54:06 PM,4.727,,,,,,
26,06/29/19 09:24:06 PM,4.415,,,,,,
27,06/29/19 09:54:06 PM,4.102,,,,,,
28,06/29/19 10:24:06 PM,3.788,,,,,,
29,06/29/19 10:54:06 PM,3.578,,,,,,
30,06/29/19 11:24:06 PM,3.261,,,,,,
31,06/29/19 11:54:06 PM,2.943,,,,,,
32,06/30/19 12:24:06 AM,2.730,,,,,,
33,06/30/19 12:54:06 AM,2.517,,,,,,
34,06/30/19 01:24:06 AM,2.303,,,,,,
35,06/30/19 01:54:06 AM,2.088,,,,,,
