"Titre de tracé : 20151585"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20151585, SEN S/N: 20151585)","Coupleur détaché (LGR S/N: 20151585)","Coupleur attaché (LGR S/N: 20151585)","Hôte connecté (LGR S/N: 20151585)","Arrêté (LGR S/N: 20151585)","Fin de fichier (LGR S/N: 20151585)"
1,06/29/19 09:23:18 AM,13.269,,,,,
2,06/29/19 09:23:35 AM,,Enregistré,,,,
3,06/29/19 09:53:18 AM,12.980,,,,,
4,06/29/19 10:23:18 AM,13.750,,,,,
5,06/29/19 10:53:18 AM,5.450,,,,,
6,06/29/19 11:23:18 AM,5.552,,,,,
7,06/29/19 11:53:18 AM,5.962,,,,,
8,06/29/19 12:23:18 PM,6.268,,,,,
9,06/29/19 12:53:18 PM,6.775,,,,,
10,06/29/19 01:23:18 PM,7.179,,,,,
11,06/29/19 01:53:18 PM,7.481,,,,,
12,06/29/19 02:23:18 PM,7.882,,,,,
13,06/29/19 02:53:18 PM,8.082,,,,,
14,06/29/19 03:23:18 PM,8.282,,,,,
15,06/29/19 03:53:18 PM,8.282,,,,,
16,06/29/19 04:23:18 PM,8.382,,,,,
17,06/29/19 04:53:18 PM,8.282,,,,,
18,06/29/19 05:23:18 PM,8.282,,,,,
19,06/29/19 05:53:18 PM,8.082,,,,,
20,06/29/19 06:23:18 PM,7.882,,,,,
21,06/29/19 06:53:18 PM,7.682,,,,,
22,06/29/19 07:23:18 PM,7.381,,,,,
23,06/29/19 07:53:18 PM,7.179,,,,,
24,06/29/19 08:23:18 PM,6.877,,,,,
25,06/29/19 08:53:18 PM,6.573,,,,,
26,06/29/19 09:23:18 PM,6.166,,,,,
27,06/29/19 09:53:18 PM,5.655,,,,,
28,06/29/19 10:23:18 PM,5.347,,,,,
29,06/29/19 10:53:18 PM,4.934,,,,,
30,06/29/19 11:23:18 PM,4.519,,,,,
31,06/29/19 11:53:18 PM,4.207,,,,,
32,06/30/19 12:23:18 AM,3.893,,,,,
33,06/30/19 12:53:18 AM,3.578,,,,,
34,06/30/19 01:23:18 AM,3.261,,,,,
35,06/30/19 01:53:18 AM,3.049,,,,,
36,06/30/19 02:23:18 AM,2.837,,,,,
37,06/30/19 02:53:18 AM,2.624,,,,,
38,06/30/19 03:23:18 AM,2.410,,,,,
39,06/30/19 03:53:18 AM,2.303,,,,,
40,06/30/19 04:23:18 AM,2.195,,,,,
41,06/30/19 04:53:18 AM,2.088,,,,,
42,06/30/19 05:23:18 AM,1.980,,,,,
43,06/30/19 05:53:18 AM,1.980,,,,,
