"Titre de tracé : 20151606"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20151606, SEN S/N: 20151606)","Coupleur détaché (LGR S/N: 20151606)","Pile défectueuse (LGR S/N: 20151606)","Coupleur attaché (LGR S/N: 20151606)","Hôte connecté (LGR S/N: 20151606)","Arrêté (LGR S/N: 20151606)","Fin de fichier (LGR S/N: 20151606)"
1,06/29/19 09:31:14 AM,14.613,,,,,,
2,06/29/19 09:31:42 AM,,Enregistré,,,,,
3,06/29/19 10:01:14 AM,13.461,,,,,,
4,06/29/19 10:31:14 AM,15.187,,,,,,
5,06/29/19 11:01:14 AM,5.347,,,,,,
6,06/29/19 11:31:14 AM,5.347,,,,,,
7,06/29/19 12:01:14 PM,5.552,,,,,,
8,06/29/19 12:31:14 PM,5.757,,,,,,
9,06/29/19 01:01:14 PM,5.962,,,,,,
10,06/29/19 01:31:14 PM,6.268,,,,,,
11,06/29/19 02:01:14 PM,6.573,,,,,,
12,06/29/19 02:31:14 PM,6.775,,,,,,
13,06/29/19 03:01:14 PM,7.079,,,,,,
14,06/29/19 03:31:14 PM,7.079,,,,,,
15,06/29/19 04:01:14 PM,7.179,,,,,,
16,06/29/19 04:31:14 PM,7.079,,,,,,
17,06/29/19 05:01:14 PM,7.079,,,,,,
18,06/29/19 05:31:14 PM,6.978,,,,,,
19,06/29/19 06:01:14 PM,6.877,,,,,,
20,06/29/19 06:31:14 PM,6.674,,,,,,
21,06/29/19 07:01:14 PM,6.471,,,,,,
22,06/29/19 07:31:14 PM,6.166,,,,,,
23,06/29/19 08:01:14 PM,5.860,,,,,,
24,06/29/19 08:31:14 PM,5.552,,,,,,
25,06/29/19 09:01:14 PM,5.244,,,,,,
26,06/29/19 09:31:14 PM,4.831,,,,,,
27,06/29/19 10:01:14 PM,4.519,,,,,,
28,06/29/19 10:31:14 PM,4.207,,,,,,
29,06/29/19 11:01:14 PM,3.893,,,,,,
30,06/29/19 11:31:14 PM,3.578,,,,,,
31,06/30/19 12:01:14 AM,3.261,,,,,,
32,06/30/19 12:31:14 AM,2.943,,,,,,
33,06/30/19 01:01:14 AM,2.730,,,,,,
34,06/30/19 01:31:14 AM,2.410,,,,,,
35,06/30/19 02:01:14 AM,2.303,,,,,,
36,06/30/19 02:31:14 AM,2.088,,,,,,
37,06/30/19 03:01:14 AM,1.980,,,,,,
