"Titre de tracé : 20177067"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177067, SEN S/N: 20177067)","Coupleur attaché (LGR S/N: 20177067)","Hôte connecté (LGR S/N: 20177067)","Arrêté (LGR S/N: 20177067)","Fin de fichier (LGR S/N: 20177067)"
1,06/24/19 06:00:00 PM,18.426,,,,
2,06/24/19 07:00:00 PM,18.806,,,,
3,06/24/19 08:00:00 PM,19.377,,,,
4,06/24/19 09:00:00 PM,19.377,,,,
5,06/24/19 10:00:00 PM,19.948,,,,
6,06/24/19 11:00:00 PM,18.236,,,,
7,06/25/19 12:00:00 AM,17.760,,,,
8,06/25/19 01:00:00 AM,16.903,,,,
9,06/25/19 02:00:00 AM,15.760,,,,
10,06/25/19 03:00:00 AM,14.804,,,,
11,06/25/19 04:00:00 AM,13.750,,,,
12,06/25/19 05:00:00 AM,12.980,,,,
13,06/25/19 06:00:00 AM,12.401,,,,
14,06/25/19 07:00:00 AM,12.207,,,,
15,06/25/19 08:00:00 AM,12.690,,,,
16,06/25/19 09:00:00 AM,7.079,,,,
17,06/25/19 10:00:00 AM,8.581,,,,
18,06/25/19 11:00:00 AM,18.616,,,,
19,06/25/19 12:00:00 PM,13.846,,,,
20,06/25/19 01:00:00 PM,13.558,,,,
21,06/25/19 02:00:00 PM,12.304,,,,
22,06/25/19 03:00:00 PM,9.373,,,,
23,06/25/19 04:00:00 PM,8.282,,,,
24,06/25/19 05:00:00 PM,8.382,,,,
25,06/25/19 06:00:00 PM,11.431,,,,
26,06/25/19 07:00:00 PM,12.207,,,,
27,06/25/19 08:00:00 PM,11.722,,,,
28,06/25/19 09:00:00 PM,11.334,,,,
29,06/25/19 10:00:00 PM,11.236,,,,
30,06/25/19 11:00:00 PM,11.139,,,,
31,06/26/19 12:00:00 AM,10.944,,,,
32,06/26/19 01:00:00 AM,10.651,,,,
33,06/26/19 02:00:00 AM,10.357,,,,
34,06/26/19 03:00:00 AM,10.063,,,,
35,06/26/19 04:00:00 AM,9.768,,,,
36,06/26/19 05:00:00 AM,9.472,,,,
37,06/26/19 06:00:00 AM,9.176,,,,
38,06/26/19 07:00:00 AM,8.978,,,,
39,06/26/19 08:00:00 AM,8.779,,,,
40,06/26/19 09:00:00 AM,8.581,,,,
41,06/26/19 10:00:00 AM,11.528,,,,
42,06/26/19 11:00:00 AM,12.207,,,,
43,06/26/19 12:00:00 PM,12.401,,,,
44,06/26/19 01:00:00 PM,13.558,,,,
45,06/26/19 02:00:00 PM,6.166,,,,
46,06/26/19 03:00:00 PM,3.578,,,,
47,06/26/19 04:00:00 PM,3.893,,,,
48,06/26/19 05:00:00 PM,4.311,,,,
49,06/26/19 06:00:00 PM,4.623,,,,
50,06/26/19 07:00:00 PM,4.727,,,,
51,06/26/19 08:00:00 PM,4.623,,,,
52,06/26/19 09:00:00 PM,4.207,,,,
53,06/26/19 10:00:00 PM,3.893,,,,
54,06/26/19 11:00:00 PM,3.367,,,,
55,06/27/19 12:00:00 AM,2.943,,,,
56,06/27/19 01:00:00 AM,2.410,,,,
57,06/27/19 02:00:00 AM,2.195,,,,
58,06/27/19 03:00:00 AM,1.980,,,,
59,06/27/19 04:00:00 AM,1.872,,,,
60,06/27/19 05:00:00 AM,1.764,,,,
61,06/27/19 06:00:00 AM,1.656,,,,
62,06/27/19 07:00:00 AM,1.764,,,,
63,06/27/19 08:00:00 AM,1.980,,,,
64,06/27/19 09:00:00 AM,2.195,,,,
65,06/27/19 10:00:00 AM,2.517,,,,
66,06/27/19 11:00:00 AM,2.730,,,,
67,06/27/19 12:00:00 PM,2.943,,,,
68,06/27/19 01:00:00 PM,3.367,,,,
69,06/27/19 02:00:00 PM,3.788,,,,
70,06/27/19 03:00:00 PM,4.207,,,,
71,06/27/19 04:00:00 PM,4.623,,,,
72,06/27/19 05:00:00 PM,5.141,,,,
73,06/27/19 06:00:00 PM,5.552,,,,
74,06/27/19 07:00:00 PM,5.655,,,,
75,06/27/19 08:00:00 PM,5.552,,,,
76,06/27/19 09:00:00 PM,5.244,,,,
77,06/27/19 10:00:00 PM,4.934,,,,
78,06/27/19 11:00:00 PM,4.311,,,,
79,06/28/19 12:00:00 AM,3.683,,,,
80,06/28/19 01:00:00 AM,3.049,,,,
81,06/28/19 02:00:00 AM,2.624,,,,
82,06/28/19 03:00:00 AM,2.195,,,,
83,06/28/19 04:00:00 AM,1.872,,,,
84,06/28/19 05:00:00 AM,1.656,,,,
85,06/28/19 06:00:00 AM,1.439,,,,
86,06/28/19 07:00:00 AM,1.439,,,,
87,06/28/19 08:00:00 AM,1.656,,,,
88,06/28/19 09:00:00 AM,1.980,,,,
89,06/28/19 10:00:00 AM,2.195,,,,
90,06/28/19 11:00:00 AM,2.517,,,,
91,06/28/19 12:00:00 PM,2.730,,,,
92,06/28/19 01:00:00 PM,3.472,,,,
93,06/28/19 02:00:00 PM,3.155,,,,
94,06/28/19 03:00:00 PM,3.578,,,,
95,06/28/19 04:00:00 PM,3.788,,,,
96,06/28/19 05:00:00 PM,3.893,,,,
97,06/28/19 06:00:00 PM,4.519,,,,
98,06/28/19 07:00:00 PM,4.207,,,,
99,06/28/19 08:00:00 PM,4.102,,,,
