"Titre de tracé : 20172486"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20172486, SEN S/N: 20172486, LBL: 20172486)","Pile OK (LGR S/N: 20172486)","Pile défectueuse (LGR S/N: 20172486)","Coupleur attaché (LGR S/N: 20172486)","Hôte connecté (LGR S/N: 20172486)","Arrêté (LGR S/N: 20172486)","Fin de fichier (LGR S/N: 20172486)"
1,06/24/19 06:00:00 PM,9.472,Enregistré,,,,,
2,06/24/19 08:00:00 PM,19.187,,,,,,
3,06/24/19 10:00:00 PM,20.043,,,,,,
4,06/25/19 12:00:00 AM,17.855,,,,,,
5,06/25/19 02:00:00 AM,16.141,,,,,,
6,06/25/19 04:00:00 AM,14.230,,,,,,
7,06/25/19 06:00:00 AM,12.690,,,,,,
8,06/25/19 08:00:00 AM,12.883,,,,,,
9,06/25/19 10:00:00 AM,7.782,,,,,,
10,06/25/19 12:00:00 PM,12.690,,,,,,
11,06/25/19 02:00:00 PM,12.207,,,,,,
12,06/25/19 04:00:00 PM,7.983,,,,,,
13,06/25/19 06:00:00 PM,11.041,,,,,,
14,06/25/19 08:00:00 PM,11.819,,,,,,
15,06/25/19 10:00:00 PM,11.236,,,,,,
16,06/26/19 12:00:00 AM,10.944,,,,,,
17,06/26/19 02:00:00 AM,10.259,,,,,,
18,06/26/19 04:00:00 AM,9.669,,,,,,
19,06/26/19 06:00:00 AM,9.077,,,,,,
20,06/26/19 08:00:00 AM,8.581,,,,,,
21,06/26/19 10:00:00 AM,10.944,,,,,,
22,06/26/19 12:00:00 PM,11.722,,,,,,
23,06/26/19 02:00:00 PM,23.100,,,,,,
24,06/26/19 04:00:00 PM,11.625,,,,,,
25,06/26/19 06:00:00 PM,12.883,,,,,,
26,06/26/19 08:00:00 PM,12.401,,,,,,
27,06/26/19 10:00:00 PM,10.944,,,,,,
28,06/27/19 12:00:00 AM,9.275,,,,,,
29,06/27/19 02:00:00 AM,8.282,,,,,,
30,06/27/19 04:00:00 AM,7.582,,,,,,
31,06/27/19 06:00:00 AM,7.179,,,,,,
32,06/27/19 08:00:00 AM,7.582,,,,,,
33,06/27/19 10:00:00 AM,8.282,,,,,,
34,06/27/19 12:00:00 PM,9.571,,,,,,
35,06/27/19 02:00:00 PM,10.944,,,,,,
36,06/27/19 04:00:00 PM,12.497,,,,,,
37,06/27/19 06:00:00 PM,13.654,,,,,,
38,06/27/19 08:00:00 PM,13.269,,,,,,
39,06/27/19 10:00:00 PM,12.013,,,,,,
40,06/28/19 12:00:00 AM,10.063,,,,,,
41,06/28/19 02:00:00 AM,8.481,,,,,,
42,06/28/19 04:00:00 AM,7.481,,,,,,
43,06/28/19 06:00:00 AM,6.978,,,,,,
44,06/28/19 08:00:00 AM,7.280,,,,,,
45,06/28/19 10:00:00 AM,7.882,,,,,,
46,06/28/19 12:00:00 PM,9.176,,,,,,
47,06/28/19 02:00:00 PM,10.455,,,,,,
48,06/28/19 04:00:00 PM,11.236,,,,,,
49,06/28/19 06:00:00 PM,11.528,,,,,,
50,06/28/19 08:00:00 PM,10.846,,,,,,
51,06/28/19 10:00:00 PM,9.571,,,,,,
52,06/29/19 12:00:00 AM,8.382,,,,,,
53,06/29/19 02:00:00 AM,7.381,,,,,,
54,06/29/19 04:00:00 AM,6.674,,,,,,
55,06/29/19 06:00:00 AM,6.370,,,,,,
56,06/29/19 08:00:00 AM,6.877,,,,,,
57,06/29/19 10:00:00 AM,7.782,,,,,,
