"Titre de tracé : 10355247"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10355247, SEN S/N: 10355247)","Pile défectueuse (LGR S/N: 10355247)","Coupleur attaché (LGR S/N: 10355247)","Hôte connecté (LGR S/N: 10355247)","Arrêté (LGR S/N: 10355247)","Fin de fichier (LGR S/N: 10355247)"
1,06/24/19 06:00:00 PM,18.426,,,,,
2,06/24/19 07:00:00 PM,18.711,,,,,
3,06/24/19 08:00:00 PM,19.377,,,,,
4,06/24/19 09:00:00 PM,19.377,,,,,
5,06/24/19 10:00:00 PM,19.853,,,,,
6,06/24/19 11:00:00 PM,17.284,,,,,
7,06/25/19 12:00:00 AM,16.808,,,,,
8,06/25/19 01:00:00 AM,16.332,,,,,
9,06/25/19 02:00:00 AM,15.378,,,,,
10,06/25/19 03:00:00 AM,14.517,,,,,
11,06/25/19 04:00:00 AM,13.558,,,,,
12,06/25/19 05:00:00 AM,12.690,,,,,
13,06/25/19 06:00:00 AM,12.110,,,,,
14,06/25/19 07:00:00 AM,11.819,,,,,
15,06/25/19 08:00:00 AM,12.207,,,,,
16,06/25/19 09:00:00 AM,7.481,,,,,
17,06/25/19 10:00:00 AM,9.077,,,,,
18,06/25/19 11:00:00 AM,18.996,,,,,
19,06/25/19 12:00:00 PM,13.558,,,,,
20,06/25/19 01:00:00 PM,13.654,,,,,
21,06/25/19 02:00:00 PM,12.497,,,,,
22,06/25/19 03:00:00 PM,10.063,,,,,
23,06/25/19 04:00:00 PM,8.680,,,,,
24,06/25/19 05:00:00 PM,8.282,,,,,
25,06/25/19 06:00:00 PM,10.651,,,,,
26,06/25/19 07:00:00 PM,12.401,,,,,
27,06/25/19 08:00:00 PM,11.722,,,,,
28,06/25/19 09:00:00 PM,11.334,,,,,
29,06/25/19 10:00:00 PM,11.139,,,,,
30,06/25/19 11:00:00 PM,11.041,,,,,
31,06/26/19 12:00:00 AM,10.846,,,,,
32,06/26/19 01:00:00 AM,10.455,,,,,
33,06/26/19 02:00:00 AM,10.161,,,,,
34,06/26/19 03:00:00 AM,9.768,,,,,
35,06/26/19 04:00:00 AM,9.472,,,,,
36,06/26/19 05:00:00 AM,9.176,,,,,
37,06/26/19 06:00:00 AM,8.879,,,,,
38,06/26/19 07:00:00 AM,8.680,,,,,
39,06/26/19 08:00:00 AM,8.481,,,,,
40,06/26/19 09:00:00 AM,8.382,,,,,
41,06/26/19 10:00:00 AM,11.528,,,,,
42,06/26/19 11:00:00 AM,12.690,,,,,
43,06/26/19 12:00:00 PM,12.497,,,,,
44,06/26/19 01:00:00 PM,13.654,,,,,
45,06/26/19 02:00:00 PM,22.046,,,,,
46,06/26/19 03:00:00 PM,7.782,,,,,
47,06/26/19 04:00:00 PM,7.782,,,,,
48,06/26/19 05:00:00 PM,7.983,,,,,
49,06/26/19 06:00:00 PM,8.182,,,,,
50,06/26/19 07:00:00 PM,8.182,,,,,
51,06/26/19 08:00:00 PM,7.983,,,,,
52,06/26/19 09:00:00 PM,7.782,,,,,
53,06/26/19 10:00:00 PM,7.481,,,,,
54,06/26/19 11:00:00 PM,7.079,,,,,
55,06/27/19 12:00:00 AM,6.674,,,,,
56,06/27/19 01:00:00 AM,6.370,,,,,
57,06/27/19 02:00:00 AM,6.064,,,,,
58,06/27/19 03:00:00 AM,5.860,,,,,
59,06/27/19 04:00:00 AM,5.655,,,,,
60,06/27/19 05:00:00 AM,5.552,,,,,
61,06/27/19 06:00:00 AM,5.450,,,,,
62,06/27/19 07:00:00 AM,5.552,,,,,
63,06/27/19 08:00:00 AM,5.552,,,,,
64,06/27/19 09:00:00 AM,5.860,,,,,
65,06/27/19 10:00:00 AM,6.064,,,,,
66,06/27/19 11:00:00 AM,6.370,,,,,
67,06/27/19 12:00:00 PM,6.775,,,,,
68,06/27/19 01:00:00 PM,7.280,,,,,
69,06/27/19 02:00:00 PM,7.682,,,,,
70,06/27/19 03:00:00 PM,7.983,,,,,
71,06/27/19 04:00:00 PM,8.382,,,,,
72,06/27/19 05:00:00 PM,8.680,,,,,
73,06/27/19 06:00:00 PM,8.680,,,,,
74,06/27/19 07:00:00 PM,8.680,,,,,
75,06/27/19 08:00:00 PM,8.581,,,,,
76,06/27/19 09:00:00 PM,8.282,,,,,
77,06/27/19 10:00:00 PM,7.983,,,,,
78,06/27/19 11:00:00 PM,7.682,,,,,
79,06/28/19 12:00:00 AM,7.280,,,,,
80,06/28/19 01:00:00 AM,6.877,,,,,
81,06/28/19 02:00:00 AM,6.471,,,,,
82,06/28/19 03:00:00 AM,6.064,,,,,
83,06/28/19 04:00:00 AM,5.757,,,,,
84,06/28/19 05:00:00 AM,5.552,,,,,
85,06/28/19 06:00:00 AM,5.347,,,,,
86,06/28/19 07:00:00 AM,5.450,,,,,
87,06/28/19 08:00:00 AM,5.552,,,,,
88,06/28/19 09:00:00 AM,5.757,,,,,
89,06/28/19 10:00:00 AM,5.962,,,,,
90,06/28/19 11:00:00 AM,6.166,,,,,
91,06/28/19 12:00:00 PM,6.370,,,,,
92,06/28/19 01:00:00 PM,6.674,,,,,
93,06/28/19 02:00:00 PM,6.978,,,,,
94,06/28/19 03:00:00 PM,7.179,,,,,
95,06/28/19 04:00:00 PM,7.179,,,,,
96,06/28/19 05:00:00 PM,7.179,,,,,
97,06/28/19 06:00:00 PM,7.179,,,,,
98,06/28/19 07:00:00 PM,7.079,,,,,
