"Titre de tracé : 10169520"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 10169520, SEN S/N: 10169520)","Pile défectueuse (LGR S/N: 10169520)","Coupleur attaché (LGR S/N: 10169520)","Hôte connecté (LGR S/N: 10169520)","Arrêté (LGR S/N: 10169520)","Fin de fichier (LGR S/N: 10169520)"
1,06/24/19 06:00:00 PM,10.455,,,,,
2,06/24/19 07:00:00 PM,17.475,,,,,
3,06/24/19 08:00:00 PM,18.996,,,,,
4,06/24/19 09:00:00 PM,19.187,,,,,
5,06/24/19 10:00:00 PM,19.853,,,,,
6,06/24/19 11:00:00 PM,17.665,,,,,
7,06/25/19 12:00:00 AM,17.284,,,,,
8,06/25/19 01:00:00 AM,16.808,,,,,
9,06/25/19 02:00:00 AM,15.760,,,,,
10,06/25/19 03:00:00 AM,14.804,,,,,
11,06/25/19 04:00:00 AM,13.846,,,,,
12,06/25/19 05:00:00 AM,12.980,,,,,
13,06/25/19 06:00:00 AM,12.401,,,,,
14,06/25/19 07:00:00 AM,12.110,,,,,
15,06/25/19 08:00:00 AM,12.690,,,,,
16,06/25/19 09:00:00 AM,6.268,,,,,
17,06/25/19 10:00:00 AM,7.381,,,,,
18,06/25/19 11:00:00 AM,11.528,,,,,
19,06/25/19 12:00:00 PM,12.401,,,,,
20,06/25/19 01:00:00 PM,12.690,,,,,
21,06/25/19 02:00:00 PM,13.076,,,,,
22,06/25/19 03:00:00 PM,10.161,,,,,
23,06/25/19 04:00:00 PM,8.779,,,,,
24,06/25/19 05:00:00 PM,8.680,,,,,
25,06/25/19 06:00:00 PM,10.846,,,,,
26,06/25/19 07:00:00 PM,12.110,,,,,
27,06/25/19 08:00:00 PM,11.625,,,,,
28,06/25/19 09:00:00 PM,11.334,,,,,
29,06/25/19 10:00:00 PM,11.236,,,,,
30,06/25/19 11:00:00 PM,11.139,,,,,
31,06/26/19 12:00:00 AM,10.944,,,,,
32,06/26/19 01:00:00 AM,10.651,,,,,
33,06/26/19 02:00:00 AM,10.357,,,,,
34,06/26/19 03:00:00 AM,10.063,,,,,
35,06/26/19 04:00:00 AM,9.768,,,,,
36,06/26/19 05:00:00 AM,9.472,,,,,
37,06/26/19 06:00:00 AM,9.176,,,,,
38,06/26/19 07:00:00 AM,8.879,,,,,
39,06/26/19 08:00:00 AM,8.680,,,,,
40,06/26/19 09:00:00 AM,8.581,,,,,
41,06/26/19 10:00:00 AM,10.748,,,,,
42,06/26/19 11:00:00 AM,11.334,,,,,
43,06/26/19 12:00:00 PM,11.431,,,,,
44,06/26/19 01:00:00 PM,12.207,,,,,
45,06/26/19 02:00:00 PM,18.426,,,,,
46,06/26/19 03:00:00 PM,9.866,,,,,
47,06/26/19 04:00:00 PM,9.965,,,,,
48,06/26/19 05:00:00 PM,10.357,,,,,
49,06/26/19 06:00:00 PM,10.748,,,,,
50,06/26/19 07:00:00 PM,11.041,,,,,
51,06/26/19 08:00:00 PM,11.041,,,,,
52,06/26/19 09:00:00 PM,10.846,,,,,
53,06/26/19 10:00:00 PM,10.553,,,,,
54,06/26/19 11:00:00 PM,10.161,,,,,
55,06/27/19 12:00:00 AM,9.571,,,,,
56,06/27/19 01:00:00 AM,9.077,,,,,
57,06/27/19 02:00:00 AM,8.581,,,,,
58,06/27/19 03:00:00 AM,8.182,,,,,
59,06/27/19 04:00:00 AM,7.882,,,,,
60,06/27/19 05:00:00 AM,7.481,,,,,
61,06/27/19 06:00:00 AM,7.280,,,,,
62,06/27/19 07:00:00 AM,7.179,,,,,
63,06/27/19 08:00:00 AM,7.179,,,,,
64,06/27/19 09:00:00 AM,7.179,,,,,
65,06/27/19 10:00:00 AM,7.381,,,,,
66,06/27/19 11:00:00 AM,7.682,,,,,
67,06/27/19 12:00:00 PM,8.182,,,,,
68,06/27/19 01:00:00 PM,8.680,,,,,
69,06/27/19 02:00:00 PM,9.176,,,,,
70,06/27/19 03:00:00 PM,9.571,,,,,
71,06/27/19 04:00:00 PM,10.063,,,,,
72,06/27/19 05:00:00 PM,10.651,,,,,
73,06/27/19 06:00:00 PM,11.041,,,,,
74,06/27/19 07:00:00 PM,11.236,,,,,
75,06/27/19 08:00:00 PM,11.431,,,,,
76,06/27/19 09:00:00 PM,11.334,,,,,
77,06/27/19 10:00:00 PM,11.041,,,,,
78,06/27/19 11:00:00 PM,10.651,,,,,
79,06/28/19 12:00:00 AM,10.063,,,,,
80,06/28/19 01:00:00 AM,9.472,,,,,
81,06/28/19 02:00:00 AM,8.978,,,,,
82,06/28/19 03:00:00 AM,8.382,,,,,
83,06/28/19 04:00:00 AM,7.882,,,,,
84,06/28/19 05:00:00 AM,7.582,,,,,
85,06/28/19 06:00:00 AM,7.280,,,,,
86,06/28/19 07:00:00 AM,7.079,,,,,
87,06/28/19 08:00:00 AM,7.179,,,,,
88,06/28/19 09:00:00 AM,7.280,,,,,
89,06/28/19 10:00:00 AM,7.481,,,,,
90,06/28/19 11:00:00 AM,7.882,,,,,
91,06/28/19 12:00:00 PM,8.282,,,,,
92,06/28/19 01:00:00 PM,8.779,,,,,
93,06/28/19 02:00:00 PM,9.176,,,,,
94,06/28/19 03:00:00 PM,9.472,,,,,
95,06/28/19 04:00:00 PM,9.768,,,,,
96,06/28/19 05:00:00 PM,9.965,,,,,
97,06/28/19 06:00:00 PM,10.063,,,,,
98,06/28/19 07:00:00 PM,10.063,,,,,
99,06/28/19 08:00:00 PM,9.965,,,,,
100,06/28/19 09:00:00 PM,9.669,,,,,
101,06/28/19 10:00:00 PM,9.275,,,,,
102,06/28/19 11:00:00 PM,8.879,,,,,
103,06/29/19 12:00:00 AM,8.481,,,,,
104,06/29/19 01:00:00 AM,7.983,,,,,
105,06/29/19 02:00:00 AM,7.582,,,,,
106,06/29/19 03:00:00 AM,7.179,,,,,
107,06/29/19 04:00:00 AM,6.877,,,,,
108,06/29/19 05:00:00 AM,6.573,,,,,
109,06/29/19 06:00:00 AM,6.370,,,,,
110,06/29/19 07:00:00 AM,6.370,,,,,
111,06/29/19 08:00:00 AM,6.370,,,,,
112,06/29/19 09:00:00 AM,6.674,,,,,
113,06/29/19 10:00:00 AM,6.877,,,,,
114,06/29/19 11:00:00 AM,7.381,,,,,
115,06/29/19 12:00:00 PM,7.882,,,,,
116,06/29/19 01:00:00 PM,8.282,,,,,
117,06/29/19 02:00:00 PM,8.680,,,,,
118,06/29/19 03:00:00 PM,9.077,,,,,
119,06/29/19 04:00:00 PM,9.373,,,,,
120,06/29/19 05:00:00 PM,9.669,,,,,
121,06/29/19 06:00:00 PM,9.866,,,,,
122,06/29/19 07:00:00 PM,10.063,,,,,
123,06/29/19 08:00:00 PM,10.161,,,,,
124,06/29/19 09:00:00 PM,10.063,,,,,
125,06/29/19 10:00:00 PM,9.669,,,,,
126,06/29/19 11:00:00 PM,9.275,,,,,
127,06/30/19 12:00:00 AM,8.779,,,,,
128,06/30/19 01:00:00 AM,8.182,,,,,
129,06/30/19 02:00:00 AM,7.582,,,,,
130,06/30/19 03:00:00 AM,7.079,,,,,
